fips,county,state,Under18,Over18
01001,Autauga County,AL,74.5920745920746,2.0076481835564053
01003,Baldwin County,AL,44.988344988344984,55.87954110898662
01005,Barbour County,AL,NA,47.13193116634799
01007,Bibb County,AL,NA,79.68451242829828
01009,Blount County,AL,NA,31.02294455066922
01011,Bullock County,AL,NA,87.66730401529637
01015,Calhoun County,AL,NA,13.479923518164435
01017,Chambers County,AL,NA,39.91395793499044
01019,Cherokee County,AL,NA,14.483747609942638
01021,Chilton County,AL,NA,69.35946462715104
01025,Clarke County,AL,NA,54.20650095602294
01029,Cleburne County,AL,NA,53.96749521988527
01031,Coffee County,AL,NA,3.4894837476099427
01033,Colbert County,AL,NA,53.77629063097514
01039,Covington County,AL,NA,41.395793499043975
01043,Cullman County,AL,NA,4.588910133843212
01045,Dale County,AL,NA,73.8527724665392
01047,Dallas County,AL,NA,25.1434034416826
01049,DeKalb County,AL,NA,1.4818355640535372
01051,Elmore County,AL,NA,59.75143403441683
01053,Escambia County,AL,NA,2.437858508604206
01055,Etowah County,AL,69.6969696969697,17.590822179732314
01057,Fayette County,AL,NA,97.80114722753346
01061,Geneva County,AL,NA,5.401529636711281
01063,Greene County,AL,NA,74.90439770554494
01065,Hale County,AL,NA,11.520076481835565
01069,Houston County,AL,NA,0.9082217973231358
01071,Jackson County,AL,NA,21.12810707456979
01073,Jefferson County,AL,27.03962703962704,32.170172084130016
01075,Lamar County,AL,NA,84.22562141491396
01077,Lauderdale County,AL,NA,18.451242829827915
01079,Lawrence County,AL,NA,22.179732313575524
01081,Lee County,AL,NA,1.7208413001912046
01083,Limestone County,AL,NA,13.671128107074571
01087,Macon County,AL,99.76689976689977,52.29445506692161
01089,Madison County,AL,47.31934731934732,55.11472275334608
01093,Marion County,AL,87.17948717948718,18.594646271510516
01095,Marshall County,AL,54.312354312354316,22.22753346080306
01097,Mobile County,AL,NA,10.659655831739961
01101,Montgomery County,AL,NA,50.09560229445506
01103,Morgan County,AL,40.32634032634033,43.59464627151052
01107,Pickens County,AL,NA,72.848948374761
01109,Pike County,AL,NA,47.56214149139579
01111,Randolph County,AL,NA,27.437858508604208
01113,Russell County,AL,NA,2.2466539196940727
01115,St. Clair County,AL,NA,8.365200764818356
01117,Shelby County,AL,NA,72.131931166348
01121,Talladega County,AL,48.484848484848484,36.9980879541109
01123,Tallapoosa County,AL,NA,68.78585086042065
01125,Tuscaloosa County,AL,30.76923076923077,30.066921606118548
01127,Walker County,AL,NA,42.590822179732314
01133,Winston County,AL,NA,76.62523900573613
02020,Anchorage Municipality,AK,18.64801864801865,9.225621414913958
02070,Dillingham Census Area,AK,NA,99.66539196940727
02090,Fairbanks North Star Borough,AK,NA,80.49713193116634
02110,Juneau City and Borough,AK,NA,98.4225621414914
02122,Kenai Peninsula Borough,AK,NA,10.468451242829827
02170,Matanuska-Susitna Borough,AK,NA,3.0592734225621414
04003,Cochise County,AZ,NA,56.40535372848948
04005,Coconino County,AZ,NA,1.6730401529636711
04007,Gila County,AZ,NA,23.08795411089866
04009,Graham County,AZ,NA,63.04971319311663
04012,La Paz County,AZ,NA,6.118546845124283
04013,Maricopa County,AZ,16.317016317016318,56.45315487571702
04015,Mohave County,AZ,NA,43.06883365200765
04017,Navajo County,AZ,42.42424242424242,25.52581261950287
