ZipCode,county,state,Adult,Retirement
35040,Shelby County,AL,55.20282186948854,NA
35127,Jefferson County,AL,NA,68.77637130801688
35213,Jefferson County,AL,NA,73.83966244725738
35660,Colbert County,AL,74.25044091710758,NA
36040,Lowndes County,AL,99.47089947089947,NA
36067,Autauga County,AL,NA,56.540084388185655
99501,Anchorage Municipality,AK,25.749559082892414,NA
99507,Anchorage Municipality,AK,39.682539682539684,NA
99518,Anchorage Municipality,AK,NA,90.29535864978902
85008,Maricopa County,AZ,17.636684303350968,NA
85021,Maricopa County,AZ,48.148148148148145,NA
85042,Maricopa County,AZ,NA,66.66666666666666
85138,Pinal County,AZ,46.56084656084656,NA
85201,Maricopa County,AZ,17.813051146384478,NA
85225,Maricopa County,AZ,48.32451499118166,NA
85306,Maricopa County,AZ,60.14109347442681,NA
85326,Maricopa County,AZ,34.74426807760141,NA
85364,Yuma County,AZ,22.92768959435626,NA
85365,Yuma County,AZ,33.50970017636684,NA
85621,Santa Cruz County,AZ,NA,53.58649789029536
85719,Pima County,AZ,NA,81.0126582278481
85941,Apache County,AZ,17.28395061728395,NA
86047,Navajo County,AZ,41.09347442680776,NA
86409,Mohave County,AZ,10.934744268077601,NA
72204,Pulaski County,AR,57.14285714285714,NA
90024,Los Angeles County,CA,82.71604938271605,NA
90045,Los Angeles County,CA,NA,65.82278481012658
90404,Los Angeles County,CA,NA,67.08860759493672
90703,Los Angeles County,CA,67.01940035273368,NA
91104,Los Angeles County,CA,51.67548500881834,NA
91406,Los Angeles County,CA,NA,48.10126582278481
91739,San Bernardino County,CA,94.00352733686067,NA
92119,San Diego County,CA,NA,83.96624472573839
92126,San Diego County,CA,NA,75.9493670886076
92129,San Diego County,CA,63.49206349206349,NA
92211,Riverside County,CA,NA,17.72151898734177
92335,San Bernardino County,CA,12.874779541446207,NA
92337,San Bernardino County,CA,65.4320987654321,NA
92407,San Bernardino County,CA,21.516754850088184,NA
92880,Riverside County,CA,26.102292768959433,NA
93015,Ventura County,CA,73.89770723104057,NA
93030,Ventura County,CA,20.98765432098765,NA
93041,Ventura County,CA,69.66490299823633,NA
93060,Ventura County,CA,43.386243386243386,NA
93117,Santa Barbara County,CA,NA,83.54430379746836
93268,Kern County,CA,94.17989417989418,NA
93446,San Luis Obispo County,CA,32.62786596119929,NA
93546,Mono County,CA,NA,97.46835443037975
93635,Merced County,CA,75.83774250440916,NA
93702,Fresno County,CA,67.3721340388007,NA
94002,San Mateo County,CA,61.37566137566137,NA
94015,San Mateo County,CA,78.3068783068783,NA
94044,San Mateo County,CA,NA,36.708860759493675
94103,San Francisco County,CA,NA,28.691983122362867
94109,San Francisco County,CA,67.1957671957672,NA
94121,San Francisco County,CA,NA,48.9451476793249
94122,San Francisco County,CA,53.61552028218695,NA
94131,San Francisco County,CA,68.07760141093475,NA
94133,San Francisco County,CA,79.18871252204586,NA
94558,Napa County,CA,68.60670194003528,12.658227848101266
94574,Napa County,CA,NA,89.45147679324894
94954,Sonoma County,CA,54.85008818342152,NA
95148,Santa Clara County,CA,NA,52.320675105485236
95219,San Joaquin County,CA,74.60317460317461,NA
95242,San Joaquin County,CA,NA,63.29113924050633
95608,Sacramento County,CA,47.61904761904761,NA
95691,Yolo County,CA,90.12345679012346,NA
95762,El Dorado County,CA,NA,45.14767932489451
95834,Sacramento County,CA,97.88359788359789,NA
95841,Sacramento County,CA,86.41975308641975,NA
95843,Sacramento County,CA,67.72486772486772,NA
80030,Adams County,CO,79.71781305114638,NA
80210,Denver County,CO,60.49382716049383,NA
80239,Denver County,CO,29.100529100529098,NA
80525,Larimer County,CO,19.576719576719576,NA
80526,Larimer County,CO,NA,43.459915611814345
80538,Larimer County,CO,NA,16.455696202531644
80634,Weld County,CO,NA,2.5316455696202533
81005,Pueblo County,CO,NA,31.645569620253166
81007,Pueblo County,CO,NA,50.210970464135016
81201,Chaffee County,CO,84.65608465608466,NA
81501,Mesa County,CO,51.85185185185185,69.19831223628692
81650,Garfield County,CO,81.48148148148148,NA
06082,Hartford County,CT,56.79012345679012,NA
06112,Hartford County,CT,20.458553791887123,NA
06118,Hartford County,CT,30.335097001763668,NA
06234,Windham County,CT,68.25396825396825,NA
06443,New Haven County,CT,73.01587301587301,NA
06471,New Haven County,CT,92.7689594356261,NA
06515,New Haven County,CT,35.80246913580247,NA
06516,New Haven County,CT,8.289241622574956,7.172995780590717
06517,New Haven County,CT,56.08465608465608,NA
06604,Fairfield County,CT,23.809523809523807,NA
06605,Fairfield County,CT,40.56437389770723,NA
06614,Fairfield County,CT,64.02116402116403,NA
06776,Litchfield County,CT,33.86243386243386,NA
19702,New Castle County,DE,19.223985890652557,NA
32137,Flagler County,FL,NA,14.345991561181433
32409,Bay County,FL,79.36507936507937,NA
32440,Jackson County,FL,91.005291005291,NA
32460,Jackson County,FL,98.05996472663139,NA
32608,Alachua County,FL,9.171075837742503,NA
32667,Alachua County,FL,98.4126984126984,NA
32784,Lake County,FL,83.06878306878306,NA
33133,Miami-Dade County,FL,92.9453262786596,NA
33139,Miami-Dade County,FL,65.60846560846561,NA
33156,Miami-Dade County,FL,95.06172839506173,NA
33161,Miami-Dade County,FL,41.269841269841265,NA
33185,Miami-Dade County,FL,82.89241622574956,NA
33417,Palm Beach County,FL,NA,67.51054852320675
33440,Hendry County,FL,56.4373897707231,NA
33617,Hillsborough County,FL,39.85890652557319,NA
33703,Pinellas County,FL,62.257495590828924,NA
34420,Marion County,FL,75.13227513227513,NA
34432,Marion County,FL,NA,80.59071729957806
34610,Pasco County,FL,71.0758377425044,NA
34689,Pinellas County,FL,64.02116402116403,NA
30043,Gwinnett County,GA,60.84656084656085,NA
30117,Carroll County,GA,38.62433862433862,NA
30120,Bartow County,GA,24.691358024691358,NA
