ZipCode,county,state,Adult,Retirement,Geriatric
35120,St. Clair County,AL,67.20977596741345,NA,NA
35180,Jefferson County,AL,75.15274949083503,NA,NA
35211,Jefferson County,AL,NA,28.87700534759358,NA
35213,Jefferson County,AL,NA,NA,68.62068965517241
35406,Tuscaloosa County,AL,79.42973523421588,NA,NA
35634,Lauderdale County,AL,NA,NA,94.13793103448276
35802,Madison County,AL,73.11608961303462,NA,NA
35806,Madison County,AL,NA,64.70588235294117,NA
35952,Etowah County,AL,NA,NA,98.27586206896551
35957,Marshall County,AL,50.91649694501018,NA,NA
36549,Baldwin County,AL,99.79633401221996,NA,NA
36703,Dallas County,AL,NA,NA,82.75862068965517
99603,Kenai Peninsula Borough,AK,NA,60.42780748663101,NA
99801,Juneau City and Borough,AK,53.360488798370675,NA,NA
85015,Maricopa County,AZ,20.162932790224033,NA,NA
85022,Maricopa County,AZ,21.384928716904277,NA,NA
85042,Maricopa County,AZ,NA,60.6951871657754,72.41379310344827
85086,Maricopa County,AZ,NA,47.593582887700535,NA
85201,Maricopa County,AZ,14.460285132382891,NA,NA
85202,Maricopa County,AZ,21.792260692464357,NA,NA
85208,Maricopa County,AZ,49.08350305498982,NA,NA
85224,Maricopa County,AZ,50.101832993890014,NA,NA
85257,Maricopa County,AZ,73.72708757637476,NA,NA
85301,Maricopa County,AZ,NA,60.962566844919785,NA
85308,Maricopa County,AZ,NA,20.32085561497326,NA
85375,Maricopa County,AZ,NA,NA,13.448275862068964
85614,Pima County,AZ,NA,NA,2.413793103448276
85711,Pima County,AZ,NA,NA,44.48275862068966
85739,Pinal County,AZ,NA,NA,26.20689655172414
86004,Coconino County,AZ,8.146639511201629,NA,NA
86323,Yavapai County,AZ,57.63747454175153,NA,NA
86426,Mohave County,AZ,NA,NA,69.3103448275862
71730,Union County,AR,NA,NA,37.24137931034483
72118,Pulaski County,AR,69.85743380855396,NA,NA
72206,Pulaski County,AR,NA,84.49197860962568,NA
72335,St. Francis County,AR,NA,NA,86.20689655172413
72736,Benton County,AR,NA,NA,95.51724137931035
72764,Washington County,AR,41.14052953156823,NA,NA
72801,Pope County,AR,NA,NA,81.37931034482759
72923,Sebastian County,AR,NA,NA,89.3103448275862
72927,Logan County,AR,90.22403258655804,NA,NA
90011,Los Angeles County,CA,NA,NA,47.93103448275862
90019,Los Angeles County,CA,45.21384928716905,NA,NA
90032,Los Angeles County,CA,NA,NA,55.86206896551724
90036,Los Angeles County,CA,NA,NA,34.82758620689655
90247,Los Angeles County,CA,56.61914460285132,NA,NA
90249,Los Angeles County,CA,86.15071283095723,NA,NA
90255,Los Angeles County,CA,30.549898167006113,NA,NA
90275,Los Angeles County,CA,NA,NA,8.620689655172415
90501,Los Angeles County,CA,NA,NA,57.931034482758626
90503,Los Angeles County,CA,54.378818737270876,NA,NA
90505,Los Angeles County,CA,NA,47.05882352941176,NA
90601,Los Angeles County,CA,NA,67.9144385026738,NA
90717,Los Angeles County,CA,97.9633401221996,NA,NA
90720,Orange County,CA,78.61507128309573,NA,NA
90731,Los Angeles County,CA,31.975560081466398,NA,NA
91320,Ventura County,CA,NA,NA,57.58620689655173
91325,Los Angeles County,CA,NA,68.98395721925134,NA
91331,Los Angeles County,CA,NA,NA,37.24137931034483
91340,Los Angeles County,CA,NA,NA,77.24137931034483
91343,Los Angeles County,CA,92.66802443991853,NA,NA
91709,San Bernardino County,CA,NA,NA,48.96551724137931
91710,San Bernardino County,CA,39.5112016293279,NA,NA
91773,Los Angeles County,CA,80.85539714867616,NA,NA
91776,Los Angeles County,CA,89.61303462321793,NA,NA
91911,San Diego County,CA,NA,21.65775401069519,NA
91935,San Diego County,CA,NA,88.23529411764706,NA
91942,San Diego County,CA,NA,NA,28.27586206896552
92020,San Diego County,CA,NA,8.823529411764707,NA
92028,San Diego County,CA,70.06109979633402,NA,51.03448275862069
92065,San Diego County,CA,53.76782077393075,NA,NA
92078,San Diego County,CA,96.74134419551935,NA,NA
92201,Riverside County,CA,25.050916496945007,NA,NA
92223,Riverside County,CA,30.14256619144603,NA,NA
92231,Imperial County,CA,NA,NA,5.172413793103448
92253,Riverside County,CA,49.490835030549896,NA,NA
92335,San Bernardino County,CA,38.289205702647656,NA,NA
92395,San Bernardino County,CA,27.90224032586558,NA,NA
92405,San Bernardino County,CA,49.69450101832994,NA,NA
92627,Orange County,CA,21.9959266802444,NA,NA
92653,Orange County,CA,NA,80.4812834224599,NA
93030,Ventura County,CA,NA,25.668449197860966,NA
93033,Ventura County,CA,12.830957230142568,NA,NA
93035,Ventura County,CA,91.44602851323829,NA,NA
93063,Ventura County,CA,NA,NA,79.65517241379311
93065,Ventura County,CA,NA,NA,20.344827586206897
93274,Tulare County,CA,NA,22.994652406417114,NA
93277,Tulare County,CA,NA,22.459893048128343,NA
93292,Tulare County,CA,45.41751527494908,NA,NA
93444,San Luis Obispo County,CA,66.80244399185335,NA,NA
93610,Madera County,CA,78.00407331975559,NA,NA
93722,Fresno County,CA,10.9979633401222,NA,NA
93728,Fresno County,CA,82.28105906313645,NA,NA
93940,Monterey County,CA,57.841140529531565,NA,NA
94014,San Mateo County,CA,49.89816700610998,NA,NA
94019,San Mateo County,CA,NA,64.171122994652407,NA
94061,San Mateo County,CA,58.248472505091655,NA,NA
94063,San Mateo County,CA,NA,46.79144385026738,NA
94085,Santa Clara County,CA,NA,87.96791443850267,NA
94086,Santa Clara County,CA,67.0061099796334,NA,NA
94110,San Francisco County,CA,46.23217922606925,NA,NA
94403,San Mateo County,CA,92.05702647657841,NA,NA
94501,Alameda County,CA,42.36252545824847,NA,NA
94544,Alameda County,CA,19.34826883910387,14.705882352941178,NA
94546,Alameda County,CA,NA,65.50802139037432,NA
94551,Alameda County,CA,NA,56.68449197860963,NA
94553,Contra Costa County,CA,NA,NA,52.41379310344828
94555,Alameda County,CA,NA,100,NA
94568,Alameda County,CA,59.063136456211815,NA,NA
94577,Alameda County,CA,NA,39.57219251336899,NA
94582,Contra Costa County,CA,74.54175152749491,NA,NA
94590,Solano County,CA,NA,32.887700534759354,NA
94707,Alameda County,CA,NA,NA,80.3448275862069
94804,Contra Costa County,CA,NA,48.39572192513369,NA
94954,Sonoma County,CA,NA,NA,34.13793103448276
95008,Santa Clara County,CA,NA,NA,28.965517241379313
95020,Santa Clara County,CA,72.09775967413442,NA,NA
95037,Santa Clara County,CA,62.52545824847251,NA,NA
95062,Santa Cruz County,CA,NA,75.1336898395722,NA
95112,Santa Clara County,CA,88.39103869653768,NA,NA
95123,Santa Clara County,CA,NA,33.68983957219251,NA
95307,Stanislaus County,CA,33.80855397148676,NA,NA
95338,Mariposa County,CA,NA,71.3903743315508,NA
95376,San Joaquin County,CA,29.531568228105908,NA,NA
95422,Lake County,CA,NA,55.61497326203209,NA
95437,Mendocino County,CA,NA,NA,35.172413793103445
95446,Sonoma County,CA,95.5193482688391,NA,NA
95540,Humboldt County,CA,NA,58.55614973262032,NA
95624,Sacramento County,CA,NA,32.085561497326204,NA
95667,El Dorado County,CA,33.401221995926676,NA,NA
95820,Sacramento County,CA,56.211812627291245,NA,NA
95826,Sacramento County,CA,NA,59.62566844919787,NA
95835,Sacramento County,CA,73.93075356415478,NA,NA
95945,Nevada County,CA,88.18737270875764,NA,NA
96002,Shasta County,CA,97.5560081466395,NA,NA
96150,El Dorado County,CA,NA,94.6524064171123,NA
80013,Arapahoe County,CO,NA,26.737967914438503,NA
80127,Jefferson County,CO,NA,NA,65.51724137931035
80128,Jefferson County,CO,66.19144602851324,NA,76.55172413793103
80220,Denver County,CO,36.456211812627295,NA,NA
80227,Jefferson County,CO,64.35845213849288,NA,NA
80229,Adams County,CO,48.676171079429736,NA,NA
80260,Adams County,CO,51.32382892057027,NA,NA
80401,Jefferson County,CO,39.307535641547865,NA,NA
80504,Boulder County,CO,33.604887983706725,NA,NA
80526,Larimer County,CO,39.71486761710794,70.85561497326202,NA
80528,Larimer County,CO,59.67413441955194,NA,NA
80537,Larimer County,CO,60.28513238289206,NA,NA
80550,Weld County,CO,NA,NA,58.620689655172406
80620,Weld County,CO,48.87983706720978,NA,NA
80631,Weld County,CO,10.386965376782078,31.818181818181817,NA
80903,El Paso County,CO,40.32586558044807,NA,NA
80906,El Paso County,CO,NA,NA,33.44827586206897
80909,El Paso County,CO,25.45824847250509,54.01069518716578,NA
80910,El Paso County,CO,NA,61.229946524064175,NA
80911,El Paso County,CO,46.02851323828921,NA,NA
80915,El Paso County,CO,71.89409368635438,NA,NA
80916,El Paso County,CO,NA,69.5187165775401,NA
80923,El Paso County,CO,NA,NA,82.41379310344827
81120,Conejos County,CO,99.59266802443992,NA,NA
81212,Fremont County,CO,44.602851323828915,NA,NA
81321,Montezuma County,CO,NA,NA,57.931034482758626
81323,Montezuma County,CO,NA,86.89839572192514,NA
81504,Mesa County,CO,31.568228105906314,81.28342245989305,NA
81520,Mesa County,CO,77.80040733197556,NA,NA
81632,Eagle County,CO,NA,NA,95.86206896551724
06002,Hartford County,CT,52.74949083503056,NA,NA
06010,Hartford County,CT,NA,4.81283422459893,1.0344827586206897
06106,Hartford County,CT,6.313645621181263,NA,NA
06260,Windham County,CT,NA,49.465240641711226,NA
06426,Middlesex County,CT,NA,NA,79.3103448275862
06450,New Haven County,CT,7.3319755600814664,NA,NA
06513,New Haven County,CT,5.4989816700611,NA,NA
06704,New Haven County,CT,NA,58.288770053475936,NA
06795,Litchfield County,CT,NA,61.49732620320856,NA
06831,Fairfield County,CT,84.72505091649694,NA,NA
19720,New Castle County,DE,17.922606924643585,NA,NA
19805,New Castle County,DE,35.84521384928717,NA,NA
19962,Kent County,DE,NA,75.93582887700535,NA
19973,Sussex County,DE,NA,NA,16.206896551724135
32043,Clay County,FL,NA,25.40106951871658,NA
32113,Marion County,FL,87.9837067209776,NA,NA
32127,Volusia County,FL,NA,44.11764705882353,NA
32148,Putnam County,FL,NA,72.99465240641712,NA
32208,Duval County,FL,2.0366598778004072,NA,NA
32220,Duval County,FL,NA,57.21925133689839,NA
32233,Duval County,FL,NA,43.58288770053476,NA
32256,Duval County,FL,NA,NA,33.10344827586207
32405,Bay County,FL,27.698574338085542,NA,NA
32425,Holmes County,FL,NA,NA,76.89655172413794
32428,Washington County,FL,NA,55.88235294117647,NA
32446,Jackson County,FL,70.46843177189409,NA,NA
32514,Escambia County,FL,NA,17.11229946524064,NA
32533,Escambia County,FL,NA,NA,33.793103448275865
32561,Santa Rosa County,FL,NA,NA,81.03448275862068
32563,Santa Rosa County,FL,NA,28.07486631016043,NA
32569,Okaloosa County,FL,92.4643584521385,NA,NA
32570,Santa Rosa County,FL,NA,NA,11.03448275862069
32571,Santa Rosa County,FL,14.663951120162933,17.379679144385026,NA
32656,Clay County,FL,NA,NA,66.55172413793103
32724,Volusia County,FL,NA,NA,65.86206896551724
32771,Seminole County,FL,NA,71.92513368983957,NA
32927,Brevard County,FL,NA,50.534759358288774,NA
33016,Miami-Dade County,FL,60.692464358452135,NA,NA
33025,Broward County,FL,NA,57.48663101604278,NA
33055,Miami-Dade County,FL,NA,63.36898395721925,NA
33142,Miami-Dade County,FL,NA,24.06417112299465,NA
33149,Miami-Dade County,FL,NA,95.45454545454545,NA
33301,Broward County,FL,NA,NA,85.86206896551725
33308,Broward County,FL,83.5030549898167,NA,NA
33313,Broward County,FL,NA,NA,49.6551724137931
33322,Broward County,FL,NA,NA,13.10344827586207
33328,Broward County,FL,NA,NA,48.62068965517241
33330,Broward County,FL,NA,NA,96.20689655172414
33410,Palm Beach County,FL,55.397148676171085,NA,NA
33428,Palm Beach County,FL,NA,NA,18.96551724137931
33470,Palm Beach County,FL,71.28309572301426,NA,NA
33543,Pasco County,FL,87.57637474541752,NA,NA
33549,Hillsborough County,FL,NA,NA,90.3448275862069
33578,Hillsborough County,FL,37.270875763747455,NA,NA
33579,Hillsborough County,FL,77.18940936863544,NA,NA
33605,Hillsborough County,FL,61.91446028513238,NA,NA
33707,Pinellas County,FL,NA,NA,66.20689655172414
33805,Polk County,FL,NA,NA,67.24137931034483
33825,Highlands County,FL,NA,18.449197860962567,24.482758620689655
33870,Highlands County,FL,NA,NA,12.068965517241379
33872,Highlands County,FL,NA,NA,24.82758620689655
33952,Charlotte County,FL,NA,38.770053475935825,NA
34120,Collier County,FL,NA,48.93048128342246,88.96551724137932
34431,Marion County,FL,NA,82.88770053475936,NA
34446,Citrus County,FL,NA,NA,41.03448275862069
34471,Marion County,FL,NA,NA,55.172413793103445
34683,Pinellas County,FL,NA,78.87700534759358,NA
34957,Martin County,FL,NA,NA,18.620689655172416
30016,Newton County,GA,NA,59.35828877005348,NA
30066,Cobb County,GA,NA,NA,39.310344827586206
30120,Bartow County,GA,22.19959266802444,NA,NA
30147,Floyd County,GA,NA,95.18716577540107,NA
30161,Floyd County,GA,20.366598778004075,NA,NA
30176,Haralson County,GA,86.9653767820774,NA,NA
30188,Cherokee County,GA,NA,18.983957219251337,NA
30269,Fayette County,GA,75.96741344195519,NA,NA
30291,Fulton County,GA,43.17718940936864,NA,NA
30340,DeKalb County,GA,89.0020366598778,NA,NA
30458,Bulloch County,GA,NA,NA,59.6551724137931
30467,Screven County,GA,NA,65.77540106951871,NA
30507,Hall County,GA,48.26883910386965,NA,NA
30527,Hall County,GA,NA,NA,94.13793103448276
30701,Gordon County,GA,NA,34.49197860962567,NA
30740,Whitfield County,GA,96.13034623217924,NA,NA
30909,Richmond County,GA,NA,NA,27.241379310344826
31036,Pulaski County,GA,NA,76.47058823529412,NA
31313,Liberty County,GA,70.87576374745417,NA,NA
31533,Coffee County,GA,NA,NA,73.44827586206897
31539,Jeff Davis County,GA,74.33808553971487,NA,NA
31701,Dougherty County,GA,50.30549898167006,NA,NA
96720,Hawaii County,HI,NA,NA,36.55172413793103
96734,Honolulu County,HI,NA,13.101604278074866,8.275862068965518
96750,Hawaii County,HI,NA,96.79144385026738,NA
96786,Honolulu County,HI,NA,84.75935828877004,NA
96797,Honolulu County,HI,9.775967413441954,NA,NA
96826,Honolulu County,HI,47.25050916496945,NA,NA
83501,Nez Perce County,ID,15.274949083503056,NA,NA
83805,Boundary County,ID,98.57433808553971,NA,NA
83854,Kootenai County,ID,NA,NA,21.03448275862069
83860,Bonner County,ID,NA,82.35294117647058,NA
60004,Cook County,IL,NA,NA,6.896551724137931
60005,Cook County,IL,NA,73.79679144385027,NA
60007,Cook County,IL,60.08146639511202,55.3475935828877,NA
60013,McHenry County,IL,63.13645621181263,NA,NA
60046,Lake County,IL,NA,NA,51.724137931034484
60047,Lake County,IL,40.52953156822811,26.203208556149733,NA
60060,Lake County,IL,52.342158859470466,NA,NA
60067,Cook County,IL,NA,23.52941176470588,NA
60074,Cook County,IL,NA,41.711229946524064,NA
60103,DuPage County,IL,NA,29.946524064171122,NA
60106,DuPage County,IL,NA,89.3048128342246,NA
60119,Kane County,IL,NA,79.41176470588235,NA
