fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,74.49567723342939
01003,Baldwin County,AL,51.92307692307693,NA
01015,Calhoun County,AL,NA,35.30259365994236
01021,Chilton County,AL,NA,81.12391930835734
01047,Dallas County,AL,NA,72.19020172910663
01055,Etowah County,AL,NA,58.35734870317003
01059,Franklin County,AL,NA,86.59942363112391
01061,Geneva County,AL,NA,82.13256484149855
01073,Jefferson County,AL,13.461538461538462,15.273775216138327
01081,Lee County,AL,NA,48.84726224783862
01089,Madison County,AL,NA,41.930835734870314
01097,Mobile County,AL,NA,31.12391930835735
01101,Montgomery County,AL,46.92307692307692,NA
01103,Morgan County,AL,NA,54.899135446685875
01109,Pike County,AL,NA,97.69452449567724
01117,Shelby County,AL,NA,28.38616714697406
01121,Talladega County,AL,54.230769230769226,NA
01125,Tuscaloosa County,AL,46.15384615384615,14.409221902017292
02020,Anchorage Municipality,AK,36.92307692307693,58.06916426512968
04001,Apache County,AZ,43.84615384615385,46.97406340057637
04005,Coconino County,AZ,36.15384615384615,73.05475504322767
04013,Maricopa County,AZ,5.769230769230769,31.556195965417867
04015,Mohave County,AZ,NA,10.518731988472622
04017,Navajo County,AZ,NA,78.38616714697406
04019,Pima County,AZ,5.384615384615385,38.04034582132565
04027,Yuma County,AZ,NA,20.461095100864554
05031,Craighead County,AR,NA,55.18731988472623
05051,Garland County,AR,NA,48.126801152737755
05089,Marion County,AR,NA,96.82997118155619
05119,Pulaski County,AR,NA,7.492795389048991
05135,Sharp County,AR,NA,95.10086455331412
05145,White County,AR,NA,48.99135446685879
06001,Alameda County,CA,31.538461538461537,25.360230547550433
06007,Butte County,CA,55.38461538461539,46.39769452449568
06013,Contra Costa County,CA,26.153846153846157,8.789625360230549
06017,El Dorado County,CA,NA,64.55331412103746
06019,Fresno County,CA,21.153846153846153,47.982708933717575
06021,Glenn County,CA,NA,86.45533141210375
06029,Kern County,CA,25.384615384615383,NA
06033,Lake County,CA,NA,57.06051873198847
06037,Los Angeles County,CA,6.923076923076923,37.17579250720461
06039,Madera County,CA,NA,48.414985590778095
06045,Mendocino County,CA,NA,76.36887608069163
06047,Merced County,CA,38.07692307692307,NA
06053,Monterey County,CA,NA,51.44092219020173
06055,Napa County,CA,NA,43.371757925072046
06059,Orange County,CA,NA,37.46397694524496
06061,Placer County,CA,NA,66.71469740634006
06065,Riverside County,CA,37.69230769230769,40.345821325648416
06067,Sacramento County,CA,16.538461538461537,16.85878962536023
06071,San Bernardino County,CA,16.923076923076923,47.262247838616716
06073,San Diego County,CA,2.307692307692308,30.25936599423631
06075,San Francisco County,CA,NA,6.9164265129683
06077,San Joaquin County,CA,NA,31.84438040345821
06079,San Luis Obispo County,CA,NA,22.76657060518732
06081,San Mateo County,CA,NA,33.861671469740635
06083,Santa Barbara County,CA,NA,15.706051873198849
06085,Santa Clara County,CA,19.615384615384617,43.51585014409222
06089,Shasta County,CA,NA,38.76080691642652
06097,Sonoma County,CA,65,8.069164265129682
06099,Stanislaus County,CA,NA,19.596541786743515
06101,Sutter County,CA,NA,80.69164265129683
06107,Tulare County,CA,47.30769230769231,50.14409221902017
06109,Tuolumne County,CA,NA,74.06340057636888
06111,Ventura County,CA,NA,12.247838616714697
06113,Yolo County,CA,NA,52.017291066282425
08001,Adams County,CO,42.30769230769231,61.38328530259366
08005,Arapahoe County,CO,NA,15.85014409221902
08007,Archuleta County,CO,NA,94.95677233429394
08013,Boulder County,CO,NA,23.631123919308358
08031,Denver County,CO,21.53846153846154,62.39193083573487
08035,Douglas County,CO,56.92307692307692,NA
08041,El Paso County,CO,NA,60.6628242074928
08055,Huerfano County,CO,NA,98.84726224783861
08059,Jefferson County,CO,NA,40.05763688760807
08069,Larimer County,CO,NA,48.559077809798275
08077,Mesa County,CO,NA,63.25648414985591
08083,Montezuma County,CO,93.46153846153847,85.5907780979827
08101,Pueblo County,CO,NA,27.089337175792505
08123,Weld County,CO,NA,39.048991354466864
09001,Fairfield County,CT,17.307692307692307,13.400576368876079
09003,Hartford County,CT,NA,7.92507204610951
09005,Litchfield County,CT,NA,57.34870317002881
09009,New Haven County,CT,NA,36.455331412103746
09013,Tolland County,CT,62.69230769230769,31.988472622478387
09015,Windham County,CT,NA,58.789625360230545
10001,Kent County,DE,NA,20.172910662824208
10003,New Castle County,DE,35.76923076923077,10.086455331412104
10005,Sussex County,DE,43.07692307692308,5.763688760806916
11001,District of Columbia,DC,22.30769230769231,21.32564841498559
12003,Baker County,FL,90,90.05763688760807
12005,Bay County,FL,NA,21.181556195965417
12009,Brevard County,FL,NA,10.230547550432277
12011,Broward County,FL,NA,36.31123919308357
12015,Charlotte County,FL,59.23076923076923,47.83861671469741
12017,Citrus County,FL,NA,29.394812680115272
12021,Collier County,FL,NA,54.03458213256484
12031,Duval County,FL,27.692307692307693,2.4495677233429394
12033,Escambia County,FL,NA,3.602305475504323
12035,Flagler County,FL,NA,67.72334293948127
12053,Hernando County,FL,NA,51.72910662824207
12057,Hillsborough County,FL,NA,24.639769452449567
12061,Indian River County,FL,NA,21.613832853025936
12063,Jackson County,FL,NA,71.3256484149856
12069,Lake County,FL,45,5.187319884726225
12071,Lee County,FL,22.692307692307693,0.57636887608069165
12081,Manatee County,FL,NA,8.501440922190202
12086,Miami-Dade County,FL,9.230769230769232,26.801152737752158
12091,Okaloosa County,FL,NA,20.893371757925074
12095,Orange County,FL,7.6923076923076925,4.46685878962536
12099,Palm Beach County,FL,31.92307692307692,29.971181556195965
12101,Pasco County,FL,33.46153846153846,NA
12103,Pinellas County,FL,40.38461538461539,27.953890489913547
12105,Polk County,FL,NA,42.363112391930834
12107,Putnam County,FL,NA,51.5850144092219
12111,St. Lucie County,FL,NA,29.53890489913545
12115,Sarasota County,FL,NA,36.74351585014409
12125,Union County,FL,NA,98.12680115273776
12127,Volusia County,FL,NA,67.14697406340058
13011,Banks County,GA,NA,99.56772334293949
13013,Barrow County,GA,NA,59.798270893371765
13017,Ben Hill County,GA,93.84615384615384,NA
13021,Bibb County,GA,NA,59.51008645533141
13045,Carroll County,GA,NA,68.58789625360231
13047,Catoosa County,GA,NA,69.88472622478386
13051,Chatham County,GA,NA,49.279538904899134
