fips,county,state,Under18,Over18
01003,Baldwin County,AL,NA,45.33333333333333
01013,Butler County,AL,94.30051813471503,NA
01015,Calhoun County,AL,NA,57.666666666666664
01029,Cleburne County,AL,NA,96.66666666666667
01033,Colbert County,AL,NA,79
01043,Cullman County,AL,73.83419689119171,75.66666666666667
01047,Dallas County,AL,80.82901554404145,NA
01051,Elmore County,AL,69.43005181347151,NA
01069,Houston County,AL,NA,62.66666666666667
01073,Jefferson County,AL,22.020725388601036,8.666666666666668
01077,Lauderdale County,AL,76.94300518134715,NA
01081,Lee County,AL,66.06217616580311,NA
01089,Madison County,AL,27.461139896373055,NA
01097,Mobile County,AL,21.243523316062177,NA
01101,Montgomery County,AL,NA,48.66666666666667
01103,Morgan County,AL,45.33678756476684,53
01117,Shelby County,AL,72.279792746114,NA
02020,Anchorage Municipality,AK,26.94300518134715,NA
04003,Cochise County,AZ,53.626943005181346,NA
04013,Maricopa County,AZ,21.761658031088082,24
04017,Navajo County,AZ,NA,61.33333333333333
04019,Pima County,AZ,1.8134715025906734,29.666666666666668
04021,Pinal County,AZ,41.968911917098445,73.33333333333333
04027,Yuma County,AZ,41.70984455958549,NA
05045,Faulkner County,AR,NA,72.66666666666667
05093,Mississippi County,AR,NA,90.33333333333333
06001,Alameda County,CA,5.181347150259067,NA
06007,Butte County,CA,31.088082901554404,64.66666666666666
06013,Contra Costa County,CA,13.730569948186528,11.666666666666666
06017,El Dorado County,CA,68.9119170984456,NA
06019,Fresno County,CA,8.031088082901555,NA
06029,Kern County,CA,12.694300518134716,24.333333333333336
06037,Los Angeles County,CA,19.170984455958546,17.333333333333336
06039,Madera County,CA,NA,67.33333333333333
06047,Merced County,CA,NA,56.333333333333336
06059,Orange County,CA,26.683937823834196,18.333333333333332
06061,Placer County,CA,NA,41
06065,Riverside County,CA,2.33160621761658,27.666666666666668
06067,Sacramento County,CA,NA,20.333333333333332
06071,San Bernardino County,CA,6.217616580310881,2.3333333333333335
06073,San Diego County,CA,37.30569948186528,30.333333333333336
06075,San Francisco County,CA,43.26424870466321,9.666666666666666
06077,San Joaquin County,CA,NA,20
