ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35010,Tallapoosa County,AL,NA,NA,36.8632707774799,NA,NA
35016,Marshall County,AL,NA,NA,56.03217158176944,NA,NA
35031,Blount County,AL,NA,NA,77.68096514745308,NA,NA
35040,Shelby County,AL,NA,NA,52.68096514745309,NA,NA
35062,Jefferson County,AL,NA,NA,87.06434316353887,NA,NA
35072,Coosa County,AL,NA,NA,NA,85.55194805194806,NA
35080,Shelby County,AL,NA,NA,62.73458445040214,NA,NA
35096,Talladega County,AL,NA,NA,91.01876675603218,NA,NA
35124,Shelby County,AL,NA,NA,69.43699731903486,NA,NA
35126,Jefferson County,AL,NA,NA,NA,53.40909090909091,NA
35151,Talladega County,AL,NA,NA,91.75603217158177,NA,NA
35179,Cullman County,AL,NA,NA,89.00804289544236,NA,NA
35209,Jefferson County,AL,NA,NA,81.09919571045576,NA,NA
35211,Jefferson County,AL,NA,NA,16.890080428954423,26.785714285714285,NA
35215,Jefferson County,AL,NA,NA,9.85254691689008,NA,NA
35243,Jefferson County,AL,NA,NA,84.58445040214477,NA,NA
35453,Tuscaloosa County,AL,NA,NA,58.31099195710456,75.48701298701299,NA
35504,Walker County,AL,NA,NA,NA,NA,65.54621848739495
35549,Walker County,AL,NA,NA,NA,97.07792207792207,NA
35565,Winston County,AL,NA,NA,NA,NA,71.42857142857143
35601,Morgan County,AL,NA,NA,14.745308310991955,NA,NA
35613,Limestone County,AL,NA,NA,NA,50.649350649350644,NA
35622,Morgan County,AL,76.73267326732673,NA,NA,NA,NA
35640,Morgan County,AL,NA,NA,71.58176943699732,NA,NA
35653,Franklin County,AL,NA,NA,81.83646112600536,NA,NA
35660,Colbert County,AL,NA,NA,73.86058981233245,NA,NA
35749,Madison County,AL,57.17821782178218,NA,NA,NA,NA
35759,Madison County,AL,NA,NA,NA,92.6948051948052,NA
35769,Jackson County,AL,NA,NA,NA,NA,79.32773109243698
35901,Etowah County,AL,44.554455445544555,NA,NA,NA,NA
35903,Etowah County,AL,NA,NA,NA,32.3051948051948,NA
35952,Etowah County,AL,NA,NA,89.343163538874,NA,NA
36049,Crenshaw County,AL,NA,NA,94.90616621983914,NA,NA
36066,Autauga County,AL,NA,NA,56.30026809651475,NA,NA
36067,Autauga County,AL,NA,NA,36.662198391420915,50.16233766233766,NA
