ZipCode,county,state,Adult,Retirement,Geriatric
35120,St. Clair County,AL,NA,82.18623481781377,NA
35126,Jefferson County,AL,NA,59.10931174089069,NA
35603,Morgan County,AL,27.485380116959064,NA,NA
36108,Montgomery County,AL,NA,NA,61.88118811881188
36867,Russell County,AL,NA,80.5668016194332,NA
99508,Anchorage Municipality,AK,NA,78.13765182186235,NA
99516,Anchorage Municipality,AK,91.81286549707602,NA,NA
85283,Maricopa County,AZ,29.239766081871345,NA,NA
85629,Pima County,AZ,NA,67.61133603238866,NA
85634,Pima County,AZ,NA,85.4251012145749,NA
72223,Pulaski County,AR,NA,99.59514170040485,NA
72454,Clay County,AR,93.56725146198829,NA,NA
90025,Los Angeles County,CA,66.66666666666666,NA,NA
90255,Los Angeles County,CA,69.5906432748538,NA,NA
90720,Orange County,CA,NA,87.85425101214574,NA
90808,Los Angeles County,CA,NA,51.821862348178136,NA
91203,Los Angeles County,CA,NA,NA,92.57425742574257
91207,Los Angeles County,CA,NA,87.4493927125506,NA
91302,Los Angeles County,CA,84.21052631578947,NA,NA
91344,Los Angeles County,CA,NA,33.603238866396765,NA
91351,Los Angeles County,CA,NA,81.37651821862349,NA
92020,San Diego County,CA,NA,11.336032388663968,NA
92103,San Diego County,CA,NA,57.48987854251012,43.56435643564357
92109,San Diego County,CA,73.09941520467837,NA,NA
92240,Riverside County,CA,NA,NA,97.02970297029702
92270,Riverside County,CA,NA,NA,4.455445544554455
92371,San Bernardino County,CA,NA,95.1417004048583,NA
92405,San Bernardino County,CA,78.94736842105263,NA,NA
92708,Orange County,CA,NA,NA,28.71287128712871
93060,Ventura County,CA,45.614035087719294,NA,NA
94022,Santa Clara County,CA,NA,NA,62.87128712871287
94066,San Mateo County,CA,56.72514619883041,NA,20.2970297029703
94102,San Francisco County,CA,NA,9.31174089068826,NA
94107,San Francisco County,CA,NA,NA,48.01980198019802
94117,San Francisco County,CA,NA,53.036437246963565,NA
94118,San Francisco County,CA,NA,NA,54.95049504950495
94134,San Francisco County,CA,50.29239766081871,NA,NA
94303,San Mateo County,CA,85.38011695906432,NA,NA
94533,Solano County,CA,NA,34.0080971659919,NA
94920,Marin County,CA,NA,NA,86.13861386138613
95240,San Joaquin County,CA,NA,NA,48.51485148514851
95437,Mendocino County,CA,NA,NA,34.65346534653465
95603,Placer County,CA,NA,56.2753036437247,NA
95608,Sacramento County,CA,NA,26.31578947368421,NA
95610,Sacramento County,CA,NA,54.25101214574899,NA
95658,Placer County,CA,NA,NA,86.63366336633663
95831,Sacramento County,CA,NA,59.91902834008097,NA
95833,Sacramento County,CA,NA,68.82591093117408,NA
95842,Sacramento County,CA,NA,79.75708502024291,NA
96001,Shasta County,CA,NA,NA,71.78217821782178
80004,Jefferson County,CO,66.08187134502924,NA,NA
80108,Douglas County,CO,59.06432748538012,NA,NA
80121,Arapahoe County,CO,NA,NA,49.504950495049506
80202,Denver County,CO,NA,93.52226720647774,NA
80222,Denver County,CO,NA,NA,77.72277227722772
80231,Denver County,CO,NA,68.0161943319838,NA
80516,Weld County,CO,NA,88.25910931174089,NA
80829,El Paso County,CO,NA,NA,95.54455445544554
80904,El Paso County,CO,NA,NA,56.930693069306926
06437,New Haven County,CT,NA,32.388663967611336,NA
06516,New Haven County,CT,NA,6.477732793522267,NA
06759,Litchfield County,CT,NA,89.87854251012146,NA
19804,New Castle County,DE,39.76608187134503,NA,NA
32068,Clay County,FL,21.052631578947366,NA,NA
32177,Putnam County,FL,NA,66.39676113360325,NA
32209,Duval County,FL,NA,57.08502024291497,NA
32583,Santa Rosa County,FL,NA,30.364372469635626,NA
33016,Miami-Dade County,FL,NA,NA,30.198019801980198
33027,Broward County,FL,NA,47.368421052631575,NA
33162,Miami-Dade County,FL,NA,69.23076923076923,NA
33437,Palm Beach County,FL,NA,NA,1.9801980198019802
33763,Pinellas County,FL,NA,NA,42.57425742574257
34119,Collier County,FL,NA,35.62753036437247,NA
34203,Manatee County,FL,NA,27.93522267206478,NA
34239,Sarasota County,FL,81.87134502923976,NA,NA
34601,Hernando County,FL,NA,NA,44.05940594059406
34652,Pasco County,FL,NA,62.75303643724697,NA
34951,St. Lucie County,FL,NA,NA,53.960396039603964
34952,St. Lucie County,FL,NA,NA,14.85148514851485
34957,Martin County,FL,NA,NA,24.257425742574256
34986,St. Lucie County,FL,NA,NA,15.346534653465346
34997,Martin County,FL,NA,NA,9.900990099009901
30311,Fulton County,GA,25.730994152046783,NA,NA
30312,Fulton County,GA,NA,61.943319838056674,NA
30318,Fulton County,GA,40.35087719298245,NA,NA
30813,Columbia County,GA,NA,NA,58.415841584158414
31907,Muscogee County,GA,NA,31.17408906882591,NA
31909,Muscogee County,GA,NA,36.43724696356275,NA
39823,Early County,GA,85.96491228070175,NA,NA
96712,Honolulu County,HI,NA,NA,100
96821,Honolulu County,HI,NA,NA,22.772277227722775
83616,Ada County,ID,NA,NA,21.782178217821784
83634,Ada County,ID,NA,NA,58.91089108910891
83638,Valley County,ID,NA,NA,83.66336633663366
83642,Ada County,ID,28.654970760233915,NA,55.44554455445545
83646,Ada County,ID,76.0233918128655,NA,NA
83686,Canyon County,ID,15.204678362573098,NA,7.920792079207921
83687,Canyon County,ID,33.33333333333333,94.33198380566802,NA
83705,Ada County,ID,67.83625730994152,NA,NA
83709,Ada County,ID,NA,38.05668016194332,NA
60022,Cook County,IL,NA,NA,65.84158415841584
60025,Cook County,IL,77.77777777777779,39.27125506072874,NA
60026,Cook County,IL,NA,NA,31.683168316831683
60035,Lake County,IL,NA,20.647773279352226,38.613861386138616
60045,Lake County,IL,NA,NA,45.54455445544555
60062,Cook County,IL,NA,NA,13.861386138613863
60103,DuPage County,IL,NA,NA,82.67326732673267
60442,Will County,IL,NA,85.82995951417004,NA
60458,Cook County,IL,NA,73.68421052631578,NA
60526,Cook County,IL,NA,80.16194331983806,NA
60617,Cook County,IL,NA,25.506072874493928,NA
60619,Cook County,IL,14.035087719298245,NA,NA
60624,Cook County,IL,NA,34.81781376518219,NA
60631,Cook County,IL,NA,56.68016194331984,NA
60637,Cook County,IL,NA,19.02834008097166,NA
60651,Cook County,IL,15.789473684210526,46.963562753036435,NA
60655,Cook County,IL,NA,42.10526315789473,NA
60657,Cook County,IL,63.1578947368421,NA,NA
61021,Lee County,IL,42.69005847953216,NA,NA
61073,Winnebago County,IL,NA,49.392712550607285,NA
61081,Whiteside County,IL,NA,NA,6.9306930693069315
61102,Winnebago County,IL,NA,NA,69.80198019801979
61354,LaSalle County,IL,82.45614035087719,NA,NA
61604,Peoria County,IL,NA,NA,23.26732673267327
61704,McLean County,IL,49.707602339181285,NA,NA
61802,Champaign County,IL,70.17543859649122,NA,64.85148514851485
61856,Piatt County,IL,NA,59.51417004048582,NA
62033,Macoupin County,IL,NA,NA,93.06930693069307
62236,Monroe County,IL,NA,96.76113360323887,NA
62305,Adams County,IL,94.15204678362574,66.80161943319838,NA
46074,Hamilton County,IN,70.76023391812866,NA,NA
46123,Hendricks County,IN,NA,52.226720647773284,NA
46205,Marion County,IN,46.198830409356724,NA,NA
46208,Marion County,IN,NA,90.2834008097166,NA
46224,Marion County,IN,NA,NA,39.10891089108911
46407,Lake County,IN,NA,79.35222672064778,NA
46901,Howard County,IN,5.263157894736842,NA,NA
47031,Ripley County,IN,NA,92.71255060728745,NA
47201,Bartholomew County,IN,19.883040935672515,NA,NA
47374,Wayne County,IN,9.35672514619883,NA,NA
50022,Cass County,IA,NA,97.97570850202429,NA
50310,Polk County,IA,NA,90.68825910931174,NA
50313,Polk County,IA,NA,89.06882591093117,NA
50314,Polk County,IA,NA,NA,81.1881188118812
50401,Cerro Gordo County,IA,NA,NA,3.9603960396039604
50501,Webster County,IA,36.25730994152047,NA,NA
51334,Emmet County,IA,NA,NA,78.21782178217822
52240,Johnson County,IA,32.748538011695906,NA,NA
52577,Mahaska County,IA,NA,NA,27.22772277227723
52601,Des Moines County,IA,22.22222222222222,NA,NA
66002,Atchison County,KS,79.53216374269006,NA,NA
66701,Bourbon County,KS,NA,71.25506072874494,NA
40069,Washington County,KY,NA,NA,91.58415841584159
40215,Jefferson County,KY,NA,53.441295546558706,NA
40299,Jefferson County,KY,NA,29.1497975708502,NA
40360,Bath County,KY,NA,NA,80.19801980198021
40380,Powell County,KY,NA,81.78137651821862,NA
70084,St. John the Baptist Parish,LA,NA,NA,81.68316831683168
70117,Orleans Parish,LA,NA,NA,84.65346534653465
70122,Orleans Parish,LA,35.67251461988304,NA,NA
70126,Orleans Parish,LA,13.450292397660817,NA,NA
70427,Washington Parish,LA,NA,29.959514170040485,NA
71109,Caddo Parish,LA,NA,NA,37.62376237623762
71202,Ouachita Parish,LA,9.941520467836257,NA,NA
04005,York County,ME,NA,8.097165991902834,NA
04009,Cumberland County,ME,NA,92.3076923076923,NA
04062,Cumberland County,ME,64.91228070175438,NA,NA
04072,York County,ME,51.461988304093566,NA,NA
04083,York County,ME,83.62573099415205,NA,NA
04276,Oxford County,ME,NA,NA,70.29702970297029
04345,Kennebec County,ME,NA,NA,65.34653465346535
04444,Penobscot County,ME,NA,72.46963562753037,NA
04468,Penobscot County,ME,88.88888888888889,NA,NA
04730,Aroostook County,ME,NA,NA,35.148514851485146
04841,Knox County,ME,99.41520467836257,NA,NA
04843,Knox County,ME,NA,97.16599190283401,NA
04849,Waldo County,ME,NA,NA,90.0990099009901
04901,Kennebec County,ME,NA,6.0728744939271255,34.15841584158416
04967,Somerset County,ME,NA,NA,97.52475247524752
20723,Howard County,MD,83.04093567251462,NA,NA
21061,Anne Arundel County,MD,17.543859649122805,NA,NA
21114,Anne Arundel County,MD,86.54970760233918,NA,NA
21212,Baltimore city,MD,NA,NA,36.633663366336634
21213,Baltimore city,MD,30.409356725146196,NA,NA
21234,Baltimore County,MD,26.900584795321635,NA,NA
21617,Queen Anne's County,MD,NA,93.52226720647774,NA
21750,Washington County,MD,98.83040935672514,NA,NA
01069,Hampden County,MA,NA,NA,63.86138613861386
01109,Hampden County,MA,NA,12.955465587044534,NA
01540,Worcester County,MA,NA,91.49797570850203,NA
01605,Worcester County,MA,NA,2.0242914979757085,NA
01720,Middlesex County,MA,NA,42.51012145748988,NA
01801,Middlesex County,MA,NA,NA,62.37623762376238
01803,Middlesex County,MA,NA,NA,38.11881188118812
01880,Middlesex County,MA,NA,NA,44.554455445544555
01906,Essex County,MA,NA,13.765182186234817,NA
01915,Essex County,MA,4.093567251461988,NA,3.4653465346534658
01923,Essex County,MA,7.602339181286549,NA,NA
01938,Essex County,MA,NA,23.076923076923077,NA
