ZipCode,county,state,Youth
36526,Baldwin County,AL,40.35087719298245
36532,Baldwin County,AL,40.93567251461988
36545,Clarke County,AL,88.88888888888889
85040,Maricopa County,AZ,63.74269005847953
85202,Maricopa County,AZ,35.67251461988304
85335,Maricopa County,AZ,79.53216374269006
72211,Pulaski County,AR,64.91228070175438
90250,Los Angeles County,CA,21.637426900584796
91306,Los Angeles County,CA,57.30994152046783
91737,San Bernardino County,CA,91.81286549707602
92069,San Diego County,CA,49.122807017543856
92508,Riverside County,CA,87.71929824561403
92704,Orange County,CA,29.82456140350877
94061,San Mateo County,CA,70.76023391812866
94555,Alameda County,CA,90.05847953216374
81008,Pueblo County,CO,85.38011695906432
06096,Hartford County,CT,93.56725146198829
06810,Fairfield County,CT,19.298245614035086
19805,New Castle County,DE,7.017543859649122
32839,Orange County,FL,14.619883040935672
33025,Broward County,FL,22.807017543859647
33193,Miami-Dade County,FL,60.23391812865497
33612,Hillsborough County,FL,14.035087719298245
30241,Troup County,GA,28.07017543859649
30442,Jenkins County,GA,97.07602339181285
30705,Murray County,GA,30.994152046783626
30740,Whitfield County,GA,97.07602339181285
30909,Richmond County,GA,44.44444444444444
31036,Pulaski County,GA,80.7017543859649
31513,Appling County,GA,82.45614035087719
31909,Muscogee County,GA,54.97076023391813
83686,Canyon County,ID,43.859649122807014
60189,DuPage County,IL,33.91812865497076
60611,Cook County,IL,98.24561403508771
60628,Cook County,IL,18.71345029239766
60638,Cook County,IL,16.374269005847953
46226,Marion County,IN,16.95906432748538
46268,Marion County,IN,77.77777777777779
46574,St. Joseph County,IN,91.22807017543859
51104,Woodbury County,IA,71.9298245614035
52310,Jones County,IA,89.47368421052632
52761,Muscatine County,IA,62.57309941520468
67550,Pawnee County,KS,78.3625730994152
40212,Jefferson County,KY,23.976608187134502
40351,Rowan County,KY,50.877192982456144
41042,Boone County,KY,12.280701754385964
42519,Pulaski County,KY,100
42553,Pulaski County,KY,91.81286549707602
70053,Jefferson Parish,LA,66.66666666666666
70764,Iberville Parish,LA,76.60818713450293
71270,Lincoln Parish,LA,90.64327485380117
04268,Oxford County,ME,83.62573099415205
02129,Suffolk County,MA,69.5906432748538
49120,Berrien County,MI,13.450292397660817
49829,Delta County,MI,52.63157894736842
55121,Dakota County,MN,99.41520467836257
55318,Carver County,MN,24.561403508771928
55411,Hennepin County,MN,1.1695906432748537
55803,St. Louis County,MN,81.87134502923976
56621,Clearwater County,MN,71.34502923976608
39204,Hinds County,MS,32.748538011695906
39212,Hinds County,MS,35.67251461988304
39601,Lincoln County,MS,55.55555555555556
63125,St. Louis County,MO,63.74269005847953
63129,St. Louis County,MO,61.98830409356725
63133,St. Louis County,MO,80.11695906432749
63304,St. Charles County,MO,50.29239766081871
63385,St. Charles County,MO,15.204678362573098
63645,Madison County,MO,75.43859649122807
64015,Jackson County,MO,35.08771929824561
64850,Newton County,MO,43.27485380116959
65775,Howell County,MO,38.01169590643275
65802,Greene County,MO,18.128654970760234
68108,Douglas County,NE,59.06432748538012
89128,Clark County,NV,51.461988304093566
89512,Washoe County,NV,56.14035087719298
03290,Rockingham County,NH,96.49122807017544
07920,Somerset County,NJ,94.73684210526315
08360,Cumberland County,NJ,69.00584795321637
08534,Mercer County,NJ,86.54970760233918
10034,New York County,NY,30.994152046783626
10451,Bronx County,NY,27.485380116959064
10461,Bronx County,NY,23.391812865497073
10940,Orange County,NY,70.17543859649122
11103,Queens County,NY,84.21052631578947
11221,Kings County,NY,6.432748538011696
11385,Queens County,NY,9.941520467836257
12020,Saratoga County,NY,36.84210526315789
