fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,86.00252206809584
01003,Baldwin County,AL,52.7292576419214,19.987389659520808
01005,Barbour County,AL,NA,85.62421185372006
01007,Bibb County,AL,89.73799126637554,80.89533417402271
01009,Blount County,AL,NA,14.50189155107188
01013,Butler County,AL,NA,63.61916771752837
01015,Calhoun County,AL,11.462882096069869,5.359394703656998
01017,Chambers County,AL,74.45414847161572,NA
01019,Cherokee County,AL,NA,87.45271122320302
01021,Chilton County,AL,NA,71.62673392181588
01025,Clarke County,AL,NA,59.079445145018916
01031,Coffee County,AL,87.66375545851528,64.8171500630517
01033,Colbert County,AL,76.7467248908297,NA
01035,Conecuh County,AL,NA,92.3076923076923
01039,Covington County,AL,59.1703056768559,47.540983606557376
01043,Cullman County,AL,NA,27.616645649432535
01047,Dallas County,AL,79.36681222707423,12.295081967213115
01049,DeKalb County,AL,76.2008733624454,48.29760403530896
01051,Elmore County,AL,61.135371179039296,3.4047919293820934
01053,Escambia County,AL,56.222707423580786,16.26733921815889
01055,Etowah County,AL,NA,4.918032786885246
01057,Fayette County,AL,79.91266375545851,81.14754098360656
01059,Franklin County,AL,NA,40.22698612862548
01061,Geneva County,AL,NA,87.38965952080706
01065,Hale County,AL,NA,84.61538461538461
01067,Henry County,AL,NA,93.44262295081968
01069,Houston County,AL,20.41484716157205,75.85119798234552
01071,Jackson County,AL,NA,25.346784363177804
01073,Jefferson County,AL,43.5589519650655,17.33921815889029
01075,Lamar County,AL,68.88646288209607,NA
01079,Lawrence County,AL,NA,27.238335435056747
01081,Lee County,AL,56.55021834061136,13.114754098360656
01083,Limestone County,AL,41.5938864628821,15.069356872635561
01089,Madison County,AL,24.67248908296943,12.673392181588902
01093,Marion County,AL,NA,21.563682219419924
01095,Marshall County,AL,NA,48.61286254728878
01097,Mobile County,AL,17.79475982532751,36.885245901639344
01099,Monroe County,AL,NA,83.35435056746532
01101,Montgomery County,AL,70.3056768558952,68.41109709962168
01103,Morgan County,AL,8.73362445414847,63.17780580075662
01107,Pickens County,AL,NA,74.4640605296343
01113,Russell County,AL,79.25764192139738,55.73770491803278
01115,St. Clair County,AL,NA,80.20176544766709
01117,Shelby County,AL,35.262008733624455,0.31525851197982346
01121,Talladega County,AL,NA,33.22824716267339
01123,Tallapoosa County,AL,71.2882096069869,58.51197982345523
01125,Tuscaloosa County,AL,50.21834061135371,42.74905422446406
01127,Walker County,AL,81.87772925764192,3.783102143757881
02020,Anchorage Municipality,AK,NA,28.310214375788146
02070,Dillingham Census Area,AK,98.14410480349345,NA
02090,Fairbanks North Star Borough,AK,41.48471615720524,81.46279949558638
02110,Juneau City and Borough,AK,NA,97.47793190416141
02122,Kenai Peninsula Borough,AK,62.55458515283843,82.40857503152586
02130,Ketchikan Gateway Borough,AK,NA,55.10718789407314
02150,Kodiak Island Borough,AK,88.42794759825327,NA
02170,Matanuska-Susitna Borough,AK,34.49781659388647,19.48297604035309
