ZipCode,county,state,Youth,Pediatric,Adult,Retirement
35005,Jefferson County,AL,NA,NA,NA,90.8695652173913
35045,Chilton County,AL,61.45662847790507,NA,NA,NA
35055,Cullman County,AL,80.6873977086743,NA,NA,NA
35096,Talladega County,AL,70.949263502455,NA,NA,NA
35111,Tuscaloosa County,AL,NA,NA,NA,39.130434782608695
35116,Jefferson County,AL,98.69067103109657,NA,NA,NA
35160,Talladega County,AL,NA,36.56957928802589,NA,NA
35215,Jefferson County,AL,NA,NA,11.162079510703364,NA
35216,Jefferson County,AL,41.65302782324059,NA,NA,NA
35226,Jefferson County,AL,61.45662847790507,NA,NA,NA
35228,Jefferson County,AL,81.58756137479541,NA,NA,NA
35244,Jefferson County,AL,NA,NA,56.116207951070344,NA
35401,Tuscaloosa County,AL,NA,62.13592233009708,NA,NA
35404,Tuscaloosa County,AL,72.25859247135843,NA,NA,NA
35405,Tuscaloosa County,AL,15.302782324058919,NA,NA,NA
35462,Greene County,AL,51.96399345335515,NA,NA,NA
35504,Walker County,AL,62.35679214402619,NA,NA,NA
35601,Morgan County,AL,20.78559738134206,24.59546925566343,NA,NA
35603,Morgan County,AL,NA,NA,NA,40.43478260869565
35622,Morgan County,AL,NA,94.49838187702265,NA,NA
35640,Morgan County,AL,25.613747954173487,NA,NA,NA
35653,Franklin County,AL,74.54991816693945,NA,NA,NA
35672,Lawrence County,AL,NA,NA,79.81651376146789,NA
35740,Jackson County,AL,NA,NA,100,NA
35816,Madison County,AL,NA,NA,74.31192660550458,NA
35904,Etowah County,AL,92.38952536824877,NA,NA,NA
35907,Etowah County,AL,80.52373158756137,NA,NA,NA
35950,Marshall County,AL,69.80360065466449,NA,NA,NA
35971,DeKalb County,AL,99.91816693944354,NA,NA,NA
36016,Barbour County,AL,NA,93.85113268608414,NA,NA
36033,Butler County,AL,87.2340425531915,NA,NA,NA
36037,Butler County,AL,NA,NA,63.455657492354746,NA
36066,Autauga County,AL,76.2684124386252,NA,NA,NA
36067,Autauga County,AL,25.613747954173487,NA,NA,58.69565217391305
36078,Elmore County,AL,NA,NA,NA,83.91304347826087
36107,Montgomery County,AL,96.9721767594108,NA,NA,NA
36116,Montgomery County,AL,55.810147299509005,NA,NA,NA
36203,Calhoun County,AL,53.0278232405892,NA,NA,NA
36207,Calhoun County,AL,84.20621931260229,NA,NA,NA
36271,Calhoun County,AL,NA,NA,91.13149847094802,NA
36274,Randolph County,AL,NA,NA,82.56880733944955,NA
36301,Houston County,AL,62.19312602291326,NA,NA,NA
