ZipCode,county,state,Youth
35045,Chilton County,AL,66.5137614678899
35207,Jefferson County,AL,83.4862385321101
35953,St. Clair County,AL,90.82568807339449
99712,Fairbanks North Star Borough,AK,83.02752293577981
85015,Maricopa County,AZ,24.31192660550459
85716,Pima County,AZ,44.95412844036697
72450,Greene County,AR,33.02752293577982
90022,Los Angeles County,CA,70.18348623853211
90023,Los Angeles County,CA,53.669724770642205
90025,Los Angeles County,CA,87.1559633027523
92025,San Diego County,CA,54.58715596330275
92833,Orange County,CA,61.46788990825688
93035,Ventura County,CA,75.22935779816514
93458,Santa Barbara County,CA,19.26605504587156
93610,Madera County,CA,55.96330275229357
93646,Fresno County,CA,87.61467889908256
93654,Fresno County,CA,43.57798165137615
95215,San Joaquin County,CA,85.3211009174312
95341,Merced County,CA,28.440366972477065
95356,Stanislaus County,CA,52.293577981651374
80015,Arapahoe County,CO,9.63302752293578
80465,Jefferson County,CO,92.20183486238533
80907,El Paso County,CO,60.550458715596335
80924,El Paso County,CO,94.03669724770643
06119,Hartford County,CT,86.23853211009175
06451,New Haven County,CT,33.94495412844037
06513,New Haven County,CT,22.93577981651376
06810,Fairfield County,CT,22.93577981651376
06831,Fairfield County,CT,88.53211009174312
32210,Duval County,FL,0.9174311926605505
32608,Alachua County,FL,6.422018348623854
32750,Seminole County,FL,93.11926605504587
33024,Broward County,FL,35.77981651376147
33173,Miami-Dade County,FL,79.81651376146789
33619,Hillsborough County,FL,40.825688073394495
30135,Douglas County,GA,15.59633027522936
30157,Paulding County,GA,24.770642201834864
30296,Clayton County,GA,39.908256880733944
30474,Toombs County,GA,78.44036697247707
30528,White County,GA,66.97247706422019
30728,Walker County,GA,61.92660550458715
31545,Wayne County,GA,51.37614678899083
60074,Cook County,IL,66.05504587155964
60411,Cook County,IL,60.09174311926605
60462,Cook County,IL,22.018348623853214
60563,DuPage County,IL,50
60638,Cook County,IL,20.18348623853211
60639,Cook County,IL,9.174311926605505
61944,Edgar County,IL,76.60550458715596
46224,Marion County,IN,28.899082568807337
46360,LaPorte County,IN,18.807339449541285
46774,Allen County,IN,27.522935779816514
47150,Floyd County,IN,21.55963302752294
47203,Bartholomew County,IN,52.752293577981646
50111,Polk County,IA,82.56880733944955
40360,Bath County,KY,77.98165137614679
41016,Kenton County,KY,91.74311926605505
41164,Carter County,KY,49.08256880733945
70094,Jefferson Parish,LA,5.5045871559633035
70118,Orleans Parish,LA,31.19266055045872
70119,Orleans Parish,LA,10.550458715596331
70535,St. Landry Parish,LA,22.477064220183486
70559,Acadia Parish,LA,99.54128440366972
71232,Richland Parish,LA,76.14678899082568
21074,Carroll County,MD,88.07339449541286
01108,Hampden County,MA,0
02140,Middlesex County,MA,71.55963302752293
02302,Plymouth County,MA,25.229357798165136
02330,Plymouth County,MA,96.3302752293578
02769,Bristol County,MA,72.01834862385321
02770,Plymouth County,MA,97.24770642201835
48127,Wayne County,MI,56.88073394495413
48180,Wayne County,MI,1.3761467889908259
48192,Wayne County,MI,62.84403669724771
48202,Wayne County,MI,56.42201834862385
48616,Saginaw County,MI,83.4862385321101
48858,Isabella County,MI,14.678899082568808
49508,Kent County,MI,3.211009174311927
49945,Houghton County,MI,100
55404,Hennepin County,MN,8.256880733944955
55407,Hennepin County,MN,54.12844036697248
55744,Itasca County,MN,47.706422018348626
56201,Kandiyohi County,MN,49.54128440366973
56470,Hubbard County,MN,61.00917431192661
56501,Becker County,MN,69.26605504587155
39040,Yazoo County,MS,98.1651376146789
39090,Attala County,MS,81.19266055045871
39350,Neshoba County,MS,17.889908256880734
39507,Harrison County,MS,69.72477064220183
63026,St. Louis County,MO,41.74311926605505
63084,Franklin County,MO,65.13761467889908
63301,St. Charles County,MO,16.972477064220186
63660,Washington County,MO,99.08256880733946
63851,Pemiscot County,MO,74.31192660550458
64116,Clay County,MO,57.3394495412844
64429,Clinton County,MO,23.853211009174313
65340,Saline County,MO,34.403669724770644
03235,Merrimack County,NH,95.41284403669725
03867,Strafford County,NH,35.321100917431195
07108,Essex County,NJ,19.724770642201836
07305,Hudson County,NJ,7.79816513761468
87002,Valencia County,NM,70.64220183486239
10459,Bronx County,NY,10.091743119266056
10463,Bronx County,NY,36.23853211009174
10475,Bronx County,NY,64.22018348623854
11218,Kings County,NY,11.46788990825688
11236,Kings County,NY,11.926605504587156
11746,Suffolk County,NY,86.69724770642202
12078,Fulton County,NY,28.899082568807337
12534,Columbia County,NY,45.412844036697244
13204,Onondaga County,NY,14.220183486238533
13350,Herkimer County,NY,37.15596330275229
13357,Herkimer County,NY,46.330275229357795
13407,Herkimer County,NY,77.52293577981652
13452,Montgomery County,NY,89.90825688073394
13820,Otsego County,NY,20.642201834862387
14505,Wayne County,NY,58.71559633027523
14850,Tompkins County,NY,45.87155963302752
27217,Alamance County,NC,48.1651376146789
27807,Nash County,NC,88.9908256880734
27834,Pitt County,NC,6.8807339449541285
