fips,county,state,Over18
01001,Autauga County,AL,58.119658119658126
01003,Baldwin County,AL,77.26495726495727
01005,Barbour County,AL,NA
01007,Bibb County,AL,93.44729344729345
01009,Blount County,AL,NA
01011,Bullock County,AL,77.03703703703704
01013,Butler County,AL,NA
01015,Calhoun County,AL,44.15954415954416
01017,Chambers County,AL,43.93162393162393
01019,Cherokee County,AL,36.92307692307693
01021,Chilton County,AL,97.09401709401709
01025,Clarke County,AL,37.83475783475784
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,78.4045584045584
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,78.74643874643876
01045,Dale County,AL,66.21082621082621
01047,Dallas County,AL,88.31908831908832
01049,DeKalb County,AL,29.17378917378917
01051,Elmore County,AL,26.03988603988604
01053,Escambia County,AL,NA
01055,Etowah County,AL,84.78632478632478
01057,Fayette County,AL,NA
01059,Franklin County,AL,23.01994301994302
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,51.225071225071225
01069,Houston County,AL,24.615384615384617
01071,Jackson County,AL,95.66951566951568
01073,Jefferson County,AL,64.61538461538461
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,56.52421652421652
01079,Lawrence County,AL,15.612535612535613
01081,Lee County,AL,8.660968660968662
01083,Limestone County,AL,1.7094017094017095
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,51.168091168091166
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,29.458689458689456
01097,Mobile County,AL,64.15954415954415
01099,Monroe County,AL,NA
01101,Montgomery County,AL,52.07977207977208
01103,Morgan County,AL,34.24501424501425
01105,Perry County,AL,NA
01107,Pickens County,AL,85.24216524216524
01109,Pike County,AL,32.42165242165242
01111,Randolph County,AL,NA
01113,Russell County,AL,35.78347578347578
01115,St. Clair County,AL,52.70655270655271
01117,Shelby County,AL,41.36752136752136
01119,Sumter County,AL,NA
01121,Talladega County,AL,64.27350427350427
01123,Tallapoosa County,AL,83.07692307692308
01125,Tuscaloosa County,AL,24.558404558404558
01127,Walker County,AL,87.23646723646723
01129,Washington County,AL,NA
01131,Wilcox County,AL,97.6068376068376
01133,Winston County,AL,36.63817663817664
02020,Anchorage Municipality,AK,16.182336182336183
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,95.84045584045585
02122,Kenai Peninsula Borough,AK,7.635327635327635
02130,Ketchikan Gateway Borough,AK,34.7008547008547
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,41.76638176638177
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,65.18518518518519
02240,Southeast Fairbanks Census Area,AK,NA
