ZipCode,county,state,Adult,Retirement,Geriatric
35007,Shelby County,AL,57.7962577962578,NA,NA
35016,Marshall County,AL,NA,44.40894568690096,NA
35022,Jefferson County,AL,NA,58.30670926517571,NA
35055,Cullman County,AL,62.16216216216216,NA,NA
35096,Talladega County,AL,93.34719334719335,NA,NA
35207,Jefferson County,AL,NA,NA,87.03703703703704
35212,Jefferson County,AL,NA,90.73482428115017,NA
35216,Jefferson County,AL,NA,NA,51.85185185185185
35221,Jefferson County,AL,97.92099792099792,NA,NA
35404,Tuscaloosa County,AL,NA,37.22044728434505,NA
35603,Morgan County,AL,19.95841995841996,NA,NA
35630,Lauderdale County,AL,NA,NA,52.77777777777778
35670,Morgan County,AL,85.44698544698545,NA,NA
35673,Morgan County,AL,NA,90.09584664536742,NA
35805,Madison County,AL,52.80665280665281,NA,NA
35951,Marshall County,AL,72.34927234927235,NA,NA
35957,Marshall County,AL,NA,63.25878594249201,NA
35960,Cherokee County,AL,NA,82.10862619808307,NA
35967,DeKalb County,AL,72.14137214137214,NA,NA
35971,DeKalb County,AL,NA,99.52076677316293,NA
36106,Montgomery County,AL,NA,NA,90.92592592592592
36201,Calhoun County,AL,33.264033264033266,NA,NA
36265,Calhoun County,AL,59.25155925155925,NA,NA
36303,Houston County,AL,NA,45.04792332268371,NA
36786,Perry County,AL,NA,98.40255591054313,NA
36853,Tallapoosa County,AL,NA,84.98402555910543,NA
99504,Anchorage Municipality,AK,NA,47.284345047923324,NA
99507,Anchorage Municipality,AK,40.33264033264034,NA,NA
85006,Maricopa County,AZ,50.1039501039501,NA,NA
85020,Maricopa County,AZ,NA,NA,52.59259259259259
85021,Maricopa County,AZ,NA,37.85942492012779,NA
85029,Maricopa County,AZ,NA,47.763578274760384,NA
85120,Pinal County,AZ,NA,39.456869009584665,34.074074074074076
85122,Pinal County,AZ,11.226611226611228,NA,NA
85202,Maricopa County,AZ,59.45945945945946,NA,NA
85249,Maricopa County,AZ,NA,40.894568690095845,NA
85259,Maricopa County,AZ,NA,NA,58.7037037037037
85260,Maricopa County,AZ,NA,77.15654952076677,NA
85283,Maricopa County,AZ,22.66112266112266,NA,NA
85301,Maricopa County,AZ,5.197505197505198,NA,NA
85308,Maricopa County,AZ,NA,20.12779552715655,41.2962962962963
85351,Maricopa County,AZ,NA,NA,0.7407407407407408
85381,Maricopa County,AZ,NA,NA,49.44444444444444
85382,Maricopa County,AZ,NA,80.67092651757189,NA
85541,Gila County,AZ,NA,NA,31.666666666666664
85602,Cochise County,AZ,88.77338877338877,NA,NA
85614,Pima County,AZ,NA,NA,3.5185185185185186
85623,Pinal County,AZ,NA,NA,96.66666666666667
85635,Cochise County,AZ,NA,56.86900958466453,NA
85710,Pima County,AZ,NA,19.808306709265175,NA
85716,Pima County,AZ,21.413721413721415,NA,NA
85735,Pima County,AZ,NA,NA,82.03703703703704
