fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,22.59215219976219
01005,Barbour County,AL,38.049940546967896
01007,Bibb County,AL,NA
01009,Blount County,AL,NA
01011,Bullock County,AL,NA
01013,Butler County,AL,46.13555291319857
01015,Calhoun County,AL,12.366230677764566
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,21.40309155766944
01025,Clarke County,AL,42.568370986920335
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,54.87514863258026
01035,Conecuh County,AL,NA
01037,Coosa County,AL,78.71581450653984
01039,Covington County,AL,34.720570749108205
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,60.879904875148625
01045,Dale County,AL,46.611177170035674
01047,Dallas County,AL,35.73127229488704
01049,DeKalb County,AL,NA
01051,Elmore County,AL,16.587395957193817
01053,Escambia County,AL,13.495838287752676
01055,Etowah County,AL,30.32104637336504
01057,Fayette County,AL,31.747919143876334
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,36.86087990487515
01067,Henry County,AL,53.38882282996433
01069,Houston County,AL,1.3674197384066586
01071,Jackson County,AL,NA
01073,Jefferson County,AL,67.95481569560047
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,16.94411414982164
01079,Lawrence County,AL,NA
01081,Lee County,AL,1.9619500594530321
01083,Limestone County,AL,12.544589774078476
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,14.447086801426872
01091,Marengo County,AL,61.41498216409037
01093,Marion County,AL,NA
01095,Marshall County,AL,0.89179548156956
01097,Mobile County,AL,26.516052318668255
01099,Monroe County,AL,NA
01101,Montgomery County,AL,45.243757431629014
01103,Morgan County,AL,8.382877526753864
01105,Perry County,AL,NA
01107,Pickens County,AL,55.41022592152199
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,40.428061831153386
01115,St. Clair County,AL,67.53864447086801
01117,Shelby County,AL,45.18430439952438
01119,Sumter County,AL,NA
01121,Talladega County,AL,62.12841854934602
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,0.9512485136741973
01127,Walker County,AL,35.55291319857313
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,41.67657550535077
02020,Anchorage Municipality,AK,57.84780023781213
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,72.11652794292509
02110,Juneau City and Borough,AK,95.0653983353151
02122,Kenai Peninsula Borough,AK,34.78002378121284
02130,Ketchikan Gateway Borough,AK,91.49821640903686
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,80.20214030915577
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,99.94054696789536
04001,Apache County,AZ,97.02734839476813
04003,Cochise County,AZ,44.17360285374554
04005,Coconino County,AZ,75.38644470868014
04007,Gila County,AZ,52.437574316290124
04009,Graham County,AZ,65.10107015457788
04012,La Paz County,AZ,95.60047562425684
04013,Maricopa County,AZ,42.74673008323425
04015,Mohave County,AZ,23.00832342449465
04017,Navajo County,AZ,39.29845422116528
04019,Pima County,AZ,32.580261593341255
04021,Pinal County,AZ,34.36385255648038
04023,Santa Cruz County,AZ,82.69916765755053
04025,Yavapai County,AZ,45.95719381688466
04027,Yuma County,AZ,79.19143876337694
05001,Arkansas County,AR,81.27229488703924
05003,Ashley County,AR,70.51129607609988
05005,Baxter County,AR,NA
05007,Benton County,AR,28.478002378121285
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,68.84661117717003
05017,Chicot County,AR,NA
05019,Clark County,AR,54.042806183115346
05021,Clay County,AR,NA
05023,Cleburne County,AR,27.46730083234245
05025,Cleveland County,AR,NA
05027,Columbia County,AR,50.59453032104637
05029,Conway County,AR,96.55172413793103
05031,Craighead County,AR,NA
05033,Crawford County,AR,NA
05035,Crittenden County,AR,48.81093935790725
05037,Cross County,AR,NA
