fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,78.05940594059406
01003,Baldwin County,AL,33.101851851851855,50.45544554455446
01005,Barbour County,AL,NA,6.811881188118813
01007,Bibb County,AL,NA,66.53465346534654
01009,Blount County,AL,NA,17.584158415841582
01011,Bullock County,AL,NA,8.673267326732672
01013,Butler County,AL,NA,84.79207920792079
01015,Calhoun County,AL,NA,25.02970297029703
01017,Chambers County,AL,NA,39.40594059405941
01019,Cherokee County,AL,NA,54.4950495049505
01021,Chilton County,AL,NA,60.396039603960396
01025,Clarke County,AL,NA,1.5841584158415842
01027,Clay County,AL,NA,91.60396039603961
01029,Cleburne County,AL,NA,24.752475247524753
01031,Coffee County,AL,NA,62.37623762376238
01033,Colbert County,AL,NA,29.267326732673265
01035,Conecuh County,AL,NA,39.28712871287129
01037,Coosa County,AL,NA,0.9900990099009901
01039,Covington County,AL,NA,26.2970297029703
01041,Crenshaw County,AL,NA,87.20792079207921
01043,Cullman County,AL,58.10185185185185,39.48514851485149
01045,Dale County,AL,NA,69.98019801980197
01047,Dallas County,AL,NA,30.89108910891089
01049,DeKalb County,AL,NA,49.386138613861384
01051,Elmore County,AL,NA,82.89108910891089
01053,Escambia County,AL,68.28703703703704,18.93069306930693
01055,Etowah County,AL,NA,15.366336633663366
01057,Fayette County,AL,NA,96.99009900990099
01059,Franklin County,AL,NA,6.336633663366337
01061,Geneva County,AL,NA,44.79207920792079
01065,Hale County,AL,NA,11.722772277227723
01067,Henry County,AL,NA,84.75247524752476
01069,Houston County,AL,NA,47.12871287128713
01071,Jackson County,AL,NA,44.396039603960396
01073,Jefferson County,AL,3.2407407407407405,63.28712871287129
01075,Lamar County,AL,NA,84.91089108910892
01077,Lauderdale County,AL,NA,33.46534653465347
01079,Lawrence County,AL,NA,23.16831683168317
01081,Lee County,AL,77.77777777777779,49.584158415841586
01083,Limestone County,AL,NA,22.495049504950497
01087,Macon County,AL,NA,2.9306930693069306
01089,Madison County,AL,15.046296296296296,40.633663366336634
01093,Marion County,AL,NA,88.71287128712872
01095,Marshall County,AL,NA,52.910891089108915
01097,Mobile County,AL,27.77777777777778,26.574257425742577
01099,Monroe County,AL,NA,69.38613861386138
01101,Montgomery County,AL,NA,44.71287128712871
01103,Morgan County,AL,51.157407407407405,20.99009900990099
01105,Perry County,AL,94.21296296296296,7.089108910891088
01107,Pickens County,AL,98.37962962962963,3.207920792079208
01109,Pike County,AL,NA,25.504950495049506
01111,Randolph County,AL,NA,89.3069306930693
01113,Russell County,AL,NA,25.544554455445546
01115,St. Clair County,AL,NA,10.415841584158416
01117,Shelby County,AL,NA,73.58415841584159
01119,Sumter County,AL,NA,94.53465346534654
01121,Talladega County,AL,NA,48.95049504950495
01123,Tallapoosa County,AL,98.61111111111111,3.128712871287129
01125,Tuscaloosa County,AL,44.44444444444444,26.693069306930695
01127,Walker County,AL,94.44444444444444,96.95049504950495
01133,Winston County,AL,NA,70.33663366336633
02020,Anchorage Municipality,AK,NA,12.633663366336634
02050,Bethel Census Area,AK,NA,20.871287128712872
02090,Fairbanks North Star Borough,AK,NA,41.78217821782178
02110,Juneau City and Borough,AK,NA,22.970297029702973
02122,Kenai Peninsula Borough,AK,NA,28.950495049504948
02130,Ketchikan Gateway Borough,AK,NA,4.910891089108911
02150,Kodiak Island Borough,AK,NA,95.84158415841584
02170,Matanuska-Susitna Borough,AK,NA,46.57425742574258
02220,Sitka City and Borough,AK,NA,70.61386138613861
04001,Apache County,AZ,NA,14.732673267326732
04003,Cochise County,AZ,NA,43.84158415841584
04005,Coconino County,AZ,14.583333333333334,66.65346534653466
04007,Gila County,AZ,NA,80.31683168316832
04009,Graham County,AZ,NA,40.99009900990099
04012,La Paz County,AZ,NA,27.960396039603964
04013,Maricopa County,AZ,14.814814814814813,44.5940594059406
04015,Mohave County,AZ,NA,59.24752475247524
04017,Navajo County,AZ,52.31481481481482,30.73267326732673
04019,Pima County,AZ,4.861111111111112,49.18811881188119
04021,Pinal County,AZ,48.61111111111111,27.44554455445545
04023,Santa Cruz County,AZ,NA,89.10891089108911
04025,Yavapai County,AZ,NA,83.16831683168317
04027,Yuma County,AZ,NA,85.06930693069307
05001,Arkansas County,AR,NA,49.7029702970297
05003,Ashley County,AR,NA,88.5940594059406
05005,Baxter County,AR,NA,51.722772277227726
05007,Benton County,AR,NA,51.00990099009901
05009,Boone County,AR,NA,98.33663366336634
05015,Carroll County,AR,NA,91.24752475247526
05017,Chicot County,AR,NA,91.92079207920793
05019,Clark County,AR,NA,59.92079207920792
05021,Clay County,AR,NA,53.18811881188119
05023,Cleburne County,AR,NA,81.86138613861385
05025,Cleveland County,AR,NA,11.564356435643566
05027,Columbia County,AR,NA,98.89108910891089
05029,Conway County,AR,NA,58.257425742574256
05031,Craighead County,AR,NA,72.87128712871286
05033,Crawford County,AR,NA,88.03960396039604
05035,Crittenden County,AR,NA,15.287128712871286
05037,Cross County,AR,NA,10.574257425742575
05041,Desha County,AR,NA,15.128712871287128
05043,Drew County,AR,NA,60.15841584158416
05045,Faulkner County,AR,NA,86.01980198019803
05047,Franklin County,AR,NA,6.891089108910892
05049,Fulton County,AR,NA,87.24752475247524
05051,Garland County,AR,NA,90.85148514851485
05053,Grant County,AR,NA,0.6336633663366337
05055,Greene County,AR,NA,58.0990099009901
05057,Hempstead County,AR,NA,87.08910891089108
05059,Hot Spring County,AR,NA,32.554455445544555
05061,Howard County,AR,NA,2.851485148514852
05063,Independence County,AR,NA,74.81188118811882
05067,Jackson County,AR,NA,53.504950495049506
05069,Jefferson County,AR,NA,37.742574257425744
05071,Johnson County,AR,NA,49.7029702970297
05075,Lawrence County,AR,NA,61.584158415841586
05077,Lee County,AR,NA,31.445544554455445
05079,Lincoln County,AR,NA,14.574257425742573
05081,Little River County,AR,NA,22.930693069306933
05083,Logan County,AR,NA,24.594059405940595
05085,Lonoke County,AR,NA,68.95049504950495
05087,Madison County,AR,NA,3.7227722772277225
05089,Marion County,AR,NA,86.4950495049505
05091,Miller County,AR,NA,78.45544554455446
05093,Mississippi County,AR,NA,0
05095,Monroe County,AR,NA,3.8415841584158414
05097,Montgomery County,AR,NA,54.019801980198025
05099,Nevada County,AR,NA,64.67326732673267
05103,Ouachita County,AR,NA,61.42574257425743
05107,Phillips County,AR,NA,98.73267326732673
05109,Pike County,AR,NA,97.46534653465346
05111,Poinsett County,AR,NA,86.61386138613861
05113,Polk County,AR,NA,84.11881188118812
05115,Pope County,AR,NA,47.68316831683168
05119,Pulaski County,AR,NA,92.83168316831684
05121,Randolph County,AR,NA,81.22772277227723
05123,St. Francis County,AR,NA,3.445544554455446
05125,Saline County,AR,NA,18.534653465346533
05127,Scott County,AR,NA,55.32673267326733
05129,Searcy County,AR,NA,94.85148514851485
05131,Sebastian County,AR,NA,70.49504950495049
05133,Sevier County,AR,NA,31.524752475247524
05135,Sharp County,AR,NA,81.66336633663366
05137,Stone County,AR,NA,13.10891089108911
05139,Union County,AR,NA,45.504950495049506
05141,Van Buren County,AR,NA,66.93069306930694
05143,Washington County,AR,NA,63.92079207920792
05145,White County,AR,NA,36.91089108910891
05149,Yell County,AR,NA,35.4059405940594
06001,Alameda County,CA,12.037037037037036,84.15841584158416
06005,Amador County,CA,NA,81.14851485148516
06007,Butte County,CA,NA,42.693069306930695
06009,Calaveras County,CA,NA,92.95049504950495
06011,Colusa County,CA,84.72222222222221,NA
06013,Contra Costa County,CA,31.712962962962965,75.44554455445545
06015,Del Norte County,CA,NA,6.9306930693069315
06017,El Dorado County,CA,NA,92.51485148514853
06019,Fresno County,CA,0.6944444444444444,43.524752475247524
06021,Glenn County,CA,NA,23.28712871287129
06023,Humboldt County,CA,NA,19.88118811881188
06025,Imperial County,CA,NA,53.742574257425744
06027,Inyo County,CA,NA,87.56435643564356
06029,Kern County,CA,NA,30.178217821782177
06031,Kings County,CA,NA,31.88118811881188
06033,Lake County,CA,NA,16.514851485148515
