ZipCode,county,state,Youth,Adult,Retirement
35150,Talladega County,AL,NA,34.105960264900666,NA
35206,Jefferson County,AL,NA,NA,42.679127725856695
35243,Jefferson County,AL,NA,NA,54.82866043613706
35504,Walker County,AL,NA,60.59602649006622,NA
35570,Marion County,AL,NA,57.726269315673285,NA
35673,Morgan County,AL,NA,60.264900662251655,NA
35811,Madison County,AL,NA,34.32671081677704,88.1619937694704
35901,Etowah County,AL,NA,28.47682119205298,NA
35904,Etowah County,AL,NA,NA,55.7632398753894
35906,Etowah County,AL,83.90243902439025,NA,NA
35960,Cherokee County,AL,NA,63.13465783664459,NA
36067,Autauga County,AL,NA,30.132450331125828,NA
36117,Montgomery County,AL,NA,NA,33.95638629283489
36265,Calhoun County,AL,NA,44.260485651214125,NA
36532,Baldwin County,AL,NA,49.448123620309055,NA
36618,Mobile County,AL,NA,63.46578366445917,NA
99501,Anchorage Municipality,AK,NA,17.880794701986755,NA
99507,Anchorage Municipality,AK,NA,27.041942604856512,NA
99701,Fairbanks North Star Borough,AK,NA,58.38852097130243,NA
85007,Maricopa County,AZ,NA,9.602649006622517,NA
85008,Maricopa County,AZ,NA,80.90507726269315,NA
85019,Maricopa County,AZ,NA,NA,66.04361370716511
85021,Maricopa County,AZ,NA,10.485651214128035,NA
85031,Maricopa County,AZ,NA,41.61147902869757,NA
85122,Pinal County,AZ,NA,7.28476821192053,NA
85132,Pinal County,AZ,NA,NA,62.30529595015576
85201,Maricopa County,AZ,NA,NA,63.55140186915887
85205,Maricopa County,AZ,NA,52.42825607064018,NA
85207,Maricopa County,AZ,NA,21.30242825607064,NA
85208,Maricopa County,AZ,NA,36.53421633554083,NA
85210,Maricopa County,AZ,NA,18.653421633554085,NA
85226,Maricopa County,AZ,NA,46.13686534216336,NA
85233,Maricopa County,AZ,NA,33.99558498896248,NA
85248,Maricopa County,AZ,NA,88.85209713024283,NA
85286,Maricopa County,AZ,NA,NA,73.20872274143302
85302,Maricopa County,AZ,NA,20.52980132450331,NA
85331,Maricopa County,AZ,NA,NA,48.598130841121495
85364,Yuma County,AZ,NA,3.090507726269316,NA
85365,Yuma County,AZ,NA,23.28918322295806,NA
85381,Maricopa County,AZ,NA,55.18763796909493,NA
85390,Maricopa County,AZ,70.24390243902438,NA,NA
85541,Gila County,AZ,NA,40.507726269315675,NA
85706,Pima County,AZ,NA,13.134657836644593,NA
85710,Pima County,AZ,NA,7.836644591611479,NA
85716,Pima County,AZ,NA,89.62472406181016,NA
85750,Pima County,AZ,NA,58.719646799117,NA
85935,Navajo County,AZ,NA,100,NA
86047,Navajo County,AZ,NA,58.27814569536424,29.906542056074763
86325,Yavapai County,AZ,NA,NA,92.5233644859813
86505,Apache County,AZ,NA,55.62913907284768,NA
86507,Apache County,AZ,NA,86.09271523178808,NA
86510,Navajo County,AZ,NA,92.16335540838853,NA
71667,Lincoln County,AR,NA,76.71081677704194,NA
72010,White County,AR,NA,96.46799116997794,NA
72023,Lonoke County,AR,NA,NA,75.38940809968847
72143,White County,AR,NA,81.23620309050773,NA
72543,Cleburne County,AR,88.29268292682927,NA,NA
90025,Los Angeles County,CA,NA,88.74172185430463,NA
90029,Los Angeles County,CA,NA,76.60044150110376,NA
90602,Los Angeles County,CA,NA,54.966887417218544,NA
90631,Orange County,CA,NA,28.918322295805737,NA
91355,Los Angeles County,CA,NA,61.81015452538632,NA
91406,Los Angeles County,CA,NA,42.82560706401766,NA
91702,Los Angeles County,CA,NA,25.82781456953642,NA
91741,Los Angeles County,CA,NA,70.52980132450331,NA
91910,San Diego County,CA,NA,20.309050772626932,NA
91911,San Diego County,CA,NA,NA,17.75700934579439
92028,San Diego County,CA,NA,54.52538631346579,NA
92036,San Diego County,CA,NA,NA,99.37694704049844
92056,San Diego County,CA,NA,71.8543046357616,NA
92064,San Diego County,CA,NA,69.20529801324503,NA
92069,San Diego County,CA,NA,NA,78.19314641744548
92082,San Diego County,CA,NA,NA,89.09657320872275
92102,San Diego County,CA,NA,32.33995584988962,NA
92109,San Diego County,CA,NA,60.59602649006622,NA
92110,San Diego County,CA,80.48780487804879,NA,NA
92127,San Diego County,CA,NA,NA,64.48598130841121
92220,Riverside County,CA,NA,49.77924944812362,NA
92356,San Bernardino County,CA,NA,95.58498896247241,NA
92404,San Bernardino County,CA,NA,NA,26.791277258566975
92509,Riverside County,CA,NA,47.57174392935982,NA
92570,Riverside County,CA,50.73170731707317,NA,NA
92653,Orange County,CA,NA,NA,47.0404984423676
92673,Orange County,CA,NA,57.505518763796914,NA
92694,Orange County,CA,NA,48.01324503311258,NA
92808,Orange County,CA,NA,68.65342163355407,NA
92833,Orange County,CA,NA,NA,27.102803738317753
92835,Orange County,CA,NA,71.30242825607064,NA
92867,Orange County,CA,NA,51.10375275938189,NA
93001,Ventura County,CA,NA,21.52317880794702,26.168224299065418
93004,Ventura County,CA,NA,47.35099337748344,NA
93010,Ventura County,CA,NA,27.373068432671083,NA
93035,Ventura County,CA,NA,80.5739514348786,NA
93060,Ventura County,CA,32.6829268292683,73.06843267108167,NA
93291,Tulare County,CA,NA,17.218543046357617,NA
93307,Kern County,CA,NA,NA,48.28660436137071
93312,Kern County,CA,NA,33.22295805739514,NA
93442,San Luis Obispo County,CA,NA,NA,76.32398753894081
93458,Santa Barbara County,CA,NA,NA,25.85669781931464
93463,Santa Barbara County,CA,NA,99.22737306843267,NA
93620,Merced County,CA,NA,NA,94.39252336448598
93705,Fresno County,CA,NA,NA,40.49844236760124
93905,Monterey County,CA,54.63414634146342,NA,NA
93906,Monterey County,CA,NA,33.443708609271525,NA
93907,Monterey County,CA,NA,85.76158940397352,NA
94063,San Mateo County,CA,NA,35.32008830022075,NA
94070,San Mateo County,CA,NA,70.97130242825607,NA
94112,San Francisco County,CA,NA,19.646799116997794,NA
94114,San Francisco County,CA,NA,38.52097130242826,NA
94566,Alameda County,CA,NA,54.083885209713024,NA
94930,Marin County,CA,NA,NA,96.57320872274143
94941,Marin County,CA,NA,NA,38.62928348909657
95116,Santa Clara County,CA,NA,NA,46.10591900311526
95206,San Joaquin County,CA,NA,17.549668874172188,NA
95240,San Joaquin County,CA,NA,73.50993377483444,NA
95422,Lake County,CA,NA,51.87637969094923,NA
95531,Del Norte County,CA,97.07317073170731,NA,NA
95562,Humboldt County,CA,NA,96.7991169977925,NA
95670,Sacramento County,CA,47.3170731707317,NA,NA
95682,El Dorado County,CA,NA,49.22737306843267,NA
95831,Sacramento County,CA,NA,73.73068432671081,NA
95928,Butte County,CA,40,NA,NA
95954,Butte County,CA,NA,63.35540838852097,31.15264797507788
80013,Arapahoe County,CO,9.75609756097561,NA,NA
80014,Arapahoe County,CO,23.414634146341466,NA,NA
80015,Arapahoe County,CO,78.53658536585367,14.23841059602649,NA
80110,Arapahoe County,CO,NA,NA,79.43925233644859
80126,Douglas County,CO,NA,43.04635761589404,NA
