fips,county,state,Under18,Over18
01003,Baldwin County,AL,NA,9.56221198156682
01015,Calhoun County,AL,NA,22.465437788018434
01019,Cherokee County,AL,NA,85.9447004608295
01031,Coffee County,AL,NA,70.73732718894009
01033,Colbert County,AL,79.61538461538461,NA
01037,Coosa County,AL,NA,96.42857142857143
01073,Jefferson County,AL,NA,5.299539170506913
01081,Lee County,AL,NA,63.70967741935484
01089,Madison County,AL,30.384615384615383,NA
01095,Marshall County,AL,NA,25.460829493087555
01097,Mobile County,AL,NA,3.110599078341014
01101,Montgomery County,AL,NA,38.70967741935484
01109,Pike County,AL,NA,95.16129032258065
01113,Russell County,AL,80.38461538461539,85.25345622119815
01117,Shelby County,AL,NA,58.986175115207374
01123,Tallapoosa County,AL,NA,86.17511520737328
01131,Wilcox County,AL,98.46153846153847,NA
02020,Anchorage Municipality,AK,NA,60.36866359447005
02090,Fairbanks North Star Borough,AK,NA,60.13824884792627
02130,Ketchikan Gateway Borough,AK,93.07692307692308,NA
02170,Matanuska-Susitna Borough,AK,NA,69.5852534562212
04003,Cochise County,AZ,55.38461538461539,25.23041474654378
04005,Coconino County,AZ,NA,47.11981566820276
04012,La Paz County,AZ,NA,77.99539170506912
04013,Maricopa County,AZ,38.46153846153847,14.285714285714285
04015,Mohave County,AZ,42.69230769230769,34.90783410138249
04017,Navajo County,AZ,NA,27.64976958525346
04019,Pima County,AZ,23.846153846153847,50.23041474654379
04021,Pinal County,AZ,24.615384615384617,33.87096774193548
04025,Yavapai County,AZ,NA,3.571428571428571
04027,Yuma County,AZ,NA,9.44700460829493
05005,Baxter County,AR,NA,69.23963133640552
05009,Boone County,AR,NA,77.07373271889401
05031,Craighead County,AR,NA,70.39170506912443
05041,Desha County,AR,NA,98.84792626728111
05045,Faulkner County,AR,NA,44.23963133640553
05069,Jefferson County,AR,NA,48.27188940092166
05083,Logan County,AR,NA,98.61751152073732
05089,Marion County,AR,NA,94.23963133640552
05113,Polk County,AR,NA,87.44239631336406
05119,Pulaski County,AR,NA,1.7281105990783412
05137,Stone County,AR,NA,92.62672811059907
05143,Washington County,AR,NA,31.912442396313363
06001,Alameda County,CA,NA,1.0368663594470047
06007,Butte County,CA,NA,34.331797235023046
06009,Calaveras County,CA,NA,63.824884792626726
06013,Contra Costa County,CA,16.923076923076923,31.797235023041477
06015,Del Norte County,CA,NA,84.10138248847926
06017,El Dorado County,CA,68.84615384615384,81.45161290322581
06019,Fresno County,CA,NA,3.4562211981566824
06023,Humboldt County,CA,NA,34.7926267281106
06025,Imperial County,CA,NA,21.08294930875576
06029,Kern County,CA,NA,43.77880184331797
06037,Los Angeles County,CA,0.7692307692307693,10.023041474654377
06039,Madera County,CA,NA,36.9815668202765
06041,Marin County,CA,NA,12.557603686635947
06045,Mendocino County,CA,NA,68.54838709677419
06047,Merced County,CA,32.30769230769231,49.193548387096776
06053,Monterey County,CA,NA,52.1889400921659
06055,Napa County,CA,90,59.44700460829493
06059,Orange County,CA,NA,2.880184331797235
06061,Placer County,CA,NA,45.39170506912442
06065,Riverside County,CA,31.92307692307692,30.184331797235025
06067,Sacramento County,CA,NA,14.170506912442397
06071,San Bernardino County,CA,3.076923076923077,44.815668202764975
06073,San Diego County,CA,31.538461538461537,7.4884792626728105
06075,San Francisco County,CA,NA,20.852534562211982
06077,San Joaquin County,CA,NA,1.1520737327188941
06079,San Luis Obispo County,CA,NA,11.981566820276496
06081,San Mateo County,CA,NA,20.391705069124423
06083,Santa Barbara County,CA,28.846153846153843,5.76036866359447
06085,Santa Clara County,CA,NA,1.2672811059907834
06095,Solano County,CA,NA,24.193548387096776
06097,Sonoma County,CA,NA,15.783410138248849
06099,Stanislaus County,CA,NA,8.294930875576037
06101,Sutter County,CA,NA,50
06103,Tehama County,CA,NA,52.53456221198156
06107,Tulare County,CA,21.53846153846154,22.350230414746544
06109,Tuolumne County,CA,NA,38.13364055299539
06111,Ventura County,CA,NA,29.377880184331794
06115,Yuba County,CA,79.23076923076923,NA
08001,Adams County,CO,NA,23.387096774193548
08005,Arapahoe County,CO,NA,37.55760368663594
08031,Denver County,CO,13.846153846153847,52.30414746543779
08041,El Paso County,CO,20,22.69585253456221
08043,Fremont County,CO,NA,70.85253456221197
08045,Garfield County,CO,81.92307692307692,NA
08059,Jefferson County,CO,18.846153846153847,NA
08067,La Plata County,CO,95.38461538461539,72.46543778801843
08069,Larimer County,CO,NA,37.096774193548384
08071,Las Animas County,CO,NA,90.09216589861751
