ZipCode,county,state,Adult,Retirement
35007,Shelby County,AL,54.95495495495496,NA
35010,Tallapoosa County,AL,NA,28.621908127208478
35603,Morgan County,AL,52.25225225225225,NA
35653,Franklin County,AL,NA,94.34628975265018
35660,Colbert County,AL,70.72072072072072,NA
36207,Calhoun County,AL,NA,56.8904593639576
36301,Houston County,AL,NA,48.0565371024735
36350,Dale County,AL,90.990990990991,NA
36526,Baldwin County,AL,NA,71.37809187279152
36575,Mobile County,AL,NA,72.79151943462897
85022,Maricopa County,AZ,23.873873873873876,NA
71701,Ouachita County,AR,75.22522522522522,NA
72113,Pulaski County,AR,NA,42.40282685512368
72315,Mississippi County,AR,NA,44.16961130742049
72837,Pope County,AR,87.83783783783784,NA
90045,Los Angeles County,CA,NA,81.2720848056537
90247,Los Angeles County,CA,55.4054054054054,NA
90266,Los Angeles County,CA,NA,44.87632508833922
90277,Los Angeles County,CA,79.72972972972973,NA
90503,Los Angeles County,CA,NA,38.16254416961131
90805,Los Angeles County,CA,22.07207207207207,NA
90808,Los Angeles County,CA,61.261261261261254,NA
91104,Los Angeles County,CA,NA,49.46996466431096
92082,San Diego County,CA,90.09009009009009,NA
92260,Riverside County,CA,NA,12.014134275618375
92324,San Bernardino County,CA,24.324324324324326,NA
92335,San Bernardino County,CA,NA,47.70318021201413
92399,San Bernardino County,CA,34.68468468468468,NA
92405,San Bernardino County,CA,50,NA
92410,San Bernardino County,CA,37.38738738738739,NA
92543,Riverside County,CA,45.94594594594595,NA
92653,Orange County,CA,NA,52.29681978798587
92840,Orange County,CA,54.5045045045045,NA
93221,Tulare County,CA,NA,75.61837455830388
93722,Fresno County,CA,NA,14.13427561837456
94014,San Mateo County,CA,NA,24.02826855123675
94080,San Mateo County,CA,NA,5.30035335689046
94121,San Francisco County,CA,71.62162162162163,NA
94501,Alameda County,CA,43.24324324324324,NA
94602,Alameda County,CA,78.82882882882883,NA
94610,Alameda County,CA,65.76576576576578,NA
94803,Contra Costa County,CA,NA,93.28621908127208
95307,Stanislaus County,CA,36.03603603603604,NA
95361,Stanislaus County,CA,47.74774774774775,NA
95377,San Joaquin County,CA,88.73873873873875,NA
95401,Sonoma County,CA,NA,45.936395759717314
95472,Sonoma County,CA,81.08108108108108,NA
95618,Yolo County,CA,93.69369369369369,NA
95624,Sacramento County,CA,51.35135135135135,NA
95662,Sacramento County,CA,NA,59.717314487632514
95823,Sacramento County,CA,16.216216216216218,NA
95901,Yuba County,CA,NA,49.11660777385159
95959,Nevada County,CA,NA,45.583038869257955
80112,Arapahoe County,CO,NA,54.77031802120141
