ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35007,Shelby County,AL,NA,NA,NA,29.8728813559322,59.780370624571034
35016,Marshall County,AL,NA,NA,NA,NA,85.2436513383665
35020,Jefferson County,AL,NA,NA,9.32744231713304,NA,NA
35040,Shelby County,AL,NA,NA,38.34069710358371,NA,74.87989018531228
35043,Shelby County,AL,65.84821428571429,NA,NA,82.99788135593221,NA
35045,Chilton County,AL,69.75446428571429,NA,NA,NA,NA
35055,Cullman County,AL,NA,NA,43.10260186548847,NA,NA
35058,Cullman County,AL,62.16517857142857,NA,NA,NA,NA
35071,Jefferson County,AL,NA,NA,NA,69.70338983050848,NA
35080,Shelby County,AL,27.641369047619047,NA,NA,NA,NA
35096,Talladega County,AL,NA,NA,NA,69.75635593220339,NA
35114,Shelby County,AL,NA,NA,NA,87.71186440677965,NA
35115,Shelby County,AL,NA,NA,NA,82.15042372881356,NA
35117,Jefferson County,AL,NA,NA,83.21060382916053,NA,NA
35120,St. Clair County,AL,NA,NA,NA,88.93008474576271,NA
35126,Jefferson County,AL,NA,NA,41.08983799705449,NA,NA
35173,Jefferson County,AL,33.63095238095239,NA,NA,NA,NA
35179,Cullman County,AL,NA,NA,77.90868924889544,NA,NA
35208,Jefferson County,AL,NA,NA,29.16053019145803,NA,NA
35213,Jefferson County,AL,NA,NA,NA,57.097457627118644,NA
35216,Jefferson County,AL,NA,NA,NA,NA,36.101578586135894
35235,Jefferson County,AL,NA,NA,NA,91.26059322033898,NA
35242,Shelby County,AL,NA,NA,NA,NA,5.490734385724091
35401,Tuscaloosa County,AL,NA,NA,18.114874815905743,14.30084745762712,NA
35406,Tuscaloosa County,AL,91.03422619047619,NA,NA,98.19915254237289,NA
35462,Greene County,AL,NA,NA,76.73048600883654,NA,NA
35473,Tuscaloosa County,AL,NA,NA,NA,46.29237288135593,NA
35474,Hale County,AL,NA,NA,53.215513009327445,NA,NA
35476,Tuscaloosa County,AL,41.889880952380956,NA,NA,NA,NA
35546,Fayette County,AL,NA,NA,86.00883652430045,NA,NA
35553,Winston County,AL,NA,NA,NA,90.67796610169492,NA
35603,Morgan County,AL,NA,NA,NA,NA,21.894303363074812
35613,Limestone County,AL,NA,NA,NA,39.936440677966104,NA
35630,Lauderdale County,AL,NA,NA,NA,NA,37.268359643102265
35633,Lauderdale County,AL,NA,NA,NA,51.16525423728814,NA
35640,Morgan County,AL,NA,NA,25.47864506627393,78.54872881355932,99.65682910089224
35645,Lauderdale County,AL,NA,NA,NA,96.82203389830508,NA
35654,Franklin County,AL,NA,NA,79.28325969563083,NA,NA
35750,Madison County,AL,62.574404761904766,NA,NA,NA,68.56554564172959
35757,Madison County,AL,NA,75.91397849462366,NA,NA,NA
35763,Madison County,AL,NA,NA,64.75208640157093,NA,NA
35768,Jackson County,AL,NA,NA,75.40500736377025,NA,NA
35769,Jackson County,AL,80.95238095238095,NA,NA,NA,NA
35773,Madison County,AL,NA,NA,55.08100147275405,NA,NA
35776,Jackson County,AL,NA,NA,99.01816396661758,NA,NA
35801,Madison County,AL,NA,NA,59.15562101129112,NA,NA
35802,Madison County,AL,59.04017857142857,NA,NA,56.19703389830508,NA
35803,Madison County,AL,NA,NA,52.773686794305355,NA,NA
35810,Madison County,AL,53.45982142857143,NA,NA,NA,NA
35901,Etowah County,AL,54.12946428571429,NA,NA,28.60169491525424,NA
35904,Etowah County,AL,NA,NA,34.413352970054,NA,64.37886067261496
35950,Marshall County,AL,53.199404761904766,NA,NA,NA,NA
35952,Etowah County,AL,NA,74.6236559139785,NA,NA,NA
35957,Marshall County,AL,NA,NA,63.721158566519385,NA,NA
35961,DeKalb County,AL,85.56547619047619,NA,NA,NA,NA
35980,Marshall County,AL,NA,NA,NA,99.25847457627118,NA
36022,Elmore County,AL,NA,NA,NA,74.89406779661016,NA
36037,Butler County,AL,NA,NA,NA,54.34322033898306,NA
36054,Elmore County,AL,NA,NA,54.39371624938635,NA,NA
36066,Autauga County,AL,NA,NA,41.43348060873834,NA,NA
36083,Macon County,AL,NA,NA,NA,NA,66.23198352779684
36106,Montgomery County,AL,NA,NA,NA,NA,83.25326012354152
36108,Montgomery County,AL,NA,NA,NA,NA,83.87096774193549
36109,Montgomery County,AL,54.613095238095234,NA,NA,NA,NA
36117,Montgomery County,AL,18.675595238095237,NA,NA,30.031779661016948,47.42621825669183
36201,Calhoun County,AL,NA,NA,19.243986254295535,NA,NA
36206,Calhoun County,AL,NA,NA,NA,68.27330508474576,NA
36207,Calhoun County,AL,NA,NA,NA,NA,60.2608098833219
36274,Randolph County,AL,NA,NA,NA,77.91313559322035,NA
36278,Randolph County,AL,NA,NA,NA,NA,88.53809196980096
36301,Houston County,AL,16.071428571428573,NA,12.616593028964163,NA,NA
36310,Henry County,AL,87.68601190476191,NA,NA,NA,NA
36330,Coffee County,AL,NA,NA,35.39518900343643,61.59957627118644,NA
36460,Monroe County,AL,77.82738095238095,NA,NA,NA,NA
36502,Escambia County,AL,NA,NA,33.92243495336279,35.59322033898305,NA
36507,Baldwin County,AL,NA,NA,NA,57.36228813559322,NA
36527,Baldwin County,AL,NA,NA,70.0049091801669,NA,NA
36542,Baldwin County,AL,82.25446428571429,NA,NA,NA,NA
36545,Clarke County,AL,NA,NA,81.88512518409425,NA,NA
36587,Mobile County,AL,NA,NA,67.25576828669612,NA,NA
36605,Mobile County,AL,58.742559523809526,NA,NA,NA,NA
36606,Mobile County,AL,NA,NA,NA,69.59745762711864,NA
36608,Mobile County,AL,48.84672619047619,NA,NA,39.565677966101696,NA
36610,Mobile County,AL,42.1875,NA,NA,NA,NA
36613,Mobile County,AL,NA,NA,NA,68.27330508474576,NA
36695,Mobile County,AL,89.39732142857143,NA,NA,NA,NA
36701,Dallas County,AL,NA,NA,19.587628865979383,NA,43.37680164722031
36854,Chambers County,AL,NA,NA,NA,NA,62.86890871654084
36863,Chambers County,AL,69.49404761904762,NA,NA,NA,NA
36877,Lee County,AL,92.07589285714286,NA,NA,NA,NA
99501,Anchorage Municipality,AK,NA,NA,15.120274914089347,NA,NA
99504,Anchorage Municipality,AK,28.90625,NA,NA,NA,NA
99518,Anchorage Municipality,AK,NA,NA,64.16298478154148,NA,NA
99654,Matanuska-Susitna Borough,AK,NA,NA,NA,33.42161016949153,NA
99701,Fairbanks North Star Borough,AK,NA,NA,26.362297496318117,86.33474576271186,NA
99835,Sitka City and Borough,AK,19.56845238095238,NA,NA,70.97457627118644,NA
85007,Maricopa County,AZ,NA,44.516129032258064,NA,NA,NA
85008,Maricopa County,AZ,64.47172619047619,6.451612903225806,NA,NA,80.09608785175017
85009,Maricopa County,AZ,91.29464285714286,NA,NA,53.4957627118644,NA
85013,Maricopa County,AZ,NA,NA,NA,NA,63.006177076183945
85015,Maricopa County,AZ,NA,NA,12.322042218949436,NA,NA
85016,Maricopa County,AZ,NA,NA,NA,NA,57.03500343170899
85017,Maricopa County,AZ,NA,NA,NA,64.77754237288136,NA
85020,Maricopa County,AZ,NA,NA,NA,84.85169491525424,36.71928620452986
85021,Maricopa County,AZ,NA,NA,NA,26.059322033898308,36.58201784488676
85022,Maricopa County,AZ,19.456845238095237,NA,69.21944035346097,NA,NA
85023,Maricopa County,AZ,NA,NA,NA,NA,56.966369251887436
85031,Maricopa County,AZ,NA,18.494623655913976,NA,91.79025423728814,NA
85032,Maricopa County,AZ,NA,39.13978494623656,NA,NA,72.75223061084421
85033,Maricopa County,AZ,7.477678571428571,NA,NA,NA,NA
85035,Maricopa County,AZ,6.845238095238096,NA,NA,NA,NA
85037,Maricopa County,AZ,19.903273809523807,22.58064516129032,NA,NA,NA
85040,Maricopa County,AZ,86.01190476190477,NA,13.156602847324498,NA,NA
85041,Maricopa County,AZ,42.93154761904761,4.301075268817205,NA,NA,81.7433081674674
85042,Maricopa County,AZ,16.40625,23.010752688172044,NA,NA,NA
