ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35005,Jefferson County,AL,NA,NA,NA,81.88063546586518,NA
35020,Jefferson County,AL,NA,NA,NA,56.20437956204379,NA
35023,Jefferson County,AL,NA,84.71615720524017,NA,NA,68.93342877594846
35054,St. Clair County,AL,NA,NA,NA,82.61056247316445,NA
35057,Cullman County,AL,NA,NA,NA,75.44010304851868,NA
35071,Jefferson County,AL,NA,NA,NA,70.24474023185917,80.81603435934144
35072,Coosa County,AL,NA,85.1528384279476,NA,NA,NA
35085,Chilton County,AL,NA,NA,NA,NA,96.4924838940587
35094,Jefferson County,AL,NA,NA,NA,NA,67.14387974230493
35115,Shelby County,AL,NA,NA,NA,NA,88.11739441660703
35121,Blount County,AL,NA,NA,NA,41.47702876771147,NA
35125,St. Clair County,AL,NA,NA,85.94405594405595,NA,NA
35126,Jefferson County,AL,NA,NA,42.62237762237762,NA,NA
35127,Jefferson County,AL,NA,NA,NA,49.03392013739803,NA
35146,St. Clair County,AL,NA,NA,73.14685314685315,NA,NA
35150,Talladega County,AL,NA,55.45851528384279,30.174825174825177,NA,NA
35173,Jefferson County,AL,NA,NA,70.34965034965035,NA,NA
35180,Jefferson County,AL,NA,NA,NA,91.75611850579648,NA
35184,Bibb County,AL,NA,NA,NA,73.55088020609703,NA
35204,Jefferson County,AL,NA,NA,NA,NA,53.04223335719399
35207,Jefferson County,AL,NA,NA,NA,77.41519965650494,NA
35209,Jefferson County,AL,NA,NA,69.8951048951049,NA,NA
35210,Jefferson County,AL,NA,NA,83.7062937062937,NA,NA
35211,Jefferson County,AL,NA,NA,9.545454545454547,NA,NA
35214,Jefferson County,AL,NA,NA,NA,NA,63.35003579098068
35215,Jefferson County,AL,NA,6.550218340611353,NA,NA,64.42376521116678
35216,Jefferson County,AL,NA,NA,NA,NA,85.39727988546886
35222,Jefferson County,AL,NA,NA,86.53846153846155,NA,NA
35223,Jefferson County,AL,NA,NA,NA,NA,66.2133142448103
35226,Jefferson County,AL,NA,NA,NA,14.555603263203091,NA
35235,Jefferson County,AL,NA,NA,NA,NA,67.85969935576234
35242,Shelby County,AL,NA,NA,NA,8.158007728638902,NA
35244,Jefferson County,AL,NA,NA,68.91608391608392,NA,NA
35404,Tuscaloosa County,AL,NA,NA,35.66433566433567,NA,NA
35405,Tuscaloosa County,AL,NA,NA,NA,NA,35.21832498210451
35444,Tuscaloosa County,AL,NA,NA,92.83216783216784,NA,NA
35456,Tuscaloosa County,AL,NA,NA,93.46153846153847,NA,NA
35481,Pickens County,AL,NA,NA,98.77622377622379,NA,NA
35563,Marion County,AL,NA,NA,NA,80.97896092743667,NA
35565,Winston County,AL,NA,NA,NA,68.26964362387291,NA
35603,Morgan County,AL,22.71468144044321,NA,37.55244755244755,23.357664233576642,NA
35614,Limestone County,AL,NA,NA,86.04895104895105,NA,NA
35630,Lauderdale County,AL,NA,NA,NA,26.277372262773724,NA
35634,Lauderdale County,AL,NA,NA,NA,NA,91.98282032927703
35640,Morgan County,AL,NA,NA,NA,27.22198368398454,NA
35653,Franklin County,AL,NA,NA,70.34965034965035,74.96779733791327,NA
35670,Morgan County,AL,NA,NA,72.3076923076923,NA,NA
35673,Morgan County,AL,NA,NA,59.58041958041959,NA,NA
35749,Madison County,AL,50.69252077562327,NA,NA,NA,NA
35750,Madison County,AL,NA,NA,NA,NA,68.50393700787401
35758,Madison County,AL,NA,NA,28.18181818181818,NA,NA
35761,Madison County,AL,81.99445983379502,NA,NA,NA,NA
35763,Madison County,AL,NA,NA,68.32167832167832,NA,NA
35769,Jackson County,AL,NA,NA,NA,NA,62.276306370794565
35802,Madison County,AL,NA,NA,NA,NA,14.602720114531136
35803,Madison County,AL,NA,NA,NA,NA,22.476735862562634
35810,Madison County,AL,NA,NA,53.531468531468526,NA,NA
35811,Madison County,AL,NA,NA,30.594405594405593,NA,NA
35901,Etowah County,AL,NA,NA,NA,61.356805495920995,NA
35904,Etowah County,AL,NA,NA,NA,NA,65.56907659269864
35907,Etowah County,AL,NA,NA,77.41258741258741,NA,NA
35951,Marshall County,AL,NA,NA,NA,71.61872048089309,NA
35954,Etowah County,AL,NA,NA,48.77622377622377,NA,NA
35956,Etowah County,AL,81.7174515235457,NA,NA,NA,NA
35960,Cherokee County,AL,NA,NA,NA,89.43752683555174,NA
35962,DeKalb County,AL,NA,NA,77.83216783216783,NA,NA
35967,DeKalb County,AL,NA,NA,54.75524475524476,NA,NA
35976,Marshall County,AL,NA,NA,NA,26.14856161442679,NA
36016,Barbour County,AL,NA,NA,97.76223776223776,NA,NA
36022,Elmore County,AL,NA,NA,63.00699300699301,NA,NA
36025,Elmore County,AL,NA,NA,94.47552447552448,NA,NA
36066,Autauga County,AL,NA,NA,NA,79.08973808501503,NA
