fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,64.3756050338819
01005,Barbour County,AL,80.44530493707647
01007,Bibb County,AL,NA
01009,Blount County,AL,NA
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,10.842207163601161
01017,Chambers County,AL,65.82768635043563
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,37.27008712487899
01045,Dale County,AL,NA
01047,Dallas County,AL,53.92061955469506
01049,DeKalb County,AL,NA
01051,Elmore County,AL,33.39787028073572
01053,Escambia County,AL,NA
01055,Etowah County,AL,10.067763794772508
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,79.67086156824782
01067,Henry County,AL,NA
01069,Houston County,AL,18.489835430784122
01071,Jackson County,AL,68.054211035818
01073,Jefferson County,AL,20.90997095837367
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,NA
01079,Lawrence County,AL,NA
01081,Lee County,AL,25.169409486931265
01083,Limestone County,AL,27.49273959341723
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,NA
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,73.28170377541142
01097,Mobile County,AL,66.98935140367861
01099,Monroe County,AL,90.4162633107454
01101,Montgomery County,AL,44.336882865440465
01103,Morgan County,AL,72.21684414327201
01105,Perry County,AL,91.19070667957405
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,NA
01115,St. Clair County,AL,31.07454017424976
01117,Shelby County,AL,6.582768635043562
01119,Sumter County,AL,NA
01121,Talladega County,AL,NA
01123,Tallapoosa County,AL,61.181026137463704
01125,Tuscaloosa County,AL,13.939980638915781
01127,Walker County,AL,35.237173281703775
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,20.232333010648595
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,53.242981606969984
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,NA
04003,Cochise County,AZ,NA
04005,Coconino County,AZ,36.10842207163601
04007,Gila County,AZ,NA
04009,Graham County,AZ,NA
04012,La Paz County,AZ,73.57212003872216
04013,Maricopa County,AZ,31.461761858664083
04015,Mohave County,AZ,54.50145208131656
04017,Navajo County,AZ,46.563407550822845
04019,Pima County,AZ,21.10358180058083
04021,Pinal County,AZ,52.565343659244924
04023,Santa Cruz County,AZ,NA
04025,Yavapai County,AZ,37.7541142303969
04027,Yuma County,AZ,21.878025169409486
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,NA
05007,Benton County,AR,91.67473378509197
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,NA
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,NA
05031,Craighead County,AR,77.05711519845111
05033,Crawford County,AR,NA
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,NA
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,NA
05053,Grant County,AR,NA
05055,Greene County,AR,NA
05057,Hempstead County,AR,NA
05059,Hot Spring County,AR,NA
05061,Howard County,AR,NA
05063,Independence County,AR,NA
05067,Jackson County,AR,NA
05069,Jefferson County,AR,NA
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,86.35043562439496
05085,Lonoke County,AR,48.402710551790904
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,87.31848983543078
05093,Mississippi County,AR,76.0890609874153
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,NA
05115,Pope County,AR,NA
05119,Pulaski County,AR,0.6776379477250726
05121,Randolph County,AR,NA
05123,St. Francis County,AR,NA
05125,Saline County,AR,72.31364956437561
05127,Scott County,AR,NA
05129,Searcy County,AR,NA
05131,Sebastian County,AR,NA
05133,Sevier County,AR,NA
05135,Sharp County,AR,NA
05137,Stone County,AR,NA
05139,Union County,AR,NA
05141,Van Buren County,AR,NA
05143,Washington County,AR,76.86350435624395
05145,White County,AR,80.54211035818007
05149,Yell County,AR,NA
06001,Alameda County,CA,35.91481122942885
06005,Amador County,CA,NA
06007,Butte County,CA,21.97483059051307
06009,Calaveras County,CA,NA
06011,Colusa County,CA,NA
06013,Contra Costa County,CA,12.87512100677638
06015,Del Norte County,CA,80.73572120038722
06017,El Dorado County,CA,77.1539206195547
06019,Fresno County,CA,24.491771539206194
06021,Glenn County,CA,NA
06023,Humboldt County,CA,54.404646660212975
06025,Imperial County,CA,37.947725072604065
06027,Inyo County,CA,NA
06029,Kern County,CA,11.423039690222653
06031,Kings County,CA,NA
06033,Lake County,CA,67.95740561471443
06035,Lassen County,CA,NA
06037,Los Angeles County,CA,29.62245885769603
06039,Madera County,CA,72.41045498547919
06041,Marin County,CA,4.646660212971927
06043,Mariposa County,CA,NA
06045,Mendocino County,CA,30.20329138431752
06047,Merced County,CA,9.390125847047434
06049,Modoc County,CA,NA
06051,Mono County,CA,NA
06053,Monterey County,CA,29.235237173281703
06055,Napa County,CA,NA
06057,Nevada County,CA,29.428848015488867
06059,Orange County,CA,37.173281703775416
06061,Placer County,CA,57.69603097773476
06063,Plumas County,CA,NA
06065,Riverside County,CA,12.003872216844142
06067,Sacramento County,CA,18.39303000968054
06069,San Benito County,CA,NA
06071,San Bernardino County,CA,38.8189738625363
06073,San Diego County,CA,20.135527589545017
06075,San Francisco County,CA,60.50338818973863
06077,San Joaquin County,CA,0.1936108422071636
06079,San Luis Obispo County,CA,NA
