ZipCode,county,state,Retirement
35806,Madison County,AL,67.97752808988764
36567,Baldwin County,AL,84.26966292134831
36703,Dallas County,AL,66.29213483146067
85208,Maricopa County,AZ,43.82022471910113
85249,Maricopa County,AZ,80.33707865168539
85308,Maricopa County,AZ,20.786516853932586
90650,Los Angeles County,CA,19.101123595505616
91316,Los Angeles County,CA,58.98876404494382
91352,Los Angeles County,CA,50
91752,Riverside County,CA,71.34831460674157
92101,San Diego County,CA,12.921348314606742
92126,San Diego County,CA,37.07865168539326
92127,San Diego County,CA,79.21348314606742
93230,Kings County,CA,19.662921348314608
93444,San Luis Obispo County,CA,92.69662921348315
93706,Fresno County,CA,81.46067415730337
95130,Santa Clara County,CA,98.31460674157303
95666,Amador County,CA,90.4494382022472
95765,Placer County,CA,77.52808988764045
95820,Sacramento County,CA,44.9438202247191
80128,Jefferson County,CO,65.73033707865169
80228,Jefferson County,CO,62.35955056179775
06095,Hartford County,CT,34.831460674157306
06514,New Haven County,CT,36.51685393258427
06610,Fairfield County,CT,60.67415730337079
06801,Fairfield County,CT,61.79775280898876
32082,St. Johns County,FL,74.15730337078652
32162,Sumter County,FL,2.247191011235955
32169,Volusia County,FL,69.66292134831461
32174,Volusia County,FL,14.606741573033707
32220,Duval County,FL,58.42696629213483
32257,Duval County,FL,26.96629213483146
32333,Gadsden County,FL,84.8314606741573
32507,Escambia County,FL,16.853932584269664
32926,Brevard County,FL,51.12359550561798
33012,Miami-Dade County,FL,26.40449438202247
33016,Miami-Dade County,FL,62.92134831460674
33182,Miami-Dade County,FL,92.13483146067416
33325,Broward County,FL,75.28089887640449
33510,Hillsborough County,FL,87.07865168539325
33993,Lee County,FL,57.865168539325836
34112,Collier County,FL,41.01123595505618
34222,Manatee County,FL,82.02247191011236
34241,Sarasota County,FL,71.91011235955057
34606,Hernando County,FL,44.38202247191011
34711,Lake County,FL,5.617977528089887
34748,Lake County,FL,12.359550561797752
34986,St. Lucie County,FL,28.08988764044944
30052,Walton County,GA,10.674157303370785
30248,Henry County,GA,68.53932584269663
31520,Glynn County,GA,60.67415730337079
31533,Coffee County,GA,76.96629213483146
31909,Muscogee County,GA,31.46067415730337
83651,Canyon County,ID,15.168539325842698
60045,Lake County,IL,24.719101123595504
60192,Cook County,IL,89.32584269662921
60193,Cook County,IL,13.48314606741573
46069,Hamilton County,IN,95.50561797752809
46383,Porter County,IN,6.179775280898876
46385,Porter County,IN,3.3707865168539324
46970,Miami County,IN,24.15730337078652
50021,Polk County,IA,93.25842696629213
40508,Fayette County,KY,75.84269662921348
41042,Boone County,KY,8.426966292134832
41091,Boone County,KY,76.40449438202246
42501,Pulaski County,KY,65.1685393258427
42633,Wayne County,KY,40.44943820224719
70427,Washington Parish,LA,25.280898876404496
70535,St. Landry Parish,LA,82.58426966292134
21601,Talbot County,MD,47.19101123595505
01801,Middlesex County,MA,0.5617977528089888
01915,Essex County,MA,1.1235955056179776
01949,Essex County,MA,73.03370786516854
02116,Suffolk County,MA,2.8089887640449436
02446,Norfolk County,MA,7.865168539325842
48105,Washtenaw County,MI,18.53932584269663
48130,Washtenaw County,MI,41.57303370786517
48306,Oakland County,MI,23.595505617977526
49456,Ottawa County,MI,32.58426966292135
55117,Ramsey County,MN,43.258426966292134
55123,Dakota County,MN,83.14606741573034
55317,Carver County,MN,93.82022471910112
55337,Dakota County,MN,27.52808988764045
55343,Hennepin County,MN,46.06741573033708
55417,Hennepin County,MN,55.0561797752809
56007,Freeborn County,MN,10.112359550561797
56537,Otter Tail County,MN,11.235955056179774
39540,Harrison County,MS,70.2247191011236
07065,Union County,NJ,38.764044943820224
07748,Monmouth County,NJ,66.85393258426966
07901,Union County,NJ,88.76404494382022
07960,Morris County,NJ,21.910112359550563
08234,Atlantic County,NJ,17.415730337078653
87110,Bernalillo County,NM,11.797752808988763
13021,Cayuga County,NY,1.6853932584269662
13856,Delaware County,NY,96.62921348314607
14150,Erie County,NY,6.741573033707865
14223,Erie County,NY,42.69662921348314
14304,Niagara County,NY,3.932584269662921
14626,Monroe County,NY,4.49438202247191
27104,Forsyth County,NC,7.303370786516854
27516,Orange County,NC,15.730337078651685
28612,Burke County,NC,60.1123595505618
58104,Cass County,ND,49.43820224719101
43050,Knox County,OH,5.056179775280898
44035,Lorain County,OH,0
44241,Portage County,OH,22.47191011235955
44515,Mahoning County,OH,14.04494382022472
44842,Ashland County,OH,94.9438202247191
44857,Huron County,OH,9.550561797752808
45233,Hamilton County,OH,78.08988764044943
45246,Hamilton County,OH,73.59550561797754
45249,Hamilton County,OH,89.8876404494382
45502,Clark County,OH,63.48314606741573
74074,Payne County,OK,45.50561797752809
74107,Tulsa County,OK,79.7752808988764
15025,Allegheny County,PA,51.68539325842697
15425,Fayette County,PA,25.842696629213485
15644,Westmoreland County,PA,38.20224719101123
15825,Jefferson County,PA,50.56179775280899
16415,Erie County,PA,99.43820224719101
16510,Erie County,PA,48.31460674157304
