ZipCode,county,state,Adult,Retirement,Geriatric
35005,Jefferson County,AL,NA,NA,88.34080717488789
35007,Shelby County,AL,NA,NA,88.25112107623319
35023,Jefferson County,AL,NA,14.750290360046458,NA
35031,Blount County,AL,91.99507389162561,NA,NA
35068,Jefferson County,AL,NA,92.21835075493613,NA
35080,Shelby County,AL,NA,75.49361207897793,NA
35111,Tuscaloosa County,AL,NA,NA,61.70403587443947
35127,Jefferson County,AL,86.33004926108374,NA,NA
35160,Talladega County,AL,51.35467980295566,NA,29.417040358744394
35203,Jefferson County,AL,NA,NA,100
35207,Jefferson County,AL,72.78325123152709,NA,NA
35211,Jefferson County,AL,NA,23.577235772357724,NA
35212,Jefferson County,AL,NA,NA,92.10762331838565
35228,Jefferson County,AL,NA,NA,80.80717488789237
35404,Tuscaloosa County,AL,16.133004926108374,NA,NA
35405,Tuscaloosa County,AL,8.497536945812808,NA,NA
35503,Walker County,AL,69.08866995073892,NA,NA
35601,Morgan County,AL,14.77832512315271,NA,NA
35611,Limestone County,AL,NA,NA,53.54260089686098
35614,Limestone County,AL,77.83251231527095,NA,NA
35630,Lauderdale County,AL,NA,71.54471544715447,NA
35633,Lauderdale County,AL,NA,61.20789779326364,NA
35640,Morgan County,AL,35.714285714285715,NA,NA
35650,Lawrence County,AL,NA,NA,73.45291479820628
35748,Madison County,AL,94.82758620689656,NA,92.19730941704036
35805,Madison County,AL,NA,66.7828106852497,NA
35816,Madison County,AL,NA,69.45412311265969,NA
35904,Etowah County,AL,48.52216748768473,NA,NA
35957,Marshall County,AL,50.12315270935961,84.90127758420442,NA
35960,Cherokee County,AL,75.73891625615764,NA,NA
36089,Bullock County,AL,80.41871921182266,NA,82.24215246636771
36104,Montgomery County,AL,84.72906403940887,NA,NA
36109,Montgomery County,AL,NA,63.99535423925668,NA
36110,Montgomery County,AL,NA,NA,73.54260089686099
36301,Houston County,AL,NA,16.376306620209057,NA
36305,Houston County,AL,NA,NA,66.00896860986548
36330,Coffee County,AL,NA,NA,46.18834080717489
36420,Covington County,AL,NA,NA,97.39910313901345
36522,Mobile County,AL,NA,97.09639953542393,NA
36551,Baldwin County,AL,80.78817733990148,NA,NA
36582,Mobile County,AL,53.07881773399015,NA,NA
36604,Mobile County,AL,NA,90.70847851335657,NA
36608,Mobile County,AL,47.41379310344828,NA,NA
36609,Mobile County,AL,64.03940886699507,NA,NA
36618,Mobile County,AL,NA,NA,69.68609865470852
36732,Marengo County,AL,NA,72.12543554006969,NA
99508,Anchorage Municipality,AK,17.48768472906404,NA,95.7847533632287
99559,Bethel Census Area,AK,90.14778325123153,NA,NA
99654,Matanuska-Susitna Borough,AK,37.19211822660098,NA,NA
99701,Fairbanks North Star Borough,AK,NA,NA,81.79372197309416
99801,Juneau City and Borough,AK,53.44827586206896,68.40882694541232,NA
85008,Maricopa County,AZ,14.655172413793101,78.51335656213705,NA
85009,Maricopa County,AZ,NA,79.44250871080139,NA
85013,Maricopa County,AZ,53.57142857142857,NA,69.32735426008969
85014,Maricopa County,AZ,NA,NA,85.1121076233184
85015,Maricopa County,AZ,NA,NA,92.82511210762333
85021,Maricopa County,AZ,NA,32.28803716608595,NA
85022,Maricopa County,AZ,NA,27.293844367015097,NA
85029,Maricopa County,AZ,NA,43.321718931475026,NA
85032,Maricopa County,AZ,NA,NA,46.00896860986547
