ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35010,Tallapoosa County,AL,49.685534591194966,NA,NA,NA
35014,Talladega County,AL,NA,NA,94.13489736070382,NA
35042,Bibb County,AL,NA,NA,NA,89.95695839311334
35043,Shelby County,AL,NA,NA,88.56304985337243,NA
35071,Jefferson County,AL,NA,97.06336939721793,NA,NA
35179,Cullman County,AL,NA,NA,82.25806451612904,NA
35184,Bibb County,AL,NA,NA,80.49853372434018,NA
35215,Jefferson County,AL,NA,56.87789799072643,NA,NA
35216,Jefferson County,AL,NA,NA,48.38709677419355,NA
35404,Tuscaloosa County,AL,NA,20.09273570324575,NA,NA
35405,Tuscaloosa County,AL,14.465408805031446,NA,NA,NA
35466,Pickens County,AL,NA,NA,86.65689149560117,NA
35570,Marion County,AL,NA,70.94281298299846,51.90615835777126,NA
35582,Franklin County,AL,NA,93.81761978361669,NA,NA
35613,Limestone County,AL,NA,NA,46.18768328445748,NA
35633,Lauderdale County,AL,NA,58.42349304482226,NA,NA
35645,Lauderdale County,AL,NA,NA,NA,91.67862266857962
35660,Colbert County,AL,NA,73.72488408037094,NA,NA
35739,Limestone County,AL,NA,NA,NA,99.85652797704448
35749,Madison County,AL,52.51572327044025,NA,NA,NA
35761,Madison County,AL,NA,NA,74.04692082111437,NA
35810,Madison County,AL,NA,NA,19.941348973607038,NA
35906,Etowah County,AL,NA,NA,77.85923753665689,NA
35953,St. Clair County,AL,NA,NA,90.9090909090909,NA
35967,DeKalb County,AL,NA,68.6244204018547,NA,NA
35976,Marshall County,AL,NA,NA,33.87096774193548,51.36298421807748
36092,Elmore County,AL,56.289308176100626,NA,NA,NA
36109,Montgomery County,AL,NA,52.24111282843895,NA,NA
36111,Montgomery County,AL,93.39622641509435,NA,NA,NA
36301,Houston County,AL,NA,NA,NA,21.52080344332855
36305,Houston County,AL,70.12578616352201,NA,NA,NA
36323,Coffee County,AL,NA,NA,NA,87.94835007173602
36421,Covington County,AL,83.33333333333334,NA,NA,NA
36460,Monroe County,AL,NA,NA,93.841642228739,NA
36542,Baldwin County,AL,NA,NA,65.24926686217009,NA
36571,Mobile County,AL,NA,73.57032457496136,NA,NA
36575,Mobile County,AL,89.62264150943396,NA,NA,NA
36606,Mobile County,AL,63.52201257861635,NA,NA,NA
36609,Mobile County,AL,NA,63.06027820710973,NA,NA
36610,Mobile County,AL,NA,NA,83.87096774193549,NA
99508,Anchorage Municipality,AK,NA,NA,NA,58.68005738880918
99615,Kodiak Island Borough,AK,NA,NA,86.80351906158357,NA
85016,Maricopa County,AZ,NA,NA,33.724340175953074,NA
85020,Maricopa County,AZ,NA,41.88562596599691,NA,NA
85022,Maricopa County,AZ,NA,24.111282843894898,NA,NA
85029,Maricopa County,AZ,NA,NA,41.49560117302053,47.20229555236729
85033,Maricopa County,AZ,NA,NA,72.87390029325513,NA
85041,Maricopa County,AZ,5.9748427672955975,NA,NA,NA
85042,Maricopa County,AZ,NA,31.375579598145286,NA,NA
85086,Maricopa County,AZ,29.874213836477985,NA,NA,NA
85120,Pinal County,AZ,NA,46.21329211746523,NA,NA
85139,Pinal County,AZ,60.691823899371066,NA,NA,NA
85140,Pinal County,AZ,NA,NA,43.10850439882698,NA
85202,Maricopa County,AZ,NA,24.57496136012365,NA,NA
85205,Maricopa County,AZ,NA,NA,NA,22.525107604017215
85208,Maricopa County,AZ,NA,NA,NA,24.820659971305595
85209,Maricopa County,AZ,NA,66.46058732612056,NA,18.364418938307033
85215,Maricopa County,AZ,NA,85.00772797527047,NA,NA
85224,Maricopa County,AZ,NA,49.45904173106646,NA,NA
