fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,NA
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,28.371767994409502
01011,Bullock County,AL,NA
01013,Butler County,AL,70.51013277428372
01015,Calhoun County,AL,28.441649196366175
01017,Chambers County,AL,36.477987421383645
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,99.44095038434662
01043,Cullman County,AL,NA
01045,Dale County,AL,35.84905660377358
01047,Dallas County,AL,NA
01049,DeKalb County,AL,NA
01051,Elmore County,AL,10.90146750524109
01053,Escambia County,AL,NA
01055,Etowah County,AL,3.0747728860936405
01057,Fayette County,AL,84.0670859538784
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,54.15793151642209
01071,Jackson County,AL,39.20335429769392
01073,Jefferson County,AL,3.004891684136967
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,NA
01079,Lawrence County,AL,40.25157232704403
01081,Lee County,AL,NA
01083,Limestone County,AL,8.665269042627532
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,25.22711390635919
01091,Marengo County,AL,NA
01093,Marion County,AL,36.3382250174703
01095,Marshall County,AL,16.701607267645002
01097,Mobile County,AL,0.2795248078266946
01099,Monroe County,AL,86.02375960866527
01101,Montgomery County,AL,27.952480782669465
01103,Morgan County,AL,2.2361984626135567
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,61.984626135569535
01111,Randolph County,AL,77.91754018169112
01113,Russell County,AL,NA
01115,St. Clair County,AL,NA
01117,Shelby County,AL,2.166317260656883
01119,Sumter County,AL,NA
01121,Talladega County,AL,7.756813417190776
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,33.05380852550664
01127,Walker County,AL,12.22921034241789
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,0.7686932215234101
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,73.93431167016072
02122,Kenai Peninsula Borough,AK,85.60447239692522
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
