ZipCode,county,state,Adult
35401,Tuscaloosa County,AL,62.31003039513677
35470,Sumter County,AL,98.48024316109422
36067,Autauga County,AL,71.42857142857143
36116,Montgomery County,AL,23.70820668693009
36532,Baldwin County,AL,82.97872340425532
36605,Mobile County,AL,46.808510638297875
85029,Maricopa County,AZ,25.835866261398177
85086,Maricopa County,AZ,48.02431610942249
85131,Pinal County,AZ,78.72340425531915
85210,Maricopa County,AZ,25.53191489361702
85338,Maricopa County,AZ,39.209726443769
86429,Mohave County,AZ,88.75379939209726
71603,Jefferson County,AR,39.51367781155015
90023,Los Angeles County,CA,43.46504559270517
90026,Los Angeles County,CA,54.40729483282675
90044,Los Angeles County,CA,9.118541033434651
90250,Los Angeles County,CA,26.74772036474164
90260,Los Angeles County,CA,76.59574468085107
90504,Los Angeles County,CA,72.03647416413374
91040,Los Angeles County,CA,86.62613981762918
91342,Los Angeles County,CA,58.662613981762924
91344,Los Angeles County,CA,94.83282674772036
91602,Los Angeles County,CA,80.85106382978722
91763,San Bernardino County,CA,67.47720364741642
91911,San Diego County,CA,61.09422492401215
92352,San Bernardino County,CA,97.56838905775076
92584,Riverside County,CA,51.671732522796354
92604,Orange County,CA,79.93920972644378
92807,Orange County,CA,61.702127659574465
93204,Kings County,CA,91.7933130699088
93550,Los Angeles County,CA,15.19756838905775
94133,San Francisco County,CA,76.29179331306992
94601,Alameda County,CA,51.97568389057751
95202,San Joaquin County,CA,33.73860182370821
95210,San Joaquin County,CA,44.37689969604863
95403,Sonoma County,CA,57.14285714285714
95453,Lake County,CA,73.25227963525836
95620,Solano County,CA,94.52887537993921
95648,Placer County,CA,63.829787234042556
95833,Sacramento County,CA,47.72036474164133
95973,Butte County,CA,24.924012158054712
80022,Adams County,CO,20.364741641337385
80023,Broomfield County,CO,82.67477203647417
80134,Douglas County,CO,29.17933130699088
80214,Jefferson County,CO,49.848024316109424
80221,Adams County,CO,36.17021276595745
80232,Jefferson County,CO,91.48936170212765
80808,El Paso County,CO,91.1854103343465
06010,Hartford County,CT,3.0395136778115504
19713,New Castle County,DE,35.25835866261398
19720,New Castle County,DE,5.167173252279635
19803,New Castle County,DE,66.26139817629179
19973,Sussex County,DE,18.84498480243161
32207,Duval County,FL,21.27659574468085
32216,Duval County,FL,22.492401215805472
32233,Duval County,FL,47.41641337386018
32506,Escambia County,FL,67.17325227963525
32507,Escambia County,FL,43.161094224924014
32640,Putnam County,FL,62.61398176291794
32771,Seminole County,FL,19.756838905775076
32789,Orange County,FL,73.55623100303951
33147,Miami-Dade County,FL,36.77811550151976
33406,Palm Beach County,FL,77.50759878419453
33428,Palm Beach County,FL,41.33738601823708
33434,Palm Beach County,FL,84.49848024316108
33470,Palm Beach County,FL,68.9969604863222
33610,Hillsborough County,FL,98.78419452887537
33705,Pinellas County,FL,32.82674772036474
33781,Pinellas County,FL,55.319148936170215
33844,Polk County,FL,82.37082066869301
33903,Lee County,FL,65.95744680851064
33993,Lee County,FL,96.04863221884499
34205,Manatee County,FL,70.2127659574468
34654,Pasco County,FL,87.2340425531915
30035,DeKalb County,GA,62.00607902735562
30501,Hall County,GA,69.6048632218845
30739,Walker County,GA,92.09726443768997
31015,Crisp County,GA,56.53495440729483
31093,Houston County,GA,38.60182370820669
31701,Dougherty County,GA,52.88753799392097
96720,Hawaii County,HI,38.297872340425535
83647,Elmore County,ID,51.3677811550152
83854,Kootenai County,ID,37.08206686930091
60101,DuPage County,IL,64.43768996960486
60140,Kane County,IL,74.46808510638297
60156,McHenry County,IL,41.94528875379939
60189,DuPage County,IL,41.03343465045592
60432,Will County,IL,61.39817629179332
60441,Will County,IL,24.620060790273556
60459,Cook County,IL,38.90577507598784
60466,Cook County,IL,78.11550151975683
60617,Cook County,IL,9.422492401215806
60629,Cook County,IL,8.51063829787234
60644,Cook County,IL,35.86626139817629
61455,McDonough County,IL,85.1063829787234
61604,Peoria County,IL,84.19452887537993
62656,Logan County,IL,75.6838905775076
46201,Marion County,IN,71.12462006079028
46203,Marion County,IN,12.158054711246201
46307,Lake County,IN,14.893617021276595
46311,Lake County,IN,36.474164133738604
46323,Lake County,IN,72.94832826747721
46360,LaPorte County,IN,28.57142857142857
46410,Lake County,IN,8.814589665653495
46516,Elkhart County,IN,20.66869300911854
46755,Noble County,IN,31.914893617021278
46962,Wabash County,IN,95.74468085106383
47610,Warrick County,IN,90.88145896656535
47713,Vanderburgh County,IN,86.01823708206688
47804,Vigo County,IN,93.9209726443769
50315,Polk County,IA,59.27051671732523
50501,Webster County,IA,27.0516717325228
52001,Dubuque County,IA,89.96960486322189
52761,Muscatine County,IA,46.20060790273556
67212,Sedgwick County,KS,66.8693009118541
40215,Jefferson County,KY,21.88449848024316
70127,Orleans Parish,LA,9.72644376899696
70301,Lafourche Parish,LA,4.25531914893617
