ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35010,Tallapoosa County,AL,NA,NA,67.08333333333333,NA,NA
35014,Talladega County,AL,NA,NA,NA,94.46888749214331,NA
35016,Marshall County,AL,NA,NA,NA,NA,46.909090909090914
35020,Jefferson County,AL,50.64724919093852,43.859649122807014,10.946969696969697,NA,NA
35022,Jefferson County,AL,NA,70.6140350877193,NA,NA,NA
35023,Jefferson County,AL,NA,NA,25.454545454545453,NA,NA
35040,Shelby County,AL,NA,NA,77.27272727272727,NA,NA
35043,Shelby County,AL,NA,NA,NA,NA,96.72727272727273
35045,Chilton County,AL,NA,NA,60.303030303030305,NA,NA
35055,Cullman County,AL,64.07766990291263,NA,NA,NA,NA
35072,Coosa County,AL,NA,NA,85.87121212121212,NA,NA
35077,Cullman County,AL,NA,NA,57.95454545454546,67.1904462602137,NA
35111,Tuscaloosa County,AL,NA,NA,41.89393939393939,NA,NA
35114,Shelby County,AL,NA,NA,90,NA,NA
35121,Blount County,AL,NA,64.03508771929825,NA,NA,NA
35124,Shelby County,AL,NA,NA,62.65151515151515,NA,NA
35127,Jefferson County,AL,NA,NA,82.87878787878788,NA,NA
35133,Blount County,AL,64.88673139158576,NA,NA,NA,NA
35150,Talladega County,AL,NA,60.96491228070175,70.79545454545455,NA,NA
35173,Jefferson County,AL,NA,NA,NA,38.90634820867379,NA
35211,Jefferson County,AL,NA,NA,12.15909090909091,NA,33.81818181818182
35214,Jefferson County,AL,NA,NA,27.083333333333332,NA,NA
35215,Jefferson County,AL,NA,NA,28.90151515151515,NA,NA
35226,Jefferson County,AL,NA,NA,NA,19.23318667504714,NA
35235,Jefferson County,AL,NA,NA,51.93181818181818,NA,NA
35242,Shelby County,AL,NA,NA,62.992424242424235,11.502199874292897,NA
35401,Tuscaloosa County,AL,NA,NA,NA,17.15901948460088,NA
35405,Tuscaloosa County,AL,NA,NA,NA,10.81081081081081,NA
35453,Tuscaloosa County,AL,NA,NA,51.628787878787875,69.20175989943432,NA
35476,Tuscaloosa County,AL,NA,NA,60.60606060606061,NA,NA
35553,Winston County,AL,NA,NA,94.46969696969697,NA,NA
35611,Limestone County,AL,54.85436893203883,NA,NA,NA,NA
35630,Lauderdale County,AL,NA,NA,25.90909090909091,NA,45.81818181818182
