fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,38.333333333333336
01003,Baldwin County,AL,41.94260485651214,85.45454545454545
01009,Blount County,AL,77.92494481236203,69.6969696969697
01011,Bullock County,AL,NA,97.34848484848484
01015,Calhoun County,AL,NA,54.015151515151516
01017,Chambers County,AL,NA,75.07575757575758
01033,Colbert County,AL,NA,56.13636363636364
01039,Covington County,AL,NA,31.96969696969697
01043,Cullman County,AL,NA,51.66666666666667
01045,Dale County,AL,NA,46.28787878787879
01047,Dallas County,AL,NA,66.89393939393939
01049,DeKalb County,AL,NA,66.81818181818183
01051,Elmore County,AL,NA,14.242424242424242
01053,Escambia County,AL,88.0794701986755,NA
01055,Etowah County,AL,NA,18.560606060606062
01069,Houston County,AL,NA,6.666666666666667
01073,Jefferson County,AL,11.479028697571744,39.24242424242424
01079,Lawrence County,AL,NA,77.65151515151516
01081,Lee County,AL,NA,9.469696969696969
01089,Madison County,AL,NA,6.0606060606060606
01097,Mobile County,AL,35.099337748344375,32.72727272727273
01099,Monroe County,AL,NA,86.96969696969697
01101,Montgomery County,AL,NA,10.53030303030303
01103,Morgan County,AL,73.28918322295806,29.62121212121212
01105,Perry County,AL,95.36423841059603,NA
01113,Russell County,AL,75.05518763796908,NA
01115,St. Clair County,AL,59.38189845474614,NA
01117,Shelby County,AL,NA,13.106060606060607
01125,Tuscaloosa County,AL,26.93156732891832,NA
02020,Anchorage Municipality,AK,NA,7.575757575757576
02122,Kenai Peninsula Borough,AK,79.91169977924945,79.31818181818183
02170,Matanuska-Susitna Borough,AK,66.00441501103754,73.93939393939394
04001,Apache County,AZ,64.45916114790286,94.16666666666667
04003,Cochise County,AZ,NA,43.25757575757576
04005,Coconino County,AZ,NA,80.45454545454545
04007,Gila County,AZ,78.1456953642384,64.77272727272727
04009,Graham County,AZ,62.47240618101545,NA
04013,Maricopa County,AZ,11.258278145695364,50.303030303030305
04015,Mohave County,AZ,29.13907284768212,33.63636363636363
04017,Navajo County,AZ,NA,83.78787878787878
04019,Pima County,AZ,9.713024282560706,51.515151515151516
04021,Pinal County,AZ,33.99558498896248,24.166666666666668
04023,Santa Cruz County,AZ,NA,83.4090909090909
04025,Yavapai County,AZ,NA,74.24242424242425
04027,Yuma County,AZ,58.27814569536424,8.409090909090908
05007,Benton County,AR,NA,16.893939393939394
05021,Clay County,AR,NA,97.57575757575758
05033,Crawford County,AR,NA,40.07575757575758
05045,Faulkner County,AR,NA,64.54545454545455
05079,Lincoln County,AR,NA,89.62121212121212
05083,Logan County,AR,NA,78.56060606060606
05085,Lonoke County,AR,NA,28.030303030303028
05091,Miller County,AR,NA,79.84848484848484
05119,Pulaski County,AR,NA,12.34848484848485
05121,Randolph County,AR,NA,100
05131,Sebastian County,AR,NA,59.3939393939394
05143,Washington County,AR,NA,7.348484848484849
05145,White County,AR,NA,36.13636363636364
06001,Alameda County,CA,1.3245033112582782,16.28787878787879
06005,Amador County,CA,NA,60.07575757575757
06007,Butte County,CA,20.309050772626932,8.484848484848486
06009,Calaveras County,CA,NA,88.25757575757575
06013,Contra Costa County,CA,6.181015452538632,26.969696969696972
06017,El Dorado County,CA,NA,38.484848484848484
06019,Fresno County,CA,19.426048565121413,30.37878787878788
06023,Humboldt County,CA,88.30022075055187,33.484848484848484
06025,Imperial County,CA,37.52759381898454,37.57575757575757
06029,Kern County,CA,39.0728476821192,64.01515151515152
06031,Kings County,CA,51.65562913907284,NA
06037,Los Angeles County,CA,17.439293598233995,34.166666666666664
06039,Madera County,CA,28.697571743929362,35.303030303030305
06041,Marin County,CA,NA,1.7424242424242427
06045,Mendocino County,CA,NA,12.575757575757576
06047,Merced County,CA,18.543046357615893,51.21212121212121
06053,Monterey County,CA,49.668874172185426,56.36363636363636
06055,Napa County,CA,NA,50.530303030303024
06057,Nevada County,CA,NA,89.92424242424242
06059,Orange County,CA,27.81456953642384,24.242424242424242
06061,Placer County,CA,NA,5.606060606060606
06065,Riverside County,CA,24.503311258278146,31.590909090909093
06067,Sacramento County,CA,1.7660044150110374,48.18181818181818
06071,San Bernardino County,CA,37.30684326710817,77.80303030303031
06073,San Diego County,CA,0.8830022075055187,20.151515151515152
06075,San Francisco County,CA,NA,26.74242424242424
06077,San Joaquin County,CA,41.72185430463576,76.96969696969697
06079,San Luis Obispo County,CA,58.719646799117,37.95454545454545
06081,San Mateo County,CA,NA,68.33333333333333
06083,Santa Barbara County,CA,NA,35.984848484848484
06085,Santa Clara County,CA,2.6490066225165565,52.95454545454545
06087,Santa Cruz County,CA,NA,80.22727272727272
06089,Shasta County,CA,NA,81.43939393939394
06095,Solano County,CA,NA,30.909090909090907
06097,Sonoma County,CA,30.684326710816777,62.272727272727266
06099,Stanislaus County,CA,9.271523178807946,80.07575757575758
06101,Sutter County,CA,92.71523178807946,19.318181818181817
06107,Tulare County,CA,9.050772626931568,73.03030303030303
06109,Tuolumne County,CA,NA,58.25757575757575
06111,Ventura County,CA,52.09713024282561,32.04545454545455
06113,Yolo County,CA,NA,41.89393939393939
06115,Yuba County,CA,NA,91.89393939393939
08001,Adams County,CO,4.856512141280353,40.303030303030305
08005,Arapahoe County,CO,NA,9.924242424242424
08013,Boulder County,CO,NA,70.22727272727273
08031,Denver County,CO,NA,32.8030303030303
08035,Douglas County,CO,NA,12.5
08041,El Paso County,CO,NA,39.77272727272727
08045,Garfield County,CO,NA,45.60606060606061
08059,Jefferson County,CO,26.269315673289185,44.621212121212125
08067,La Plata County,CO,NA,49.621212121212125
08069,Larimer County,CO,NA,92.65151515151516
08071,Las Animas County,CO,NA,78.25757575757576
08077,Mesa County,CO,NA,4.46969696969697
08085,Montrose County,CO,NA,43.03030303030303
08087,Morgan County,CO,76.60044150110376,NA
08089,Otero County,CO,NA,79.01515151515152
08099,Prowers County,CO,NA,97.65151515151516
08101,Pueblo County,CO,NA,42.878787878787875
08123,Weld County,CO,NA,57.8030303030303
09001,Fairfield County,CT,1.9867549668874174,32.651515151515156
09003,Hartford County,CT,14.1280353200883,23.71212121212121
09005,Litchfield County,CT,NA,16.969696969696972
09007,Middlesex County,CT,NA,10.454545454545453
09009,New Haven County,CT,7.72626931567329,46.439393939393945
09011,New London County,CT,NA,92.72727272727272
09013,Tolland County,CT,NA,3.4848484848484853
09015,Windham County,CT,40.397350993377486,37.803030303030305
10001,Kent County,DE,23.62030905077263,32.42424242424242
10003,New Castle County,DE,15.673289183222957,32.95454545454545
10005,Sussex County,DE,NA,44.54545454545455
11001,District of Columbia,DC,34.87858719646799,34.39393939393939
12001,Alachua County,FL,32.450331125827816,22.727272727272727
12005,Bay County,FL,38.852097130242825,55.90909090909091
12007,Bradford County,FL,NA,65.15151515151516
12009,Brevard County,FL,15.2317880794702,33.03030303030303
12011,Broward County,FL,22.958057395143488,25.37878787878788
12015,Charlotte County,FL,NA,47.5
12017,Citrus County,FL,57.615894039735096,30.303030303030305
12019,Clay County,FL,32.22958057395143,49.92424242424243
12021,Collier County,FL,22.29580573951435,2.348484848484848
12023,Columbia County,FL,NA,49.77272727272727
12027,DeSoto County,FL,NA,81.21212121212122
12029,Dixie County,FL,97.35099337748345,88.33333333333333
12031,Duval County,FL,26.048565121412803,58.63636363636363
12033,Escambia County,FL,63.13465783664459,54.54545454545454
12035,Flagler County,FL,NA,27.727272727272727
12041,Gilchrist County,FL,NA,78.1060606060606
12045,Gulf County,FL,NA,70.68181818181817
12047,Hamilton County,FL,NA,87.04545454545455
12049,Hardee County,FL,NA,76.43939393939394
12051,Hendry County,FL,NA,56.8939393939394
12053,Hernando County,FL,NA,41.66666666666667
12055,Highlands County,FL,NA,1.9696969696969695
12057,Hillsborough County,FL,34.216335540838855,36.81818181818181
12061,Indian River County,FL,NA,47.878787878787875
12069,Lake County,FL,25.82781456953642,35.90909090909091
12071,Lee County,FL,4.415011037527594,5.303030303030303
12073,Leon County,FL,NA,77.12121212121212
12079,Madison County,FL,96.90949227373068,NA
12081,Manatee County,FL,50.77262693156733,7.121212121212121
12083,Marion County,FL,10.375275938189846,55.15151515151515
12085,Martin County,FL,54.52538631346579,7.803030303030304
12086,Miami-Dade County,FL,22.075055187637968,44.166666666666664
12089,Nassau County,FL,NA,36.36363636363637
12091,Okaloosa County,FL,48.56512141280353,8.787878787878787
12093,Okeechobee County,FL,NA,84.0909090909091
12095,Orange County,FL,51.87637969094923,50
12097,Osceola County,FL,NA,20
12099,Palm Beach County,FL,57.17439293598234,25.303030303030305
12101,Pasco County,FL,50.331125827814574,77.42424242424242
12103,Pinellas County,FL,19.646799116997794,53.40909090909091
12105,Polk County,FL,21.85430463576159,52.65151515151515
12107,Putnam County,FL,80.13245033112582,83.86363636363636
12109,St. Johns County,FL,NA,1.0606060606060608
12111,St. Lucie County,FL,20.750551876379692,52.5
12113,Santa Rosa County,FL,NA,64.24242424242425
12115,Sarasota County,FL,NA,44.77272727272727
12117,Seminole County,FL,NA,24.09090909090909
12121,Suwannee County,FL,NA,69.24242424242424
12123,Taylor County,FL,NA,75.15151515151514
12127,Volusia County,FL,14.348785871964681,61.06060606060606
12129,Wakulla County,FL,95.58498896247241,NA
12131,Walton County,FL,NA,8.636363636363637
12133,Washington County,FL,NA,59.84848484848485
13009,Baldwin County,GA,NA,52.57575757575758
13013,Barrow County,GA,NA,19.545454545454547
13015,Bartow County,GA,NA,75.9090909090909
13017,Ben Hill County,GA,NA,66.28787878787878
13019,Berrien County,GA,NA,83.48484848484848
13021,Bibb County,GA,NA,74.69696969696969
13023,Bleckley County,GA,NA,99.39393939393939
13029,Bryan County,GA,89.40397350993378,NA
13039,Camden County,GA,78.80794701986756,NA
13045,Carroll County,GA,NA,49.166666666666664
13047,Catoosa County,GA,NA,29.545454545454547
13049,Charlton County,GA,NA,85.98484848484848
13051,Chatham County,GA,61.147902869757175,36.515151515151516
13055,Chattooga County,GA,NA,92.34848484848484
13057,Cherokee County,GA,NA,2.803030303030303
13059,Clarke County,GA,NA,12.651515151515152
13063,Clayton County,GA,NA,23.484848484848484
13067,Cobb County,GA,8.830022075055188,1.5909090909090908
13069,Coffee County,GA,NA,83.03030303030303
13071,Colquitt County,GA,NA,48.484848484848484
13073,Columbia County,GA,65.34216335540839,22.348484848484848
13077,Coweta County,GA,NA,29.848484848484848
13081,Crisp County,GA,NA,63.56060606060606
13087,Decatur County,GA,92.93598233995584,NA
13089,DeKalb County,GA,22.737306843267106,26.590909090909093
13095,Dougherty County,GA,NA,34.92424242424242
13097,Douglas County,GA,42.60485651214128,30.984848484848488
13099,Early County,GA,NA,94.92424242424242
13111,Fannin County,GA,NA,67.04545454545455
13115,Floyd County,GA,NA,71.74242424242424
13117,Forsyth County,GA,NA,51.43939393939394
13121,Fulton County,GA,12.582781456953644,15.681818181818183
13123,Gilmer County,GA,NA,52.87878787878788
13135,Gwinnett County,GA,NA,3.7121212121212124
13137,Habersham County,GA,NA,47.42424242424242
13139,Hall County,GA,NA,54.31818181818182
13145,Harris County,GA,NA,71.51515151515152
13151,Henry County,GA,NA,3.939393939393939
13153,Houston County,GA,NA,66.06060606060606
13157,Jackson County,GA,NA,22.1969696969697
13161,Jeff Davis County,GA,94.92273730684326,NA
13175,Laurens County,GA,83.00220750551877,55.00000000000001
13177,Lee County,GA,NA,77.34848484848484
13183,Long County,GA,NA,98.7878787878788
13185,Lowndes County,GA,NA,67.8030303030303
13193,Macon County,GA,NA,97.12121212121212
13195,Madison County,GA,88.96247240618102,NA
13207,Monroe County,GA,NA,86.43939393939394
13213,Murray County,GA,NA,61.13636363636363
13215,Muscogee County,GA,NA,42.65151515151515
13217,Newton County,GA,NA,41.43939393939394
13223,Paulding County,GA,NA,65.22727272727272
13227,Pickens County,GA,100,97.27272727272728
13233,Polk County,GA,74.61368653421634,27.575757575757574
13241,Rabun County,GA,NA,89.54545454545455
13245,Richmond County,GA,33.554083885209714,49.696969696969695
13247,Rockdale County,GA,87.41721854304636,53.48484848484848
13253,Seminole County,GA,NA,86.74242424242425
13255,Spalding County,GA,NA,63.93939393939394
13261,Sumter County,GA,NA,60.984848484848484
13275,Thomas County,GA,NA,35
13277,Tift County,GA,NA,33.78787878787879
13285,Troup County,GA,NA,43.1060606060606
13289,Twiggs County,GA,NA,99.92424242424242
13297,Walton County,GA,NA,29.924242424242426
13299,Ware County,GA,NA,41.81818181818181
13313,Whitfield County,GA,NA,65.83333333333333
15001,Hawaii County,HI,81.89845474613686,68.93939393939394
15003,Honolulu County,HI,2.207505518763797,50.75757575757576
15007,Kauai County,HI,NA,46.515151515151516
15009,Maui County,HI,NA,55.68181818181818
16001,Ada County,ID,9.933774834437086,9.166666666666666
16011,Bingham County,ID,NA,88.48484848484848
16013,Blaine County,ID,NA,98.33333333333333
16017,Bonner County,ID,NA,80
16019,Bonneville County,ID,27.1523178807947,57.1969696969697
16027,Canyon County,ID,16.335540838852097,43.18181818181818
16039,Elmore County,ID,NA,66.66666666666666
16053,Jerome County,ID,NA,83.56060606060606
16055,Kootenai County,ID,NA,69.39393939393939
16059,Lemhi County,ID,NA,84.01515151515152
16067,Minidoka County,ID,NA,80.53030303030303
16069,Nez Perce County,ID,NA,60.75757575757576
16083,Twin Falls County,ID,NA,62.196969696969695
17005,Bond County,IL,NA,89.16666666666667
17011,Bureau County,IL,NA,52.196969696969695
17017,Cass County,IL,NA,96.36363636363636
17019,Champaign County,IL,NA,37.72727272727273
17027,Clinton County,IL,NA,70.53030303030303
17031,Cook County,IL,7.9470198675496695,12.424242424242424
17037,DeKalb County,IL,NA,14.166666666666666
17043,DuPage County,IL,60.70640176600441,35.15151515151515
17049,Effingham County,IL,NA,99.69696969696969
17051,Fayette County,IL,NA,93.10606060606061
17073,Henry County,IL,NA,69.84848484848484
17083,Jersey County,IL,NA,93.33333333333333
17089,Kane County,IL,51.21412803532009,46.06060606060606
17091,Kankakee County,IL,61.58940397350994,3.4090909090909087
17093,Kendall County,IL,NA,45.151515151515156
17095,Knox County,IL,NA,57.651515151515156
17097,Lake County,IL,10.816777041942604,44.696969696969695
17099,LaSalle County,IL,NA,21.666666666666668
17105,Livingston County,IL,NA,86.13636363636363
17111,McHenry County,IL,NA,10.833333333333334
17113,McLean County,IL,NA,30.606060606060602
17115,Macon County,IL,NA,94.84848484848484
17119,Madison County,IL,NA,4.696969696969696
17121,Marion County,IL,NA,34.84848484848485
17135,Montgomery County,IL,NA,67.57575757575758
17137,Morgan County,IL,NA,61.51515151515151
17141,Ogle County,IL,NA,37.42424242424243
17143,Peoria County,IL,64.67991169977924,35.75757575757576
17157,Randolph County,IL,NA,62.42424242424243
17159,Richland County,IL,NA,76.89393939393939
17163,St. Clair County,IL,NA,71.36363636363636
17165,Saline County,IL,NA,88.63636363636364
17177,Stephenson County,IL,NA,27.65151515151515
17179,Tazewell County,IL,75.27593818984548,28.78787878787879
17181,Union County,IL,NA,91.81818181818183
17183,Vermilion County,IL,NA,36.74242424242424
17185,Wabash County,IL,NA,75.83333333333333
17197,Will County,IL,39.29359823399559,15.757575757575756
17199,Williamson County,IL,NA,49.46969696969697
17201,Winnebago County,IL,NA,27.196969696969695
18003,Allen County,IN,NA,4.166666666666666
18005,Bartholomew County,IN,NA,9.621212121212121
18021,Clay County,IN,NA,66.43939393939394
18029,Dearborn County,IN,NA,46.36363636363636
18031,Decatur County,IN,NA,49.09090909090909
18033,DeKalb County,IN,NA,90.75757575757576
18035,Delaware County,IN,NA,57.27272727272727
18039,Elkhart County,IN,59.60264900662252,18.939393939393938
18041,Fayette County,IN,NA,63.10606060606061
18047,Franklin County,IN,NA,88.7121212121212
18049,Fulton County,IN,NA,69.62121212121211
18051,Gibson County,IN,NA,72.87878787878788
18057,Hamilton County,IN,42.384105960264904,36.8939393939394
18063,Hendricks County,IN,NA,56.28787878787879
18065,Henry County,IN,NA,57.878787878787875
18067,Howard County,IN,NA,25.984848484848484
18069,Huntington County,IN,NA,31.893939393939398
18071,Jackson County,IN,NA,43.484848484848484
18073,Jasper County,IN,NA,39.92424242424242
18075,Jay County,IN,NA,62.5
18079,Jennings County,IN,NA,54.39393939393939
18081,Johnson County,IN,NA,42.878787878787875
18087,LaGrange County,IN,NA,84.77272727272728
18089,Lake County,IN,44.150110375275936,20.681818181818183
18091,LaPorte County,IN,NA,19.46969696969697
18093,Lawrence County,IN,85.20971302428256,NA
18095,Madison County,IN,NA,7.727272727272727
18097,Marion County,IN,14.79028697571744,39.015151515151516
18099,Marshall County,IN,84.76821192052981,NA
18103,Miami County,IN,NA,67.95454545454545
18105,Monroe County,IN,NA,22.87878787878788
18107,Montgomery County,IN,NA,56.439393939393945
18113,Noble County,IN,NA,66.21212121212122
18123,Perry County,IN,NA,79.6969696969697
18127,Porter County,IN,18.76379690949227,0.22727272727272727
18133,Putnam County,IN,NA,59.92424242424242
18137,Ripley County,IN,NA,99.24242424242425
18139,Rush County,IN,NA,95.15151515151516
18141,St. Joseph County,IN,NA,8.863636363636363
18145,Shelby County,IN,NA,76.81818181818181
18157,Tippecanoe County,IN,NA,7.424242424242425
18163,Vanderburgh County,IN,42.82560706401766,18.409090909090907
18167,Vigo County,IN,NA,48.86363636363637
18173,Warrick County,IN,NA,23.636363636363637
18177,Wayne County,IN,70.6401766004415,35.07575757575758
18181,White County,IN,89.62472406181016,89.6969696969697
19013,Black Hawk County,IA,NA,3.787878787878788
19015,Boone County,IA,NA,64.92424242424242
19017,Bremer County,IA,99.11699779249447,NA
19019,Buchanan County,IA,NA,96.28787878787878
19021,Buena Vista County,IA,NA,78.63636363636364
19033,Cerro Gordo County,IA,NA,10.909090909090908
19041,Clay County,IA,NA,84.69696969696969
19045,Clinton County,IA,NA,80.37878787878789
19049,Dallas County,IA,NA,61.89393939393939
19059,Dickinson County,IA,NA,87.57575757575758
19061,Dubuque County,IA,NA,72.34848484848484
19065,Fayette County,IA,NA,84.24242424242424
19101,Jefferson County,IA,96.68874172185431,NA
19109,Kossuth County,IA,NA,88.03030303030303
19113,Linn County,IA,28.03532008830022,57.42424242424242
19125,Marion County,IA,NA,38.40909090909091
19137,Montgomery County,IA,NA,89.46969696969697
19153,Polk County,IA,31.788079470198678,53.939393939393945
19155,Pottawattamie County,IA,44.370860927152314,20.833333333333336
19157,Poweshiek County,IA,NA,91.96969696969697
19163,Scott County,IA,39.51434878587197,68.03030303030303
19167,Sioux County,IA,NA,94.62121212121211
19175,Union County,IA,NA,93.4090909090909
19179,Wapello County,IA,NA,97.87878787878788
19181,Warren County,IA,NA,70.07575757575758
19189,Winnebago County,IA,NA,94.24242424242424
19193,Woodbury County,IA,NA,11.969696969696969
20001,Allen County,KS,NA,97.8030303030303
20051,Ellis County,KS,NA,39.09090909090909
20061,Geary County,KS,NA,83.25757575757575
20073,Greenwood County,KS,NA,99.77272727272727
20091,Johnson County,KS,NA,87.80303030303031
20099,Labette County,KS,NA,71.21212121212122
20111,Lyon County,KS,NA,86.06060606060606
20121,Miami County,KS,NA,87.65151515151514
20169,Saline County,KS,NA,72.04545454545455
20173,Sedgwick County,KS,37.969094922737305,15.227272727272728
20177,Shawnee County,KS,NA,12.045454545454545
20193,Thomas County,KS,NA,88.4090909090909
20205,Wilson County,KS,NA,96.5909090909091
20209,Wyandotte County,KS,NA,60.60606060606061
21001,Adair County,KY,NA,70
21003,Allen County,KY,89.84547461368653,69.77272727272728
21005,Anderson County,KY,NA,69.0909090909091
21009,Barren County,KY,65.78366445916114,18.712121212121215
21011,Bath County,KY,93.15673289183223,NA
21013,Bell County,KY,79.24944812362031,30.681818181818183
21015,Boone County,KY,43.70860927152318,NA
21017,Bourbon County,KY,88.74172185430463,NA
21019,Boyd County,KY,NA,6.742424242424243
21025,Breathitt County,KY,NA,76.51515151515152
21035,Calloway County,KY,NA,84.3939393939394
21037,Campbell County,KY,55.62913907284768,56.81818181818182
21047,Christian County,KY,73.73068432671081,NA
21051,Clay County,KY,NA,75.45454545454545
21057,Cumberland County,KY,NA,93.56060606060606
21059,Daviess County,KY,83.22295805739515,44.84848484848485
21065,Estill County,KY,NA,72.65151515151516
21067,Fayette County,KY,NA,52.27272727272727
21071,Floyd County,KY,90.50772626931567,54.166666666666664
21075,Fulton County,KY,NA,90.22727272727272
21077,Gallatin County,KY,NA,99.62121212121212
21079,Garrard County,KY,92.05298013245033,92.12121212121212
21085,Grayson County,KY,NA,68.10606060606061
21089,Greenup County,KY,76.15894039735099,68.71212121212122
21101,Henderson County,KY,NA,28.863636363636363
21107,Hopkins County,KY,73.9514348785872,NA
21111,Jefferson County,KY,8.167770419426049,20.454545454545457
21113,Jessamine County,KY,73.50993377483444,38.03030303030303
21117,Kenton County,KY,NA,84.54545454545455
21125,Laurel County,KY,NA,79.77272727272727
21127,Lawrence County,KY,94.26048565121413,NA
21129,Lee County,KY,NA,92.27272727272727
21131,Leslie County,KY,NA,99.31818181818181
21133,Letcher County,KY,NA,61.28787878787879
21135,Lewis County,KY,NA,94.77272727272728
21141,Logan County,KY,NA,93.93939393939394
21145,McCracken County,KY,NA,78.18181818181819
21151,Madison County,KY,NA,37.5
21155,Marion County,KY,NA,81.5909090909091
21157,Marshall County,KY,NA,39.31818181818182
21181,Nicholas County,KY,NA,88.7878787878788
21183,Ohio County,KY,NA,92.1969696969697
21185,Oldham County,KY,NA,40.75757575757576
21187,Owen County,KY,98.67549668874173,NA
21195,Pike County,KY,NA,16.21212121212121
21199,Pulaski County,KY,NA,87.19696969696969
21205,Rowan County,KY,NA,37.196969696969695
21209,Scott County,KY,NA,41.590909090909086
21219,Todd County,KY,97.57174392935983,NA
21221,Trigg County,KY,NA,71.8939393939394
21225,Union County,KY,94.70198675496688,NA
21227,Warren County,KY,NA,55.3030303030303
21231,Wayne County,KY,NA,93.71212121212122
21237,Wolfe County,KY,NA,90.6060606060606
22001,Acadia Parish,LA,35.54083885209713,13.40909090909091
22003,Allen Parish,LA,NA,96.66666666666667
22005,Ascension Parish,LA,NA,56.96969696969697
22015,Bossier Parish,LA,NA,65.6060606060606
22017,Caddo Parish,LA,NA,1.5151515151515151
22019,Calcasieu Parish,LA,7.06401766004415,31.818181818181817
