fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,11.205432937181664
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,44.05772495755518
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,58.99830220713073
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,58.40407470288624
01025,Clarke County,AL,NA
01027,Clay County,AL,88.96434634974533
01029,Cleburne County,AL,NA
01031,Coffee County,AL,80.22071307300509
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,38.70967741935484
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,NA
01045,Dale County,AL,51.52801358234296
01047,Dallas County,AL,39.64346349745331
01049,DeKalb County,AL,39.55857385398981
01051,Elmore County,AL,NA
01053,Escambia County,AL,NA
01055,Etowah County,AL,43.03904923599321
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,85.05942275042445
01071,Jackson County,AL,NA
01073,Jefferson County,AL,10.441426146010187
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,NA
01079,Lawrence County,AL,56.112054329371816
01081,Lee County,AL,41.511035653650254
01083,Limestone County,AL,13.582342954159593
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,24.108658743633278
01091,Marengo County,AL,87.0118845500849
01093,Marion County,AL,NA
01095,Marshall County,AL,28.522920203735147
01097,Mobile County,AL,10.950764006791172
01099,Monroe County,AL,NA
01101,Montgomery County,AL,69.6943972835314
01103,Morgan County,AL,NA
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,73.68421052631578
01111,Randolph County,AL,NA
01113,Russell County,AL,44.73684210526316
01115,St. Clair County,AL,48.811544991511035
01117,Shelby County,AL,35.059422750424446
01119,Sumter County,AL,NA
01121,Talladega County,AL,41.08658743633276
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,40.2376910016978
01127,Walker County,AL,81.06960950764007
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,76.4006791171477
02020,Anchorage Municipality,AK,1.4431239388794566
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,82.42784380305602
02122,Kenai Peninsula Borough,AK,83.1918505942275
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
