ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35004,St. Clair County,AL,54.066985645933016,73.26953748006379,NA,NA
35006,Jefferson County,AL,NA,99.64912280701755,NA,NA
35007,Shelby County,AL,44.97607655502392,38.11802232854865,NA,NA
35010,Tallapoosa County,AL,NA,55.15151515151515,NA,NA
35016,Marshall County,AL,60.76555023923444,82.13716108452951,NA,NA
35022,Jefferson County,AL,NA,26.283891547049443,NA,NA
35031,Blount County,AL,NA,NA,83.96624472573839,NA
35040,Shelby County,AL,42.10526315789473,NA,NA,NA
35042,Bibb County,AL,NA,73.58851674641149,NA,NA
35043,Shelby County,AL,NA,70.87719298245614,NA,NA
35055,Cullman County,AL,NA,71.3237639553429,59.25256178420736,NA
35057,Cullman County,AL,NA,NA,77.03435804701627,NA
35058,Cullman County,AL,NA,NA,71.18746232670283,NA
35068,Jefferson County,AL,NA,86.09250398724083,NA,NA
35071,Jefferson County,AL,NA,60.25518341307815,NA,NA
35077,Cullman County,AL,NA,46.76236044657097,62.56781193490054,NA
35094,Jefferson County,AL,NA,46.79425837320574,NA,NA
35096,Talladega County,AL,NA,93.39712918660287,NA,NA
35111,Tuscaloosa County,AL,NA,NA,NA,59.472049689441
35120,St. Clair County,AL,NA,47.145135566188195,NA,NA
35121,Blount County,AL,NA,49.409888357256776,NA,NA
35124,Shelby County,AL,NA,77.60765550239235,NA,NA
35125,St. Clair County,AL,NA,43.50877192982456,NA,NA
35126,Jefferson County,AL,NA,39.42583732057416,NA,91.61490683229813
35128,St. Clair County,AL,NA,63.31738437001595,NA,NA
35150,Talladega County,AL,NA,59.20255183413078,NA,NA
35173,Jefferson County,AL,NA,37.16108452950559,NA,NA
35180,Jefferson County,AL,NA,55.629984051036686,NA,NA
35186,Shelby County,AL,NA,97.86283891547049,NA,NA
35205,Jefferson County,AL,NA,52.344497607655505,NA,NA
35211,Jefferson County,AL,NA,NA,18.806509945750452,NA
35212,Jefferson County,AL,NA,65.8054226475279,NA,NA
35215,Jefferson County,AL,NA,NA,29.897528631705843,NA
35226,Jefferson County,AL,NA,65.74162679425838,NA,NA
35235,Jefferson County,AL,NA,NA,NA,74.84472049689441
35242,Shelby County,AL,NA,84.17862838915471,NA,NA
35401,Tuscaloosa County,AL,NA,NA,15.009041591320072,NA
35404,Tuscaloosa County,AL,NA,8.389154704944177,NA,74.53416149068323
35473,Tuscaloosa County,AL,NA,71.48325358851675,46.775165762507534,NA
35475,Tuscaloosa County,AL,NA,67.46411483253588,42.073538276069925,NA
35501,Walker County,AL,NA,NA,79.92766726943941,NA
35503,Walker County,AL,NA,NA,78.6618444846293,NA
35504,Walker County,AL,NA,NA,85.17179023508137,NA
35555,Fayette County,AL,NA,NA,52.01928872814949,NA
35565,Winston County,AL,NA,81.81818181818183,NA,NA
35570,Marion County,AL,NA,53.68421052631579,NA,NA
35580,Walker County,AL,NA,NA,NA,100
35592,Lamar County,AL,NA,90.65390749601276,NA,NA
35594,Marion County,AL,NA,NA,73.47799879445449,NA
35601,Morgan County,AL,NA,7.240829346092505,NA,NA
35603,Morgan County,AL,NA,73.58851674641149,NA,NA
35611,Limestone County,AL,NA,45.103668261562994,NA,NA
