fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,52.358490566037744
01003,Baldwin County,AL,NA,29.29245283018868
01005,Barbour County,AL,NA,68.63207547169812
01007,Bibb County,AL,95.43010752688173,95.04716981132076
01009,Blount County,AL,NA,28.20754716981132
01011,Bullock County,AL,NA,75.04716981132076
01013,Butler County,AL,NA,35.094339622641506
01015,Calhoun County,AL,NA,59.716981132075475
01017,Chambers County,AL,NA,22.264150943396228
01019,Cherokee County,AL,NA,29.858490566037737
01021,Chilton County,AL,NA,11.981132075471699
01025,Clarke County,AL,NA,56.69811320754717
01031,Coffee County,AL,NA,22.028301886792452
01033,Colbert County,AL,NA,47.83018867924528
01035,Conecuh County,AL,NA,42.31132075471698
01039,Covington County,AL,NA,77.26415094339623
01043,Cullman County,AL,NA,26.462264150943398
01045,Dale County,AL,NA,21.22641509433962
01047,Dallas County,AL,NA,96.36792452830188
01049,DeKalb County,AL,NA,45.943396226415096
01051,Elmore County,AL,NA,28.11320754716981
01053,Escambia County,AL,NA,43.0188679245283
01055,Etowah County,AL,60.752688172043015,78.67924528301887
01057,Fayette County,AL,NA,41.60377358490566
01059,Franklin County,AL,NA,18.066037735849054
01061,Geneva County,AL,NA,61.65094339622641
01063,Greene County,AL,NA,95.61320754716981
01065,Hale County,AL,NA,97.02830188679246
01067,Henry County,AL,NA,12.264150943396226
01069,Houston County,AL,NA,45.28301886792453
01071,Jackson County,AL,NA,25.330188679245285
01073,Jefferson County,AL,21.774193548387096,75.18867924528301
01075,Lamar County,AL,NA,25.943396226415093
01077,Lauderdale County,AL,63.17204301075269,28.867924528301884
01079,Lawrence County,AL,NA,26.27358490566038
01081,Lee County,AL,NA,49.575471698113205
01083,Limestone County,AL,NA,47.21698113207547
01085,Lowndes County,AL,96.7741935483871,NA
01089,Madison County,AL,16.93548387096774,79.71698113207547
01093,Marion County,AL,83.87096774193549,8.773584905660377
01095,Marshall County,AL,43.01075268817204,15.188679245283017
01097,Mobile County,AL,63.70967741935484,23.77358490566038
01099,Monroe County,AL,NA,24.4811320754717
01101,Montgomery County,AL,25.806451612903224,25.235849056603776
01103,Morgan County,AL,64.78494623655914,34.62264150943396
01105,Perry County,AL,97.04301075268818,93.82075471698114
01107,Pickens County,AL,NA,98.0188679245283
01109,Pike County,AL,NA,80.84905660377359
01111,Randolph County,AL,NA,14.19811320754717
01113,Russell County,AL,NA,90.37735849056604
01115,St. Clair County,AL,NA,53.5377358490566
01117,Shelby County,AL,NA,16.69811320754717
01121,Talladega County,AL,69.89247311827957,43.25471698113208
01123,Tallapoosa County,AL,NA,17.5
01125,Tuscaloosa County,AL,80.64516129032258,24.858490566037737
01127,Walker County,AL,NA,45.75471698113208
01133,Winston County,AL,73.9247311827957,29.764150943396228
02020,Anchorage Municipality,AK,63.97849462365591,70.47169811320755
02090,Fairbanks North Star Borough,AK,NA,0.33018867924528306
02110,Juneau City and Borough,AK,NA,68.30188679245282
02122,Kenai Peninsula Borough,AK,NA,0.4716981132075472
02130,Ketchikan Gateway Borough,AK,NA,82.45283018867924
02150,Kodiak Island Borough,AK,NA,49.386792452830186
02170,Matanuska-Susitna Borough,AK,NA,77.87735849056604
02220,Sitka City and Borough,AK,NA,91.08490566037736
04001,Apache County,AZ,NA,30.283018867924525
04003,Cochise County,AZ,NA,37.31132075471698
04005,Coconino County,AZ,NA,13.632075471698112
04007,Gila County,AZ,NA,4.3396226415094334
04009,Graham County,AZ,NA,52.87735849056604
04012,La Paz County,AZ,NA,90.4245283018868
04013,Maricopa County,AZ,9.67741935483871,28.58490566037736
04015,Mohave County,AZ,NA,29.669811320754718
04017,Navajo County,AZ,NA,32.075471698113205
04019,Pima County,AZ,NA,45.09433962264151
04021,Pinal County,AZ,NA,20.28301886792453
04023,Santa Cruz County,AZ,NA,0.7547169811320755
04025,Yavapai County,AZ,33.064516129032256,20.566037735849058
04027,Yuma County,AZ,NA,31.79245283018868
05001,Arkansas County,AR,NA,75.99056603773585
05003,Ashley County,AR,NA,72.73584905660377
05005,Baxter County,AR,NA,1.179245283018868
05007,Benton County,AR,NA,64.76415094339623
05009,Boone County,AR,NA,14.245283018867925
05015,Carroll County,AR,NA,27.500000000000004
05019,Clark County,AR,NA,13.254716981132075
05021,Clay County,AR,NA,53.820754716981135
05023,Cleburne County,AR,NA,35.660377358490564
05025,Cleveland County,AR,NA,92.9245283018868
05027,Columbia County,AR,NA,10.235849056603774
05031,Craighead County,AR,NA,28.632075471698116
05033,Crawford County,AR,NA,54.19811320754717
05035,Crittenden County,AR,NA,9.716981132075473
05043,Drew County,AR,NA,19.150943396226417
05045,Faulkner County,AR,NA,1.3679245283018868
05047,Franklin County,AR,NA,26.367924528301888
05049,Fulton County,AR,NA,71.1320754716981
05051,Garland County,AR,NA,37.35849056603773
05053,Grant County,AR,NA,78.49056603773586
05055,Greene County,AR,NA,8.018867924528301
05059,Hot Spring County,AR,NA,50.99056603773585
05061,Howard County,AR,NA,96.79245283018868
05063,Independence County,AR,NA,83.86792452830188
05069,Jefferson County,AR,NA,62.075471698113205
05079,Lincoln County,AR,NA,73.06603773584905
