fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,8.571428571428571
01003,Baldwin County,AL,NA,45.357142857142854
01005,Barbour County,AL,NA,77.14285714285715
01009,Blount County,AL,NA,27.73809523809524
01015,Calhoun County,AL,33.15649867374005,61.13095238095239
01017,Chambers County,AL,NA,11.785714285714285
01021,Chilton County,AL,NA,39.523809523809526
01027,Clay County,AL,NA,55.35714285714286
01029,Cleburne County,AL,NA,87.38095238095238
01033,Colbert County,AL,NA,53.80952380952381
01037,Coosa County,AL,NA,95.89285714285715
01039,Covington County,AL,NA,23.511904761904763
01043,Cullman County,AL,NA,3.6309523809523814
01047,Dallas County,AL,79.3103448275862,93.63095238095238
01051,Elmore County,AL,NA,11.25
01053,Escambia County,AL,NA,84.52380952380952
01055,Etowah County,AL,55.96816976127321,14.702380952380953
01057,Fayette County,AL,79.57559681697613,21.428571428571427
01059,Franklin County,AL,NA,49.345238095238095
01061,Geneva County,AL,NA,16.25
01063,Greene County,AL,NA,78.57142857142857
01065,Hale County,AL,NA,96.36904761904762
01067,Henry County,AL,NA,40.11904761904762
01069,Houston County,AL,NA,0.8928571428571428
01071,Jackson County,AL,NA,71.60714285714286
01073,Jefferson County,AL,4.509283819628647,61.07142857142858
01077,Lauderdale County,AL,NA,11.666666666666666
01079,Lawrence County,AL,NA,72.61904761904762
01081,Lee County,AL,NA,51.78571428571429
01083,Limestone County,AL,66.84350132625994,2.261904761904762
01087,Macon County,AL,NA,62.916666666666664
01089,Madison County,AL,58.620689655172406,64.94047619047619
01091,Marengo County,AL,NA,50.297619047619044
01093,Marion County,AL,NA,83.27380952380953
01095,Marshall County,AL,NA,10.654761904761905
01097,Mobile County,AL,11.936339522546419,40.89285714285714
01099,Monroe County,AL,NA,84.64285714285714
01101,Montgomery County,AL,NA,59.94047619047619
01103,Morgan County,AL,NA,37.857142857142854
01105,Perry County,AL,NA,59.70238095238095
01109,Pike County,AL,97.61273209549071,85.53571428571428
01113,Russell County,AL,92.83819628647215,61.78571428571429
01115,St. Clair County,AL,NA,66.01190476190476
01117,Shelby County,AL,31.29973474801061,5.773809523809524
01121,Talladega County,AL,NA,43.214285714285715
01125,Tuscaloosa County,AL,22.811671087533156,7.380952380952381
01127,Walker County,AL,51.9893899204244,3.273809523809524
01133,Winston County,AL,69.23076923076923,NA
02020,Anchorage Municipality,AK,NA,74.64285714285714
02090,Fairbanks North Star Borough,AK,NA,52.61904761904762
02122,Kenai Peninsula Borough,AK,NA,54.88095238095239
02150,Kodiak Island Borough,AK,94.6949602122016,76.8452380952381
02170,Matanuska-Susitna Borough,AK,NA,88.86904761904762
04001,Apache County,AZ,NA,7.5
04003,Cochise County,AZ,NA,82.97619047619048
04005,Coconino County,AZ,31.56498673740053,65.6547619047619
04007,Gila County,AZ,NA,38.75
04009,Graham County,AZ,NA,12.44047619047619
04012,La Paz County,AZ,NA,66.13095238095238
04013,Maricopa County,AZ,16.976127320954905,53.75
04015,Mohave County,AZ,24.137931034482758,24.345238095238095
04017,Navajo County,AZ,NA,97.67857142857143
04019,Pima County,AZ,1.3262599469496021,52.916666666666664
04021,Pinal County,AZ,NA,15.29761904761905
04023,Santa Cruz County,AZ,NA,89.52380952380953
04025,Yavapai County,AZ,NA,20.357142857142858
04027,Yuma County,AZ,NA,32.32142857142858
05001,Arkansas County,AR,NA,44.642857142857146
05003,Ashley County,AR,NA,63.21428571428571
05005,Baxter County,AR,NA,31.9047619047619
05007,Benton County,AR,NA,42.797619047619044
05009,Boone County,AR,NA,43.154761904761905
05015,Carroll County,AR,NA,93.98809523809524
05021,Clay County,AR,NA,89.10714285714286
05031,Craighead County,AR,NA,73.39285714285714
05037,Cross County,AR,NA,97.79761904761905
05045,Faulkner County,AR,NA,53.035714285714285
05047,Franklin County,AR,NA,95.05952380952381
05051,Garland County,AR,NA,1.7261904761904763
05055,Greene County,AR,NA,31.785714285714285
05069,Jefferson County,AR,NA,13.750000000000002
05077,Lee County,AR,NA,92.85714285714286
05083,Logan County,AR,NA,38.86904761904762
05085,Lonoke County,AR,NA,35.654761904761905
05091,Miller County,AR,NA,41.42857142857143
05103,Ouachita County,AR,NA,85.47619047619047
05113,Polk County,AR,NA,67.5
05115,Pope County,AR,NA,31.071428571428573
05119,Pulaski County,AR,NA,10.05952380952381
05123,St. Francis County,AR,NA,65.41666666666667
05125,Saline County,AR,NA,76.48809523809523
05131,Sebastian County,AR,NA,19.166666666666668
05135,Sharp County,AR,NA,100
05139,Union County,AR,NA,88.51190476190476
05141,Van Buren County,AR,NA,84.04761904761905
05143,Washington County,AR,NA,6.1309523809523805
05145,White County,AR,NA,1.7857142857142856
06001,Alameda County,CA,3.4482758620689653,39.04761904761905
06005,Amador County,CA,NA,19.523809523809526
06007,Butte County,CA,NA,57.61904761904761
06009,Calaveras County,CA,NA,7.976190476190475
06011,Colusa County,CA,NA,88.39285714285714
06013,Contra Costa County,CA,20.689655172413794,53.69047619047619
06015,Del Norte County,CA,NA,58.86904761904762
06017,El Dorado County,CA,NA,0.05952380952380953
06019,Fresno County,CA,10.875331564986737,55.773809523809526
06023,Humboldt County,CA,53.58090185676393,1.4285714285714286
06025,Imperial County,CA,NA,75.59523809523809
06027,Inyo County,CA,NA,50
06029,Kern County,CA,87.26790450928382,13.63095238095238
06031,Kings County,CA,NA,82.67857142857142
06033,Lake County,CA,NA,25.11904761904762
06037,Los Angeles County,CA,37.40053050397878,57.08333333333333
06039,Madera County,CA,NA,16.666666666666664
06041,Marin County,CA,NA,67.02380952380952
06045,Mendocino County,CA,NA,30.833333333333336
06047,Merced County,CA,59.6816976127321,32.083333333333336
06053,Monterey County,CA,NA,39.345238095238095
06055,Napa County,CA,NA,21.13095238095238
06057,Nevada County,CA,67.90450928381962,77.38095238095238
06059,Orange County,CA,55.172413793103445,51.547619047619044
06061,Placer County,CA,NA,11.964285714285715
06065,Riverside County,CA,46.15384615384615,59.523809523809526
06067,Sacramento County,CA,5.570291777188329,62.61904761904762
