fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,6.026785714285714
01005,Barbour County,AL,NA
01007,Bibb County,AL,82.25446428571429
01009,Blount County,AL,66.51785714285714
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,66.74107142857143
01017,Chambers County,AL,72.54464285714286
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,72.20982142857143
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,97.43303571428571
01039,Covington County,AL,NA
01041,Crenshaw County,AL,99.33035714285714
01043,Cullman County,AL,75.66964285714286
01045,Dale County,AL,89.39732142857143
01047,Dallas County,AL,NA
01049,DeKalb County,AL,NA
01051,Elmore County,AL,39.50892857142857
01053,Escambia County,AL,68.30357142857143
01055,Etowah County,AL,15.513392857142858
01057,Fayette County,AL,82.36607142857143
01059,Franklin County,AL,81.36160714285714
01061,Geneva County,AL,77.34375
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,58.59375
01071,Jackson County,AL,NA
01073,Jefferson County,AL,25.33482142857143
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,39.955357142857146
01079,Lawrence County,AL,75.33482142857143
01081,Lee County,AL,85.26785714285714
01083,Limestone County,AL,NA
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,20.647321428571427
01091,Marengo County,AL,92.96875
01093,Marion County,AL,NA
01095,Marshall County,AL,51.89732142857143
01097,Mobile County,AL,53.45982142857143
01099,Monroe County,AL,94.41964285714286
01101,Montgomery County,AL,66.07142857142857
01103,Morgan County,AL,86.49553571428571
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,85.82589285714286
01111,Randolph County,AL,NA
01113,Russell County,AL,67.29910714285714
01115,St. Clair County,AL,NA
01117,Shelby County,AL,38.392857142857146
01119,Sumter County,AL,NA
01121,Talladega County,AL,63.83928571428571
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,NA
01127,Walker County,AL,NA
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,87.5
02020,Anchorage Municipality,AK,24.107142857142858
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,90.29017857142857
02122,Kenai Peninsula Borough,AK,NA
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,70.64732142857143
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,28.236607142857146
04003,Cochise County,AZ,17.857142857142858
04005,Coconino County,AZ,NA
04007,Gila County,AZ,83.03571428571429
04009,Graham County,AZ,NA
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,47.879464285714285
04015,Mohave County,AZ,41.964285714285715
04017,Navajo County,AZ,NA
04019,Pima County,AZ,3.3482142857142856
04021,Pinal County,AZ,25.78125
04023,Santa Cruz County,AZ,68.08035714285714
04025,Yavapai County,AZ,15.178571428571427
04027,Yuma County,AZ,27.120535714285715
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,NA
05007,Benton County,AR,14.508928571428573
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,92.1875
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,90.17857142857143
05029,Conway County,AR,NA
05031,Craighead County,AR,NA
05033,Crawford County,AR,NA
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,NA
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,NA
05053,Grant County,AR,NA
05055,Greene County,AR,NA
05057,Hempstead County,AR,94.64285714285714
05059,Hot Spring County,AR,86.04910714285714
05061,Howard County,AR,NA
05063,Independence County,AR,NA
05067,Jackson County,AR,NA
05069,Jefferson County,AR,NA
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,NA
05085,Lonoke County,AR,NA
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,NA
05093,Mississippi County,AR,81.91964285714286
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,NA
05115,Pope County,AR,69.97767857142857
05119,Pulaski County,AR,9.709821428571429
05121,Randolph County,AR,NA
05123,St. Francis County,AR,96.20535714285714
