ZipCode,county,state,Adult,Retirement,Geriatric
35020,Jefferson County,AL,NA,29.352226720647774,NA
35031,Blount County,AL,NA,95.8502024291498,NA
35085,Chilton County,AL,NA,87.95546558704453,NA
35133,Blount County,AL,NA,94.73684210526315,NA
35150,Talladega County,AL,44.35612082670906,NA,NA
35214,Jefferson County,AL,36.089030206677265,NA,NA
35215,Jefferson County,AL,11.128775834658187,NA,NA
35401,Tuscaloosa County,AL,28.139904610492845,NA,NA
35501,Walker County,AL,NA,82.79352226720647,NA
35563,Marion County,AL,NA,86.43724696356276,NA
35579,Walker County,AL,NA,NA,91.32530120481928
35601,Morgan County,AL,87.5993640699523,NA,NA
35603,Morgan County,AL,19.07790143084261,NA,NA
35614,Limestone County,AL,NA,NA,89.39759036144578
35630,Lauderdale County,AL,NA,34.81781376518219,NA
35633,Lauderdale County,AL,80.12718600953896,NA,77.59036144578313
35758,Madison County,AL,NA,NA,29.759036144578317
35769,Jackson County,AL,NA,71.35627530364373,NA
35904,Etowah County,AL,49.44356120826709,NA,NA
35906,Etowah County,AL,NA,75.30364372469636,NA
35950,Marshall County,AL,45.151033386327505,NA,NA
35951,Marshall County,AL,NA,NA,73.73493975903614
35952,Etowah County,AL,NA,NA,92.7710843373494
35957,Marshall County,AL,49.76152623211447,NA,NA
35962,DeKalb County,AL,NA,NA,94.57831325301204
36201,Calhoun County,AL,NA,NA,61.686746987951814
36206,Calhoun County,AL,NA,NA,78.3132530120482
36301,Houston County,AL,NA,15.182186234817813,73.97590361445782
36303,Houston County,AL,26.550079491255964,NA,NA
36582,Mobile County,AL,NA,NA,83.25301204819277
36606,Mobile County,AL,65.50079491255963,NA,NA
36607,Mobile County,AL,NA,NA,93.25301204819277
36613,Mobile County,AL,NA,73.98785425101214,NA
36701,Dallas County,AL,NA,29.655870445344128,NA
36801,Lee County,AL,NA,61.1336032388664,NA
36854,Chambers County,AL,NA,62.044534412955464,NA
36863,Chambers County,AL,NA,NA,76.86746987951807
36867,Russell County,AL,NA,NA,62.89156626506024
99508,Anchorage Municipality,AK,68.99841017488076,NA,NA
99516,Anchorage Municipality,AK,NA,NA,87.34939759036145
99654,Matanuska-Susitna Borough,AK,NA,39.473684210526315,NA
85006,Maricopa County,AZ,NA,41.093117408906885,NA
85008,Maricopa County,AZ,NA,23.380566801619434,NA
85013,Maricopa County,AZ,NA,64.87854251012146,NA
85020,Maricopa County,AZ,NA,89.06882591093117,NA
85027,Maricopa County,AZ,45.310015898251194,NA,NA
85032,Maricopa County,AZ,NA,24.696356275303643,NA
85034,Maricopa County,AZ,92.68680445151033,NA,NA
85118,Pinal County,AZ,NA,64.06882591093117,NA
85128,Pinal County,AZ,NA,NA,84.57831325301206
85201,Maricopa County,AZ,NA,32.388663967611336,NA
85203,Maricopa County,AZ,41.971383147853736,NA,NA
85204,Maricopa County,AZ,16.85214626391097,NA,43.373493975903614
85212,Maricopa County,AZ,NA,61.8421052631579,NA
85215,Maricopa County,AZ,81.55802861685216,NA,NA
85225,Maricopa County,AZ,NA,27.93522267206478,NA
85226,Maricopa County,AZ,NA,88.36032388663968,NA
85257,Maricopa County,AZ,NA,64.27125506072875,40.602409638554214
85302,Maricopa County,AZ,NA,24.898785425101213,NA
85308,Maricopa County,AZ,NA,16.599190283400812,NA
85326,Maricopa County,AZ,63.751987281399046,NA,59.27710843373494
85340,Maricopa County,AZ,NA,78.4412955465587,NA
85345,Maricopa County,AZ,NA,11.03238866396761,NA
85351,Maricopa County,AZ,NA,8.502024291497975,NA
85363,Maricopa County,AZ,80.9220985691574,NA,NA
85364,Yuma County,AZ,NA,2.5303643724696356,NA
85374,Maricopa County,AZ,NA,NA,6.626506024096386
85383,Maricopa County,AZ,29.72972972972973,NA,NA
85653,Pima County,AZ,NA,69.53441295546558,NA
85705,Pima County,AZ,NA,5.566801619433198,69.87951807228916
85716,Pima County,AZ,NA,25.506072874493928,NA
85730,Pima County,AZ,NA,25.303643724696357,NA
85743,Pima County,AZ,NA,26.720647773279353,NA
85747,Pima County,AZ,NA,NA,63.734939759036145
85901,Navajo County,AZ,NA,26.923076923076923,NA
85925,Apache County,AZ,97.77424483306835,97.77327935222672,NA
86323,Yavapai County,AZ,NA,58.40080971659919,NA
86327,Yavapai County,AZ,NA,NA,43.373493975903614
86404,Mohave County,AZ,NA,51.11336032388664,NA
86413,Mohave County,AZ,NA,25.809716599190285,NA
86442,Mohave County,AZ,NA,NA,86.62650602409639
71602,Jefferson County,AR,64.06995230524643,NA,NA
71603,Jefferson County,AR,NA,NA,23.734939759036145
71901,Garland County,AR,NA,NA,38.31325301204819
72012,White County,AR,NA,NA,68.67469879518072
72076,Pulaski County,AR,NA,NA,15.542168674698795
72104,Hot Spring County,AR,NA,NA,55.06024096385542
72112,Jackson County,AR,73.9268680445151,NA,NA
72204,Pulaski County,AR,NA,30.06072874493927,NA
72206,Pulaski County,AR,NA,28.74493927125506,NA
72401,Craighead County,AR,NA,10.222672064777328,NA
72416,Craighead County,AR,84.26073131955485,NA,NA
72501,Independence County,AR,NA,85.93117408906883,NA
72543,Cleburne County,AR,NA,59.10931174089069,NA
72653,Baxter County,AR,NA,NA,60
72701,Washington County,AR,65.97774244833067,NA,72.89156626506023
72712,Benton County,AR,86.16852146263912,NA,NA
72727,Washington County,AR,NA,NA,94.4578313253012
72901,Sebastian County,AR,56.75675675675676,NA,NA
90002,Los Angeles County,CA,NA,NA,71.20481927710843
90008,Los Angeles County,CA,98.88712241653418,NA,25.060240963855424
90016,Los Angeles County,CA,NA,21.558704453441297,NA
90018,Los Angeles County,CA,42.289348171701114,NA,NA
90019,Los Angeles County,CA,NA,NA,11.686746987951807
90022,Los Angeles County,CA,NA,NA,75.30120481927712
90024,Los Angeles County,CA,NA,53.64372469635627,NA
90028,Los Angeles County,CA,66.45468998410175,NA,NA
90029,Los Angeles County,CA,NA,NA,35.54216867469879
90031,Los Angeles County,CA,NA,68.31983805668015,NA
90034,Los Angeles County,CA,NA,NA,34.69879518072289
90036,Los Angeles County,CA,NA,NA,29.156626506024097
90038,Los Angeles County,CA,NA,71.5587044534413,NA
90042,Los Angeles County,CA,NA,47.67206477732793,NA
90044,Los Angeles County,CA,32.273449920508746,NA,NA
90046,Los Angeles County,CA,NA,NA,7.1084337349397595
90047,Los Angeles County,CA,17.965023847376788,NA,NA
90057,Los Angeles County,CA,NA,22.469635627530366,NA
90220,Los Angeles County,CA,NA,NA,36.74698795180723
90222,Los Angeles County,CA,NA,61.1336032388664,NA
90232,Los Angeles County,CA,NA,NA,62.048192771084345
90241,Los Angeles County,CA,NA,NA,57.34939759036145
90248,Los Angeles County,CA,NA,92.91497975708502,NA
90278,Los Angeles County,CA,NA,52.42914979757085,NA
90680,Orange County,CA,NA,91.29554655870446,NA
90805,Los Angeles County,CA,20.5087440381558,NA,NA
91106,Los Angeles County,CA,NA,81.88259109311741,NA
91201,Los Angeles County,CA,84.10174880763115,NA,NA
91303,Los Angeles County,CA,82.1939586645469,NA,NA
91306,Los Angeles County,CA,NA,47.57085020242915,NA
91321,Los Angeles County,CA,NA,NA,90.72289156626506
91335,Los Angeles County,CA,NA,NA,11.566265060240964
91354,Los Angeles County,CA,NA,NA,80.60240963855422
91367,Los Angeles County,CA,NA,46.76113360323887,NA
91387,Los Angeles County,CA,NA,38.05668016194332,96.02409638554217
91402,Los Angeles County,CA,29.411764705882355,34.0080971659919,NA
91605,Los Angeles County,CA,NA,45.64777327935223,NA
91706,Los Angeles County,CA,74.0858505564388,NA,NA
91709,San Bernardino County,CA,NA,NA,93.97590361445783
91732,Los Angeles County,CA,NA,30.5668016194332,27.831325301204817
91752,Riverside County,CA,NA,61.336032388663966,NA
91764,San Bernardino County,CA,41.33545310015898,NA,NA
91775,Los Angeles County,CA,95.38950715421304,NA,NA
91910,San Diego County,CA,27.821939586645467,30.668016194331983,NA
91911,San Diego County,CA,27.186009538950717,17.20647773279352,8.795180722891565
