ZipCode,county,state,Adult,Retirement,Geriatric
35055,Cullman County,AL,NA,73.48837209302326,NA
35077,Cullman County,AL,66.78321678321679,NA,NA
35096,Talladega County,AL,NA,NA,99.3801652892562
35126,Jefferson County,AL,40.55944055944056,NA,NA
35160,Talladega County,AL,81.11888111888112,NA,NA
35173,Jefferson County,AL,NA,NA,73.14049586776859
35212,Jefferson County,AL,NA,63.72093023255814,NA
35214,Jefferson County,AL,NA,23.25581395348837,NA
35244,Jefferson County,AL,NA,NA,77.47933884297521
35616,Colbert County,AL,89.16083916083916,NA,NA
35630,Lauderdale County,AL,48.95104895104895,NA,NA
35633,Lauderdale County,AL,NA,71.86046511627907,NA
35654,Franklin County,AL,NA,89.76744186046511,NA
35674,Colbert County,AL,27.62237762237762,NA,NA
36544,Mobile County,AL,64.33566433566433,NA,NA
36575,Mobile County,AL,NA,52.55813953488372,NA
36608,Mobile County,AL,NA,NA,38.01652892561984
36695,Mobile County,AL,NA,NA,71.69421487603306
36877,Lee County,AL,NA,43.25581395348837,NA
85008,Maricopa County,AZ,31.818181818181817,NA,NA
85015,Maricopa County,AZ,NA,30.930232558139537,NA
85018,Maricopa County,AZ,26.923076923076923,NA,NA
85019,Maricopa County,AZ,NA,44.41860465116279,NA
85041,Maricopa County,AZ,NA,89.06976744186046,72.52066115702479
85048,Maricopa County,AZ,NA,40.69767441860465,NA
85053,Maricopa County,AZ,NA,NA,66.52892561983471
85122,Pinal County,AZ,39.86013986013986,NA,NA
85142,Maricopa County,AZ,NA,38.139534883720934,NA
85206,Maricopa County,AZ,NA,NA,6.40495867768595
85207,Maricopa County,AZ,NA,NA,79.13223140495867
85210,Maricopa County,AZ,41.60839160839161,NA,NA
85225,Maricopa County,AZ,NA,16.046511627906977,NA
85251,Maricopa County,AZ,NA,32.325581395348834,NA
85254,Maricopa County,AZ,NA,NA,26.239669421487605
85306,Maricopa County,AZ,NA,71.3953488372093,NA
85349,Yuma County,AZ,NA,40.23255813953489,NA
85650,Cochise County,AZ,NA,60.93023255813953,NA
85713,Pima County,AZ,NA,5.116279069767442,NA
85746,Pima County,AZ,NA,NA,28.09917355371901
85901,Navajo County,AZ,NA,83.48837209302326,NA
86301,Yavapai County,AZ,NA,62.558139534883715,NA
86429,Mohave County,AZ,NA,99.76744186046511,NA
71753,Columbia County,AR,NA,NA,76.44628099173553
71832,Sevier County,AR,NA,91.3953488372093,NA
71909,Garland County,AR,NA,71.16279069767441,NA
72015,Saline County,AR,79.37062937062937,NA,NA
72022,Saline County,AR,NA,NA,63.42975206611571
72032,Faulkner County,AR,65.73426573426573,NA,NA
72076,Pulaski County,AR,69.23076923076923,NA,NA
72116,Pulaski County,AR,NA,52.093023255813954,NA
72117,Pulaski County,AR,77.97202797202797,NA,NA
72176,Lonoke County,AR,72.02797202797203,NA,NA
72205,Pulaski County,AR,NA,59.76744186046512,NA
72404,Craighead County,AR,NA,NA,45.867768595041326
72758,Benton County,AR,NA,33.95348837209302,30.57851239669421
72901,Sebastian County,AR,79.02097902097903,NA,NA
72936,Sebastian County,AR,85.3146853146853,NA,NA
90004,Los Angeles County,CA,NA,NA,27.685950413223143
90043,Los Angeles County,CA,NA,NA,57.231404958677686
90049,Los Angeles County,CA,NA,28.604651162790695,NA
90210,Los Angeles County,CA,80.06993006993007,NA,NA
90240,Los Angeles County,CA,NA,NA,55.16528925619835
90602,Los Angeles County,CA,NA,60.46511627906976,NA
91325,Los Angeles County,CA,NA,NA,76.03305785123968
91331,Los Angeles County,CA,NA,10.69767441860465,NA
91352,Los Angeles County,CA,NA,54.418604651162795,NA
91505,Los Angeles County,CA,NA,NA,96.48760330578511
91706,Los Angeles County,CA,NA,79.76744186046511,NA
91744,Los Angeles County,CA,15.734265734265735,NA,NA
91761,San Bernardino County,CA,NA,19.53488372093023,NA
92010,San Diego County,CA,NA,NA,92.14876033057851
92040,San Diego County,CA,76.57342657342657,NA,NA
92071,San Diego County,CA,NA,47.674418604651166,NA
92084,San Diego County,CA,NA,NA,50.20661157024794
92118,San Diego County,CA,NA,NA,20.867768595041323
92123,San Diego County,CA,51.39860139860139,NA,NA
92274,Riverside County,CA,NA,NA,51.03305785123967
92345,San Bernardino County,CA,7.6923076923076925,NA,NA
92592,Riverside County,CA,NA,88.13953488372093,57.64462809917356
92627,Orange County,CA,17.482517482517483,NA,NA
92675,Orange County,CA,NA,NA,21.694214876033058
92805,Orange County,CA,NA,26.046511627906977,NA
92869,Orange County,CA,NA,56.27906976744186,NA
93004,Ventura County,CA,NA,NA,35.12396694214876
93010,Ventura County,CA,NA,NA,39.66942148760331
93030,Ventura County,CA,79.72027972027972,NA,NA
93063,Ventura County,CA,NA,37.67441860465116,NA
93230,Kings County,CA,NA,NA,38.01652892561984
93257,Tulare County,CA,31.11888111888112,NA,NA
93534,Los Angeles County,CA,70.97902097902097,NA,NA
93615,Tulare County,CA,NA,94.65116279069767,NA
93635,Merced County,CA,NA,NA,75.41322314049587
