fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,63.08370044052863
01003,Baldwin County,AL,NA,12.422907488986784
01005,Barbour County,AL,NA,97.44493392070484
01011,Bullock County,AL,NA,77.09251101321586
01013,Butler County,AL,NA,88.89867841409692
01015,Calhoun County,AL,NA,63.70044052863436
01017,Chambers County,AL,NA,79.8237885462555
01019,Cherokee County,AL,90.66339066339066,NA
01021,Chilton County,AL,NA,31.629955947136562
01027,Clay County,AL,NA,71.18942731277534
01031,Coffee County,AL,NA,53.12775330396475
01033,Colbert County,AL,NA,60.352422907488986
01037,Coosa County,AL,NA,82.37885462555066
01039,Covington County,AL,89.43488943488943,18.854625550660792
01043,Cullman County,AL,NA,30.484581497797357
01045,Dale County,AL,NA,79.38325991189427
01047,Dallas County,AL,NA,78.6784140969163
01051,Elmore County,AL,NA,61.23348017621145
01053,Escambia County,AL,NA,23.17180616740088
01055,Etowah County,AL,NA,46.69603524229075
01057,Fayette County,AL,NA,39.91189427312775
01059,Franklin County,AL,NA,37.3568281938326
01061,Geneva County,AL,NA,59.82378854625551
01065,Hale County,AL,NA,44.84581497797357
01067,Henry County,AL,NA,58.76651982378854
01069,Houston County,AL,NA,72.86343612334801
01073,Jefferson County,AL,60.1965601965602,68.81057268722466
01077,Lauderdale County,AL,NA,40.52863436123348
01079,Lawrence County,AL,NA,30.13215859030837
01081,Lee County,AL,NA,6.607929515418502
01083,Limestone County,AL,NA,35.59471365638767
01085,Lowndes County,AL,NA,99.55947136563876
01087,Macon County,AL,NA,92.59911894273128
01089,Madison County,AL,34.15233415233415,28.28193832599119
01091,Marengo County,AL,NA,66.96035242290749
01095,Marshall County,AL,NA,3.2599118942731278
01097,Mobile County,AL,69.77886977886978,71.36563876651982
01099,Monroe County,AL,95.57739557739558,NA
01101,Montgomery County,AL,NA,94.62555066079295
01103,Morgan County,AL,NA,17.53303964757709
01109,Pike County,AL,79.60687960687962,85.37444933920705
01113,Russell County,AL,NA,22.46696035242291
01117,Shelby County,AL,NA,39.118942731277535
01119,Sumter County,AL,NA,99.47136563876651
01121,Talladega County,AL,NA,53.83259911894274
01125,Tuscaloosa County,AL,71.99017199017199,54.096916299559474
01127,Walker County,AL,NA,54.88986784140969
02020,Anchorage Municipality,AK,14.742014742014742,46.16740088105727
02090,Fairbanks North Star Borough,AK,65.84766584766585,17.973568281938327
02150,Kodiak Island Borough,AK,98.77149877149877,NA
04003,Cochise County,AZ,NA,61.67400881057269
04005,Coconino County,AZ,NA,2.2026431718061676
04013,Maricopa County,AZ,0.4914004914004914,29.515418502202646
04015,Mohave County,AZ,NA,0.1762114537444934
04017,Navajo County,AZ,NA,3.700440528634361
04019,Pima County,AZ,0.2457002457002457,42.819383259911895
04021,Pinal County,AZ,9.336609336609335,5.462555066079295
04023,Santa Cruz County,AZ,NA,22.995594713656388
04025,Yavapai County,AZ,NA,21.674008810572687
05001,Arkansas County,AR,NA,61.76211453744494
05027,Columbia County,AR,NA,56.12334801762115
05035,Crittenden County,AR,NA,80.26431718061674
05037,Cross County,AR,NA,71.54185022026431
05045,Faulkner County,AR,NA,9.515418502202644
05051,Garland County,AR,NA,53.92070484581498
05059,Hot Spring County,AR,NA,46.43171806167401
05069,Jefferson County,AR,NA,10.92511013215859
05091,Miller County,AR,NA,32.42290748898679
05095,Monroe County,AR,NA,93.74449339207048
05119,Pulaski County,AR,NA,40.70484581497797
05125,Saline County,AR,NA,6.343612334801763
05139,Union County,AR,NA,77.79735682819383
06001,Alameda County,CA,17.69041769041769,65.81497797356828
06007,Butte County,CA,NA,2.026431718061674
06013,Contra Costa County,CA,5.651105651105651,47.40088105726873
06015,Del Norte County,CA,100,NA
06019,Fresno County,CA,0.7371007371007371,55.330396475770925
06023,Humboldt County,CA,NA,5.814977973568282
06025,Imperial County,CA,NA,2.290748898678414
06029,Kern County,CA,19.41031941031941,15.859030837004406
06031,Kings County,CA,NA,10.748898678414097
06033,Lake County,CA,NA,10.66079295154185
06037,Los Angeles County,CA,10.565110565110565,61.409691629955944
06039,Madera County,CA,NA,98.41409691629957
