ZipCode,county,state,Adult
35010,Tallapoosa County,AL,42.592592592592595
35222,Jefferson County,AL,90.37037037037037
35401,Tuscaloosa County,AL,35.55555555555556
36110,Montgomery County,AL,60.74074074074074
36610,Mobile County,AL,68.14814814814815
85037,Maricopa County,AZ,34.81481481481482
85338,Maricopa County,AZ,41.85185185185185
85648,Santa Cruz County,AZ,58.14814814814815
90047,Los Angeles County,CA,22.59259259259259
90061,Los Angeles County,CA,72.96296296296296
90272,Los Angeles County,CA,86.66666666666667
90802,Los Angeles County,CA,56.2962962962963
91331,Los Angeles County,CA,15.555555555555555
91502,Los Angeles County,CA,96.29629629629629
94102,San Francisco County,CA,11.481481481481481
94110,San Francisco County,CA,17.40740740740741
94501,Alameda County,CA,45.55555555555556
94583,Contra Costa County,CA,81.48148148148148
94609,Alameda County,CA,85.92592592592592
95125,Santa Clara County,CA,51.85185185185185
95501,Humboldt County,CA,57.77777777777777
80017,Arapahoe County,CO,44.81481481481481
80126,Douglas County,CO,57.03703703703704
80205,Denver County,CO,47.40740740740741
80221,Adams County,CO,40.74074074074074
80222,Denver County,CO,47.77777777777778
80224,Denver County,CO,68.88888888888889
80226,Jefferson County,CO,53.70370370370371
80236,Denver County,CO,83.7037037037037
80538,Larimer County,CO,47.03703703703704
06108,Hartford County,CT,68.51851851851852
06120,Hartford County,CT,79.62962962962963
06226,Windham County,CT,23.333333333333332
06457,Middlesex County,CT,80.74074074074075
06515,New Haven County,CT,39.62962962962963
06606,Fairfield County,CT,24.814814814814813
06704,New Haven County,CT,60.370370370370374
06708,New Haven County,CT,61.48148148148148
06850,Fairfield County,CT,74.44444444444444
19703,New Castle County,DE,64.81481481481481
19720,New Castle County,DE,5.185185185185185
32068,Clay County,FL,15.925925925925927
32216,Duval County,FL,27.40740740740741
32218,Duval County,FL,6.296296296296296
32244,Duval County,FL,8.518518518518519
32317,Leon County,FL,93.7037037037037
32726,Lake County,FL,82.22222222222221
32738,Volusia County,FL,42.96296296296296
32962,Indian River County,FL,54.074074074074076
33027,Broward County,FL,46.666666666666664
33029,Broward County,FL,66.2962962962963
33127,Miami-Dade County,FL,62.59259259259259
33162,Miami-Dade County,FL,64.07407407407408
33176,Miami-Dade County,FL,98.51851851851852
33304,Broward County,FL,80.37037037037037
33311,Broward County,FL,10.74074074074074
33410,Palm Beach County,FL,56.2962962962963
33604,Hillsborough County,FL,33.7037037037037
33616,Hillsborough County,FL,88.51851851851852
33618,Hillsborough County,FL,78.88888888888889
33704,Pinellas County,FL,85.18518518518519
33771,Pinellas County,FL,50.74074074074074
34104,Collier County,FL,59.25925925925925
34293,Sarasota County,FL,53.333333333333336
34442,Citrus County,FL,99.62962962962963
34698,Pinellas County,FL,98.14814814814815
30288,Clayton County,GA,94.07407407407408
30314,Fulton County,GA,99.25925925925925
30315,Fulton County,GA,80
31211,Bibb County,GA,74.07407407407408
96792,Honolulu County,HI,16.666666666666664
83706,Ada County,ID,67.77777777777779
60137,DuPage County,IL,83.33333333333334
60608,Cook County,IL,63.70370370370371
60612,Cook County,IL,27.037037037037038
60622,Cook County,IL,43.7037037037037
