ZipCode,county,state,Adult,Retirement,Geriatric
35091,Jefferson County,AL,99.16317991631799,NA,NA
35173,Jefferson County,AL,NA,41.118421052631575,NA
35186,Shelby County,AL,97.07112970711297,NA,NA
35216,Jefferson County,AL,75.73221757322176,NA,NA
35223,Jefferson County,AL,87.02928870292888,NA,NA
35670,Morgan County,AL,NA,74.01315789473685,NA
35749,Madison County,AL,46.44351464435147,NA,75.69721115537848
35763,Madison County,AL,NA,57.89473684210527,NA
35951,Marshall County,AL,NA,NA,78.88446215139442
35959,Cherokee County,AL,95.39748953974896,NA,NA
36251,Clay County,AL,NA,NA,94.82071713147411
36303,Houston County,AL,NA,39.80263157894737,NA
36421,Covington County,AL,NA,74.01315789473685,NA
99504,Anchorage Municipality,AK,NA,42.76315789473684,NA
99611,Kenai Peninsula Borough,AK,64.85355648535564,NA,NA
99835,Sitka City and Borough,AK,NA,75.98684210526315,NA
85018,Maricopa County,AZ,35.98326359832636,NA,NA
85040,Maricopa County,AZ,NA,55.5921052631579,NA
85051,Maricopa County,AZ,NA,NA,72.90836653386454
85086,Maricopa County,AZ,NA,42.10526315789473,NA
85132,Pinal County,AZ,NA,68.0921052631579,NA
85225,Maricopa County,AZ,NA,63.81578947368421,NA
85268,Maricopa County,AZ,NA,NA,72.11155378486056
85308,Maricopa County,AZ,NA,21.38157894736842,NA
85351,Maricopa County,AZ,NA,NA,0.796812749003984
85361,Maricopa County,AZ,87.86610878661088,NA,NA
85374,Maricopa County,AZ,NA,23.026315789473685,NA
85382,Maricopa County,AZ,NA,NA,51.79282868525896
85621,Santa Cruz County,AZ,NA,NA,34.26294820717131
85653,Pima County,AZ,38.07531380753138,NA,NA
85658,Pima County,AZ,NA,65.13157894736842,NA
85706,Pima County,AZ,2.928870292887029,NA,NA
85743,Pima County,AZ,NA,NA,89.64143426294821
85749,Pima County,AZ,NA,NA,95.61752988047809
86315,Yavapai County,AZ,NA,NA,98.40637450199203
72104,Hot Spring County,AR,NA,NA,59.36254980079681
72529,Sharp County,AR,NA,95.06578947368422,NA
72764,Washington County,AR,NA,56.9078947368421,NA
72908,Sebastian County,AR,NA,90.46052631578947,NA
90001,Los Angeles County,CA,NA,NA,57.37051792828686
90004,Los Angeles County,CA,NA,36.18421052631579,NA
90043,Los Angeles County,CA,43.51464435146444,NA,NA
90045,Los Angeles County,CA,NA,56.25,NA
90210,Los Angeles County,CA,NA,NA,20.318725099601593
90241,Los Angeles County,CA,NA,52.30263157894737,NA
90250,Los Angeles County,CA,NA,NA,70.91633466135458
90266,Los Angeles County,CA,58.15899581589959,NA,NA
90716,Los Angeles County,CA,NA,95.39473684210526,NA
90717,Los Angeles County,CA,NA,64.80263157894737,NA
90723,Los Angeles County,CA,NA,70.06578947368422,NA
90806,Los Angeles County,CA,53.13807531380753,NA,NA
91311,Los Angeles County,CA,52.719665271966534,NA,NA
91345,Los Angeles County,CA,82.00836820083683,NA,NA
91423,Los Angeles County,CA,NA,NA,50.59760956175299
91601,Los Angeles County,CA,NA,66.44736842105263,NA
91702,Los Angeles County,CA,31.799163179916317,NA,NA
91724,Los Angeles County,CA,68.20083682008368,NA,NA
91730,San Bernardino County,CA,NA,70.39473684210526,NA
91739,San Bernardino County,CA,NA,NA,80.47808764940238
91744,Los Angeles County,CA,NA,NA,21.91235059760956
91762,San Bernardino County,CA,61.50627615062761,NA,NA
91775,Los Angeles County,CA,NA,75.98684210526315,NA
91932,San Diego County,CA,90.7949790794979,NA,NA
92019,San Diego County,CA,NA,47.69736842105263,NA
92026,San Diego County,CA,NA,49.01315789473684,NA
92081,San Diego County,CA,NA,NA,55.37848605577689
92101,San Diego County,CA,NA,11.842105263157894,37.45019920318725
