ZipCode,county,state,Youth
35114,Shelby County,AL,92.78350515463917
35613,Limestone County,AL,21.649484536082475
36110,Montgomery County,AL,74.91408934707904
36609,Mobile County,AL,39.86254295532646
36618,Mobile County,AL,52.92096219931272
99654,Matanuska-Susitna Borough,AK,19.93127147766323
85379,Maricopa County,AZ,18.213058419243985
85743,Pima County,AZ,75.94501718213058
72758,Benton County,AR,85.91065292096219
90020,Los Angeles County,CA,52.23367697594502
90713,Los Angeles County,CA,83.8487972508591
90732,Los Angeles County,CA,50.51546391752577
90815,Los Angeles County,CA,57.73195876288659
91306,Los Angeles County,CA,35.738831615120276
91355,Los Angeles County,CA,91.06529209621993
91708,San Bernardino County,CA,82.81786941580756
91764,San Bernardino County,CA,60.13745704467354
91913,San Diego County,CA,86.5979381443299
92026,San Diego County,CA,23.367697594501717
92083,San Diego County,CA,54.98281786941581
92102,San Diego County,CA,86.25429553264605
92126,San Diego County,CA,14.776632302405499
92128,San Diego County,CA,36.769759450171826
92585,Riverside County,CA,64.94845360824742
92626,Orange County,CA,23.711340206185564
92683,Orange County,CA,22.68041237113402
92882,Riverside County,CA,39.51890034364261
92886,Orange County,CA,23.02405498281787
93257,Tulare County,CA,59.450171821305844
93304,Kern County,CA,9.278350515463918
93458,Santa Barbara County,CA,8.24742268041237
93555,Kern County,CA,18.556701030927837
93611,Fresno County,CA,56.013745704467354
94116,San Francisco County,CA,94.15807560137456
94518,Contra Costa County,CA,98.28178694158075
95203,San Joaquin County,CA,89.00343642611683
95348,Merced County,CA,87.97250859106529
95404,Sonoma County,CA,92.09621993127148
95405,Sonoma County,CA,20.274914089347078
95618,Yolo County,CA,69.7594501718213
95949,Nevada County,CA,62.88659793814433
95965,Butte County,CA,19.243986254295535
80221,Adams County,CO,10.652920962199312
80226,Jefferson County,CO,78.69415807560138
80241,Adams County,CO,73.8831615120275
80528,Larimer County,CO,46.735395189003434
80534,Weld County,CO,45.70446735395189
80603,Weld County,CO,40.20618556701031
06117,Hartford County,CT,63.57388316151202
06238,Tolland County,CT,95.1890034364261
06460,New Haven County,CT,43.29896907216495
06513,New Haven County,CT,9.621993127147768
06515,New Haven County,CT,25.085910652920962
19810,New Castle County,DE,54.29553264604811
19943,Kent County,DE,44.67353951890035
19960,Sussex County,DE,71.47766323024055
32244,Duval County,FL,3.436426116838488
32806,Orange County,FL,55.670103092783506
33060,Broward County,FL,50.51546391752577
33186,Miami-Dade County,FL,2.0618556701030926
33473,Palm Beach County,FL,97.2508591065292
33615,Hillsborough County,FL,38.83161512027492
33774,Pinellas County,FL,77.31958762886599
30019,Gwinnett County,GA,12.027491408934708
30039,Gwinnett County,GA,53.264604810996566
30040,Forsyth County,GA,4.810996563573884
30052,Walton County,GA,62.88659793814433
30078,Gwinnett County,GA,42.2680412371134
30080,Cobb County,GA,40.20618556701031
30126,Cobb County,GA,29.553264604810998
30220,Coweta County,GA,93.81443298969072
30474,Toombs County,GA,58.4192439862543
