ZipCode,county,state,Youth,Adult
35242,Shelby County,AL,33.72093023255814,NA
35243,Jefferson County,AL,52.32558139534884,NA
35603,Morgan County,AL,25,NA
35749,Madison County,AL,48.25581395348838,NA
36079,Pike County,AL,88.95348837209302,NA
36426,Escambia County,AL,64.53488372093024,NA
36877,Lee County,AL,NA,80.67632850241546
99709,Fairbanks North Star Borough,AK,NA,62.31884057971014
85018,Maricopa County,AZ,NA,29.951690821256037
85122,Pinal County,AZ,5.232558139534884,NA
85142,Maricopa County,AZ,NA,9.178743961352657
85201,Maricopa County,AZ,NA,13.526570048309178
85255,Maricopa County,AZ,NA,46.3768115942029
85345,Maricopa County,AZ,22.093023255813954,NA
85388,Maricopa County,AZ,47.093023255813954,NA
85741,Pima County,AZ,NA,81.64251207729468
85757,Pima County,AZ,NA,23.18840579710145
86001,Coconino County,AZ,3.488372093023256,NA
72113,Pulaski County,AR,40.116279069767444,NA
90011,Los Angeles County,CA,12.790697674418606,NA
90012,Los Angeles County,CA,NA,63.28502415458937
90304,Los Angeles County,CA,79.06976744186046,NA
90602,Los Angeles County,CA,86.04651162790698,NA
90723,Los Angeles County,CA,39.53488372093023,NA
91202,Los Angeles County,CA,NA,88.40579710144928
91214,Los Angeles County,CA,86.62790697674419,NA
91360,Ventura County,CA,NA,60.86956521739131
91773,Los Angeles County,CA,68.6046511627907,NA
91790,Los Angeles County,CA,43.02325581395349,NA
92009,San Diego County,CA,NA,64.73429951690821
92027,San Diego County,CA,44.18604651162791,NA
92110,San Diego County,CA,82.55813953488372,NA
92116,San Diego County,CA,NA,91.30434782608695
92117,San Diego County,CA,37.7906976744186,NA
92240,Riverside County,CA,NA,51.20772946859904
92562,Riverside County,CA,NA,22.705314009661837
92582,Riverside County,CA,NA,67.6328502415459
92782,Orange County,CA,NA,80.19323671497585
92804,Orange County,CA,NA,85.99033816425121
92831,Orange County,CA,NA,82.6086956521739
92867,Orange County,CA,97.09302325581395,NA
93221,Tulare County,CA,NA,79.22705314009661
93550,Los Angeles County,CA,36.627906976744185,NA
93555,Kern County,CA,61.04651162790697,NA
93722,Fresno County,CA,19.767441860465116,NA
94513,Contra Costa County,CA,23.25581395348837,NA
94556,Contra Costa County,CA,NA,90.33816425120773
94901,Marin County,CA,55.23255813953488,NA
94928,Sonoma County,CA,NA,57.48792270531401
95023,San Benito County,CA,31.976744186046513,NA
95070,Santa Clara County,CA,94.76744186046511,NA
95118,Santa Clara County,CA,75.5813953488372,NA
95136,Santa Clara County,CA,56.97674418604651,NA
95382,Stanislaus County,CA,73.83720930232558,NA
95405,Sonoma County,CA,NA,71.49758454106279
95501,Humboldt County,CA,NA,48.792270531400966
95829,Sacramento County,CA,NA,75.36231884057972
80013,Arapahoe County,CO,NA,8.695652173913043
80104,Douglas County,CO,NA,53.62318840579711
80110,Arapahoe County,CO,84.30232558139535,NA
80111,Arapahoe County,CO,87.79069767441861,NA
80126,Douglas County,CO,17.441860465116278,NA
80241,Adams County,CO,41.86046511627907,NA
80543,Weld County,CO,NA,96.61835748792271
80550,Weld County,CO,NA,27.536231884057973
80701,Morgan County,CO,NA,21.256038647342994
80922,El Paso County,CO,NA,53.14009661835749
81520,Mesa County,CO,74.4186046511628,NA
81521,Mesa County,CO,NA,88.88888888888889
06053,Hartford County,CT,18.6046511627907,10.144927536231885
06441,Middlesex County,CT,NA,97.10144927536231
06604,Fairfield County,CT,NA,20.77294685990338
06831,Fairfield County,CT,NA,82.1256038647343
32086,St. Johns County,FL,25.581395348837212,NA
32217,Duval County,FL,NA,89.3719806763285
32257,Duval County,FL,NA,22.22222222222222
32258,Duval County,FL,NA,51.690821256038646
32669,Alachua County,FL,47.093023255813954,NA
32805,Orange County,FL,NA,28.985507246376812
33015,Miami-Dade County,FL,NA,47.34299516908212
33035,Miami-Dade County,FL,75.5813953488372,NA
33409,Palm Beach County,FL,NA,65.21739130434783
33432,Palm Beach County,FL,NA,84.54106280193237
33764,Pinellas County,FL,NA,39.130434782608695
33770,Pinellas County,FL,76.74418604651163,NA
34109,Collier County,FL,NA,74.39613526570048
34232,Sarasota County,FL,NA,76.32850241545893
