ZipCode,county,state,Adult,Retirement
35004,St. Clair County,AL,NA,81.09756097560977
35175,Marshall County,AL,83.91959798994975,NA
35747,Marshall County,AL,NA,87.1951219512195
35757,Madison County,AL,72.36180904522614,NA
99645,Matanuska-Susitna Borough,AK,56.28140703517588,NA
85045,Maricopa County,AZ,91.4572864321608,NA
85284,Maricopa County,AZ,NA,85.97560975609755
85295,Maricopa County,AZ,NA,81.70731707317073
85301,Maricopa County,AZ,7.035175879396985,NA
85351,Maricopa County,AZ,NA,50.609756097560975
85705,Pima County,AZ,5.025125628140704,NA
86326,Yavapai County,AZ,30.15075376884422,NA
86401,Mohave County,AZ,NA,14.634146341463413
72205,Pulaski County,AR,76.88442211055276,NA
72450,Greene County,AR,24.120603015075375,NA
90025,Los Angeles County,CA,60.30150753768844,NA
90066,Los Angeles County,CA,47.73869346733669,NA
90230,Los Angeles County,CA,NA,56.70731707317073
90712,Los Angeles County,CA,NA,57.92682926829268
90745,Los Angeles County,CA,NA,39.63414634146341
91784,San Bernardino County,CA,NA,54.87804878048781
92009,San Diego County,CA,83.41708542713567,NA
92057,San Diego County,CA,59.2964824120603,NA
92118,San Diego County,CA,NA,73.78048780487805
92211,Riverside County,CA,NA,48.78048780487805
92260,Riverside County,CA,56.78391959798995,NA
92545,Riverside County,CA,46.231155778894475,NA
92679,Orange County,CA,90.45226130653266,NA
92867,Orange County,CA,81.4070351758794,NA
93274,Tulare County,CA,NA,26.21951219512195
94063,San Mateo County,CA,NA,51.21951219512195
94108,San Francisco County,CA,NA,92.07317073170732
94404,San Mateo County,CA,NA,53.65853658536586
94518,Contra Costa County,CA,76.38190954773869,NA
94901,Marin County,CA,55.778894472361806,NA
95076,Santa Cruz County,CA,NA,59.14634146341463
95136,Santa Clara County,CA,61.30653266331658,NA
95492,Sonoma County,CA,NA,67.6829268292683
95521,Humboldt County,CA,NA,92.6829268292683
95621,Sacramento County,CA,NA,43.90243902439025
95658,Placer County,CA,97.48743718592965,NA
95682,El Dorado County,CA,NA,50
95762,El Dorado County,CA,NA,44.51219512195122
95842,Sacramento County,CA,48.24120603015075,NA
95965,Butte County,CA,22.613065326633166,NA
95969,Butte County,CA,37.185929648241206,NA
80016,Arapahoe County,CO,NA,25
80219,Denver County,CO,NA,31.097560975609756
80904,El Paso County,CO,NA,70.73170731707317
81301,La Plata County,CO,56.78391959798995,NA
81504,Mesa County,CO,NA,62.19512195121951
06010,Hartford County,CT,2.512562814070352,NA
06473,New Haven County,CT,NA,75
06478,New Haven County,CT,NA,71.95121951219512
19709,New Castle County,DE,NA,28.65853658536585
19720,New Castle County,DE,NA,3.6585365853658534
19958,Sussex County,DE,NA,6.097560975609756
32066,Lafayette County,FL,92.96482412060301,NA
32068,Clay County,FL,19.09547738693467,NA
32233,Duval County,FL,43.21608040201005,NA
32539,Okaloosa County,FL,NA,70.1219512195122
32953,Brevard County,FL,60.80402010050251,NA
33025,Broward County,FL,NA,59.756097560975604
33314,Broward County,FL,NA,61.58536585365854
33412,Palm Beach County,FL,NA,93.90243902439023
33487,Palm Beach County,FL,NA,51.829268292682926
34484,Sumter County,FL,94.47236180904522,NA
30004,Fulton County,GA,45.7286432160804,NA
30052,Walton County,GA,22.110552763819097,NA
30060,Cobb County,GA,42.71356783919598,NA
30107,Cherokee County,GA,NA,96.34146341463415
30213,Fulton County,GA,NA,72.5609756097561
30620,Barrow County,GA,NA,90.2439024390244
96734,Honolulu County,HI,41.70854271356784,NA
83301,Twin Falls County,ID,52.26130653266332,NA
83445,Fremont County,ID,NA,95.73170731707317
60025,Cook County,IL,NA,8.536585365853659
60618,Cook County,IL,12.562814070351758,NA
60619,Cook County,IL,NA,6.707317073170732
60625,Cook County,IL,NA,21.951219512195124
60914,Kankakee County,IL,38.69346733668342,NA
61115,Winnebago County,IL,52.76381909547738,NA
62859,Hamilton County,IL,87.93969849246231,NA
46001,Madison County,IN,NA,69.51219512195121
46011,Madison County,IN,NA,90.85365853658537
46068,Tipton County,IN,NA,99.39024390243902
46122,Hendricks County,IN,78.89447236180904,NA
46123,Hendricks County,IN,49.74874371859296,NA
46140,Hancock County,IN,63.81909547738693,NA
46234,Marion County,IN,NA,85.36585365853658
46237,Marion County,IN,NA,17.073170731707318
46307,Lake County,IN,2.0100502512562812,NA
46563,Marshall County,IN,NA,33.53658536585366
47371,Jay County,IN,55.27638190954774,NA
50588,Buena Vista County,IA,NA,87.8048780487805
51503,Pottawattamie County,IA,13.06532663316583,NA
52722,Scott County,IA,26.13065326633166,NA
66713,Cherokee County,KS,98.99497487437185,NA
67601,Ellis County,KS,44.72361809045226,NA
40229,Jefferson County,KY,18.592964824120603,NA
40330,Mercer County,KY,NA,58.536585365853654
41102,Boyd County,KY,NA,27.439024390243905
70072,Jefferson Parish,LA,1.0050251256281406,NA
70363,Terrebonne Parish,LA,26.633165829145728,NA
70458,St. Tammany Parish,LA,46.733668341708544,NA
70533,Vermilion Parish,LA,62.311557788944725,NA
70769,Ascension Parish,LA,15.07537688442211,NA
70811,East Baton Rouge Parish,LA,34.17085427135678,NA
71112,Bossier Parish,LA,45.22613065326633,NA
71360,Rapides Parish,LA,17.08542713567839,NA
04043,York County,ME,82.91457286432161,NA
04270,Oxford County,ME,NA,77.4390243902439
20659,St. Mary's County,MD,92.46231155778895,NA
21030,Baltimore County,MD,71.85929648241206,NA
21206,Baltimore city,MD,NA,19.51219512195122
21915,Cecil County,MD,NA,100
01027,Hampshire County,MA,18.090452261306535,NA
01452,Worcester County,MA,94.9748743718593,NA
01519,Worcester County,MA,NA,94.51219512195121
01730,Middlesex County,MA,37.68844221105528,NA
01749,Middlesex County,MA,25.628140703517587,NA
01754,Middlesex County,MA,68.34170854271356,NA
01801,Middlesex County,MA,0.5025125628140703,NA
01950,Essex County,MA,24.623115577889447,NA
02021,Norfolk County,MA,36.68341708542713,NA
02043,Plymouth County,MA,42.211055276381906,NA
02050,Plymouth County,MA,NA,34.756097560975604
02150,Suffolk County,MA,NA,18.902439024390244
02301,Plymouth County,MA,NA,0
02368,Norfolk County,MA,NA,9.75609756097561
02601,Barnstable County,MA,28.14070351758794,NA
02760,Bristol County,MA,16.582914572864322,NA
48197,Washtenaw County,MI,NA,1.2195121951219512
48205,Wayne County,MI,5.527638190954774,NA
48227,Wayne County,MI,NA,14.02439024390244
48228,Wayne County,MI,1.507537688442211,NA
48235,Wayne County,MI,3.015075376884422,NA
48306,Oakland County,MI,NA,30.48780487804878
48312,Macomb County,MI,31.155778894472363,NA
48423,Genesee County,MI,NA,65.85365853658537
48460,Shiawassee County,MI,98.49246231155779,NA
48854,Ingham County,MI,50.753768844221106,NA
49417,Ottawa County,MI,NA,10.975609756097562
49431,Mason County,MI,NA,35.36585365853659
49503,Kent County,MI,NA,45.73170731707317
55076,Dakota County,MN,NA,62.80487804878049
55119,Ramsey County,MN,NA,41.46341463414634
55130,Ramsey County,MN,50.25125628140703,NA
55803,St. Louis County,MN,NA,42.073170731707314
55912,Mower County,MN,NA,4.2682926829268295
55987,Winona County,MN,12.060301507537687,NA
56256,Lac qui Parle County,MN,97.98994974874373,NA
56303,Stearns County,MN,NA,54.268292682926834
38654,DeSoto County,MS,29.145728643216078,NA
39667,Walthall County,MS,NA,71.34146341463415
63080,Franklin County,MO,47.23618090452261,NA
63120,St. Louis city,MO,66.83417085427136,NA
63755,Cape Girardeau County,MO,65.82914572864321,NA
64801,Jasper County,MO,NA,55.487804878048784
65203,Boone County,MO,30.65326633165829,NA
59047,Park County,MT,75.37688442211056,NA
59102,Yellowstone County,MT,NA,7.317073170731707
59405,Cascade County,MT,NA,23.78048780487805
59701,Silver Bow County,MT,64.82412060301507,NA
59804,Missoula County,MT,93.46733668341709,NA
59870,Ravalli County,MT,93.96984924623115,NA
68059,Sarpy County,NE,100,NA
68116,Douglas County,NE,NA,68.90243902439023
89110,Clark County,NV,25.125628140703515,NA
89121,Clark County,NV,NA,73.17073170731707
89436,Washoe County,NV,58.291457286432156,NA
