ZipCode,county,state,Adult,Retirement,Geriatric
35020,Jefferson County,AL,73.04216867469879,NA,NA
35022,Jefferson County,AL,NA,14.655172413793101,NA
35184,Bibb County,AL,NA,77.80172413793103,NA
35211,Jefferson County,AL,15.66265060240964,NA,NA
35242,Shelby County,AL,NA,NA,6.90978886756238
35401,Tuscaloosa County,AL,26.054216867469883,NA,NA
35404,Tuscaloosa County,AL,15.512048192771086,NA,70.44145873320538
35405,Tuscaloosa County,AL,33.13253012048193,NA,NA
35406,Tuscaloosa County,AL,94.57831325301204,43.64224137931034,NA
35442,Pickens County,AL,NA,NA,99.23224568138195
35453,Tuscaloosa County,AL,80.2710843373494,NA,NA
35462,Greene County,AL,NA,NA,96.1612284069098
35473,Tuscaloosa County,AL,90.36144578313254,49.56896551724138,63.91554702495201
35474,Hale County,AL,62.951807228915655,83.62068965517241,NA
35555,Fayette County,AL,62.5,NA,78.50287907869482
35565,Winston County,AL,NA,74.03017241379311,NA
35570,Marion County,AL,NA,88.46982758620689,NA
35586,Lamar County,AL,NA,97.19827586206897,NA
35592,Lamar County,AL,94.27710843373494,NA,NA
35630,Lauderdale County,AL,NA,NA,43.953934740882914
35633,Lauderdale County,AL,NA,NA,76.77543186180422
35634,Lauderdale County,AL,84.93975903614458,NA,NA
35646,Colbert County,AL,NA,93.64224137931035,NA
35648,Lauderdale County,AL,NA,NA,92.13051823416507
35674,Colbert County,AL,NA,77.15517241379311,NA
35803,Madison County,AL,NA,65.94827586206897,NA
35956,Etowah County,AL,NA,95.47413793103449,NA
36109,Montgomery County,AL,NA,59.59051724137932,NA
36277,Calhoun County,AL,86.44578313253012,NA,NA
36502,Escambia County,AL,NA,39.762931034482754,NA
36532,Baldwin County,AL,55.57228915662651,NA,NA
36535,Baldwin County,AL,43.22289156626506,52.478448275862064,NA
36542,Baldwin County,AL,NA,92.78017241379311,NA
36549,Baldwin County,AL,NA,NA,78.69481765834932
36567,Baldwin County,AL,59.48795180722891,NA,NA
36610,Mobile County,AL,NA,NA,89.82725527831093
36617,Mobile County,AL,73.49397590361446,NA,NA
36695,Mobile County,AL,34.78915662650602,NA,NA
36744,Hale County,AL,73.3433734939759,NA,91.74664107485604
36870,Lee County,AL,NA,NA,68.71401151631477
99501,Anchorage Municipality,AK,22.439759036144576,NA,NA
99507,Anchorage Municipality,AK,87.34939759036145,NA,NA
99515,Anchorage Municipality,AK,NA,NA,80.99808061420346
99603,Kenai Peninsula Borough,AK,NA,52.047413793103445,NA
85024,Maricopa County,AZ,NA,97.30603448275862,NA
85119,Pinal County,AZ,NA,NA,40.49904030710173
85138,Pinal County,AZ,NA,62.71551724137932,74.28023032629558
85143,Pinal County,AZ,NA,33.189655172413794,NA
85204,Maricopa County,AZ,NA,NA,40.11516314779271
85206,Maricopa County,AZ,NA,89.76293103448276,NA
85255,Maricopa County,AZ,NA,84.375,NA
85308,Maricopa County,AZ,NA,14.547413793103448,NA
85326,Maricopa County,AZ,29.21686746987952,NA,NA
85344,La Paz County,AZ,NA,NA,73.32053742802303
85345,Maricopa County,AZ,11.897590361445783,NA,NA
85351,Maricopa County,AZ,NA,NA,0.7677543186180422
85374,Maricopa County,AZ,46.3855421686747,NA,NA
85616,Cochise County,AZ,NA,92.88793103448276,NA
85714,Pima County,AZ,33.58433734939759,NA,NA
85901,Navajo County,AZ,NA,25.21551724137931,NA
86045,Coconino County,AZ,NA,36.5301724137931,NA
86305,Yavapai County,AZ,NA,31.896551724137932,NA
86314,Yavapai County,AZ,16.867469879518072,NA,38.1957773512476
86315,Yavapai County,AZ,NA,67.02586206896551,NA
86326,Yavapai County,AZ,24.397590361445783,NA,NA
86333,Yavapai County,AZ,NA,NA,82.72552783109404
86401,Mohave County,AZ,NA,33.512931034482754,NA
86404,Mohave County,AZ,NA,48.275862068965516,71.017274472168907
86406,Mohave County,AZ,NA,23.275862068965516,NA
86409,Mohave County,AZ,8.283132530120483,NA,NA
86429,Mohave County,AZ,NA,NA,88.29174664107485
86442,Mohave County,AZ,NA,NA,17.85028790786948
71852,Howard County,AR,NA,81.35775862068965,NA
71901,Garland County,AR,74.84939759036145,85.02155172413794,36.08445297504799
71909,Garland County,AR,NA,63.577586206896555,63.72360844529751
71913,Garland County,AR,67.92168674698796,58.081896551724135,NA
71921,Clark County,AR,99.54819277108435,NA,NA
71923,Clark County,AR,NA,92.24137931034483,NA
71943,Pike County,AR,NA,97.73706896551724,NA
71968,Garland County,AR,NA,NA,98.0806142034549
72032,Faulkner County,AR,38.855421686746986,NA,NA
72034,Faulkner County,AR,49.54819277108434,NA,NA
72116,Pulaski County,AR,NA,72.95258620689656,NA
72120,Pulaski County,AR,NA,NA,37.81190019193858
72335,St. Francis County,AR,NA,74.67672413793103,NA
72396,Cross County,AR,87.19879518072288,68.10344827586206,65.64299424184262
72401,Craighead County,AR,14.457831325301203,38.900862068965516,14.011516314779271
72404,Craighead County,AR,NA,71.44396551724138,NA
72416,Craighead County,AR,84.78915662650603,NA,NA
72543,Cleburne County,AR,NA,57.974137931034484,NA
72601,Boone County,AR,79.96987951807229,28.771551724137932,NA
72631,Carroll County,AR,NA,93.85775862068965,NA
72653,Baxter County,AR,NA,18.103448275862068,NA
72703,Washington County,AR,NA,NA,54.12667946257198
72712,Benton County,AR,NA,NA,36.85220729366603
72714,Benton County,AR,92.31927710843374,86.85344827586206,57.19769673704415
72715,Benton County,AR,NA,83.40517241379311,NA
72732,Benton County,AR,NA,NA,99.42418426103646
72751,Benton County,AR,NA,93.75,NA
72753,Washington County,AR,89.45783132530121,NA,NA
72756,Benton County,AR,NA,32.435344827586206,56.813819577735124
72758,Benton County,AR,NA,80.17241379310344,NA
72764,Washington County,AR,37.1987951807229,51.616379310344826,NA
72904,Sebastian County,AR,NA,60.668103448275865,NA
90038,Los Angeles County,CA,75.45180722891565,NA,NA
90046,Los Angeles County,CA,NA,NA,29.558541266794624
90048,Los Angeles County,CA,NA,57.004310344827594,40.88291746641075
90059,Los Angeles County,CA,NA,81.03448275862068,NA
90211,Los Angeles County,CA,NA,NA,77.73512476007679
90274,Los Angeles County,CA,95.18072289156626,NA,NA
90278,Los Angeles County,CA,NA,49.46120689655172,NA
90302,Los Angeles County,CA,NA,NA,87.90786948176583
90603,Los Angeles County,CA,92.46987951807229,NA,NA
90604,Los Angeles County,CA,NA,NA,26.87140115163148
90631,Orange County,CA,35.24096385542169,NA,18.809980806142036
90638,Los Angeles County,CA,NA,34.375,NA
90717,Los Angeles County,CA,83.43373493975903,NA,NA
91423,Los Angeles County,CA,NA,57.866379310344826,NA
91606,Los Angeles County,CA,NA,50.32327586206896,NA
91709,San Bernardino County,CA,34.48795180722892,24.461206896551722,NA
91737,San Bernardino County,CA,NA,51.508620689655174,NA
91739,San Bernardino County,CA,NA,59.26724137931034,NA
91745,Los Angeles County,CA,NA,41.16379310344828,NA
92009,San Diego County,CA,NA,84.26724137931035,NA
92021,San Diego County,CA,NA,11.637931034482758,NA
92026,San Diego County,CA,NA,43.85775862068966,NA
92037,San Diego County,CA,NA,45.797413793103445,NA
92040,San Diego County,CA,46.83734939759036,NA,NA
92120,San Diego County,CA,NA,66.91810344827587,NA
92126,San Diego County,CA,NA,NA,39.53934740882917
92129,San Diego County,CA,NA,NA,45.489443378119006
92173,San Diego County,CA,NA,72.84482758620689,NA
92201,Riverside County,CA,NA,88.03879310344827,NA
92234,Riverside County,CA,14.156626506024098,NA,NA
92240,Riverside County,CA,22.590361445783135,NA,NA
92264,Riverside County,CA,46.08433734939759,NA,NA
92354,San Bernardino County,CA,81.77710843373494,NA,NA
92399,San Bernardino County,CA,NA,18.53448275862069,NA
92620,Orange County,CA,NA,93.21120689655173,NA
92637,Orange County,CA,99.69879518072288,NA,NA
92653,Orange County,CA,NA,NA,46.257197696737045
92706,Orange County,CA,79.06626506024097,NA,NA
92708,Orange County,CA,NA,NA,19.385796545105567
92780,Orange County,CA,NA,53.125,NA
92821,Orange County,CA,NA,NA,26.103646833013432
92835,Orange County,CA,NA,58.297413793103445,NA
92868,Orange County,CA,62.34939759036144,NA,NA
92870,Orange County,CA,36.295180722891565,74.46120689655173,NA
92882,Riverside County,CA,29.518072289156628,NA,NA
92886,Orange County,CA,NA,47.62931034482759,NA
93003,Ventura County,CA,15.36144578313253,80.60344827586206,NA
93021,Ventura County,CA,55.87349397590361,NA,NA
93117,Santa Barbara County,CA,NA,72.73706896551724,NA
93401,San Luis Obispo County,CA,NA,47.952586206896555,NA
93635,Merced County,CA,NA,41.5948275862069,NA
93657,Fresno County,CA,NA,40.40948275862069,NA
94030,San Mateo County,CA,NA,55.92672413793104,NA
94110,San Francisco County,CA,NA,NA,20.537428023032632
94114,San Francisco County,CA,NA,48.706896551724135,NA
94115,San Francisco County,CA,NA,NA,10.9404990403071
94118,San Francisco County,CA,NA,65.30172413793103,NA
94122,San Francisco County,CA,NA,19.612068965517242,NA
94505,Contra Costa County,CA,NA,80.60344827586206,NA
94510,Solano County,CA,NA,59.05172413793104,NA
94523,Contra Costa County,CA,NA,52.90948275862068,NA
94531,Contra Costa County,CA,NA,45.581896551724135,NA
94558,Napa County,CA,NA,NA,3.45489443378119
94585,Solano County,CA,NA,NA,68.52207293666027
94590,Solano County,CA,NA,NA,40.69097888675624
94595,Contra Costa County,CA,NA,NA,7.293666026871401
94602,Alameda County,CA,NA,54.741379310344826,NA
94603,Alameda County,CA,46.536144578313255,NA,NA
94803,Contra Costa County,CA,88.70481927710844,NA,NA
94920,Marin County,CA,NA,NA,76.1996161228407
94941,Marin County,CA,NA,37.5,NA
94945,Marin County,CA,91.86746987951807,NA,NA
95003,Santa Cruz County,CA,NA,72.30603448275862,NA
95032,Santa Clara County,CA,NA,NA,45.68138195777352
95051,Santa Clara County,CA,NA,78.44827586206897,33.97312859884837
95337,San Joaquin County,CA,NA,39.331896551724135,62.38003838771593
95354,Stanislaus County,CA,NA,52.80172413793104,NA
95355,Stanislaus County,CA,NA,NA,22.84069097888676
95356,Stanislaus County,CA,40.51204819277108,NA,NA
95482,Mendocino County,CA,NA,23.38362068965517,NA
95501,Humboldt County,CA,NA,31.788793103448278,NA
95608,Sacramento County,CA,40.06024096385542,NA,NA
95620,Solano County,CA,NA,86.20689655172413,NA
95628,Sacramento County,CA,NA,71.01293103448276,NA
95678,Placer County,CA,NA,NA,54.894433781190024
95695,Yolo County,CA,NA,49.24568965517241,58.73320537428023
95726,El Dorado County,CA,NA,87.93103448275862,NA
95776,Yolo County,CA,86.14457831325302,NA,NA
95821,Sacramento County,CA,NA,27.586206896551722,NA
95841,Sacramento County,CA,83.13253012048193,NA,NA
95954,Butte County,CA,NA,NA,31.669865642994242
95959,Nevada County,CA,NA,NA,56.4299424184261
95965,Butte County,CA,19.126506024096386,NA,NA
95991,Sutter County,CA,29.21686746987952,NA,NA
96001,Shasta County,CA,69.42771084337349,NA,NA
96002,Shasta County,CA,54.21686746987952,NA,NA
80010,Arapahoe County,CO,NA,40.625,NA
80015,Arapahoe County,CO,NA,19.288793103448278,NA
80016,Arapahoe County,CO,53.765060240963855,NA,52.783109404990405
80124,Douglas County,CO,NA,79.95689655172413,NA
80206,Denver County,CO,NA,NA,75.62380038387715
80233,Adams County,CO,56.325301204819276,NA,NA
80237,Denver County,CO,NA,56.35775862068966,NA
80239,Denver County,CO,24.69879518072289,NA,NA
80247,Arapahoe County,CO,NA,44.18103448275862,NA
80501,Boulder County,CO,20.481927710843372,NA,NA
80516,Weld County,CO,NA,58.83620689655172,NA
80521,Larimer County,CO,66.1144578313253,NA,NA
80528,Larimer County,CO,52.108433734939766,NA,NA
80537,Larimer County,CO,22.13855421686747,NA,NA
80538,Larimer County,CO,NA,NA,23.80038387715931
80542,Weld County,CO,NA,98.70689655172413,NA
80601,Adams County,CO,34.036144578313255,NA,NA
80602,Adams County,CO,45.933734939759034,NA,NA
80621,Weld County,CO,NA,96.65948275862068,NA
80631,Weld County,CO,33.28313253012048,NA,NA
80634,Weld County,CO,2.2590361445783134,13.14655172413793,35.892514395393476
80751,Logan County,CO,NA,58.620689655172406,NA
80906,El Paso County,CO,NA,NA,25.911708253358924
81004,Pueblo County,CO,NA,NA,87.5239923224568
81006,Pueblo County,CO,70.63253012048193,NA,NA
81008,Pueblo County,CO,NA,NA,81.7658349328215
