ZipCode,county,state,Adult,Retirement,Geriatric
35057,Cullman County,AL,NA,93.93939393939394,NA
35071,Jefferson County,AL,71.88612099644128,NA,NA
35094,Jefferson County,AL,NA,NA,73.33333333333333
35244,Jefferson County,AL,NA,40.74074074074074,NA
35555,Fayette County,AL,NA,83.16498316498317,NA
35802,Madison County,AL,NA,64.3097643097643,NA
35954,Etowah County,AL,NA,NA,81.53846153846153
36066,Autauga County,AL,NA,NA,54.871794871794876
36460,Monroe County,AL,91.81494661921708,NA,NA
36575,Mobile County,AL,58.718861209964416,NA,NA
36701,Dallas County,AL,NA,NA,53.84615384615385
99603,Kenai Peninsula Borough,AK,NA,56.9023569023569,NA
85013,Maricopa County,AZ,50.177935943060504,NA,NA
85043,Maricopa County,AZ,NA,64.64646464646465,NA
85119,Pinal County,AZ,NA,44.107744107744104,NA
85207,Maricopa County,AZ,24.199288256227756,NA,NA
85251,Maricopa County,AZ,NA,NA,29.743589743589745
85259,Maricopa County,AZ,NA,76.0942760942761,56.41025641025641
85266,Maricopa County,AZ,99.28825622775801,NA,NA
85344,La Paz County,AZ,NA,70.37037037037037,NA
85351,Maricopa County,AZ,NA,NA,0
85374,Maricopa County,AZ,NA,18.181818181818183,NA
85375,Maricopa County,AZ,NA,NA,0.5128205128205128
85705,Pima County,AZ,3.202846975088968,NA,NA
85712,Pima County,AZ,NA,46.12794612794613,NA
85719,Pima County,AZ,NA,73.4006734006734,NA
85745,Pima County,AZ,NA,NA,26.666666666666668
85757,Pima County,AZ,NA,55.218855218855225,NA
85935,Navajo County,AZ,NA,94.27609427609428,NA
86004,Coconino County,AZ,NA,13.804713804713806,NA
71730,Union County,AR,48.754448398576514,NA,NA
71742,Dallas County,AR,NA,89.8989898989899,NA
72002,Saline County,AR,91.45907473309609,NA,NA
72046,Lonoke County,AR,NA,90.23569023569024,NA
72118,Pulaski County,AR,62.27758007117438,NA,NA
72315,Mississippi County,AR,NA,NA,81.53846153846153
72855,Logan County,AR,NA,88.21548821548821,NA
90016,Los Angeles County,CA,44.48398576512456,21.548821548821547,NA
90045,Los Angeles County,CA,NA,80.8080808080808,NA
90065,Los Angeles County,CA,NA,NA,57.43589743589743
90230,Los Angeles County,CA,77.58007117437722,NA,NA
90241,Los Angeles County,CA,NA,NA,84.61538461538461
90242,Los Angeles County,CA,NA,91.24579124579124,NA
90293,Los Angeles County,CA,NA,83.83838383838383,NA
90505,Los Angeles County,CA,57.65124555160143,NA,NA
90601,Los Angeles County,CA,NA,NA,35.8974358974359
90603,Los Angeles County,CA,NA,NA,43.07692307692308
90606,Los Angeles County,CA,NA,59.93265993265994,NA
91010,Los Angeles County,CA,NA,62.96296296296296,NA
91103,Los Angeles County,CA,73.30960854092527,NA,NA
91203,Los Angeles County,CA,NA,NA,78.46153846153847
91354,Los Angeles County,CA,96.44128113879003,NA,NA
91360,Ventura County,CA,62.989323843416365,NA,NA
91750,Los Angeles County,CA,64.76868327402136,NA,NA
91764,San Bernardino County,CA,36.654804270462634,NA,NA
91768,Los Angeles County,CA,44.128113879003564,NA,NA
91770,Los Angeles County,CA,NA,75.75757575757575,NA
92009,San Diego County,CA,NA,42.08754208754209,NA
92065,San Diego County,CA,50.88967971530249,NA,NA
92109,San Diego County,CA,69.3950177935943,NA,NA
92120,San Diego County,CA,NA,71.71717171717171,NA
92236,Riverside County,CA,NA,NA,90.25641025641026
92376,San Bernardino County,CA,8.896797153024911,16.4983164983165,NA
92394,San Bernardino County,CA,NA,85.18518518518519,NA
92411,San Bernardino County,CA,NA,74.07407407407408,NA
92555,Riverside County,CA,NA,65.65656565656566,NA
92570,Riverside County,CA,42.704626334519574,NA,NA
92606,Orange County,CA,NA,81.48148148148148,NA
92626,Orange County,CA,NA,76.43097643097643,NA
92629,Orange County,CA,95.37366548042705,NA,NA
92630,Orange County,CA,30.96085409252669,NA,NA
92692,Orange County,CA,87.18861209964413,NA,NA
92835,Orange County,CA,NA,61.95286195286195,NA
92883,Riverside County,CA,66.19217081850533,NA,NA
93065,Ventura County,CA,NA,19.19191919191919,NA
93274,Tulare County,CA,5.6939501779359425,NA,NA
93312,Kern County,CA,39.14590747330961,NA,NA
93405,San Luis Obispo County,CA,NA,87.54208754208754,NA
93620,Merced County,CA,NA,NA,95.8974358974359
93940,Monterey County,CA,52.313167259786475,NA,NA
93955,Monterey County,CA,39.50177935943061,NA,NA
94022,Santa Clara County,CA,NA,NA,69.74358974358974
94112,San Francisco County,CA,22.77580071174377,NA,NA
94303,San Mateo County,CA,NA,63.63636363636363,NA
94526,Contra Costa County,CA,NA,78.11447811447812,NA
94577,Alameda County,CA,36.29893238434164,32.996632996633,NA
94601,Alameda County,CA,NA,NA,60.51282051282051
94612,Alameda County,CA,74.37722419928826,NA,NA
94806,Contra Costa County,CA,32.74021352313167,NA,NA
94945,Marin County,CA,NA,71.04377104377105,NA
94947,Marin County,CA,NA,NA,80.51282051282051
95003,Santa Cruz County,CA,NA,NA,62.56410256410256
95240,San Joaquin County,CA,14.23487544483986,NA,NA
95322,Merced County,CA,92.52669039145907,NA,NA
95355,Stanislaus County,CA,NA,NA,65.64102564102564
95356,Stanislaus County,CA,NA,85.85858585858585,NA
95370,Tuolumne County,CA,NA,3.7037037037037033,70.76923076923077
95382,Stanislaus County,CA,NA,NA,40.51282051282051
95383,Tuolumne County,CA,98.22064056939502,NA,NA
95407,Sonoma County,CA,NA,56.22895622895623,NA
