ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,NA,79.94041708043694,NA
35010,Tallapoosa County,AL,NA,NA,NA,NA,32.671755725190835
35014,Talladega County,AL,NA,NA,93.91697492807234,NA,NA
35016,Marshall County,AL,NA,NA,51.29469790382244,NA,NA
35043,Shelby County,AL,NA,NA,NA,89.47368421052632,NA
35044,Talladega County,AL,NA,NA,NA,82.42303872889771,NA
35096,Talladega County,AL,71.19815668202764,NA,NA,NA,NA
35111,Tuscaloosa County,AL,NA,NA,44.636251541307026,NA,NA
35126,Jefferson County,AL,NA,NA,51.17139334155364,NA,NA
35150,Talladega County,AL,NA,54.962962962962955,39.16974928072339,NA,NA
35160,Talladega County,AL,NA,NA,13.81011097410604,NA,NA
35173,Jefferson County,AL,NA,87.55555555555556,NA,NA,NA
35204,Jefferson County,AL,NA,NA,NA,69.21549155908639,NA
35205,Jefferson County,AL,NA,NA,65.88573777229757,NA,NA
35208,Jefferson County,AL,NA,NA,37.81339909576654,NA,NA
35209,Jefferson County,AL,NA,73.48148148148148,NA,NA,NA
35211,Jefferson County,AL,NA,NA,13.27579120427456,NA,NA
35212,Jefferson County,AL,NA,67.55555555555556,NA,NA,NA
35214,Jefferson County,AL,NA,NA,NA,41.509433962264154,NA
35215,Jefferson County,AL,NA,NA,7.069461570078094,NA,NA
35226,Jefferson County,AL,NA,NA,78.21619399917797,NA,NA
35243,Jefferson County,AL,NA,NA,81.91533086724209,NA,NA
35244,Jefferson County,AL,61.175115207373274,NA,46.60912453760789,NA,NA
35404,Tuscaloosa County,AL,NA,59.851851851851855,NA,NA,NA
35405,Tuscaloosa County,AL,NA,NA,6.781750924784218,NA,NA
35406,Tuscaloosa County,AL,NA,NA,NA,50.24826216484608,NA
35453,Tuscaloosa County,AL,NA,NA,53.555281545417174,NA,NA
35476,Tuscaloosa County,AL,NA,68.44444444444444,NA,NA,NA
35555,Fayette County,AL,NA,NA,64.8170982326346,NA,NA
35570,Marion County,AL,NA,NA,66.99547883271681,NA,NA
35581,Franklin County,AL,87.21198156682027,NA,96.95848746403617,NA,NA
35601,Morgan County,AL,NA,21.62962962962963,NA,NA,NA
35603,Morgan County,AL,NA,NA,66.21454993834772,NA,NA
35611,Limestone County,AL,NA,NA,23.05795314426634,NA,NA
35630,Lauderdale County,AL,NA,NA,29.264282778462803,NA,NA
35640,Morgan County,AL,22.58064516129032,NA,NA,NA,NA
35650,Lawrence County,AL,NA,NA,54.66502260583641,NA,NA
35654,Franklin County,AL,NA,NA,87.2996300863132,NA,NA
35661,Colbert County,AL,66.3594470046083,NA,NA,NA,NA
35674,Colbert County,AL,NA,NA,33.57994245787094,NA,NA
35758,Madison County,AL,NA,NA,NA,NA,35.57251908396947
35761,Madison County,AL,NA,NA,NA,NA,87.32824427480917
35768,Jackson County,AL,88.94009216589862,NA,NA,NA,NA
35803,Madison County,AL,66.3594470046083,NA,NA,NA,NA
35810,Madison County,AL,NA,NA,29.469790382244142,NA,NA
35811,Madison County,AL,NA,NA,39.457459926017265,NA,NA
35903,Etowah County,AL,NA,NA,53.308672420879574,31.38033763654419,NA
35950,Marshall County,AL,NA,NA,40.03288121660501,NA,NA
35954,Etowah County,AL,NA,NA,84.79243732018085,58.788480635551146,NA
35962,DeKalb County,AL,NA,NA,84.75133579942458,NA,NA
35967,DeKalb County,AL,NA,NA,NA,73.58490566037736,NA
36037,Butler County,AL,NA,NA,56.51459103986848,66.0377358490566,NA
36108,Montgomery County,AL,NA,NA,NA,NA,70.07633587786259
36109,Montgomery County,AL,NA,NA,47.26674886970818,NA,NA
36206,Calhoun County,AL,NA,NA,74.9691738594328,NA,NA
36266,Clay County,AL,NA,NA,85.57336621454994,NA,NA
36274,Randolph County,AL,NA,84.29629629629629,NA,NA,NA
36277,Calhoun County,AL,NA,NA,87.50513769009454,NA,NA
