ZipCode,county,state,Adult
35209,Jefferson County,AL,82.08092485549133
36274,Randolph County,AL,83.23699421965318
36303,Houston County,AL,30.63583815028902
85029,Maricopa County,AZ,29.47976878612717
85041,Maricopa County,AZ,8.092485549132949
85201,Maricopa County,AZ,15.606936416184972
85202,Maricopa County,AZ,23.121387283236995
85225,Maricopa County,AZ,11.560693641618498
85742,Pima County,AZ,82.65895953757226
72209,Pulaski County,AR,54.91329479768786
72764,Washington County,AR,44.50867052023121
90005,Los Angeles County,CA,93.64161849710982
90036,Los Angeles County,CA,73.41040462427746
90065,Los Angeles County,CA,58.95953757225434
91040,Los Angeles County,CA,90.7514450867052
91206,Los Angeles County,CA,78.61271676300578
92860,Riverside County,CA,76.878612716763
93535,Los Angeles County,CA,8.670520231213873
93618,Tulare County,CA,84.39306358381504
93727,Fresno County,CA,50.28901734104046
94949,Marin County,CA,83.8150289017341
95926,Butte County,CA,39.30635838150289
80003,Jefferson County,CO,51.445086705202314
80205,Denver County,CO,12.716763005780345
80234,Adams County,CO,67.63005780346822
80634,Weld County,CO,2.8901734104046244
32068,Clay County,FL,12.138728323699421
32129,Volusia County,FL,78.03468208092485
32333,Gadsden County,FL,87.28323699421965
32578,Okaloosa County,FL,56.64739884393064
33319,Broward County,FL,46.82080924855491
33629,Hillsborough County,FL,76.30057803468208
33801,Polk County,FL,30.057803468208093
34113,Collier County,FL,85.54913294797689
34748,Lake County,FL,22.54335260115607
30017,Gwinnett County,GA,71.67630057803468
30035,DeKalb County,GA,60.115606936416185
30062,Cobb County,GA,48.554913294797686
30135,Douglas County,GA,16.184971098265898
30313,Fulton County,GA,98.26589595375722
30507,Hall County,GA,49.71098265895954
30643,Hart County,GA,69.36416184971098
30701,Gordon County,GA,36.41618497109826
30755,Whitfield County,GA,67.05202312138728
31220,Bibb County,GA,84.97109826589595
31501,Ware County,GA,72.83236994219652
83202,Bannock County,ID,56.06936416184971
83646,Ada County,ID,10.982658959537572
60093,Cook County,IL,81.5028901734104
60103,DuPage County,IL,34.68208092485549
60402,Cook County,IL,10.404624277456648
60473,Cook County,IL,59.53757225433526
60641,Cook County,IL,14.450867052023122
60644,Cook County,IL,7.514450867052023
60657,Cook County,IL,24.277456647398843
46635,St. Joseph County,IN,98.84393063583815
47356,Henry County,IN,95.37572254335261
51031,Plymouth County,IA,86.1271676300578
40291,Jefferson County,KY,19.07514450867052
41701,Perry County,KY,36.99421965317919
42276,Logan County,KY,58.38150289017341
70119,Orleans Parish,LA,4.046242774566474
70131,Orleans Parish,LA,68.20809248554913
70426,Washington Parish,LA,65.3179190751445
20874,Montgomery County,MD,52.02312138728323
20886,Montgomery County,MD,79.76878612716763
21601,Talbot County,MD,73.98843930635837
01057,Hampden County,MA,35.83815028901734
01607,Worcester County,MA,94.21965317919076
01760,Middlesex County,MA,9.248554913294797
02151,Suffolk County,MA,0
02445,Norfolk County,MA,33.52601156069364
02780,Bristol County,MA,34.104046242774565
48092,Macomb County,MI,35.26011560693642
48211,Wayne County,MI,92.48554913294798
48307,Oakland County,MI,20.23121387283237
48336,Oakland County,MI,38.15028901734104
48348,Oakland County,MI,41.61849710982659
48617,Clare County,MI,75.14450867052022
48858,Isabella County,MI,5.780346820809249
48867,Shiawassee County,MI,6.9364161849710975
55105,Ramsey County,MN,96.53179190751445
56001,Blue Earth County,MN,37.57225433526011
38652,Union County,MS,79.1907514450867
39503,Harrison County,MS,43.93063583815029
39530,Harrison County,MS,93.0635838150289
63043,St. Louis County,MO,55.49132947976878
63134,St. Louis County,MO,46.24277456647399
63383,Warren County,MO,57.80346820809249
64083,Cass County,MO,41.040462427745666
64108,Jackson County,MO,62.42774566473989
64730,Bates County,MO,61.27167630057804
65616,Taney County,MO,42.77456647398844
89115,Clark County,NV,23.699421965317917
89119,Clark County,NV,24.85549132947977
07013,Passaic County,NJ,45.664739884393065
07108,Essex County,NJ,1.7341040462427744
07307,Hudson County,NJ,9.826589595375722
07712,Monmouth County,NJ,18.497109826589593
07735,Monmouth County,NJ,69.94219653179191
07803,Morris County,NJ,100
08066,Gloucester County,NJ,80.34682080924856
08079,Salem County,NJ,89.59537572254335
08081,Camden County,NJ,1.1560693641618496
87102,Bernalillo County,NM,27.74566473988439
88201,Chaves County,NM,39.884393063583815
11213,Kings County,NY,4.624277456647398
12020,Saratoga County,NY,21.38728323699422
12834,Washington County,NY,74.56647398843931
13073,Tompkins County,NY,60.69364161849711
13104,Onondaga County,NY,53.75722543352601
13132,Oswego County,NY,97.10982658959537
13148,Seneca County,NY,31.213872832369944
14882,Tompkins County,NY,87.861271676300575
27574,Person County,NC,71.09826589595376
27705,Durham County,NC,27.167630057803464
28146,Rowan County,NC,38.72832369942196
28210,Mecklenburg County,NC,54.33526011560693
28540,Onslow County,NC,32.947976878612714
28658,Catawba County,NC,47.97687861271676
43016,Franklin County,OH,63.58381502890174
43085,Franklin County,OH,70.52023121387283
43140,Madison County,OH,43.35260115606936
45066,Warren County,OH,64.73988439306359
45840,Hancock County,OH,3.4682080924855487
73051,Cleveland County,OK,95.95375722543352
73533,Stephens County,OK,26.589595375722542
73750,Kingfisher County,OK,91.90751445086705
74112,Tulsa County,OK,57.22543352601156
74361,Mayes County,OK,68.78612716763006
97045,Clackamas County,OR,16.76300578034682
97206,Multnomah County,OR,15.028901734104046
97302,Marion County,OR,47.398843930635834
97367,Lincoln County,OR,75.72254335260115
15010,Beaver County,PA,25.43352601156069
15204,Allegheny County,PA,72.25433526011561
15301,Washington County,PA,6.358381502890173
15656,Westmoreland County,PA,77.45664739884393
15701,Indiana County,PA,25.43352601156069
17109,Dauphin County,PA,32.369942196531795
18508,Lackawanna County,PA,61.849710982658955
18704,Luzerne County,PA,17.341040462427745
19124,Philadelphia County,PA,0.5780346820809248
19440,Montgomery County,PA,63.005780346820806
19464,Montgomery County,PA,31.79190751445087
02863,Providence County,RI,66.47398843930635
37755,Scott County,TN,99.42196531791907
37917,Knox County,TN,17.91907514450867
38053,Shelby County,TN,52.601156069364166
75214,Dallas County,TX,49.13294797687861
76205,Denton County,TX,88.4393063583815
76401,Erath County,TX,64.16184971098265
76904,Tom Green County,TX,89.01734104046243
77450,Harris County,TX,45.08670520231214
77459,Fort Bend County,TX,28.32369942196532
77590,Galveston County,TX,13.872832369942195
84129,,UT,65.89595375722543
84737,Washington County,UT,86.70520231213872
05753,Addison County,VT,94.79768786127167
22407,Spotsylvania County,VA,19.653179190751445
23185,James City County,VA,42.19653179190752
23513,Norfolk city,VA,20.809248554913296
23693,York County,VA,97.6878612716763
24013,Roanoke city,VA,80.92485549132948
98258,Snohomish County,WA,28.901734104046245
98362,Clallam County,WA,39.884393063583815
98660,Clark County,WA,91.32947976878613
99207,Spokane County,WA,53.179190751445084
99320,Benton County,WA,90.17341040462428
20032,District of Columbia,DC,5.202312138728324
25801,Raleigh County,WV,13.294797687861271
53205,Milwaukee County,WI,2.312138728323699
54303,Brown County,WI,50.86705202312138
54481,Portage County,WI,21.965317919075144
