ZipCode,county,state,Retirement,Geriatric
35022,Jefferson County,AL,NA,23.968565815324165
35043,Shelby County,AL,NA,97.83889980353635
35115,Shelby County,AL,NA,92.73084479371316
35213,Jefferson County,AL,68.62106406080348,NA
35226,Jefferson County,AL,NA,28.487229862475445
35475,Tuscaloosa County,AL,53.85450597176982,NA
35555,Fayette County,AL,NA,54.223968565815326
35611,Limestone County,AL,NA,59.921414538310415
35614,Limestone County,AL,95.33116178067318,NA
35674,Colbert County,AL,52.11726384364821,NA
35773,Madison County,AL,67.86102062975027,NA
35801,Madison County,AL,36.807817589576544,NA
35816,Madison County,AL,90.33659066232356,NA
35901,Etowah County,AL,40.17372421281216,NA
35960,Cherokee County,AL,79.15309446254072,NA
36067,Autauga County,AL,51.57437567861021,NA
36108,Montgomery County,AL,NA,69.74459724950884
36265,Calhoun County,AL,61.997828447339856,NA
36312,Houston County,AL,87.62214983713355,NA
36535,Baldwin County,AL,23.669923995656895,NA
36619,Mobile County,AL,72.09554831704669,NA
36784,Clarke County,AL,83.71335504885994,NA
99507,Anchorage Municipality,AK,NA,67.77996070726915
99709,Fairbanks North Star Borough,AK,57.763300760043435,NA
85029,Maricopa County,AZ,45.928338762214985,NA
85041,Maricopa County,AZ,27.36156351791531,NA
85132,Pinal County,AZ,90.11943539630836,NA
85207,Maricopa County,AZ,NA,83.88998035363457
85212,Maricopa County,AZ,67.53528773072746,NA
85234,Maricopa County,AZ,58.74049945711184,NA
85323,Maricopa County,AZ,NA,89.3909626719057
85338,Maricopa County,AZ,48.31704668838219,NA
85364,Yuma County,AZ,48.42562432138979,NA
85635,Cochise County,AZ,81.43322475570032,NA
85710,Pima County,AZ,18.13246471226927,8.644400785854616
85718,Pima County,AZ,21.281216069489687,NA
86001,Coconino County,AZ,78.61020629750271,NA
86336,Yavapai County,AZ,65.79804560260585,73.0844793713163
86514,Apache County,AZ,99.7828447339848,NA
71601,Jefferson County,AR,60.91205211726385,NA
71635,Ashley County,AR,NA,76.42436149312377
72206,Pulaski County,AR,33.00760043431053,NA
