ZipCode,county,state,Adult,Retirement
35033,Cullman County,AL,98.98989898989899,NA
35178,Shelby County,AL,NA,100
35501,Walker County,AL,67.67676767676768,NA
35622,Morgan County,AL,NA,86.60287081339713
35801,Madison County,AL,NA,29.665071770334926
35904,Etowah County,AL,NA,96.17224880382776
35976,Marshall County,AL,NA,88.03827751196172
36111,Montgomery County,AL,66.16161616161617,NA
36526,Baldwin County,AL,NA,40.66985645933015
99705,Fairbanks North Star Borough,AK,NA,88.99521531100478
85021,Maricopa County,AZ,NA,31.57894736842105
85140,Pinal County,AZ,36.36363636363637,NA
85301,Maricopa County,AZ,7.575757575757576,NA
85304,Maricopa County,AZ,55.05050505050505,NA
85308,Maricopa County,AZ,NA,13.875598086124402
85345,Maricopa County,AZ,13.131313131313133,NA
85377,Maricopa County,AZ,97.47474747474747,NA
85615,Cochise County,AZ,92.92929292929293,79.42583732057416
85713,Pima County,AZ,8.585858585858585,NA
72703,Washington County,AR,NA,97.60765550239235
90018,Los Angeles County,CA,74.24242424242425,NA
90242,Los Angeles County,CA,NA,58.85167464114832
90703,Los Angeles County,CA,NA,32.057416267942585
91362,Ventura County,CA,67.17171717171718,NA
91604,Los Angeles County,CA,NA,63.1578947368421
92037,San Diego County,CA,NA,51.674641148325364
92078,San Diego County,CA,57.57575757575758,NA
92307,San Bernardino County,CA,NA,82.29665071770334
92404,San Bernardino County,CA,18.68686868686869,NA
92553,Riverside County,CA,28.78787878787879,NA
92708,Orange County,CA,NA,11.961722488038278
92831,Orange County,CA,NA,76.55502392344498
92833,Orange County,CA,51.515151515151516,NA
92841,Orange County,CA,NA,67.94258373205741
92843,Orange County,CA,39.8989898989899,NA
93001,Ventura County,CA,63.63636363636363,NA
93036,Ventura County,CA,NA,50.717703349282296
93060,Ventura County,CA,72.72727272727273,NA
93534,Los Angeles County,CA,72.22222222222221,NA
93720,Fresno County,CA,34.34343434343434,NA
94131,San Francisco County,CA,NA,98.56459330143541
94501,Alameda County,CA,86.86868686868688,NA
94530,Contra Costa County,CA,NA,93.30143540669856
94536,Alameda County,CA,NA,20.095693779904305
95076,Santa Cruz County,CA,NA,53.110047846889955
95125,Santa Clara County,CA,50,NA
95205,San Joaquin County,CA,NA,54.54545454545454
95422,Lake County,CA,NA,81.81818181818183
95476,Sonoma County,CA,NA,34.44976076555024
95605,Yolo County,CA,NA,94.73684210526315
95610,Sacramento County,CA,48.484848484848484,NA
95822,Sacramento County,CA,42.92929292929293,NA
96022,Tehama County,CA,84.34343434343434,NA
96101,Modoc County,CA,98.48484848484848,NA
80005,Jefferson County,CO,62.62626262626263,NA
80503,Boulder County,CO,89.39393939393939,NA
80526,Larimer County,CO,NA,31.100478468899524
80631,Weld County,CO,NA,23.923444976076556
06484,Fairfield County,CT,36.868686868686865,NA
06511,New Haven County,CT,7.07070707070707,NA
06519,New Haven County,CT,NA,44.49760765550239
19805,New Castle County,DE,5.555555555555555,37.32057416267943
19810,New Castle County,DE,NA,35.88516746411483
32011,Nassau County,FL,64.14141414141415,NA
32080,St. Johns County,FL,NA,22.48803827751196
32112,Putnam County,FL,NA,84.21052631578947
32159,Lake County,FL,68.68686868686868,NA
32162,Sumter County,FL,NA,1.4354066985645932
32207,Duval County,FL,NA,7.655502392344498
32413,Bay County,FL,NA,55.02392344497608
32570,Santa Rosa County,FL,NA,3.827751196172249
32780,Brevard County,FL,NA,52.63157894736842
32825,Orange County,FL,NA,12.440191387559809
33068,Broward County,FL,47.474747474747474,NA
33312,Broward County,FL,NA,73.68421052631578
33314,Broward County,FL,NA,57.41626794258373
33316,Broward County,FL,NA,73.20574162679426
33409,Palm Beach County,FL,NA,96.65071770334929
33418,Palm Beach County,FL,NA,26.794258373205743
33428,Palm Beach County,FL,NA,53.588516746411486
33462,Palm Beach County,FL,NA,75.11961722488039
33467,Palm Beach County,FL,60.1010101010101,NA
33478,Palm Beach County,FL,NA,84.688995215311
33527,Hillsborough County,FL,NA,74.64114832535886
33605,Hillsborough County,FL,59.09090909090909,NA
33613,Hillsborough County,FL,NA,50.23923444976076
33765,Pinellas County,FL,NA,70.81339712918661
33909,Lee County,FL,NA,44.97607655502392
33991,Lee County,FL,69.1919191919192,NA
34142,Collier County,FL,NA,98.08612440191388
34235,Sarasota County,FL,NA,61.24401913875598
34450,Citrus County,FL,NA,77.03349282296651
34491,Marion County,FL,NA,30.14354066985646
34698,Pinellas County,FL,NA,20.574162679425836
34786,Orange County,FL,85.85858585858585,NA
30016,Newton County,GA,13.636363636363635,NA
30062,Cobb County,GA,75.75757575757575,NA
30153,Polk County,GA,44.44444444444444,NA
30161,Floyd County,GA,21.21212121212121,NA
30904,Richmond County,GA,NA,17.22488038277512
31326,Effingham County,GA,NA,69.85645933014354
39823,Early County,GA,66.66666666666666,NA
60073,Lake County,IL,17.17171717171717,NA
60153,Cook County,IL,42.42424242424242,NA
60185,DuPage County,IL,NA,27.27272727272727
60402,Cook County,IL,NA,74.16267942583733
60410,Will County,IL,NA,71.29186602870813
60425,Cook County,IL,96.46464646464646,NA
60431,Will County,IL,43.43434343434344,NA
60440,Will County,IL,21.71717171717172,NA
60561,DuPage County,IL,62.121212121212125,NA
60612,Cook County,IL,NA,28.708133971291865
60617,Cook County,IL,NA,18.181818181818183
60623,Cook County,IL,9.090909090909092,NA
60626,Cook County,IL,NA,4.784688995215311
60628,Cook County,IL,NA,2.3923444976076556
60632,Cook County,IL,14.14141414141414,NA
60636,Cook County,IL,NA,26.31578947368421
60637,Cook County,IL,16.666666666666664,NA
61016,Winnebago County,IL,NA,90.9090909090909
61032,Stephenson County,IL,35.858585858585855,NA
61614,Peoria County,IL,NA,34.92822966507177
61615,Peoria County,IL,NA,85.16746411483254
62568,Christian County,IL,NA,57.89473684210527
46140,Hancock County,IN,NA,16.74641148325359
46143,Johnson County,IN,NA,14.832535885167463
46163,Hancock County,IN,88.88888888888889,NA
46205,Marion County,IN,39.39393939393939,NA
46217,Marion County,IN,53.535353535353536,NA
46226,Marion County,IN,NA,48.32535885167464
46227,Marion County,IN,NA,4.30622009569378
46254,Marion County,IN,NA,28.22966507177033
46392,Jasper County,IN,70.2020202020202,NA
46953,Grant County,IN,89.8989898989899,8.133971291866029
47129,Clark County,IN,NA,49.282296650717704
47170,Scott County,IN,NA,55.50239234449761
50316,Polk County,IA,43.93939393939394,NA
50703,Black Hawk County,IA,31.313131313131315,NA
51105,Woodbury County,IA,71.71717171717171,NA
52246,Johnson County,IA,NA,68.42105263157895
66067,Franklin County,KS,NA,55.980861244019145
66102,Wyandotte County,KS,NA,76.07655502392345
66604,Shawnee County,KS,NA,99.52153110047847
67401,Saline County,KS,23.232323232323232,NA
40143,Breckinridge County,KY,NA,95.21531100478468
40213,Jefferson County,KY,NA,87.08133971291866
40342,Anderson County,KY,84.84848484848484,NA
41501,Pike County,KY,NA,10.526315789473683
41653,Floyd County,KY,NA,36.36363636363637
41701,Perry County,KY,NA,66.50717703349282
42101,Warren County,KY,8.080808080808081,NA
42206,Logan County,KY,94.44444444444444,NA
70344,Terrebonne Parish,LA,NA,80.38277511961722
70364,Terrebonne Parish,LA,10.1010101010101,NA
70577,St. Landry Parish,LA,NA,97.1291866028708
70663,Calcasieu Parish,LA,NA,59.80861244019139
70739,East Baton Rouge Parish,LA,77.27272727272727,NA
71270,Lincoln Parish,LA,NA,64.5933014354067
71328,Rapides Parish,LA,94.94949494949495,NA
04240,Androscoggin County,ME,14.646464646464647,NA
04530,Sagadahoc County,ME,NA,45.933014354066984
21225,Baltimore city,MD,NA,42.58373205741627
21811,Worcester County,MD,NA,25.358851674641148
21853,Somerset County,MD,91.41414141414141,NA
01013,Hampden County,MA,6.0606060606060606,NA
01453,Worcester County,MA,NA,0
01824,Middlesex County,MA,11.616161616161616,NA
02050,Plymouth County,MA,NA,23.444976076555022
02081,Norfolk County,MA,24.242424242424242,NA
02121,Suffolk County,MA,40.4040404040404,NA
02131,Suffolk County,MA,2.525252525252525,NA
02143,Middlesex County,MA,NA,7.177033492822966
02601,Barnstable County,MA,6.565656565656567,NA
02720,Bristol County,MA,NA,0.4784688995215311
48067,Oakland County,MI,NA,44.01913875598086
48180,Wayne County,MI,5.05050505050505,NA
48192,Wayne County,MI,69.6969696969697,NA
48226,Wayne County,MI,NA,95.69377990430623
48240,Wayne County,MI,56.56565656565656,NA
48306,Oakland County,MI,NA,62.20095693779905
48317,Macomb County,MI,58.58585858585859,NA
48322,Oakland County,MI,NA,5.263157894736842
48348,Oakland County,MI,38.88888888888889,NA
48461,Lapeer County,MI,73.23232323232324,NA
48505,Genesee County,MI,20.2020202020202,NA
48601,Saginaw County,MI,4.040404040404041,NA
48616,Saginaw County,MI,NA,87.5598086124402
49201,Jackson County,MI,NA,3.349282296650718
49505,Kent County,MI,24.747474747474747,NA
49735,Otsego County,MI,NA,86.1244019138756
55102,Ramsey County,MN,NA,39.23444976076555
55431,Hennepin County,MN,65.65656565656566,NA
55437,Hennepin County,MN,NA,94.25837320574163
55901,Olmsted County,MN,NA,24.880382775119617
56258,Lyon County,MN,NA,56.45933014354066
56301,Stearns County,MN,46.96969696969697,NA
56501,Becker County,MN,40.909090909090914,NA
56560,Clay County,MN,30.303030303030305,NA
38606,Panola County,MS,NA,79.90430622009569
38632,DeSoto County,MS,NA,69.377990430622
38663,Tippah County,MS,74.74747474747475,NA
63017,St. Louis County,MO,NA,8.61244019138756
63026,St. Louis County,MO,37.878787878787875,NA
63031,St. Louis County,MO,19.696969696969695,NA
63111,St. Louis city,MO,34.84848484848485,NA
63128,St. Louis County,MO,NA,60.76555023923444
63136,St. Louis County,MO,NA,6.698564593301436
63670,Ste. Genevieve County,MO,NA,72.24880382775119
63933,Dunklin County,MO,99.4949494949495,NA
64037,Lafayette County,MO,NA,80.86124401913875
64683,Grundy County,MO,NA,65.55023923444976
64804,Jasper County,MO,17.67676767676768,NA
65265,Audrain County,MO,NA,60.28708133971292
65453,Crawford County,MO,87.37373737373737,NA
59101,Yellowstone County,MT,NA,22.966507177033492
59715,Gallatin County,MT,83.33333333333334,NA
68111,Douglas County,NE,22.22222222222222,NA
68114,Douglas County,NE,82.32323232323232,NA
68164,Douglas County,NE,90.40404040404042,NA
89102,Clark County,NV,NA,78.4688995215311
89139,Clark County,NV,NA,78.94736842105263
89142,Clark County,NV,NA,91.86602870813397
89501,Washoe County,NV,NA,99.04306220095694
89512,Washoe County,NV,NA,46.411483253588514
03060,Hillsborough County,NH,NA,43.0622009569378
03743,Sullivan County,NH,NA,38.75598086124402
07030,Hudson County,NJ,29.292929292929294,NA
07045,Morris County,NJ,73.73737373737373,NA
07052,Essex County,NJ,16.161616161616163,NA
07054,Morris County,NJ,NA,32.535885167464116
07105,Essex County,NJ,12.626262626262626,NA
07407,Bergen County,NJ,NA,62.67942583732058
07410,Bergen County,NJ,NA,24.401913875598087
07677,Bergen County,NJ,NA,88.99521531100478
08361,Cumberland County,NJ,NA,47.84688995215311
08401,Atlantic County,NJ,0.5050505050505051,NA
08540,Mercer County,NJ,86.36363636363636,NA
08758,Ocean County,NJ,NA,71.77033492822966
08817,Middlesex County,NJ,NA,21.052631578947366
87102,Bernalillo County,NM,NA,47.368421052631575
87401,San Juan County,NM,NA,36.84210526315789
87544,Los Alamos County,NM,NA,92.34449760765551
88220,Eddy County,NM,NA,22.00956937799043
10039,New York County,NY,32.82828282828283,NA
10456,Bronx County,NY,0,1.9138755980861244
10468,Bronx County,NY,2.0202020202020203,NA
10475,Bronx County,NY,27.27272727272727,NA
10541,Putnam County,NY,NA,89.95215311004785
11207,Kings County,NY,1.5151515151515151,NA
11210,Kings County,NY,NA,19.617224880382775
11357,Queens County,NY,NA,45.45454545454545
11377,Queens County,NY,18.181818181818183,NA
11510,Nassau County,NY,NA,41.14832535885167
11963,Suffolk County,NY,100,NA
12020,Saratoga County,NY,NA,25.837320574162682
12205,Albany County,NY,57.07070707070707,NA
12208,Albany County,NY,NA,85.64593301435407
12414,Greene County,NY,53.03030303030303,NA
13905,Broome County,NY,3.0303030303030303,NA
14020,Genesee County,NY,NA,10.047846889952153
14215,Erie County,NY,3.535353535353535,NA
14225,Erie County,NY,11.11111111111111,NA
14609,Monroe County,NY,1.0101010101010102,NA
14610,Monroe County,NY,32.323232323232325,NA
27028,Davie County,NC,15.656565656565657,NA
27278,Orange County,NC,NA,9.569377990430622
27292,Davidson County,NC,23.737373737373737,NA
27529,Wake County,NC,26.262626262626267,NA
27817,Beaufort County,NC,81.31313131313132,NA
27909,Pasquotank County,NC,NA,9.090909090909092
28043,Rutherford County,NC,NA,39.71291866028708
28090,Cleveland County,NC,70.70707070707071,NA
28150,Cleveland County,NC,NA,40.19138755980861
28360,Robeson County,NC,NA,66.02870813397129
28398,Duplin County,NC,NA,88.51674641148325
28572,Duplin County,NC,NA,90.43062200956938
43201,Franklin County,OH,77.77777777777779,NA
43612,Lucas County,OH,NA,14.354066985645932
44011,Lorain County,OH,81.81818181818183,NA
44024,Geauga County,OH,48.98989898989899,NA
44119,Cuyahoga County,OH,55.55555555555556,NA
44128,Cuyahoga County,OH,NA,33.97129186602871
44130,Cuyahoga County,OH,NA,0.9569377990430622
44223,Summit County,OH,49.494949494949495,NA
44310,Summit County,OH,NA,19.138755980861244
44312,Summit County,OH,NA,5.741626794258373
44320,Summit County,OH,NA,15.789473684210526
44601,Stark County,OH,31.818181818181817,NA
44622,Tuscarawas County,OH,NA,32.535885167464116
44662,Stark County,OH,NA,63.63636363636363
44683,Tuscarawas County,OH,28.28282828282828,NA
44691,Wayne County,OH,9.595959595959595,NA
45202,Hamilton County,OH,95.45454545454545,NA
45231,Hamilton County,OH,10.606060606060606,NA
45304,Darke County,OH,NA,92.82296650717703
45402,Montgomery County,OH,58.080808080808076,NA
45410,Montgomery County,OH,75.25252525252525,NA
45439,Montgomery County,OH,52.02020202020202,NA
45640,Jackson County,OH,64.64646464646465,NA
45804,Allen County,OH,12.121212121212121,NA
73084,Oklahoma County,OK,NA,82.77511961722487
73107,Oklahoma County,OK,53.535353535353536,NA
73127,Oklahoma County,OK,NA,72.72727272727273
73942,Texas County,OK,79.7979797979798,NA
74019,Rogers County,OK,NA,56.45933014354066
74105,Tulsa County,OK,NA,46.889952153110045
74462,Haskell County,OK,90.9090909090909,NA
97045,Clackamas County,OR,15.151515151515152,NA
97103,Clatsop County,OR,NA,77.51196172248804
97132,Yamhill County,OR,41.91919191919192,NA
97367,Lincoln County,OR,NA,29.1866028708134
97378,Yamhill County,OR,87.87878787878788,NA
15033,Washington County,PA,NA,91.38755980861244
15084,Allegheny County,PA,71.21212121212122,NA
15108,Allegheny County,PA,NA,15.311004784688995
15226,Allegheny County,PA,NA,59.33014354066985
15650,Westmoreland County,PA,NA,52.15311004784689
15714,Cambria County,PA,82.82828282828282,NA
15902,Cambria County,PA,44.94949494949495,NA
16066,Butler County,PA,NA,38.27751196172249
16662,Blair County,PA,97.97979797979798,NA
17013,Cumberland County,PA,NA,12.918660287081341
17225,Franklin County,PA,85.35353535353535,NA
17601,Lancaster County,PA,35.35353535353536,NA
18229,Carbon County,PA,NA,58.3732057416268
18644,Luzerne County,PA,NA,68.89952153110048
19144,Philadelphia County,PA,NA,6.220095693779904
19149,Philadelphia County,PA,NA,27.751196172248804
19607,Berks County,PA,NA,18.660287081339714
02864,Providence County,RI,NA,13.397129186602871
02889,Kent County,RI,NA,16.267942583732058
29010,Lee County,SC,75.75757575757575,NA
29108,Newberry County,SC,NA,48.803827751196174
29302,Spartanburg County,SC,79.29292929292929,NA
29403,Charleston County,SC,46.464646464646464,NA
29406,Charleston County,SC,27.77777777777778,NA
29488,Colleton County,SC,NA,33.49282296650718
29577,Horry County,SC,NA,51.196172248803826
29730,York County,SC,20.707070707070706,NA
57747,Fall River County,SD,96.96969696969697,NA
37040,Montgomery County,TN,25.757575757575758,NA
37083,Macon County,TN,NA,30.62200956937799
37090,Wilson County,TN,88.38383838383838,NA
37187,Dickson County,TN,76.76767676767676,NA
37303,McMinn County,TN,NA,43.54066985645933
37329,McMinn County,TN,80.8080808080808,NA
37854,Roane County,TN,NA,65.07177033492823
37879,Claiborne County,TN,53.535353535353536,NA
37917,Knox County,TN,NA,21.5311004784689
37938,Knox County,TN,NA,67.46411483253588
38016,Shelby County,TN,52.52525252525253,NA
38141,Shelby County,TN,78.28282828282829,NA
38261,Obion County,TN,41.41414141414141,NA
75052,Dallas County,TX,19.19191919191919,NA
75067,Denton County,TX,33.33333333333333,NA
75156,Henderson County,TX,50.505050505050505,NA
75227,Dallas County,TX,92.42424242424242,NA
75951,Jasper County,TX,51.010101010101,NA
76048,Hood County,TX,45.95959595959596,NA
76112,Tarrant County,TX,NA,11.004784688995215
76137,Tarrant County,TX,22.727272727272727,NA
76262,Denton County,TX,47.97979797979798,NA
76309,Wichita County,TX,78.78787878787878,NA
76504,Bell County,TX,NA,17.703349282296653
77007,Harris County,TX,83.83838383838383,NA
77065,Harris County,TX,NA,41.62679425837321
77086,Harris County,TX,68.18181818181817,NA
77377,Harris County,TX,NA,54.066985645933016
77379,Harris County,TX,61.111111111111114,NA
77486,Brazoria County,TX,NA,83.73205741626795
77530,Harris County,TX,59.59595959595959,NA
77571,Harris County,TX,29.797979797979796,NA
77573,Galveston County,TX,NA,2.8708133971291865
77705,Jefferson County,TX,45.45454545454545,NA
77845,Brazos County,TX,37.37373737373738,NA
78201,Bexar County,TX,25.252525252525253,NA
78239,Bexar County,TX,NA,70.33492822966507
78669,Travis County,TX,95.95959595959596,NA
78745,Travis County,TX,NA,61.24401913875598
79110,Randall County,TX,93.43434343434343,NA
79924,El Paso County,TX,NA,66.98564593301435
84067,Weber County,UT,38.38383838383838,NA
84119,Salt Lake County,UT,NA,35.406698564593306
84302,Box Elder County,UT,91.91919191919192,NA
84660,Utah County,UT,NA,83.25358851674642
22580,Caroline County,VA,93.93939393939394,NA
22835,Page County,VA,63.13131313131313,NA
23662,Poquoson city,VA,NA,93.77990430622009
23805,Petersburg city,VA,56.060606060606055,NA
23875,Prince George County,VA,NA,75.5980861244019
24148,Henry County,VA,NA,81.3397129186603
24370,Smyth County,VA,NA,64.11483253588517
24572,Amherst County,VA,65.15151515151516,NA
98001,King County,WA,NA,37.79904306220095
98003,King County,WA,30.808080808080806,NA
98030,King County,WA,61.61616161616161,NA
98122,King County,WA,60.60606060606061,NA
98223,Snohomish County,WA,26.767676767676768,NA
98404,Pierce County,WA,NA,42.10526315789473
24701,Mercer County,WV,80.3030303030303,NA
26554,Marion County,WV,NA,11.483253588516746
