ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35007,Shelby County,AL,NA,NA,45.06944444444444,35.39967373572594,NA
35010,Tallapoosa County,AL,NA,70.66666666666667,NA,NA,NA
35020,Jefferson County,AL,NA,NA,9.340277777777779,27.650897226753667,NA
35022,Jefferson County,AL,NA,NA,33.36805555555556,NA,NA
35043,Shelby County,AL,NA,NA,77.43055555555556,NA,NA
35044,Talladega County,AL,NA,NA,83.99305555555556,NA,NA
35064,Jefferson County,AL,69.77928692699491,NA,NA,NA,NA
35071,Jefferson County,AL,NA,NA,68.05555555555556,NA,NA
35077,Cullman County,AL,NA,NA,54.72222222222223,NA,NA
35080,Shelby County,AL,NA,NA,92.39583333333333,NA,88.3495145631068
35085,Chilton County,AL,NA,93.77777777777779,NA,NA,NA
35094,Jefferson County,AL,NA,NA,54.861111111111114,NA,NA
35111,Tuscaloosa County,AL,61.96943972835314,NA,NA,NA,NA
35121,Blount County,AL,NA,NA,57.604166666666664,NA,NA
35146,St. Clair County,AL,NA,NA,NA,NA,91.6504854368932
35147,Shelby County,AL,NA,NA,96.42361111111111,NA,NA
35150,Talladega County,AL,59.42275042444821,NA,NA,NA,NA
35160,Talladega County,AL,12.224108658743633,NA,NA,NA,NA
35179,Cullman County,AL,NA,88.88888888888889,82.8125,80.75040783034257,NA
35180,Jefferson County,AL,NA,NA,63.81944444444444,NA,NA
35206,Jefferson County,AL,NA,NA,NA,45.02446982055465,NA
35208,Jefferson County,AL,NA,NA,33.4375,NA,NA
35213,Jefferson County,AL,NA,NA,NA,62.80587275693311,NA
35214,Jefferson County,AL,NA,NA,26.145833333333336,NA,NA
35215,Jefferson County,AL,NA,11.555555555555555,NA,NA,NA
35218,Jefferson County,AL,NA,NA,59.06249999999999,NA,NA
35228,Jefferson County,AL,NA,NA,81.11111111111111,NA,NA
35235,Jefferson County,AL,NA,NA,49.270833333333336,NA,NA
35244,Jefferson County,AL,61.62988115449915,NA,72.46527777777779,NA,NA
35401,Tuscaloosa County,AL,NA,NA,19.6875,NA,48.932038834951456
35405,Tuscaloosa County,AL,18.505942275042443,NA,NA,NA,NA
35476,Tuscaloosa County,AL,NA,NA,57.1875,NA,59.6116504854369
35555,Fayette County,AL,NA,NA,59.236111111111114,NA,NA
35579,Walker County,AL,96.43463497453311,NA,NA,NA,NA
35601,Morgan County,AL,NA,NA,NA,15.089722675367048,30.29126213592233
35603,Morgan County,AL,NA,NA,11.07638888888889,NA,NA
35611,Limestone County,AL,23.2597623089983,NA,19.23611111111111,NA,NA
35613,Limestone County,AL,NA,NA,NA,45.18760195758564,NA
35630,Lauderdale County,AL,NA,NA,24.756944444444446,NA,NA
35650,Lawrence County,AL,NA,68.44444444444444,49.82638888888889,NA,NA
35653,Franklin County,AL,NA,NA,73.64583333333333,NA,NA
35673,Morgan County,AL,NA,NA,64.02777777777777,NA,NA
35674,Colbert County,AL,NA,NA,29.54861111111111,87.84665579119087,NA
35750,Madison County,AL,NA,NA,53.61111111111111,NA,NA
35756,Limestone County,AL,NA,NA,NA,77.16150081566069,NA
35801,Madison County,AL,NA,NA,NA,30.342577487765087,NA
35810,Madison County,AL,NA,NA,58.333333333333336,NA,22.135922330097088
35811,Madison County,AL,NA,NA,NA,NA,37.66990291262136
35816,Madison County,AL,NA,NA,65.45138888888889,NA,NA
35950,Marshall County,AL,NA,NA,35.41666666666667,NA,NA
35951,Marshall County,AL,NA,NA,NA,NA,75.33980582524272
35954,Etowah County,AL,NA,NA,NA,94.20880913539968,NA
36037,Butler County,AL,NA,NA,51.11111111111111,NA,NA
36066,Autauga County,AL,NA,NA,NA,55.05709624796084,NA
36067,Autauga County,AL,NA,NA,NA,NA,71.45631067961165
36079,Pike County,AL,NA,NA,NA,NA,91.2621359223301
36083,Macon County,AL,NA,NA,NA,85.15497553017944,NA
36092,Elmore County,AL,NA,NA,NA,51.71288743882545,NA
36107,Montgomery County,AL,NA,NA,93.88888888888889,NA,NA
36108,Montgomery County,AL,NA,34.22222222222222,NA,NA,NA
36110,Montgomery County,AL,NA,NA,86.94444444444444,NA,NA
36116,Montgomery County,AL,NA,NA,47.291666666666664,NA,NA
36117,Montgomery County,AL,34.80475382003396,NA,NA,NA,NA
36203,Calhoun County,AL,NA,NA,43.78472222222222,NA,NA
36206,Calhoun County,AL,NA,NA,69.47916666666667,NA,NA
36260,Calhoun County,AL,100,NA,NA,NA,NA
36264,Cleburne County,AL,NA,NA,NA,84.33931484502448,NA
36272,Calhoun County,AL,NA,NA,NA,71.61500815660685,NA
36303,Houston County,AL,NA,NA,NA,71.53344208809136,NA
36305,Houston County,AL,NA,NA,52.46527777777777,61.74551386623165,NA
36320,Houston County,AL,NA,NA,NA,99.510603588907,NA
36351,Coffee County,AL,NA,NA,97.8125,NA,NA
36360,Dale County,AL,NA,NA,NA,NA,54.5631067961165
36460,Monroe County,AL,NA,NA,79.30555555555556,NA,NA
36502,Escambia County,AL,NA,NA,38.68055555555556,NA,NA
36527,Baldwin County,AL,NA,NA,76.77083333333333,NA,NA
36541,Mobile County,AL,NA,NA,NA,79.36378466557912,NA
36545,Clarke County,AL,NA,88.44444444444444,NA,NA,NA
36575,Mobile County,AL,NA,NA,53.05555555555556,NA,NA
36582,Mobile County,AL,NA,NA,42.604166666666664,NA,NA
36608,Mobile County,AL,NA,67.11111111111111,NA,NA,NA
36610,Mobile County,AL,NA,NA,56.90972222222223,NA,NA
36695,Mobile County,AL,NA,NA,28.47222222222222,NA,NA
36703,Dallas County,AL,NA,NA,NA,55.54649265905384,NA
36732,Marengo County,AL,NA,NA,NA,68.59706362153344,NA
36853,Tallapoosa County,AL,NA,NA,91.94444444444444,NA,NA
36854,Chambers County,AL,NA,NA,56.73611111111111,NA,NA
99502,Anchorage Municipality,AK,NA,56.44444444444444,NA,NA,NA
99503,Anchorage Municipality,AK,NA,NA,93.99305555555556,NA,NA
99504,Anchorage Municipality,AK,17.65704584040747,NA,NA,NA,NA
99507,Anchorage Municipality,AK,NA,NA,27.77777777777778,NA,NA
99508,Anchorage Municipality,AK,NA,NA,12.01388888888889,NA,NA
99516,Anchorage Municipality,AK,NA,NA,73.64583333333333,NA,NA
99559,Bethel Census Area,AK,NA,NA,97.60416666666667,NA,NA
99623,,AK,NA,NA,77.98611111111111,NA,93.7864077669903
99701,Fairbanks North Star Borough,AK,NA,NA,29.444444444444446,NA,NA
99709,Fairbanks North Star Borough,AK,NA,NA,NA,51.141924959216965,NA
99901,Ketchikan Gateway Borough,AK,62.98811544991511,NA,NA,NA,NA
85006,Maricopa County,AZ,NA,NA,68.61111111111111,NA,NA
85007,Maricopa County,AZ,NA,NA,7.013888888888889,NA,NA
85008,Maricopa County,AZ,NA,NA,8.88888888888889,22.34910277324633,NA
85009,Maricopa County,AZ,NA,NA,56.84027777777778,NA,NA
85014,Maricopa County,AZ,NA,NA,NA,54.15986949429038,NA
85016,Maricopa County,AZ,12.73344651952462,NA,69.23611111111111,NA,NA
85017,Maricopa County,AZ,NA,NA,NA,70.88091353996737,NA
85018,Maricopa County,AZ,NA,NA,61.38888888888889,NA,NA
85019,Maricopa County,AZ,55.178268251273344,NA,32.673611111111114,NA,NA
85020,Maricopa County,AZ,NA,NA,65.06944444444444,NA,NA
85021,Maricopa County,AZ,NA,NA,7.916666666666666,NA,NA
85023,Maricopa County,AZ,NA,NA,21.875,NA,NA
85024,Maricopa County,AZ,NA,NA,87.56944444444444,NA,NA
85029,Maricopa County,AZ,NA,NA,NA,39.72267536704731,NA
85031,Maricopa County,AZ,NA,NA,NA,NA,94.75728155339806
85032,Maricopa County,AZ,NA,NA,39.44444444444444,59.05383360522023,NA
85033,Maricopa County,AZ,NA,NA,NA,71.45187601957585,NA
85035,Maricopa County,AZ,NA,NA,10.79861111111111,NA,NA
85037,Maricopa County,AZ,NA,NA,NA,60.1957585644372,NA
85040,Maricopa County,AZ,NA,NA,13.333333333333334,52.52854812398042,NA
85042,Maricopa County,AZ,79.62648556876061,NA,20.45138888888889,NA,NA
85043,Maricopa County,AZ,NA,NA,48.26388888888889,NA,NA
85044,Maricopa County,AZ,NA,NA,45.763888888888886,NA,NA
85051,Maricopa County,AZ,NA,NA,NA,35.31810766721044,NA
85054,Maricopa County,AZ,NA,NA,91.04166666666667,NA,NA
85083,Maricopa County,AZ,NA,NA,NA,89.4779771615008,NA
85085,Maricopa County,AZ,NA,NA,NA,NA,83.49514563106796
85120,Pinal County,AZ,NA,NA,68.15972222222221,NA,NA
85122,Pinal County,AZ,7.979626485568761,NA,NA,NA,NA
85132,Pinal County,AZ,NA,NA,32.048611111111114,NA,NA
85138,Pinal County,AZ,NA,NA,33.71527777777778,NA,NA
85142,Maricopa County,AZ,NA,NA,6.597222222222222,NA,NA
85194,Pinal County,AZ,NA,NA,NA,88.82544861337684,NA
85204,Maricopa County,AZ,14.091680814940577,NA,NA,NA,NA
85207,Maricopa County,AZ,NA,NA,53.36805555555556,NA,NA
85208,Maricopa County,AZ,NA,NA,38.75,36.296900489396414,NA
85210,Maricopa County,AZ,NA,NA,17.118055555555557,NA,NA
85233,Maricopa County,AZ,52.801358234295414,NA,NA,50.89722675367048,NA
85254,Maricopa County,AZ,36.33276740237691,NA,NA,NA,NA
85259,Maricopa County,AZ,NA,NA,78.19444444444444,NA,NA
85282,Maricopa County,AZ,52.801358234295414,NA,67.95138888888889,NA,NA
85284,Maricopa County,AZ,79.79626485568761,NA,NA,NA,NA
85295,Maricopa County,AZ,NA,NA,33.36805555555556,NA,NA
85301,Maricopa County,AZ,NA,NA,3.125,NA,NA
85303,Maricopa County,AZ,23.599320882852293,NA,45.173611111111114,NA,NA
85306,Maricopa County,AZ,91.17147707979628,NA,48.47222222222222,NA,NA
85308,Maricopa County,AZ,NA,NA,28.4375,16.557911908646002,NA
85310,Maricopa County,AZ,NA,NA,71.875,NA,NA
85323,Maricopa County,AZ,NA,NA,26.21527777777778,NA,NA
85326,Maricopa County,AZ,NA,NA,23.020833333333332,NA,NA
85335,Maricopa County,AZ,NA,32.88888888888889,NA,NA,80.97087378640776
85337,Maricopa County,AZ,NA,NA,99.30555555555556,NA,NA
85339,Maricopa County,AZ,13.921901528013583,NA,48.19444444444444,NA,NA
85340,Maricopa County,AZ,NA,NA,60.10416666666667,NA,NA
85349,Yuma County,AZ,NA,NA,NA,96.08482871125612,NA
85350,Yuma County,AZ,NA,NA,74.47916666666666,NA,NA
85351,Maricopa County,AZ,NA,NA,NA,NA,0.7766990291262136
85364,Yuma County,AZ,53.65025466893039,NA,2.4652777777777777,NA,NA
85365,Yuma County,AZ,NA,NA,22.53472222222222,NA,NA
85373,Maricopa County,AZ,NA,NA,75.76388888888889,NA,NA
85374,Maricopa County,AZ,NA,NA,71.77083333333333,NA,NA
85375,Maricopa County,AZ,NA,NA,NA,NA,1.3592233009708738
85379,Maricopa County,AZ,NA,NA,24.479166666666664,NA,NA
85392,Maricopa County,AZ,NA,60,NA,NA,NA
85395,Maricopa County,AZ,NA,NA,NA,43.2300163132137,NA
85501,Gila County,AZ,NA,NA,88.02083333333334,63.2952691680261,NA
85550,Graham County,AZ,NA,33.33333333333333,NA,NA,NA
85607,Cochise County,AZ,NA,NA,91.38888888888889,NA,NA
85614,Pima County,AZ,NA,NA,87.5,NA,NA
85629,Pima County,AZ,NA,NA,65.45138888888889,NA,NA
85634,Pima County,AZ,NA,NA,48.78472222222222,27.24306688417618,NA
85635,Cochise County,AZ,NA,NA,18.958333333333332,NA,NA
85650,Cochise County,AZ,NA,NA,NA,55.13866231647635,NA
85653,Pima County,AZ,NA,NA,31.319444444444443,NA,NA
85701,Pima County,AZ,NA,NA,NA,93.06688417618271,NA
85704,Pima County,AZ,NA,NA,NA,NA,57.66990291262136
85705,Pima County,AZ,NA,NA,NA,7.911908646003263,NA
85706,Pima County,AZ,NA,NA,1.875,9.706362153344209,NA
85711,Pima County,AZ,29.20203735144312,NA,5.868055555555555,NA,NA
85712,Pima County,AZ,NA,64.44444444444444,66.66666666666666,NA,NA
85713,Pima County,AZ,NA,NA,4.444444444444445,56.7699836867863,NA
85714,Pima County,AZ,NA,NA,60.48611111111111,NA,NA
85730,Pima County,AZ,NA,NA,53.40277777777778,24.551386623164763,NA
85735,Pima County,AZ,NA,NA,91.52777777777777,NA,NA
85742,Pima County,AZ,NA,NA,NA,NA,55.14563106796116
85743,Pima County,AZ,NA,NA,35.65972222222222,NA,NA
85745,Pima County,AZ,NA,NA,52.29166666666667,17.781402936378466,88.93203883495146
85746,Pima County,AZ,NA,9.333333333333334,NA,NA,NA
85756,Pima County,AZ,NA,NA,NA,NA,91.84466019417475
85757,Pima County,AZ,NA,NA,20.694444444444443,NA,NA
85937,Navajo County,AZ,NA,NA,NA,99.26590538336052,NA
85941,Apache County,AZ,NA,NA,76.80555555555556,NA,NA
86004,Coconino County,AZ,NA,NA,22.1875,NA,NA
86033,Navajo County,AZ,90.66213921901529,NA,NA,NA,NA
86043,Navajo County,AZ,NA,NA,NA,98.69494290375204,NA
86045,Coconino County,AZ,NA,NA,19.131944444444443,NA,NA
86047,Navajo County,AZ,NA,NA,NA,65.49755301794453,NA
86301,Yavapai County,AZ,NA,NA,NA,26.916802610114193,NA
86305,Yavapai County,AZ,NA,NA,59.166666666666664,NA,NA
86314,Yavapai County,AZ,NA,NA,10.9375,NA,NA
86315,Yavapai County,AZ,NA,NA,92.22222222222223,NA,NA
86326,Yavapai County,AZ,NA,NA,17.95138888888889,NA,NA
86401,Mohave County,AZ,NA,NA,6.180555555555555,8.482871125611746,NA
86406,Mohave County,AZ,NA,NA,42.77777777777778,NA,30.485436893203882
86409,Mohave County,AZ,NA,NA,5.625,NA,NA
86429,Mohave County,AZ,NA,NA,NA,55.301794453507334,65.63106796116504
86442,Mohave County,AZ,NA,NA,22.291666666666668,11.01141924959217,NA
86503,Apache County,AZ,NA,NA,NA,48.531810766721044,NA
86507,Apache County,AZ,NA,NA,90.13888888888889,NA,NA
86510,Navajo County,AZ,NA,NA,NA,95.67699836867864,NA
86511,Apache County,AZ,NA,NA,85.83333333333333,NA,NA
71602,Jefferson County,AR,NA,NA,56.70138888888889,NA,NA
71671,Bradley County,AR,NA,NA,88.95833333333333,NA,NA
71730,Union County,AR,NA,NA,83.68055555555556,NA,NA
71832,Sevier County,AR,NA,NA,81.00694444444444,NA,NA
71901,Garland County,AR,NA,NA,NA,42.74061990212072,NA
71913,Garland County,AR,NA,NA,31.90972222222222,NA,12.233009708737864
71957,Montgomery County,AR,NA,NA,98.61111111111111,NA,NA
72007,Lonoke County,AR,NA,NA,NA,NA,95.53398058252426
72022,Saline County,AR,NA,NA,NA,60.52202283849919,NA
72081,White County,AR,NA,NA,NA,NA,80
72112,Jackson County,AR,95.58573853989813,NA,NA,NA,68.54368932038835
72120,Pulaski County,AR,NA,NA,69.82638888888889,NA,NA
72209,Pulaski County,AR,NA,NA,NA,65.66068515497552,NA
72315,Mississippi County,AR,NA,NA,46.423611111111114,NA,NA
72364,Crittenden County,AR,NA,NA,94.34027777777779,NA,NA
72422,Clay County,AR,NA,NA,88.75,NA,NA
72450,Greene County,AR,28.69269949066214,NA,NA,NA,NA
72455,Randolph County,AR,NA,NA,NA,66.96574225122349,NA
72461,Clay County,AR,NA,NA,99.6875,NA,NA
72476,Lawrence County,AR,NA,NA,NA,90.94616639477977,NA
72501,Independence County,AR,NA,NA,28.020833333333332,NA,29.708737864077673
72704,Washington County,AR,NA,NA,74.96527777777777,NA,NA
72714,Benton County,AR,NA,NA,90.45138888888889,NA,NA
72715,Benton County,AR,NA,NA,NA,58.56443719412724,NA
72830,Johnson County,AR,NA,NA,91.25,NA,NA
72904,Sebastian County,AR,NA,NA,54.34027777777778,NA,NA
72921,Crawford County,AR,NA,NA,76.14583333333333,NA,NA
72956,Crawford County,AR,NA,NA,44.30555555555556,NA,NA
90001,Los Angeles County,CA,NA,NA,83.64583333333333,NA,NA
90002,Los Angeles County,CA,NA,NA,NA,57.993474714518754,NA
90003,Los Angeles County,CA,NA,NA,NA,NA,56.310679611650485
90004,Los Angeles County,CA,NA,NA,38.88888888888889,NA,NA
90008,Los Angeles County,CA,NA,NA,39.513888888888886,NA,NA
90013,Los Angeles County,CA,NA,NA,49.72222222222222,NA,NA
90016,Los Angeles County,CA,NA,NA,NA,21.04404567699837,28.54368932038835
90019,Los Angeles County,CA,NA,NA,NA,24.388254486133768,NA
90022,Los Angeles County,CA,NA,NA,30.381944444444443,NA,NA
90023,Los Angeles County,CA,47.87775891341256,NA,79.27083333333333,54.15986949429038,NA
90031,Los Angeles County,CA,NA,NA,64.30555555555556,NA,NA
90032,Los Angeles County,CA,NA,NA,42.84722222222222,54.64926590538336,NA
90034,Los Angeles County,CA,NA,NA,NA,NA,36.116504854368934
90037,Los Angeles County,CA,NA,NA,NA,NA,41.16504854368932
90046,Los Angeles County,CA,NA,NA,95.03472222222223,NA,NA
90048,Los Angeles County,CA,94.22750424448218,NA,NA,NA,NA
90059,Los Angeles County,CA,NA,NA,28.958333333333336,NA,NA
90064,Los Angeles County,CA,NA,NA,21.59722222222222,NA,NA
90065,Los Angeles County,CA,NA,NA,49.96527777777778,32.70799347471452,NA
90066,Los Angeles County,CA,NA,NA,NA,NA,27.57281553398058
90220,Los Angeles County,CA,NA,NA,26.38888888888889,NA,NA
90221,Los Angeles County,CA,NA,NA,6.701388888888888,NA,NA
90241,Los Angeles County,CA,NA,70.22222222222221,NA,NA,NA
90247,Los Angeles County,CA,NA,NA,NA,47.71615008156607,49.51456310679612
90248,Los Angeles County,CA,NA,NA,88.05555555555556,NA,NA
90250,Los Angeles County,CA,NA,24,NA,NA,NA
90262,Los Angeles County,CA,NA,NA,28.749999999999996,NA,NA
90266,Los Angeles County,CA,NA,NA,NA,46.166394779771615,NA
90270,Los Angeles County,CA,87.77589134125637,NA,NA,NA,NA
90278,Los Angeles County,CA,NA,NA,89.20138888888889,NA,NA
90280,Los Angeles County,CA,NA,55.111111111111114,25.798611111111114,34.91027732463296,NA
90292,Los Angeles County,CA,NA,NA,NA,51.386623164763456,NA
90405,Los Angeles County,CA,NA,NA,NA,51.305057096247964,NA
90501,Los Angeles County,CA,NA,NA,NA,54.07830342577488,NA
90503,Los Angeles County,CA,NA,NA,43.75,41.190864600326265,NA
90504,Los Angeles County,CA,NA,NA,63.95833333333333,NA,NA
90601,Los Angeles County,CA,NA,NA,NA,63.132137030995104,NA
90606,Los Angeles County,CA,NA,NA,46.458333333333336,NA,NA
90620,Orange County,CA,71.47707979626486,NA,NA,NA,NA
90630,Orange County,CA,NA,78.66666666666666,NA,NA,38.25242718446602
90640,Los Angeles County,CA,NA,NA,29.097222222222225,NA,NA
90660,Los Angeles County,CA,NA,NA,81.49305555555556,NA,NA
90680,Orange County,CA,NA,NA,53.19444444444444,NA,NA
90706,Los Angeles County,CA,NA,NA,52.11805555555556,NA,NA
90713,Los Angeles County,CA,NA,NA,NA,51.549755301794455,NA
90802,Los Angeles County,CA,NA,NA,44.65277777777778,NA,NA
90805,Los Angeles County,CA,NA,NA,11.666666666666666,NA,NA
90815,Los Angeles County,CA,77.41935483870968,NA,NA,NA,NA
91030,Los Angeles County,CA,NA,NA,NA,76.10114192495921,NA
91206,Los Angeles County,CA,NA,NA,87.67361111111111,NA,NA
91304,Los Angeles County,CA,NA,NA,43.09027777777778,NA,NA
91311,Los Angeles County,CA,NA,NA,NA,79.11908646003263,NA
91331,Los Angeles County,CA,NA,NA,7.881944444444445,NA,NA
91340,Los Angeles County,CA,NA,NA,58.4375,NA,NA
91344,Los Angeles County,CA,NA,NA,NA,23.164763458401303,NA
91345,Los Angeles County,CA,NA,NA,NA,NA,92.62135922330097
91352,Los Angeles County,CA,NA,NA,19.6875,NA,NA
91354,Los Angeles County,CA,NA,NA,94.86111111111111,NA,NA
91355,Los Angeles County,CA,NA,NA,NA,46.98205546492659,NA
91360,Ventura County,CA,NA,NA,NA,46.411092985318106,NA
91390,Los Angeles County,CA,NA,NA,96.5625,NA,NA
91402,Los Angeles County,CA,NA,NA,NA,NA,80.58252427184466
91604,Los Angeles County,CA,NA,NA,79.89583333333333,55.46492659053833,NA
91605,Los Angeles County,CA,NA,NA,83.81944444444444,NA,NA
91702,Los Angeles County,CA,NA,NA,25.833333333333336,NA,NA
91709,San Bernardino County,CA,NA,NA,27.708333333333336,24.87765089722675,NA
91730,San Bernardino County,CA,NA,NA,64.86111111111111,NA,NA
91731,Los Angeles County,CA,NA,NA,NA,56.36215334420881,NA
91732,Los Angeles County,CA,NA,NA,NA,63.621533442088094,NA
91740,Los Angeles County,CA,NA,NA,NA,50.652528548123975,NA
91744,Los Angeles County,CA,NA,12.88888888888889,12.083333333333334,75.85644371941272,NA
91745,Los Angeles County,CA,NA,NA,NA,42.90375203915171,NA
91748,Los Angeles County,CA,NA,NA,63.95833333333333,NA,NA
91755,Los Angeles County,CA,NA,NA,NA,NA,88.7378640776699
91761,San Bernardino County,CA,NA,NA,18.506944444444446,NA,NA
91762,San Bernardino County,CA,NA,NA,NA,NA,51.45631067961165
91766,Los Angeles County,CA,NA,NA,34.6875,NA,NA
91768,Los Angeles County,CA,NA,NA,87.77777777777777,NA,NA
91770,Los Angeles County,CA,NA,NA,NA,NA,15.339805825242719
91780,Los Angeles County,CA,NA,NA,93.81944444444444,NA,NA
91789,Los Angeles County,CA,NA,NA,NA,57.66721044045677,NA
91901,San Diego County,CA,NA,NA,NA,74.95921696574224,NA
91945,San Diego County,CA,NA,NA,NA,68.18923327895595,NA
91950,San Diego County,CA,NA,NA,NA,32.30016313213703,16.50485436893204
91977,San Diego County,CA,35.82342954159593,NA,NA,NA,NA
92008,San Diego County,CA,NA,NA,NA,59.78792822185971,NA
92019,San Diego County,CA,32.597623089983024,NA,NA,NA,NA
92024,San Diego County,CA,NA,NA,34.86111111111111,NA,NA
92027,San Diego County,CA,NA,NA,41.076388888888886,NA,NA
92028,San Diego County,CA,NA,NA,90.13888888888889,NA,42.9126213592233
92069,San Diego County,CA,NA,NA,NA,51.22349102773246,NA
92071,San Diego County,CA,NA,NA,NA,36.6231647634584,NA
92081,San Diego County,CA,NA,NA,66.31944444444444,NA,NA
92101,San Diego County,CA,NA,NA,9.51388888888889,NA,NA
92102,San Diego County,CA,NA,NA,32.1875,56.11745513866232,NA
92104,San Diego County,CA,NA,NA,80.9375,NA,NA
92105,San Diego County,CA,NA,NA,11.42361111111111,NA,NA
92110,San Diego County,CA,NA,NA,97.91666666666666,NA,NA
92113,San Diego County,CA,NA,NA,69.40972222222223,NA,NA
92114,San Diego County,CA,NA,NA,75.45138888888889,NA,NA
92116,San Diego County,CA,NA,NA,88.54166666666666,NA,NA
92117,San Diego County,CA,NA,NA,87.53472222222223,NA,NA
92122,San Diego County,CA,NA,NA,NA,NA,80.3883495145631
92127,San Diego County,CA,NA,NA,61.736111111111114,NA,NA
92128,San Diego County,CA,NA,NA,NA,87.92822185970635,NA
92129,San Diego County,CA,NA,NA,51.94444444444445,NA,NA
92139,San Diego County,CA,NA,NA,NA,69.5758564437194,NA
92173,San Diego County,CA,36.502546689303905,NA,NA,NA,NA
