ZipCode,county,state,Adult
35031,Blount County,AL,72.22222222222221
35603,Morgan County,AL,21.52777777777778
35760,Madison County,AL,94.44444444444444
36352,Houston County,AL,86.80555555555556
36879,Lee County,AL,100
85364,Yuma County,AZ,24.65277777777778
85745,Pima County,AZ,29.86111111111111
72007,Lonoke County,AR,99.30555555555556
72211,Pulaski County,AR,79.86111111111111
72958,Scott County,AR,70.83333333333334
90019,Los Angeles County,CA,43.40277777777778
90025,Los Angeles County,CA,94.09722222222221
90620,Orange County,CA,51.388888888888886
91767,Los Angeles County,CA,70.13888888888889
92234,Riverside County,CA,16.666666666666664
92596,Riverside County,CA,89.58333333333334
92703,Orange County,CA,42.36111111111111
92843,Orange County,CA,39.93055555555556
92880,Riverside County,CA,27.083333333333332
93003,Ventura County,CA,20.48611111111111
93063,Ventura County,CA,36.80555555555556
93268,Kern County,CA,92.70833333333334
93458,Santa Barbara County,CA,17.708333333333336
93654,Fresno County,CA,55.208333333333336
93662,Fresno County,CA,96.52777777777779
93727,Fresno County,CA,17.36111111111111
94127,San Francisco County,CA,95.83333333333334
94565,Contra Costa County,CA,56.59722222222222
94596,Contra Costa County,CA,82.29166666666666
95122,Santa Clara County,CA,48.95833333333333
95123,Santa Clara County,CA,69.44444444444444
95358,Stanislaus County,CA,33.33333333333333
95688,Solano County,CA,67.36111111111111
80125,Douglas County,CO,93.05555555555556
80550,Weld County,CO,32.29166666666667
06607,Fairfield County,CT,93.40277777777779
06790,Litchfield County,CT,6.25
19805,New Castle County,DE,3.4722222222222223
19962,Kent County,DE,90.27777777777779
32025,Columbia County,FL,40.97222222222222
32127,Volusia County,FL,62.84722222222222
32563,Santa Rosa County,FL,36.11111111111111
33021,Broward County,FL,49.65277777777778
33162,Miami-Dade County,FL,60.416666666666664
33178,Miami-Dade County,FL,71.18055555555556
33428,Palm Beach County,FL,38.19444444444444
33567,Hillsborough County,FL,72.22222222222221
33705,Pinellas County,FL,31.59722222222222
33709,Pinellas County,FL,53.47222222222222
33844,Polk County,FL,40.97222222222222
33980,Charlotte County,FL,92.36111111111111
34446,Citrus County,FL,79.51388888888889
34614,Hernando County,FL,99.65277777777779
30016,Newton County,GA,14.583333333333334
30052,Walton County,GA,22.916666666666664
30067,Cobb County,GA,62.5
30078,Gwinnett County,GA,63.19444444444444
30126,Cobb County,GA,46.52777777777778
30311,Fulton County,GA,20.13888888888889
31092,Dooly County,GA,82.98611111111111
83440,Madison County,ID,87.5
83634,Ada County,ID,70.48611111111111
83709,Ada County,ID,47.56944444444444
60050,McHenry County,IL,41.66666666666667
60073,Lake County,IL,20.833333333333336
62226,St. Clair County,IL,46.18055555555556
62401,Effingham County,IL,65.625
62526,Macon County,IL,43.05555555555556
46373,Lake County,IN,32.98611111111111
47024,Franklin County,IN,95.13888888888889
47586,Perry County,IN,69.09722222222221
50317,Polk County,IA,12.847222222222221
51501,Pottawattamie County,IA,3.8194444444444446
51503,Pottawattamie County,IA,7.986111111111111
52404,Linn County,IA,8.333333333333332
52806,Scott County,IA,26.38888888888889
40160,Hardin County,KY,35.76388888888889
40391,Clark County,KY,7.638888888888889
41001,Campbell County,KY,66.66666666666666
41005,Boone County,KY,63.888888888888886
41017,Kenton County,KY,34.375
42501,Pulaski County,KY,86.45833333333334
70001,Jefferson Parish,LA,88.19444444444444
70117,Orleans Parish,LA,4.513888888888888
70119,Orleans Parish,LA,57.638888888888886
70427,Washington Parish,LA,65.97222222222221
70471,St. Tammany Parish,LA,45.13888888888889
70508,Lafayette Parish,LA,19.444444444444446
70570,St. Landry Parish,LA,1.7361111111111112
