ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35094,Jefferson County,AL,61.855670103092784,NA,NA,NA
35242,Shelby County,AL,NA,NA,NA,7.446808510638298
35244,Jefferson County,AL,48.96907216494845,50.11547344110855,NA,NA
35405,Tuscaloosa County,AL,NA,73.90300230946882,NA,NA
35501,Walker County,AL,NA,67.2055427251732,NA,NA
35660,Colbert County,AL,NA,87.99076212471132,NA,NA
35763,Madison County,AL,NA,NA,56.55021834061136,NA
35950,Marshall County,AL,NA,NA,NA,60.90425531914894
36081,Pike County,AL,NA,NA,66.37554585152839,NA
36105,Montgomery County,AL,NA,NA,85.1528384279476,NA
36467,Covington County,AL,75.77319587628865,NA,NA,NA
36507,Baldwin County,AL,NA,NA,65.72052401746726,NA
36541,Mobile County,AL,NA,NA,96.72489082969432,NA
99516,Anchorage Municipality,AK,NA,NA,89.95633187772926,NA
99517,Anchorage Municipality,AK,NA,NA,NA,78.19148936170212
99603,Kenai Peninsula Borough,AK,NA,NA,55.67685589519651,NA
99701,Fairbanks North Star Borough,AK,NA,39.260969976905315,NA,NA
99709,Fairbanks North Star Borough,AK,NA,NA,NA,80.58510638297872
85004,Maricopa County,AZ,NA,NA,89.73799126637554,NA
85015,Maricopa County,AZ,NA,NA,NA,58.51063829787234
85018,Maricopa County,AZ,20.103092783505154,NA,NA,NA
85019,Maricopa County,AZ,NA,43.418013856812934,NA,NA
85022,Maricopa County,AZ,NA,NA,26.855895196506552,NA
85027,Maricopa County,AZ,NA,NA,53.05676855895196,NA
85033,Maricopa County,AZ,NA,20.092378752886837,NA,NA
85086,Maricopa County,AZ,NA,NA,39.519650655021834,NA
85142,Maricopa County,AZ,NA,11.547344110854503,NA,NA
85233,Maricopa County,AZ,NA,44.80369515011547,NA,NA
85255,Maricopa County,AZ,40.20618556701031,NA,NA,NA
85262,Maricopa County,AZ,NA,95.1501154734411,NA,NA
85282,Maricopa County,AZ,63.4020618556701,NA,NA,NA
85286,Maricopa County,AZ,20.103092783505154,NA,NA,NA
85298,Maricopa County,AZ,19.072164948453608,NA,NA,NA
85306,Maricopa County,AZ,NA,NA,58.951965065502186,NA
85339,Maricopa County,AZ,NA,NA,81.87772925764192,NA
85396,Maricopa County,AZ,NA,NA,NA,94.14893617021278
85541,Gila County,AZ,NA,NA,NA,62.23404255319149
85552,Graham County,AZ,NA,93.76443418013857,NA,NA
85701,Pima County,AZ,88.14432989690721,NA,NA,NA
85716,Pima County,AZ,NA,51.03926096997691,NA,NA
85741,Pima County,AZ,NA,37.41339491916859,NA,NA
85755,Pima County,AZ,NA,NA,47.81659388646288,NA
86303,Yavapai County,AZ,NA,NA,41.48471615720524,NA
86305,Yavapai County,AZ,NA,NA,32.751091703056765,NA
