ZipCode,county,state,Adult,Retirement
35007,Shelby County,AL,NA,33.65853658536586
35010,Tallapoosa County,AL,64.64088397790056,NA
35020,Jefferson County,AL,NA,27.31707317073171
35022,Jefferson County,AL,34.806629834254146,14.341463414634145
35023,Jefferson County,AL,NA,12
35046,Chilton County,AL,88.76611418047882,NA
35055,Cullman County,AL,NA,62.63414634146341
35079,Blount County,AL,87.75322283609577,NA
35094,Jefferson County,AL,56.62983425414365,NA
35114,Shelby County,AL,88.48987108655618,NA
35118,Jefferson County,AL,91.6206261510129,NA
35151,Talladega County,AL,87.20073664825047,NA
35160,Talladega County,AL,13.351749539594843,NA
35180,Jefferson County,AL,65.1012891344383,68.6829268292683
35184,Bibb County,AL,72.19152854511971,NA
35211,Jefferson County,AL,12.79926335174954,NA
35217,Jefferson County,AL,44.751381215469614,46.43902439024391
35222,Jefferson County,AL,NA,87.90243902439025
35242,Shelby County,AL,NA,10.536585365853659
35404,Tuscaloosa County,AL,12.70718232044199,29.756097560975608
35405,Tuscaloosa County,AL,6.169429097605893,NA
35442,Pickens County,AL,NA,91.1219512195122
35613,Limestone County,AL,NA,45.65853658536586
35654,Franklin County,AL,NA,87.02439024390245
35757,Madison County,AL,NA,75.3170731707317
35758,Madison County,AL,33.79373848987109,NA
35801,Madison County,AL,NA,28.68292682926829
35810,Madison County,AL,25.78268876611418,NA
35901,Etowah County,AL,30.755064456721914,NA
36016,Barbour County,AL,97.32965009208104,NA
36022,Elmore County,AL,67.58747697974218,NA
36054,Elmore County,AL,62.523020257826886,NA
36064,Montgomery County,AL,NA,90.53658536585367
36106,Montgomery County,AL,NA,75.60975609756098
36251,Clay County,AL,90.51565377532228,NA
36265,Calhoun County,AL,76.24309392265194,NA
36271,Calhoun County,AL,NA,92.58536585365854
36274,Randolph County,AL,76.05893186003682,NA
36277,Calhoun County,AL,NA,91.90243902439025
36303,Houston County,AL,19.79742173112339,NA
36312,Houston County,AL,79.4659300184162,NA
