ZipCode,county,state,Adult,Retirement
35214,Jefferson County,AL,28.458498023715418,NA
35226,Jefferson County,AL,NA,22.821576763485478
35640,Morgan County,AL,32.80632411067194,NA
35758,Madison County,AL,36.75889328063241,NA
35903,Etowah County,AL,NA,31.950207468879665
35907,Etowah County,AL,79.44664031620553,NA
35950,Marshall County,AL,NA,63.90041493775933
35978,DeKalb County,AL,NA,96.6804979253112
36054,Elmore County,AL,62.845849802371546,NA
36507,Baldwin County,AL,NA,68.87966804979253
36542,Baldwin County,AL,NA,70.12448132780082
36613,Mobile County,AL,NA,79.66804979253112
85140,Pinal County,AZ,33.201581027667984,NA
85233,Maricopa County,AZ,NA,56.84647302904564
85249,Maricopa County,AZ,42.29249011857708,NA
85258,Maricopa County,AZ,87.35177865612648,NA
85338,Maricopa County,AZ,32.41106719367589,NA
85374,Maricopa County,AZ,NA,18.672199170124482
85622,Pima County,AZ,NA,67.21991701244814
85704,Pima County,AZ,44.26877470355731,NA
86004,Coconino County,AZ,6.324110671936759,NA
86047,Navajo County,AZ,NA,36.099585062240664
72076,Pulaski County,AR,45.8498023715415,41.078838174273855
72212,Pulaski County,AR,NA,67.63485477178423
72730,Washington County,AR,NA,97.0954356846473
72758,Benton County,AR,NA,59.33609958506224
72927,Logan County,AR,NA,84.23236514522821
90002,Los Angeles County,CA,NA,65.97510373443983
90019,Los Angeles County,CA,NA,66.39004149377593
90221,Los Angeles County,CA,35.96837944664031,NA
90254,Los Angeles County,CA,81.02766798418972,NA
90302,Los Angeles County,CA,89.72332015810277,NA
91016,Los Angeles County,CA,NA,62.24066390041494
91202,Los Angeles County,CA,NA,89.21161825726142
91350,Los Angeles County,CA,NA,82.57261410788381
91355,Los Angeles County,CA,NA,53.11203319502075
92056,San Diego County,CA,NA,34.85477178423236
92064,San Diego County,CA,NA,42.738589211618255
92241,Riverside County,CA,NA,83.81742738589212
92264,Riverside County,CA,43.47826086956522,NA
92509,Riverside County,CA,NA,41.49377593360996
92614,Orange County,CA,56.126482213438734,NA
92692,Orange County,CA,NA,25.311203319502074
92801,Orange County,CA,31.620553359683797,NA
92860,Riverside County,CA,NA,68.46473029045643
92880,Riverside County,CA,18.57707509881423,NA
92886,Orange County,CA,NA,17.842323651452283
93436,Santa Barbara County,CA,15.41501976284585,NA
93451,San Luis Obispo County,CA,96.83794466403161,NA
93455,Santa Barbara County,CA,NA,32.365145228215766
93648,Fresno County,CA,84.18972332015811,NA
93960,Monterey County,CA,NA,96.2655601659751
94044,San Mateo County,CA,NA,66.80497925311202
94070,San Mateo County,CA,90.9090909090909,NA
94526,Contra Costa County,CA,61.6600790513834,NA
94533,Solano County,CA,NA,26.970954356846473
95037,Santa Clara County,CA,NA,35.684647302904565
95215,San Joaquin County,CA,77.86561264822134,NA
95336,San Joaquin County,CA,NA,22.40663900414938
95540,Humboldt County,CA,54.9407114624506,NA
95973,Butte County,CA,51.77865612648221,NA
96022,Tehama County,CA,75.8893280632411,NA
80011,Arapahoe County,CO,7.905138339920949,NA
80013,Arapahoe County,CO,9.486166007905137,NA
80020,Broomfield County,CO,40.316205533596836,NA
80033,Jefferson County,CO,45.45454545454545,NA
80129,Douglas County,CO,NA,87.55186721991701
80224,Denver County,CO,58.89328063241107,NA
80433,Jefferson County,CO,NA,90.45643153526972
80439,Jefferson County,CO,77.4703557312253,53.52697095435685
80504,Boulder County,CO,28.85375494071146,NA
80917,El Paso County,CO,NA,58.921161825726145
81132,Rio Grande County,CO,99.60474308300395,NA
81413,Delta County,CO,NA,92.9460580912863
06249,New London County,CT,78.65612648221344,NA
06450,New Haven County,CT,5.928853754940711,NA
06804,Fairfield County,CT,NA,61.41078838174274
06811,Fairfield County,CT,71.54150197628458,NA
19947,Sussex County,DE,41.50197628458498,NA
19962,Kent County,DE,NA,78.83817427385893
32221,Duval County,FL,25.691699604743086,NA
32256,Duval County,FL,NA,43.15352697095436
32317,Leon County,FL,NA,88.38174273858921
32347,Taylor County,FL,NA,86.72199170124482
32425,Holmes County,FL,NA,62.655601659751035
32534,Escambia County,FL,40.316205533596836,NA
32548,Okaloosa County,FL,NA,60.99585062240664
32568,Escambia County,FL,97.23320158102767,NA
32583,Santa Rosa County,FL,NA,23.651452282157674
32617,Marion County,FL,NA,94.6058091286307
32720,Volusia County,FL,NA,43.56846473029046
32812,Orange County,FL,NA,80.49792531120332
32909,Brevard County,FL,NA,70.53941908713693
33141,Miami-Dade County,FL,NA,39.83402489626556
33409,Palm Beach County,FL,62.055335968379445,NA
33467,Palm Beach County,FL,NA,26.556016597510375
33478,Palm Beach County,FL,NA,95.850622406639
33764,Pinellas County,FL,NA,51.037344398340245
33767,Pinellas County,FL,94.0711462450593,NA
33825,Highlands County,FL,NA,14.937759336099585
33850,Polk County,FL,NA,90.87136929460581
34103,Collier County,FL,NA,69.29460580912863
34105,Collier County,FL,90.11857707509881,NA
34109,Collier County,FL,72.72727272727273,NA
34113,Collier County,FL,76.6798418972332,NA
34202,Manatee County,FL,64.82213438735178,NA
34471,Marion County,FL,49.40711462450593,NA
34689,Pinellas County,FL,NA,45.22821576763486
34788,Lake County,FL,63.24110671936759,NA
34986,St. Lucie County,FL,NA,25.72614107883817
30084,DeKalb County,GA,58.498023715415016,NA
30139,Gordon County,GA,96.44268774703558,NA
30143,Pickens County,GA,57.70750988142292,NA
30439,Candler County,GA,NA,81.74273858921161
30736,Catoosa County,GA,10.67193675889328,NA
31791,Worth County,GA,49.80237154150198,NA
96701,Honolulu County,HI,32.015810276679844,NA
96706,Honolulu County,HI,NA,10.78838174273859
96761,Maui County,HI,NA,89.62655601659752
96818,Honolulu County,HI,50.59288537549407,NA
83638,Valley County,ID,NA,98.7551867219917
83686,Canyon County,ID,50.19762845849802,NA
83713,Ada County,ID,NA,17.012448132780083
60013,McHenry County,IL,NA,38.17427385892116
60048,Lake County,IL,NA,28.21576763485477
60098,McHenry County,IL,NA,13.278008298755188
60174,Kane County,IL,42.68774703557312,NA
60175,Kane County,IL,NA,37.344398340248965
60184,DuPage County,IL,98.81422924901186,NA
60302,Cook County,IL,85.37549407114624,NA
60416,Grundy County,IL,57.31225296442688,NA
60422,Cook County,IL,80.23715415019763,NA
60453,Cook County,IL,NA,7.883817427385892
60513,Cook County,IL,94.46640316205533,NA
60527,DuPage County,IL,NA,46.058091286307054
60644,Cook County,IL,NA,11.20331950207469
60655,Cook County,IL,NA,34.024896265560166
61081,Whiteside County,IL,NA,14.522821576763487
61107,Winnebago County,IL,40.316205533596836,34.439834024896264
61615,Peoria County,IL,NA,92.11618257261411
61727,De Witt County,IL,67.19367588932806,NA
62025,Madison County,IL,64.03162055335969,NA
62568,Christian County,IL,73.12252964426878,NA
46221,Marion County,IN,26.08695652173913,NA
46240,Marion County,IN,88.93280632411067,NA
46307,Lake County,IN,NA,2.904564315352697
46310,Jasper County,IN,50.988142292490124,NA
46368,Porter County,IN,3.9525691699604746,NA
46375,Lake County,IN,29.64426877470356,NA
46383,Porter County,IN,NA,5.809128630705394
46385,Porter County,IN,26.48221343873518,NA
46554,St. Joseph County,IN,95.25691699604744,NA
46614,St. Joseph County,IN,NA,58.09128630705395
46845,Allen County,IN,NA,49.37759336099585
