ZipCode,county,state,Adult,Retirement,Geriatric
35094,Jefferson County,AL,67.1875,NA,NA
35118,Jefferson County,AL,NA,NA,94.66019417475728
35150,Talladega County,AL,NA,NA,46.601941747572816
35206,Jefferson County,AL,NA,50.82644628099173,NA
35217,Jefferson County,AL,56.770833333333336,NA,NA
35226,Jefferson County,AL,NA,58.26446280991735,NA
35549,Walker County,AL,93.75,NA,NA
35614,Limestone County,AL,NA,81.81818181818183,NA
35748,Madison County,AL,NA,73.96694214876032,NA
36104,Montgomery County,AL,NA,76.44628099173553,NA
36116,Montgomery County,AL,NA,52.066115702479344,NA
36726,Wilcox County,AL,90.10416666666666,NA,NA
85051,Maricopa County,AZ,NA,NA,86.40776699029125
85201,Maricopa County,AZ,51.041666666666664,NA,NA
85323,Maricopa County,AZ,40.10416666666667,NA,NA
85344,La Paz County,AZ,NA,NA,71.35922330097088
85706,Pima County,AZ,NA,42.14876033057851,NA
85714,Pima County,AZ,NA,94.21487603305785,NA
85745,Pima County,AZ,31.25,NA,NA
85746,Pima County,AZ,NA,NA,73.30097087378641
86301,Yavapai County,AZ,NA,32.231404958677686,NA
72206,Pulaski County,AR,61.458333333333336,NA,NA
72455,Randolph County,AR,NA,68.59504132231406,NA
72501,Independence County,AR,NA,NA,33.49514563106796
90004,Los Angeles County,CA,52.604166666666664,NA,NA
90019,Los Angeles County,CA,80.72916666666666,NA,NA
90066,Los Angeles County,CA,NA,67.76859504132231,NA
90280,Los Angeles County,CA,71.875,NA,NA
90301,Los Angeles County,CA,90.625,NA,NA
90813,Los Angeles County,CA,41.14583333333333,NA,NA
91206,Los Angeles County,CA,NA,NA,13.592233009708737
91344,Los Angeles County,CA,NA,28.09917355371901,NA
91784,San Bernardino County,CA,NA,50.413223140495866,NA
91901,San Diego County,CA,NA,78.92561983471074,NA
91911,San Diego County,CA,29.166666666666668,NA,NA
92123,San Diego County,CA,89.58333333333334,NA,NA
92203,Riverside County,CA,NA,21.487603305785125,NA
92262,Riverside County,CA,62.5,NA,NA
92270,Riverside County,CA,NA,NA,40.29126213592233
92335,San Bernardino County,CA,NA,18.181818181818183,NA
92374,San Bernardino County,CA,NA,NA,74.27184466019418
92503,Riverside County,CA,NA,58.67768595041323,NA
92557,Riverside County,CA,NA,NA,63.10679611650486
92583,Riverside County,CA,70.3125,NA,NA
92883,Riverside County,CA,NA,NA,64.56310679611651
93033,Ventura County,CA,15.104166666666666,NA,NA
93221,Tulare County,CA,97.91666666666666,NA,NA
93223,Tulare County,CA,NA,NA,97.57281553398059
93306,Kern County,CA,25.520833333333332,NA,NA
93705,Fresno County,CA,NA,47.93388429752066,NA
93706,Fresno County,CA,NA,43.80165289256198,NA
93726,Fresno County,CA,NA,50,NA
94061,San Mateo County,CA,NA,NA,19.902912621359224
94065,San Mateo County,CA,NA,NA,82.52427184466019
94112,San Francisco County,CA,29.6875,NA,4.854368932038835
94115,San Francisco County,CA,NA,40.082644628099175,14.077669902912621
94303,San Mateo County,CA,33.33333333333333,NA,NA
94306,Santa Clara County,CA,NA,NA,50.970873786407765
94403,San Mateo County,CA,60.416666666666664,NA,NA
94546,Alameda County,CA,NA,NA,24.75728155339806
94555,Alameda County,CA,74.47916666666666,NA,NA
94611,Alameda County,CA,68.75,NA,NA
95032,Santa Clara County,CA,97.39583333333334,NA,NA
95112,Santa Clara County,CA,NA,44.214876033057855,NA
95116,Santa Clara County,CA,NA,NA,55.33980582524271
95128,Santa Clara County,CA,76.5625,NA,NA
95206,San Joaquin County,CA,26.041666666666668,NA,NA
95207,San Joaquin County,CA,NA,32.64462809917356,NA
95409,Sonoma County,CA,NA,NA,16.019417475728158
95762,El Dorado County,CA,NA,NA,41.262135922330096
95827,Sacramento County,CA,NA,98.7603305785124,NA
95945,Nevada County,CA,NA,NA,28.155339805825243
80002,Jefferson County,CO,NA,98.34710743801654,NA
80219,Denver County,CO,NA,25.6198347107438,NA
80226,Jefferson County,CO,NA,NA,58.252427184466015
81005,Pueblo County,CO,NA,NA,35.92233009708738
06078,Hartford County,CT,NA,85.12396694214877,NA
06241,Windham County,CT,69.27083333333334,NA,NA
06484,Fairfield County,CT,NA,33.057851239669425,NA
06511,New Haven County,CT,NA,47.107438016528924,NA
06614,Fairfield County,CT,NA,NA,28.640776699029125
06615,Fairfield County,CT,58.333333333333336,NA,NA
19945,Sussex County,DE,NA,61.98347107438017,NA
19966,Sussex County,DE,NA,11.15702479338843,NA
19971,Sussex County,DE,79.6875,NA,NA
32169,Volusia County,FL,NA,62.396694214876035,56.79611650485437
32234,Duval County,FL,NA,NA,88.3495145631068
32448,Jackson County,FL,NA,93.38842975206612,NA
32501,Escambia County,FL,NA,NA,52.42718446601942
32506,Escambia County,FL,NA,NA,15.53398058252427
32724,Volusia County,FL,NA,59.09090909090909,NA
32780,Brevard County,FL,NA,20.24793388429752,NA
32801,Orange County,FL,NA,85.53719008264463,NA
32806,Orange County,FL,NA,NA,34.46601941747573
32907,Brevard County,FL,NA,23.140495867768596,NA
33414,Palm Beach County,FL,NA,75.20661157024794,NA
33458,Palm Beach County,FL,NA,NA,61.6504854368932
33463,Palm Beach County,FL,NA,NA,77.18446601941747
33511,Hillsborough County,FL,NA,30.57851239669421,NA
33542,Pasco County,FL,63.541666666666664,NA,NA
33605,Hillsborough County,FL,64.0625,NA,NA
33614,Hillsborough County,FL,NA,93.80165289256198,NA
33860,Polk County,FL,NA,63.63636363636363,NA
33971,Lee County,FL,65.625,NA,NA
34203,Manatee County,FL,NA,NA,47.57281553398058
34286,Sarasota County,FL,NA,NA,90.29126213592234
34442,Citrus County,FL,NA,57.85123966942148,NA
34711,Lake County,FL,NA,NA,29.126213592233007
34994,Martin County,FL,NA,NA,38.83495145631068
34997,Martin County,FL,NA,10.330578512396695,NA
30030,DeKalb County,GA,NA,NA,45.14563106796117
30224,Spalding County,GA,NA,53.30578512396694,NA
30233,Butts County,GA,66.14583333333334,NA,NA
30240,Troup County,GA,84.375,NA,NA
30252,Henry County,GA,NA,52.47933884297521,NA
30315,Fulton County,GA,NA,61.57024793388429,NA
30337,Fulton County,GA,NA,NA,98.05825242718447
30349,Fulton County,GA,NA,13.636363636363635,62.13592233009708
30549,Jackson County,GA,85.9375,NA,NA
30906,Richmond County,GA,8.333333333333332,NA,NA
30907,Columbia County,GA,NA,12.8099173553719,NA
31204,Bibb County,GA,NA,NA,36.89320388349515
31206,Bibb County,GA,38.02083333333333,NA,NA
31907,Muscogee County,GA,11.458333333333332,NA,NA
96797,Honolulu County,HI,NA,7.43801652892562,NA
83669,Ada County,ID,NA,NA,99.02912621359224
83702,Ada County,ID,NA,23.553719008264462,NA
60035,Lake County,IL,NA,NA,2.912621359223301
60074,Cook County,IL,NA,71.48760330578511,NA
60077,Cook County,IL,NA,NA,10.194174757281553
60142,McHenry County,IL,NA,12.396694214876034,NA
60176,Cook County,IL,NA,NA,99.51456310679612
60193,Cook County,IL,NA,11.983471074380166,NA
60456,Cook County,IL,NA,97.93388429752066,NA
60462,Cook County,IL,NA,7.024793388429752,NA
60487,Cook County,IL,NA,74.3801652892562,NA
60505,Kane County,IL,39.58333333333333,NA,NA
60525,Cook County,IL,27.604166666666668,NA,NA
60609,Cook County,IL,NA,NA,22.815533980582526
60617,Cook County,IL,36.97916666666667,NA,NA
60618,Cook County,IL,11.979166666666668,NA,NA
60621,Cook County,IL,NA,67.35537190082644,NA
60639,Cook County,IL,13.541666666666666,9.50413223140496,NA
60640,Cook County,IL,NA,NA,37.86407766990291
60651,Cook County,IL,41.66666666666667,NA,NA
60659,Cook County,IL,NA,29.338842975206614,NA
60942,Vermilion County,IL,NA,91.73553719008265,NA
61048,Stephenson County,IL,NA,NA,69.41747572815534
61071,Whiteside County,IL,NA,19.421487603305785,14.563106796116504
61109,Winnebago County,IL,53.645833333333336,NA,NA
61115,Winnebago County,IL,NA,30.165289256198346,NA
61462,Warren County,IL,NA,NA,73.7864077669903
61832,Vermilion County,IL,NA,45.04132231404959,NA
62012,Macoupin County,IL,NA,NA,92.23300970873787
62959,Williamson County,IL,NA,21.074380165289256,NA
46033,Hamilton County,IN,NA,NA,42.71844660194174
46142,Johnson County,IN,NA,NA,25.728155339805824
46158,Morgan County,IN,NA,30.991735537190085,NA
46184,Johnson County,IN,NA,73.14049586776859,NA
46217,Marion County,IN,NA,NA,40.77669902912621
46222,Marion County,IN,NA,NA,56.310679611650485
46307,Lake County,IN,NA,NA,3.8834951456310676
46311,Lake County,IN,NA,19.834710743801654,NA
46356,Lake County,IN,39.0625,NA,NA
46404,Lake County,IN,42.1875,NA,NA
46514,Elkhart County,IN,NA,NA,43.689320388349515
46534,Starke County,IN,NA,NA,68.44660194174757
46805,Allen County,IN,73.4375,NA,NA
46825,Allen County,IN,46.875,NA,NA
46902,Howard County,IN,NA,4.545454545454546,NA
46936,Howard County,IN,86.45833333333334,NA,NA
46992,Wabash County,IN,NA,46.28099173553719,NA
47201,Bartholomew County,IN,NA,15.289256198347106,NA
47250,Jefferson County,IN,75,NA,NA
47303,Delaware County,IN,NA,54.54545454545454,NA
47356,Henry County,IN,NA,NA,81.06796116504854
47601,Warrick County,IN,NA,76.03305785123968,NA
47803,Vigo County,IN,NA,NA,86.89320388349515
47932,Fountain County,IN,NA,71.900826446281,NA
50703,Black Hawk County,IA,34.375,NA,NA
52240,Johnson County,IA,NA,NA,29.61165048543689
52501,Wapello County,IA,18.75,NA,NA
66101,Wyandotte County,KS,88.54166666666666,NA,90.77669902912622
66103,Wyandotte County,KS,NA,NA,95.63106796116504
66212,Johnson County,KS,NA,16.94214876033058,NA
66214,Johnson County,KS,NA,NA,85.43689320388349
67207,Sedgwick County,KS,88.02083333333334,NA,NA
67530,Barton County,KS,78.64583333333334,NA,NA
67846,Finney County,KS,NA,26.033057851239672,NA
40229,Jefferson County,KY,15.625,NA,NA
40299,Jefferson County,KY,NA,26.446280991735538,NA
40361,Bourbon County,KY,77.08333333333334,NA,NA
40962,Clay County,KY,NA,NA,92.71844660194175
41001,Campbell County,KY,NA,NA,53.883495145631066
41042,Boone County,KY,NA,NA,26.699029126213592
41129,Boyd County,KY,NA,57.438016528925615,NA
41501,Pike County,KY,48.4375,NA,NA
42038,Lyon County,KY,NA,97.52066115702479,NA
42420,Henderson County,KY,63.020833333333336,NA,NA
70062,Jefferson Parish,LA,NA,NA,51.45631067961165
70072,Jefferson Parish,LA,1.5625,NA,NA
70094,Jefferson Parish,LA,NA,NA,46.116504854368934
70113,Orleans Parish,LA,87.5,NA,NA
70118,Orleans Parish,LA,NA,NA,64.07766990291263
