ZipCode,county,state,Adult
35126,Jefferson County,AL,55.98824393828068
35160,Talladega County,AL,15.429831006612785
35204,Jefferson County,AL,71.78545187362234
35228,Jefferson County,AL,63.11535635562087
35404,Tuscaloosa County,AL,14.842027920646583
35405,Tuscaloosa County,AL,34.092578986039676
35611,Limestone County,AL,25.642909625275536
35661,Colbert County,AL,66.93607641440119
35811,Madison County,AL,42.836149889786924
36089,Bullock County,AL,92.87288758265981
36207,Calhoun County,AL,59.73548861131521
36303,Houston County,AL,24.173401910360028
36320,Houston County,AL,99.63262307127113
36575,Mobile County,AL,60.91109478324761
36605,Mobile County,AL,41.66054371785452
36619,Mobile County,AL,79.64731814842028
36695,Mobile County,AL,35.268185157972084
36801,Lee County,AL,62.82145481263777
99501,Anchorage Municipality,AK,22.116091109478326
99504,Anchorage Municipality,AK,58.11903012490816
99645,Matanuska-Susitna Borough,AK,58.48640705363704
99654,Matanuska-Susitna Borough,AK,37.61939750183688
99669,Kenai Peninsula Borough,AK,74.13666421748715
85017,Maricopa County,AZ,33.57825128581925
85033,Maricopa County,AZ,50.18368846436444
85042,Maricopa County,AZ,77.8104335047759
85050,Maricopa County,AZ,94.19544452608376
85051,Maricopa County,AZ,13.152094048493753
85138,Pinal County,AZ,41.440117560617196
85140,Pinal County,AZ,36.51726671565026
85202,Maricopa County,AZ,20.720058780308598
85204,Maricopa County,AZ,13.005143277002205
85207,Maricopa County,AZ,61.27847171197649
85215,Maricopa County,AZ,83.6884643644379
85225,Maricopa County,AZ,42.46877296105804
85248,Maricopa County,AZ,60.02939015429831
85251,Maricopa County,AZ,41.88096987509184
85260,Maricopa County,AZ,87.72961058045556
85296,Maricopa County,AZ,67.7443056576047
85301,Maricopa County,AZ,23.659074210139604
85364,Yuma County,AZ,63.77663482733284
85365,Yuma County,AZ,29.169728141072742
85379,Maricopa County,AZ,31.447465099191767
85388,Maricopa County,AZ,69.43423952975753
85635,Cochise County,AZ,25.20205731080088
85716,Pima County,AZ,52.02057310800882
86025,Navajo County,AZ,91.6972814107274
86047,Navajo County,AZ,68.84643644379132
86314,Yavapai County,AZ,15.723732549595884
86413,Mohave County,AZ,61.20499632623071
86442,Mohave County,AZ,63.556208670095515
72019,Saline County,AR,73.98971344599559
72110,Conway County,AR,98.75091844232182
72416,Craighead County,AR,86.26010286554005
90006,Los Angeles County,CA,68.0382072005878
90007,Los Angeles County,CA,79.72079353416606
90019,Los Angeles County,CA,42.6157237325496
90033,Los Angeles County,CA,46.28949301983835
90201,Los Angeles County,CA,31.88831741366642
90220,Los Angeles County,CA,33.87215282880235
90262,Los Angeles County,CA,35.63556208670096
90280,Los Angeles County,CA,32.99044819985305
90604,Los Angeles County,CA,59.44158706833211
90650,Los Angeles County,CA,17.56061719324026
90701,Los Angeles County,CA,91.03600293901543
90720,Orange County,CA,74.50404114621601
90813,Los Angeles County,CA,67.1565025716385
91042,Los Angeles County,CA,91.25642909625276
91202,Los Angeles County,CA,88.7582659808964
91326,Los Angeles County,CA,66.8626010286554
91331,Los Angeles County,CA,10.727406318883174
91367,Los Angeles County,CA,58.853783982365904
91701,San Bernardino County,CA,25.86333578251286
91723,Los Angeles County,CA,93.60764144011756
91752,Riverside County,CA,54.886113152094055
91911,San Diego County,CA,24.320352681851578
91915,San Diego County,CA,87.65613519470978
92028,San Diego County,CA,65.31961792799412
92102,San Diego County,CA,40.04408523144746
92105,San Diego County,CA,16.385011021307864
92128,San Diego County,CA,75.01836884643645
92129,San Diego County,CA,60.17634092578986
92234,Riverside County,CA,13.07861866274798
92240,Riverside County,CA,22.409992652461426
92307,San Bernardino County,CA,28.655400440852315
92311,San Bernardino County,CA,38.28067597354886
92316,San Bernardino County,CA,54.66568699485672
92335,San Bernardino County,CA,8.449669360764144
92336,San Bernardino County,CA,8.743570903747244
92359,San Bernardino County,CA,95.22409992652462
92395,San Bernardino County,CA,27.84717119764879
92407,San Bernardino County,CA,17.48714180749449
92503,Riverside County,CA,20.058780308596617
92530,Riverside County,CA,36.00293901542983
92551,Riverside County,CA,68.9199118295371
92557,Riverside County,CA,38.64805290227773
92596,Riverside County,CA,91.4033798677443
92604,Orange County,CA,81.99853049228508
92801,Orange County,CA,34.900808229243204
92821,Orange County,CA,64.65833945628215
92882,Riverside County,CA,30.19838354151359
92883,Riverside County,CA,68.11168258633357
93241,Kern County,CA,94.04849375459222
93257,Tulare County,CA,11.976487876561352
93274,Tulare County,CA,4.4085231447465105
93277,Tulare County,CA,25.789860396767082
93307,Kern County,CA,45.775165319617926
93312,Kern County,CA,41.21969140337987
93401,San Luis Obispo County,CA,59.515062454077885
93455,Santa Barbara County,CA,33.210874357090375
93458,Santa Barbara County,CA,13.225569434239528
93534,Los Angeles County,CA,38.50110213078619
93550,Los Angeles County,CA,45.04041146216017
93555,Kern County,CA,25.495958853783986
93622,Fresno County,CA,97.060984570169
93635,Merced County,CA,42.17487141807494
93637,Madera County,CA,87.582659808964
93706,Fresno County,CA,23.438648052902277
93722,Fresno County,CA,7.274063188831742
93905,Monterey County,CA,39.67670830271859
93930,Monterey County,CA,76.41440117560617
94010,San Mateo County,CA,54.4452608376194
94041,Santa Clara County,CA,97.42836149889786
94063,San Mateo County,CA,98.45701689933873
94124,San Francisco County,CA,25.20205731080088
94303,San Mateo County,CA,28.581925055106538
94509,Contra Costa County,CA,22.263041880969876
94519,Contra Costa County,CA,90.2277736958119
94533,Solano County,CA,23.87950036737693
94536,Alameda County,CA,32.8434974283615
