fips,county,state,Under18,Over18
01003,Baldwin County,AL,89.26014319809069,31.514581373471305
01005,Barbour County,AL,NA,60.30103480714958
01007,Bibb County,AL,NA,54.65663217309501
01013,Butler County,AL,NA,97.27187206020696
01015,Calhoun County,AL,NA,71.21354656632172
01017,Chambers County,AL,NA,67.63875823142051
01019,Cherokee County,AL,NA,89.27563499529633
01021,Chilton County,AL,NA,70.931326434619
01027,Clay County,AL,NA,99.62370649106302
01029,Cleburne County,AL,NA,99.24741298212606
01031,Coffee County,AL,NA,67.45061147695203
01035,Conecuh County,AL,NA,86.45343367826905
01037,Coosa County,AL,NA,96.42521166509877
01039,Covington County,AL,NA,57.19661335841957
01043,Cullman County,AL,NA,76.48165569143931
01047,Dallas County,AL,98.09069212410502,NA
01049,DeKalb County,AL,80.42959427207637,NA
01051,Elmore County,AL,NA,67.16839134524929
01053,Escambia County,AL,99.52267303102626,75.44684854186265
01055,Etowah County,AL,NA,45.62558795860772
01057,Fayette County,AL,NA,97.46001881467544
01065,Hale County,AL,NA,97.08372530573848
01069,Houston County,AL,86.63484486873509,28.222013170272813
01073,Jefferson County,AL,86.15751789976133,95.76669802445907
01075,Lamar County,AL,NA,92.85042333019756
01077,Lauderdale County,AL,NA,16.839134524929445
01079,Lawrence County,AL,91.8854415274463,NA
01081,Lee County,AL,NA,95.5785512699906
01083,Limestone County,AL,NA,51.269990592662275
01089,Madison County,AL,11.455847255369928,62.37064910630291
01093,Marion County,AL,92.12410501193318,NA
01095,Marshall County,AL,NA,58.325493885230486
01097,Mobile County,AL,NA,79.86829727187205
01101,Montgomery County,AL,84.24821002386635,66.22765757290688
01103,Morgan County,AL,69.4510739856802,77.61053621825023
01111,Randolph County,AL,NA,97.17779868297272
01113,Russell County,AL,NA,63.02916274694261
01115,St. Clair County,AL,NA,90.87488240827845
01117,Shelby County,AL,NA,82.40827845719662
01121,Talladega County,AL,NA,96.14299153339604
01125,Tuscaloosa County,AL,74.46300715990454,45.155221072436504
01127,Walker County,AL,NA,18.438381937911572
02020,Anchorage Municipality,AK,NA,20.037629350893695
02090,Fairbanks North Star Borough,AK,NA,29.162746942615243
04003,Cochise County,AZ,NA,23.61241768579492
04005,Coconino County,AZ,11.217183770883054,NA
04009,Graham County,AZ,NA,42.144873000940734
04013,Maricopa County,AZ,27.923627684964202,40.92191909689558
04015,Mohave County,AZ,58.711217183770884,0.4703668861712135
04019,Pima County,AZ,53.46062052505967,61.994355597365946
04021,Pinal County,AZ,NA,23.98871119473189
04023,Santa Cruz County,AZ,39.37947494033413,NA
04027,Yuma County,AZ,NA,1.975540921919097
05003,Ashley County,AR,NA,89.36970837253058
05005,Baxter County,AR,NA,83.72530573847601
05007,Benton County,AR,NA,4.985888993414863
05009,Boone County,AR,NA,49.012229539040455
05025,Cleveland County,AR,NA,92.56820319849483
05037,Cross County,AR,NA,78.73941674506115
05045,Faulkner County,AR,NA,40.63969896519285
05063,Independence County,AR,NA,45.53151458137347
05069,Jefferson County,AR,NA,75.63499529633114
05091,Miller County,AR,NA,47.130761994355595
05095,Monroe County,AR,NA,94.63781749764817
05115,Pope County,AR,NA,65.1928504233302
05119,Pulaski County,AR,NA,66.79209783631232
05125,Saline County,AR,NA,83.25493885230479
05139,Union County,AR,NA,50.23518344308561
05143,Washington County,AR,NA,83.44308560677328
06001,Alameda County,CA,21.241050119331742,43.555973659454374
06007,Butte County,CA,13.126491646778044,4.421448730009407
06013,Contra Costa County,CA,43.43675417661098,73.47130761994356
06017,El Dorado County,CA,45.10739856801909,NA
06019,Fresno County,CA,NA,5.079962370649106
06029,Kern County,CA,77.80429594272077,75.25870178739417
06031,Kings County,CA,NA,44.12041392285983
06033,Lake County,CA,NA,18.908748824082785
06037,Los Angeles County,CA,67.30310262529832,74.97648165569144
06039,Madera County,CA,19.809069212410503,11.47695202257761
06041,Marin County,CA,NA,34.33678269049859
06045,Mendocino County,CA,NA,14.205079962370649
06047,Merced County,CA,12.17183770883055,33.301975540921916
06053,Monterey County,CA,NA,13.640639698965193
06055,Napa County,CA,NA,28.786453433678272
06059,Orange County,CA,40.09546539379475,67.26246472248354
06061,Placer County,CA,NA,47.50705550329257
06065,Riverside County,CA,48.21002386634845,27.845719661335842
06067,Sacramento County,CA,17.66109785202864,13.452492944496708
06071,San Bernardino County,CA,35.32219570405728,55.03292568203199
06073,San Diego County,CA,31.5035799522673,36.97083725305739
06075,San Francisco County,CA,NA,43.461900282220135
06077,San Joaquin County,CA,16.94510739856802,39.88711194731891
06079,San Luis Obispo County,CA,NA,12.229539040451552
06081,San Mateo County,CA,NA,66.03951081843839
06083,Santa Barbara County,CA,NA,40.82784571966134
06085,Santa Clara County,CA,74.22434367541766,73.28316086547507
06087,Santa Cruz County,CA,NA,6.3969896519285045
06093,Siskiyou County,CA,NA,78.6453433678269
