ZipCode,county,state,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,94.32717678100263
35005,Jefferson County,AL,NA,87.04028021015762,NA
35023,Jefferson County,AL,64.40677966101694,NA,NA
35040,Shelby County,AL,NA,70.2276707530648,NA
35058,Cullman County,AL,NA,73.64273204903678,NA
35064,Jefferson County,AL,NA,74.08056042031524,NA
35111,Tuscaloosa County,AL,74.85875706214689,93.95796847635727,NA
35114,Shelby County,AL,NA,NA,83.64116094986808
35160,Talladega County,AL,66.10169491525424,NA,NA
35184,Bibb County,AL,NA,98.861646234676,NA
35212,Jefferson County,AL,NA,NA,92.4802110817942
35406,Tuscaloosa County,AL,NA,47.19789842381786,NA
35504,Walker County,AL,NA,62.25919439579685,NA
35555,Fayette County,AL,NA,NA,48.41688654353562
35565,Winston County,AL,NA,73.90542907180385,NA
35613,Limestone County,AL,NA,NA,66.09498680738787
35640,Morgan County,AL,NA,NA,48.68073878627968
35749,Madison County,AL,50.282485875706215,NA,NA
35769,Jackson County,AL,NA,90.89316987740806,NA
35810,Madison County,AL,NA,NA,22.559366754617415
35906,Etowah County,AL,NA,NA,90.50131926121372
35976,Marshall County,AL,NA,NA,50.92348284960422
36078,Elmore County,AL,55.08474576271186,NA,NA
36092,Elmore County,AL,NA,53.41506129597198,85.35620052770449
36105,Montgomery County,AL,NA,85.63922942206655,NA
36201,Calhoun County,AL,NA,NA,62.26912928759894
36310,Henry County,AL,NA,88.52889667250437,NA
36507,Baldwin County,AL,42.93785310734463,NA,NA
36619,Mobile County,AL,NA,67.51313485113836,NA
36701,Dallas County,AL,NA,63.13485113835377,NA
36804,Lee County,AL,NA,69.43957968476357,NA
36832,Lee County,AL,NA,89.05429071803853,NA
36875,Russell County,AL,NA,NA,99.07651715039579
99801,Juneau City and Borough,AK,NA,64.973730297723293,NA
85009,Maricopa County,AZ,18.926553672316384,NA,NA
85023,Maricopa County,AZ,NA,NA,63.19261213720316
85122,Pinal County,AZ,NA,11.120840630472854,NA
85203,Maricopa County,AZ,NA,79.15936952714536,NA
85225,Maricopa County,AZ,17.51412429378531,NA,NA
85338,Maricopa County,AZ,NA,43.957968476357266,NA
85345,Maricopa County,AZ,18.361581920903955,NA,NA
85350,Yuma County,AZ,NA,65.06129597197898,NA
85356,Yuma County,AZ,NA,NA,87.59894459102902
85365,Yuma County,AZ,NA,83.27495621716288,87.33509234828496
85367,Yuma County,AZ,NA,NA,10.817941952506596
85396,Maricopa County,AZ,84.4632768361582,NA,NA
85541,Gila County,AZ,NA,40.19264448336252,NA
85602,Cochise County,AZ,NA,80.47285464098074,NA
85607,Cochise County,AZ,NA,NA,58.31134564643799
85614,Pima County,AZ,NA,18.21366024518389,NA
85705,Pima County,AZ,NA,6.3922942206655,NA
85742,Pima County,AZ,NA,49.299474605954465,NA
85750,Pima County,AZ,NA,NA,37.598944591029024
86033,Navajo County,AZ,NA,86.86514886164623,NA
86047,Navajo County,AZ,NA,NA,82.84960422163589
86314,Yavapai County,AZ,NA,NA,11.477572559366754
86315,Yavapai County,AZ,NA,69.0893169877408,NA
86409,Mohave County,AZ,NA,3.502626970227671,NA
86426,Mohave County,AZ,NA,NA,61.08179419525066
86503,Apache County,AZ,NA,NA,75.06596306068602
71601,Jefferson County,AR,NA,56.042031523642734,NA
71602,Jefferson County,AR,NA,70.05253940455341,86.41160949868075
71603,Jefferson County,AR,NA,NA,25.065963060686013
71639,Desha County,AR,NA,NA,94.85488126649076
71671,Bradley County,AR,NA,NA,73.48284960422163
71730,Union County,AR,NA,27.23292469352014,NA
72067,Cleburne County,AR,NA,84.41330998248687,NA
72143,White County,AR,NA,8.84413309982487,NA
72205,Pulaski County,AR,NA,NA,53.562005277044854
72396,Cross County,AR,NA,NA,67.41424802110818
72454,Clay County,AR,NA,NA,74.01055408970977
72601,Boone County,AR,NA,NA,19.129287598944593
72823,Pope County,AR,NA,89.57968476357267,NA
72958,Scott County,AR,NA,87.39054290718039,NA
90007,Los Angeles County,CA,NA,57.35551663747811,NA
90024,Los Angeles County,CA,NA,NA,6.728232189973616
90028,Los Angeles County,CA,NA,NA,38.39050131926121
90031,Los Angeles County,CA,NA,NA,72.82321899736148
90035,Los Angeles County,CA,NA,35.551663747810856,NA
90041,Los Angeles County,CA,NA,NA,60.817941952506594
90049,Los Angeles County,CA,NA,NA,55.4089709762533
90059,Los Angeles County,CA,NA,54.72854640980736,NA
90064,Los Angeles County,CA,NA,NA,23.87862796833773
90068,Los Angeles County,CA,NA,92.73204903677758,NA
90201,Los Angeles County,CA,NA,NA,53.166226912928764
90260,Los Angeles County,CA,74.57627118644068,NA,NA
90272,Los Angeles County,CA,NA,NA,27.96833773087071
90275,Los Angeles County,CA,NA,NA,9.762532981530343
90291,Los Angeles County,CA,NA,84.85113835376532,NA
90403,Los Angeles County,CA,NA,67.77583187390543,NA
90503,Los Angeles County,CA,50.847457627118644,42.38178633975482,NA
90731,Los Angeles County,CA,NA,24.605954465849386,NA
90745,Los Angeles County,CA,NA,30.122591943957964,NA
90803,Los Angeles County,CA,NA,NA,49.07651715039577
90815,Los Angeles County,CA,51.12994350282486,NA,NA
91011,Los Angeles County,CA,NA,94.13309982486865,NA
91042,Los Angeles County,CA,74.01129943502825,NA,NA
91201,Los Angeles County,CA,NA,NA,93.27176781002639
91202,Los Angeles County,CA,NA,88.61646234676007,NA
91206,Los Angeles County,CA,NA,NA,11.345646437994723
91208,Los Angeles County,CA,NA,68.91418563922942,NA
91214,Los Angeles County,CA,NA,74.43082311733801,NA
91320,Ventura County,CA,NA,52.27670753064798,NA
91340,Los Angeles County,CA,NA,85.55166374781086,NA
91343,Los Angeles County,CA,NA,47.46059544658494,36.54353562005277
91351,Los Angeles County,CA,NA,NA,82.45382585751979
91361,Ventura County,CA,NA,60.507880910683006,NA
91364,Los Angeles County,CA,NA,68.73905429071804,NA
91504,Los Angeles County,CA,94.63276836158192,NA,70.84432717678101
91505,Los Angeles County,CA,NA,NA,90.10554089709763
91506,Los Angeles County,CA,NA,NA,78.49604221635884
91605,Los Angeles County,CA,NA,77.32049036777583,NA
91606,Los Angeles County,CA,NA,53.239929947460595,40.50131926121372
91701,San Bernardino County,CA,NA,62.434325744308225,NA
91745,Los Angeles County,CA,NA,44.74605954465849,NA
91763,San Bernardino County,CA,NA,NA,58.31134564643799
91767,Los Angeles County,CA,NA,NA,47.75725593667546
91768,Los Angeles County,CA,NA,88.17863397548162,NA
91784,San Bernardino County,CA,NA,47.02276707530648,NA
91786,San Bernardino County,CA,NA,32.57443082311734,NA
91789,Los Angeles County,CA,NA,NA,50.65963060686016
91902,San Diego County,CA,NA,83.62521891418564,NA
92029,San Diego County,CA,NA,NA,64.64379947229551
92064,San Diego County,CA,NA,NA,30.07915567282322
92105,San Diego County,CA,23.163841807909606,NA,NA
92127,San Diego County,CA,NA,NA,57.38786279683378
92128,San Diego County,CA,NA,47.72329246935201,NA
92139,San Diego County,CA,71.1864406779661,NA,NA
92211,Riverside County,CA,NA,NA,3.825857519788918
92234,Riverside County,CA,NA,52.364273204903675,NA
92243,Imperial County,CA,NA,NA,18.997361477572557
92262,Riverside County,CA,27.11864406779661,89.4045534150613,NA
92264,Riverside County,CA,48.58757062146893,9.632224168126093,NA
92270,Riverside County,CA,83.05084745762711,NA,NA
92311,San Bernardino County,CA,NA,81.34851138353766,NA
92335,San Bernardino County,CA,15.254237288135593,NA,NA
92337,San Bernardino County,CA,NA,NA,88.78627968337732
92345,San Bernardino County,CA,15.819209039548024,NA,NA
92346,San Bernardino County,CA,NA,NA,56.596306068601585
92544,Riverside County,CA,NA,NA,56.86015831134564
92562,Riverside County,CA,NA,32.399299474605954,NA
92584,Riverside County,CA,47.175141242937855,NA,NA
92586,Riverside County,CA,NA,NA,23.218997361477573
92591,Riverside County,CA,NA,NA,64.24802110817942
92595,Riverside County,CA,NA,NA,88.91820580474933
92606,Orange County,CA,NA,NA,89.84168865435356
92627,Orange County,CA,NA,NA,16.886543535620053
92637,Orange County,CA,NA,NA,3.034300791556728
92646,Orange County,CA,NA,36.25218914185639,8.179419525065963
92651,Orange County,CA,NA,NA,32.849604221635886
92656,Orange County,CA,NA,47.8984238178634,NA
92660,Orange County,CA,NA,NA,13.588390501319262
92692,Orange County,CA,NA,NA,10.686015831134563
92804,Orange County,CA,20.62146892655367,NA,NA
92832,Orange County,CA,NA,NA,68.86543535620054
92840,Orange County,CA,NA,36.25218914185639,23.7467018469657
92867,Orange County,CA,NA,53.327495621716295,NA
92869,Orange County,CA,NA,NA,44.854881266490764
92879,Riverside County,CA,NA,NA,58.839050131926115
92882,Riverside County,CA,31.63841807909605,NA,NA
93001,Ventura County,CA,84.18079096045197,NA,NA
93030,Ventura County,CA,NA,NA,28.62796833773087
93036,Ventura County,CA,NA,NA,78.3641160949868
93103,Santa Barbara County,CA,85.31073446327684,NA,NA
93223,Tulare County,CA,88.98305084745762,NA,NA
93277,Tulare County,CA,NA,NA,30.343007915567284
93422,San Luis Obispo County,CA,NA,45.62171628721541,66.75461741424802
93428,San Luis Obispo County,CA,NA,NA,86.54353562005277
93442,San Luis Obispo County,CA,NA,93.25744308231172,NA
93446,San Luis Obispo County,CA,NA,42.20665499124343,NA
93458,Santa Barbara County,CA,NA,28.984238178633976,NA
93514,Inyo County,CA,NA,89.75481611208407,NA
93550,Los Angeles County,CA,NA,NA,80.34300791556728
93555,Kern County,CA,28.53107344632768,NA,NA
93561,Kern County,CA,NA,NA,59.49868073878628
93612,Fresno County,CA,NA,NA,38.91820580474934
93906,Monterey County,CA,NA,73.20490367775831,NA
93950,Monterey County,CA,87.57062146892656,NA,NA
94010,San Mateo County,CA,NA,66.46234676007006,39.31398416886543
94014,San Mateo County,CA,NA,26.26970227670753,NA
94015,San Mateo County,CA,NA,8.93169877408056,NA
94025,San Mateo County,CA,NA,68.38879159369527,NA
94030,San Mateo County,CA,NA,NA,20.976253298153033
94070,San Mateo County,CA,NA,63.57267950963222,NA
94087,Santa Clara County,CA,NA,49.47460595446585,NA
94102,San Francisco County,CA,11.581920903954803,NA,NA
94107,San Francisco County,CA,46.89265536723164,62.6970227670753,NA
94110,San Francisco County,CA,NA,NA,24.142480211081793
94112,San Francisco County,CA,28.24858757062147,65.9369527145359,NA
94122,San Francisco County,CA,NA,NA,5.804749340369393
94123,San Francisco County,CA,NA,NA,55.27704485488126
94124,San Francisco County,CA,NA,18.82661996497373,46.833773087071236
94127,San Francisco County,CA,NA,67.0753064798599,NA
94133,San Francisco County,CA,NA,NA,62.13720316622692
94134,San Francisco County,CA,NA,77.40805604203153,NA
94507,Contra Costa County,CA,NA,68.82661996497373,NA
94520,Contra Costa County,CA,66.94915254237289,NA,NA
94530,Contra Costa County,CA,NA,NA,41.029023746701846
94536,Alameda County,CA,NA,20.052539404553414,NA
94558,Napa County,CA,33.33333333333333,NA,NA
94559,Napa County,CA,NA,NA,76.38522427440633
94560,Alameda County,CA,NA,46.67250437828371,NA
94577,Alameda County,CA,NA,NA,34.168865435356196
94587,Alameda County,CA,38.4180790960452,NA,NA
94619,Alameda County,CA,NA,NA,73.87862796833772
94621,Alameda County,CA,NA,62.784588441331,NA
94704,Alameda County,CA,NA,88.79159369527146,NA
94920,Marin County,CA,NA,82.74956217162872,44.06332453825858
95032,Santa Clara County,CA,NA,NA,46.306068601583114
95035,Santa Clara County,CA,50.56497175141242,NA,NA
95065,Santa Cruz County,CA,NA,NA,96.17414248021107
95076,Santa Cruz County,CA,NA,16.112084063047284,NA
95124,Santa Clara County,CA,NA,36.690017513134855,NA
95127,Santa Clara County,CA,NA,44.483362521891415,NA
95220,San Joaquin County,CA,94.35028248587571,NA,NA
95223,Calaveras County,CA,NA,99.56217162872154,NA
95355,Stanislaus County,CA,NA,7.705779334500876,NA
95357,Stanislaus County,CA,NA,75.74430823117339,NA
95363,Stanislaus County,CA,NA,NA,91.16094986807389
95370,Tuolumne County,CA,NA,21.978984238178633,6.200527704485488
95376,San Joaquin County,CA,NA,33.97548161120841,NA
95380,Stanislaus County,CA,NA,18.126094570928196,NA
95425,Sonoma County,CA,NA,84.0630472854641,NA
95437,Mendocino County,CA,NA,NA,64.5118733509235
95482,Mendocino County,CA,NA,23.817863397548162,83.37730870712402
95490,Mendocino County,CA,NA,80.38528896672504,NA
95503,Humboldt County,CA,NA,46.14711033274956,NA
95531,Del Norte County,CA,NA,NA,33.64116094986807
95640,Amador County,CA,NA,91.5061295971979,NA
95648,Placer County,CA,NA,NA,9.102902374670185
95816,Sacramento County,CA,54.51977401129944,NA,NA
95825,Sacramento County,CA,NA,NA,36.675461741424805
95959,Nevada County,CA,93.22033898305084,NA,NA
95973,Butte County,CA,27.966101694915253,NA,NA
96001,Shasta County,CA,NA,47.110332749562176,NA
96097,Siskiyou County,CA,NA,56.3922942206655,NA
96137,Lassen County,CA,NA,90.10507880910683,NA
96161,Nevada County,CA,NA,71.2784588441331,NA
80021,Jefferson County,CO,NA,54.903677758318736,NA
80112,Arapahoe County,CO,NA,NA,81.79419525065963
80215,Jefferson County,CO,NA,78.54640980735552,NA
80526,Larimer County,CO,NA,65.67425569176882,NA
80701,Morgan County,CO,NA,NA,48.54881266490765
81050,Otero County,CO,NA,83.0122591943958,NA
81212,Fremont County,CO,NA,NA,35.09234828496042
81507,Mesa County,CO,NA,NA,55.93667546174142
81621,Eagle County,CO,NA,94.48336252189142,NA
81635,Garfield County,CO,92.09039548022598,NA,NA
06026,Hartford County,CT,NA,88.09106830122592,NA
06029,Tolland County,CT,NA,61.99649737302977,NA
06033,Hartford County,CT,NA,52.97723292469352,NA
06074,Hartford County,CT,NA,NA,27.176781002638524
06082,Hartford County,CT,NA,NA,14.379947229551451
06105,Hartford County,CT,NA,33.62521891418564,NA
06117,Hartford County,CT,NA,86.1646234676007,NA
06226,Windham County,CT,NA,NA,87.46701846965699
06405,New Haven County,CT,NA,86.77758318739053,NA
06450,New Haven County,CT,NA,10.945709281961472,25.725593667546175
06513,New Haven County,CT,NA,NA,20.316622691292878
06515,New Haven County,CT,NA,NA,37.071240105540895
06516,New Haven County,CT,NA,2.8896672504378285,NA
06525,New Haven County,CT,NA,NA,67.54617414248021
06605,Fairfield County,CT,NA,59.89492119089317,NA
06705,New Haven County,CT,NA,28.283712784588445,NA
06786,Litchfield County,CT,NA,79.07180385288967,NA
06810,Fairfield County,CT,NA,NA,26.649076517150394
06811,Fairfield County,CT,NA,26.09457092819615,NA
06825,Fairfield County,CT,NA,82.22416812609457,NA
06870,Fairfield County,CT,NA,92.90718038528897,NA
