ZipCode,county,state,Adult
36582,Mobile County,AL,56.9060773480663
85027,Maricopa County,AZ,49.171270718232044
85202,Maricopa County,AZ,29.2817679558011
85204,Maricopa County,AZ,22.099447513812155
85716,Pima County,AZ,27.071823204419886
85925,Apache County,AZ,98.34254143646409
86004,Coconino County,AZ,10.497237569060774
71854,Miller County,AR,47.51381215469613
90016,Los Angeles County,CA,52.48618784530387
90048,Los Angeles County,CA,82.87292817679558
90063,Los Angeles County,CA,60.773480662983424
90266,Los Angeles County,CA,71.27071823204419
90404,Los Angeles County,CA,44.751381215469614
92249,Imperial County,CA,92.81767955801105
92336,San Bernardino County,CA,16.022099447513813
92694,Orange County,CA,65.74585635359117
93291,Tulare County,CA,30.386740331491712
93535,Los Angeles County,CA,14.917127071823206
93637,Madera County,CA,41.43646408839779
93662,Fresno County,CA,65.19337016574586
94541,Alameda County,CA,32.59668508287293
94605,Alameda County,CA,33.14917127071823
95128,Santa Clara County,CA,75.69060773480662
95380,Stanislaus County,CA,39.226519337016576
95825,Sacramento County,CA,90.60773480662984
95901,Yuba County,CA,32.04419889502763
95926,Butte County,CA,43.0939226519337
80229,Adams County,CO,22.65193370165746
80634,Weld County,CO,3.867403314917127
81425,Montrose County,CO,94.47513812154696
06112,Hartford County,CT,26.519337016574585
06511,New Haven County,CT,7.18232044198895
19702,New Castle County,DE,23.756906077348066
19962,Kent County,DE,80.66298342541437
32225,Duval County,FL,39.77900552486188
32771,Seminole County,FL,25.96685082872928
32907,Brevard County,FL,55.80110497237569
32955,Brevard County,FL,59.11602209944752
33023,Broward County,FL,28.176795580110497
33024,Broward County,FL,40.88397790055249
33162,Miami-Dade County,FL,67.40331491712708
33606,Hillsborough County,FL,95.02762430939227
33610,Hillsborough County,FL,71.8232044198895
33619,Hillsborough County,FL,44.19889502762431
33771,Pinellas County,FL,53.591160220994475
33809,Polk County,FL,58.011049723756905
34653,Pasco County,FL,40.331491712707184
34787,Orange County,FL,34.25414364640884
30096,Gwinnett County,GA,37.569060773480665
30223,Spalding County,GA,46.96132596685083
30421,Tattnall County,GA,100
60050,McHenry County,IL,48.06629834254144
60514,DuPage County,IL,96.13259668508287
60950,Kankakee County,IL,79.55801104972376
61443,Henry County,IL,70.71823204419888
62025,Madison County,IL,74.58563535911603
46176,Shelby County,IN,24.30939226519337
46218,Marion County,IN,15.469613259668508
46222,Marion County,IN,28.7292817679558
46226,Marion County,IN,19.88950276243094
46319,Lake County,IN,38.12154696132597
46408,Lake County,IN,54.69613259668509
50009,Polk County,IA,93.92265193370166
50317,Polk County,IA,18.784530386740332
51501,Pottawattamie County,IA,5.524861878453039
66109,Wyandotte County,KS,85.6353591160221
66204,Johnson County,KS,79.00552486187846
40065,Shelby County,KY,78.45303867403315
40208,Jefferson County,KY,59.66850828729282
40245,Jefferson County,KY,56.9060773480663
40484,Lincoln County,KY,76.79558011049724
70053,Jefferson Parish,LA,66.85082872928176
70346,Ascension Parish,LA,55.24861878453039
70726,Livingston Parish,LA,2.209944751381215
71302,Rapides Parish,LA,34.806629834254146
04259,Kennebec County,ME,98.89502762430939
20782,Prince George's County,MD,86.1878453038674
21122,Anne Arundel County,MD,13.259668508287293
21234,Baltimore County,MD,25.41436464088398
01013,Hampden County,MA,4.972375690607735
01301,Franklin County,MA,18.23204419889503
01742,Middlesex County,MA,62.430939226519335
02301,Plymouth County,MA,0
02745,Bristol County,MA,2.7624309392265194
48126,Wayne County,MI,16.574585635359114
48837,Eaton County,MI,66.29834254143645
49021,Eaton County,MI,99.4475138121547
49203,Jackson County,MI,12.70718232044199
49423,Ottawa County,MI,19.337016574585636
49913,Houghton County,MI,86.74033149171271
55104,Ramsey County,MN,54.14364640883977
55106,Ramsey County,MN,11.049723756906078
55447,Hennepin County,MN,80.11049723756905
55802,St. Louis County,MN,81.76795580110497
56636,Itasca County,MN,81.21546961325967
64014,Jackson County,MO,29.83425414364641
65340,Saline County,MO,43.646408839779006
59803,Missoula County,MT,88.39779005524862
68116,Douglas County,NE,67.95580110497238
68510,Lancaster County,NE,83.97790055248619
03103,Hillsborough County,NH,8.83977900552486
07050,Essex County,NJ,17.67955801104972
08618,Mercer County,NJ,1.1049723756906076
88130,Roosevelt County,NM,74.03314917127072
10032,New York County,NY,46.408839779005525
10458,Bronx County,NY,0.5524861878453038
11208,Kings County,NY,1.6574585635359116
11219,Kings County,NY,51.93370165745856
11221,Kings County,NY,4.41988950276243
11370,Queens County,NY,56.353591160220994
11419,Queens County,NY,48.61878453038674
11433,Queens County,NY,35.91160220994475
13080,Onondaga County,NY,97.23756906077348
13215,Onondaga County,NY,60.22099447513812
14043,Erie County,NY,42.5414364640884
14075,Erie County,NY,13.812154696132598
27040,Forsyth County,NC,76.24309392265194
27258,Alamance County,NC,93.37016574585635
27330,Lee County,NC,30.939226519337016
28139,Rutherford County,NC,45.85635359116022
28340,Robeson County,NC,64.64088397790056
43140,Madison County,OH,45.30386740331492
43452,Ottawa County,OH,53.03867403314917
43614,Lucas County,OH,17.12707182320442
44139,Cuyahoga County,OH,49.72375690607735
44203,Summit County,OH,37.01657458563536
44270,Wayne County,OH,70.1657458563536
44312,Summit County,OH,21.54696132596685
44691,Wayne County,OH,12.154696132596685
44805,Ashland County,OH,20.994475138121548
45044,Butler County,OH,7.734806629834254
45701,Athens County,OH,68.50828729281768
45813,Paulding County,OH,87.84530386740332
74037,Tulsa County,OK,84.5303867403315
74137,Tulsa County,OK,82.32044198895028
74354,Ottawa County,OK,61.87845303867403
97467,Douglas County,OR,89.50276243093923
97844,Morrow County,OR,91.71270718232044
15601,Westmoreland County,PA,6.077348066298343
15714,Cambria County,PA,85.0828729281768
16601,Blair County,PA,14.3646408839779
17019,York County,PA,72.37569060773481
17728,Lycoming County,PA,88.95027624309392
19067,Bucks County,PA,27.624309392265197
19073,Delaware County,PA,61.32596685082873
19116,Philadelphia County,PA,69.06077348066299
19131,Philadelphia County,PA,9.392265193370166
19133,Philadelphia County,PA,23.204419889502763
02906,Providence County,RI,62.98342541436463
29334,Spartanburg County,SC,82.87292817679558
29349,Spartanburg County,SC,33.70165745856354
29625,Anderson County,SC,41.988950276243095
57719,Pennington County,SD,97.79005524861878
37217,Davidson County,TN,50.27624309392266
37221,Davidson County,TN,73.48066298342542
37343,Hamilton County,TN,31.491712707182316
37721,Knox County,TN,75.13812154696133
37826,McMinn County,TN,96.68508287292818
37890,Jefferson County,TN,77.90055248618785
75189,Rockwall County,TX,87.29281767955801
75228,Dallas County,TX,9.94475138121547
77093,Harris County,TX,51.38121546961326
77433,Harris County,TX,20.441988950276244
77612,Jasper County,TX,90.05524861878453
77901,Victoria County,TX,95.58011049723757
78550,Cameron County,TX,50.82872928176796
78701,Travis County,TX,91.16022099447514
79927,El Paso County,TX,64.08839779005525
84074,Tooele County,UT,6.629834254143646
84116,Salt Lake County,UT,69.61325966850829
20109,Prince William County,VA,72.92817679558011
22152,Fairfax County,VA,63.53591160220995
22701,Culpeper County,VA,35.35911602209944
23320,Chesapeake city,VA,38.67403314917127
23504,Norfolk city,VA,36.46408839779006
24179,Roanoke County,VA,58.5635359116022
20020,District of Columbia,DC,3.314917127071823
25404,Berkeley County,WV,77.34806629834254
53081,Sheboygan County,WI,24.861878453038674
53218,Milwaukee County,WI,11.602209944751381
53402,Racine County,WI,8.287292817679557
54801,Washburn County,WI,92.26519337016575
