ZipCode,county,state,Youth
35022,Jefferson County,AL,80.6970509383378
35150,Talladega County,AL,58.17694369973191
35160,Talladega County,AL,9.115281501340483
35214,Jefferson County,AL,71.84986595174263
35633,Lauderdale County,AL,56.03217158176944
35645,Lauderdale County,AL,89.27613941018767
35650,Lawrence County,AL,57.64075067024129
35652,Lauderdale County,AL,94.36997319034852
35805,Madison County,AL,77.21179624664879
35957,Marshall County,AL,63.806970509383376
36606,Mobile County,AL,65.14745308310992
36701,Dallas County,AL,27.34584450402145
99559,Bethel Census Area,AK,61.3941018766756
99709,Fairbanks North Star Borough,AK,67.29222520107238
85009,Maricopa County,AZ,9.919571045576408
85042,Maricopa County,AZ,32.43967828418231
85142,Maricopa County,AZ,10.187667560321715
85207,Maricopa County,AZ,35.388739946380696
85225,Maricopa County,AZ,39.67828418230563
85326,Maricopa County,AZ,8.847184986595174
85350,Yuma County,AZ,56.30026809651475
85530,Graham County,AZ,78.82037533512064
85743,Pima County,AZ,52.81501340482574
85757,Pima County,AZ,50.93833780160858
72023,Lonoke County,AR,40.75067024128686
90063,Los Angeles County,CA,54.42359249329759
90815,Los Angeles County,CA,75.87131367292224
91340,Los Angeles County,CA,64.343163538874
91915,San Diego County,CA,85.52278820375335
92064,San Diego County,CA,43.43163538873995
92399,San Bernardino County,CA,55.22788203753352
92507,Riverside County,CA,64.87935656836461
92602,Orange County,CA,71.58176943699732
92704,Orange County,CA,31.903485254691688
92801,Orange County,CA,24.932975871313673
92833,Orange County,CA,56.83646112600537
92883,Riverside County,CA,73.45844504021449
94134,San Francisco County,CA,45.57640750670242
94539,Alameda County,CA,91.68900804289544
94578,Alameda County,CA,64.343163538874
95340,Merced County,CA,46.38069705093834
95602,Placer County,CA,98.65951742627345
80011,Arapahoe County,CO,16.353887399463808
80012,Arapahoe County,CO,37.26541554959786
80110,Arapahoe County,CO,70.24128686327077
80204,Denver County,CO,35.388739946380696
80214,Jefferson County,CO,37.801608579088466
80223,Denver County,CO,61.3941018766756
80232,Jefferson County,CO,76.40750670241286
80915,El Paso County,CO,31.63538873994638
81501,Mesa County,CO,41.55495978552279
81520,Mesa County,CO,53.88739946380697
06002,Hartford County,CT,81.50134048257372
06114,Hartford County,CT,12.868632707774799
06226,Windham County,CT,27.34584450402145
06606,Fairfield County,CT,21.447721179624665
19962,Kent County,DE,69.16890080428955
32208,Duval County,FL,29.2225201072386
32217,Duval County,FL,25.737265415549597
32539,Okaloosa County,FL,58.4450402144772
32569,Okaloosa County,FL,96.24664879356568
32640,Putnam County,FL,88.47184986595174
32693,Gilchrist County,FL,72.38605898123325
32808,Orange County,FL,28.686327077747993
32822,Orange County,FL,11.26005361930295
32832,Orange County,FL,74.79892761394102
32907,Brevard County,FL,68.09651474530831
33010,Miami-Dade County,FL,45.84450402144772
33024,Broward County,FL,30.563002680965145
33026,Broward County,FL,90.0804289544236
33056,Miami-Dade County,FL,24.396782841823057
33064,Broward County,FL,32.171581769437
33133,Miami-Dade County,FL,83.91420911528151
33147,Miami-Dade County,FL,20.91152815013405
33160,Miami-Dade County,FL,78.01608579088472
33185,Miami-Dade County,FL,57.37265415549599
33617,Hillsborough County,FL,16.0857908847185
33710,Pinellas County,FL,70.50938337801608
33781,Pinellas County,FL,59.24932975871313
33825,Highlands County,FL,72.11796246648794
33860,Polk County,FL,65.95174262734585
33903,Lee County,FL,66.75603217158177
33990,Lee County,FL,67.828418230563
34203,Manatee County,FL,47.72117962466488
34736,Lake County,FL,84.98659517426273
34741,Osceola County,FL,34.584450402144775
30016,Newton County,GA,17.426273458445042
30044,Gwinnett County,GA,20.10723860589812
30097,Fulton County,GA,48.525469168900806
30110,Haralson County,GA,59.24932975871313
30115,Cherokee County,GA,98.12332439678283
30750,Walker County,GA,95.71045576407506
30906,Richmond County,GA,5.898123324396782
96706,Honolulu County,HI,14.209115281501342
96771,Hawaii County,HI,93.8337801608579
96786,Honolulu County,HI,44.23592493297587
60543,Kendall County,IL,27.07774798927614
60615,Cook County,IL,44.77211796246649
60616,Cook County,IL,31.099195710455763
60617,Cook County,IL,16.621983914209114
60622,Cook County,IL,40.21447721179624
60645,Cook County,IL,21.715817694369974
62650,Morgan County,IL,65.14745308310992
62832,Perry County,IL,97.05093833780161
62859,Hamilton County,IL,72.38605898123325
46064,Madison County,IN,46.64879356568365
46205,Marion County,IN,82.84182305630027
46227,Marion County,IN,20.37533512064343
46320,Lake County,IN,53.08310991957105
46342,Lake County,IN,15.549597855227882
46544,St. Joseph County,IN,57.9088471849866
46947,Cass County,IN,0.5361930294906166
47408,Monroe County,IN,92.22520107238606
47546,Dubois County,IN,46.91689008042895
47591,Knox County,IN,36.72922252010724
47906,Tippecanoe County,IN,62.19839142091153
67114,Harvey County,KS,51.742627345844504
67526,Barton County,KS,100
40211,Jefferson County,KY,30.29490616621984
40218,Jefferson County,KY,24.932975871313673
40324,Scott County,KY,38.069705093833775
40503,Fayette County,KY,59.78552278820375
41015,Kenton County,KY,84.45040214477211
41056,Mason County,KY,65.68364611260054
