ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35045,Chilton County,AL,NA,NA,68.86304909560724,NA
35080,Shelby County,AL,NA,NA,71.44702842377261,NA
35111,Tuscaloosa County,AL,NA,47.833935018050546,NA,NA
35216,Jefferson County,AL,NA,56.85920577617328,NA,NA
35217,Jefferson County,AL,61.24401913875598,NA,NA,NA
35404,Tuscaloosa County,AL,NA,67.50902527075813,NA,NA
35405,Tuscaloosa County,AL,NA,11.913357400722022,NA,NA
35503,Walker County,AL,NA,NA,79.32816537467701,NA
35601,Morgan County,AL,NA,NA,45.8656330749354,NA
35633,Lauderdale County,AL,NA,NA,90.05167958656331,NA
35758,Madison County,AL,NA,NA,35.5297157622739,NA
35901,Etowah County,AL,NA,NA,NA,65.4368932038835
36040,Lowndes County,AL,NA,98.73646209386283,NA,NA
36079,Pike County,AL,NA,NA,91.60206718346254,NA
36092,Elmore County,AL,NA,46.57039711191336,NA,NA
36108,Montgomery County,AL,NA,43.501805054151625,NA,NA
36111,Montgomery County,AL,NA,NA,NA,78.64077669902912
36207,Calhoun County,AL,NA,60.46931407942239,NA,NA
36350,Dale County,AL,NA,88.8086642599278,NA,NA
36502,Escambia County,AL,NA,NA,NA,64.46601941747574
36732,Marengo County,AL,NA,NA,68.9922480620155,NA
36804,Lee County,AL,NA,NA,69.50904392764858,NA
99515,Anchorage Municipality,AK,NA,70.03610108303249,NA,NA
99517,Anchorage Municipality,AK,NA,NA,74.93540051679587,NA
99611,Kenai Peninsula Borough,AK,NA,NA,NA,73.39805825242719
99709,Fairbanks North Star Borough,AK,NA,66.78700361010831,NA,NA
85014,Maricopa County,AZ,NA,45.30685920577617,NA,NA
85017,Maricopa County,AZ,NA,35.74007220216607,NA,NA
85018,Maricopa County,AZ,NA,80.68592057761734,NA,NA
85032,Maricopa County,AZ,NA,66.4259927797834,25.452196382428944,NA
85041,Maricopa County,AZ,NA,NA,59.30232558139535,NA
85051,Maricopa County,AZ,NA,NA,34.23772609819121,NA
85206,Maricopa County,AZ,NA,NA,29.71576227390181,NA
85207,Maricopa County,AZ,34.44976076555024,NA,NA,NA
85208,Maricopa County,AZ,NA,44.584837545126355,NA,NA
85209,Maricopa County,AZ,NA,NA,NA,21.553398058252426
85215,Maricopa County,AZ,NA,NA,94.96124031007753,NA
85225,Maricopa County,AZ,NA,16.787003610108304,NA,NA
85233,Maricopa County,AZ,NA,41.69675090252707,NA,NA
85249,Maricopa County,AZ,68.42105263157895,NA,NA,NA
85255,Maricopa County,AZ,NA,NA,NA,29.708737864077673
85257,Maricopa County,AZ,NA,NA,NA,47.18446601941748
85259,Maricopa County,AZ,NA,81.76895306859205,NA,NA
85296,Maricopa County,AZ,36.84210526315789,NA,NA,NA
85301,Maricopa County,AZ,NA,NA,NA,32.81553398058252
85332,Yavapai County,AZ,NA,NA,95.34883720930233,NA
85350,Yuma County,AZ,NA,NA,NA,74.1747572815534
85367,Yuma County,AZ,NA,NA,NA,13.009708737864079
85373,Maricopa County,AZ,NA,NA,NA,55.92233009708738
85375,Maricopa County,AZ,NA,NA,22.60981912144703,NA
85377,Maricopa County,AZ,NA,99.45848375451264,NA,NA
85387,Maricopa County,AZ,NA,79.6028880866426,NA,NA
85395,Maricopa County,AZ,NA,NA,NA,88.15533980582524
85396,Maricopa County,AZ,NA,84.29602888086643,NA,NA
85635,Cochise County,AZ,NA,NA,NA,37.0873786407767
85704,Pima County,AZ,NA,NA,27.51937984496124,NA
85710,Pima County,AZ,NA,NA,NA,8.54368932038835
85713,Pima County,AZ,NA,50.722021660649816,NA,NA
85716,Pima County,AZ,NA,50.90252707581227,NA,NA
85719,Pima County,AZ,NA,68.7725631768953,NA,NA
85741,Pima County,AZ,46.889952153110045,NA,NA,NA
85742,Pima County,AZ,NA,52.888086642599276,NA,NA
85743,Pima County,AZ,NA,NA,NA,82.52427184466019
85748,Pima County,AZ,NA,NA,NA,63.30097087378641
85750,Pima County,AZ,NA,NA,NA,73.59223300970874
85757,Pima County,AZ,NA,63.35740072202166,NA,NA
86001,Coconino County,AZ,NA,NA,43.281653746770026,NA
86025,Navajo County,AZ,NA,NA,90.95607235142118,NA
86323,Yavapai County,AZ,NA,NA,82.29974160206717,NA
86326,Yavapai County,AZ,NA,NA,NA,23.300970873786408
86442,Mohave County,AZ,NA,NA,12.015503875968992,NA
71635,Ashley County,AR,NA,NA,56.84754521963824,NA
71667,Lincoln County,AR,NA,NA,NA,68.93203883495146
71854,Miller County,AR,NA,NA,61.240310077519375,NA
71913,Garland County,AR,NA,NA,NA,14.951456310679612
71953,Polk County,AR,NA,NA,50.51679586563308,NA
72015,Saline County,AR,NA,NA,32.299741602067186,NA
72173,Faulkner County,AR,NA,85.92057761732852,NA,NA
72223,Pulaski County,AR,NA,99.27797833935018,NA,77.28155339805825
72543,Cleburne County,AR,NA,NA,82.94573643410853,NA
72904,Sebastian County,AR,NA,NA,63.95348837209303,NA
90011,Los Angeles County,CA,15.789473684210526,NA,NA,NA
90015,Los Angeles County,CA,NA,NA,75.71059431524549,NA
90020,Los Angeles County,CA,NA,NA,NA,97.66990291262137
90022,Los Angeles County,CA,NA,NA,74.67700258397933,NA
90023,Los Angeles County,CA,NA,NA,55.42635658914728,NA
90024,Los Angeles County,CA,NA,NA,NA,8.155339805825243
90026,Los Angeles County,CA,NA,NA,35.78811369509044,NA
90046,Los Angeles County,CA,NA,NA,23.385012919896642,56.50485436893204
90049,Los Angeles County,CA,NA,NA,42.89405684754522,NA
90066,Los Angeles County,CA,NA,44.94584837545126,NA,NA
90210,Los Angeles County,CA,NA,NA,75.5813953488372,21.74757281553398
90230,Los Angeles County,CA,NA,NA,46.64082687338501,NA
90247,Los Angeles County,CA,NA,NA,47.54521963824289,NA
90250,Los Angeles County,CA,NA,NA,59.43152454780362,NA
90254,Los Angeles County,CA,NA,NA,NA,85.63106796116506
90255,Los Angeles County,CA,NA,NA,61.88630490956072,NA
90262,Los Angeles County,CA,NA,NA,92.63565891472868,NA
90265,Los Angeles County,CA,NA,NA,NA,75.72815533980582
90266,Los Angeles County,CA,NA,NA,NA,30.679611650485437
90277,Los Angeles County,CA,NA,56.317689530685925,NA,NA
90292,Los Angeles County,CA,NA,NA,NA,47.57281553398058
90304,Los Angeles County,CA,NA,95.48736462093864,NA,NA
90603,Los Angeles County,CA,NA,NA,78.55297157622739,NA
90604,Los Angeles County,CA,NA,NA,NA,35.53398058252427
90631,Orange County,CA,NA,NA,17.700258397932817,NA
90640,Los Angeles County,CA,NA,NA,28.036175710594314,NA
90650,Los Angeles County,CA,NA,NA,46.253229974160206,61.359223300970875
90731,Los Angeles County,CA,24.880382775119617,NA,25.710594315245476,NA
90732,Los Angeles County,CA,NA,91.15523465703971,NA,NA
90745,Los Angeles County,CA,NA,NA,29.198966408268735,NA
90755,Los Angeles County,CA,NA,95.30685920577618,NA,NA
91016,Los Angeles County,CA,NA,NA,98.06201550387597,NA
91205,Los Angeles County,CA,NA,NA,47.674418604651166,NA
91214,Los Angeles County,CA,NA,80.86642599277978,NA,NA
