ZipCode,county,state,Youth
35950,Marshall County,AL,57.06214689265536
85009,Maricopa County,AZ,4.519774011299435
85029,Maricopa County,AZ,7.344632768361582
85085,Maricopa County,AZ,62.14689265536724
85122,Pinal County,AZ,19.2090395480226
85201,Maricopa County,AZ,9.6045197740113
85210,Maricopa County,AZ,80.7909604519774
85254,Maricopa County,AZ,84.18079096045197
85335,Maricopa County,AZ,70.05649717514125
85743,Pima County,AZ,40.67796610169492
86001,Coconino County,AZ,2.2598870056497176
91350,Los Angeles County,CA,98.30508474576271
92025,San Diego County,CA,87.00564971751412
92078,San Diego County,CA,80.22598870056498
92253,Riverside County,CA,91.52542372881356
92509,Riverside County,CA,38.4180790960452
92867,Orange County,CA,59.32203389830508
93012,Ventura County,CA,90.3954802259887
93210,Fresno County,CA,60.451977401129945
93257,Tulare County,CA,10.16949152542373
93314,Kern County,CA,77.96610169491525
93405,San Luis Obispo County,CA,97.17514124293785
94520,Contra Costa County,CA,69.49152542372882
95356,Stanislaus County,CA,33.89830508474576
95945,Nevada County,CA,47.45762711864407
80205,Denver County,CO,38.983050847457626
06450,New Haven County,CT,14.124293785310735
06513,New Haven County,CT,11.299435028248588
19709,New Castle County,DE,12.994350282485875
32025,Columbia County,FL,22.598870056497177
32609,Alachua County,FL,44.06779661016949
32708,Seminole County,FL,90.96045197740112
34480,Marion County,FL,44.632768361581924
30144,Cobb County,GA,34.463276836158194
30294,DeKalb County,GA,78.53107344632768
30577,Stephens County,GA,56.49717514124294
30622,Oconee County,GA,58.75706214689266
30809,Columbia County,GA,82.485875706214685
31082,Washington County,GA,46.89265536723164
96786,Honolulu County,HI,31.63841807909605
83402,Bonneville County,ID,52.54237288135594
83686,Canyon County,ID,29.943502824858758
60056,Cook County,IL,75.14124293785311
60103,DuPage County,IL,55.932203389830505
60193,Cook County,IL,20.903954802259886
62206,St. Clair County,IL,50.847457627118644
46818,Allen County,IN,50.282485875706215
47401,Monroe County,IN,89.26553672316385
47712,Vanderburgh County,IN,61.016949152542374
47802,Vigo County,IN,18.07909604519774
47978,Jasper County,IN,51.41242937853108
50501,Webster County,IA,94.35028248587571
66067,Franklin County,KS,81.92090395480226
66547,Pottawatomie County,KS,95.48022598870057
40211,Jefferson County,KY,66.10169491525424
41008,Carroll County,KY,79.09604519774011
42027,Graves County,KY,98.87005649717514
70072,Jefferson Parish,LA,0
70506,Lafayette Parish,LA,54.80225988700565
71291,Ouachita Parish,LA,3.954802259887006
21040,Harford County,MD,37.28813559322034
21060,Anne Arundel County,MD,67.79661016949152
21225,Baltimore city,MD,93.78531073446328
01832,Essex County,MA,5.649717514124294
02445,Norfolk County,MA,72.31638418079096
02472,Middlesex County,MA,79.66101694915254
02723,Bristol County,MA,94.91525423728814
02790,Bristol County,MA,41.24293785310734
48060,St. Clair County,MI,5.084745762711865
48134,Wayne County,MI,49.717514124293785
48152,Wayne County,MI,32.20338983050847
48193,Wayne County,MI,86.4406779661017
48198,Washtenaw County,MI,28.24858757062147
48312,Macomb County,MI,11.864406779661017
48324,Oakland County,MI,64.40677966101694
48382,Oakland County,MI,25.423728813559322
48453,Sanilac County,MI,96.045197740113
48837,Eaton County,MI,71.1864406779661
48843,Livingston County,MI,1.1299435028248588
49348,Allegan County,MI,41.80790960451977
49444,Muskegon County,MI,55.367231638418076
49735,Otsego County,MI,42.93785310734463
55303,Anoka County,MN,27.683615819209038
55371,Mille Lacs County,MN,64.40677966101694
55372,Scott County,MN,63.84180790960452
55446,Hennepin County,MN,31.07344632768362
56540,Polk County,MN,92.65536723163842
38637,DeSoto County,MS,53.672316384180796
38671,DeSoto County,MS,18.64406779661017
63301,St. Charles County,MO,9.03954802259887
63303,St. Charles County,MO,73.44632768361582
64133,Jackson County,MO,7.909604519774012
64485,Andrew County,MO,42.3728813559322
65026,Miller County,MO,46.32768361581921
65203,Boone County,MO,6.214689265536723
65714,Christian County,MO,65.5367231638418
65738,Greene County,MO,36.72316384180791
68776,Dakota County,NE,67.2316384180791
89506,Washoe County,NV,24.293785310734464
03051,Hillsborough County,NH,23.728813559322035
07869,Morris County,NJ,88.70056497175142
08701,Ocean County,NJ,21.468926553672315
