fips,county,state,Over18
01001,Autauga County,AL,21.56208277703605
01003,Baldwin County,AL,47.396528704939925
01005,Barbour County,AL,57.409879839786385
01007,Bibb County,AL,NA
01009,Blount County,AL,79.30574098798398
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,36.9826435246996
01017,Chambers County,AL,68.35781041388518
01019,Cherokee County,AL,NA
01021,Chilton County,AL,87.18291054739653
01025,Clarke County,AL,63.0173564753004
01027,Clay County,AL,NA
01029,Cleburne County,AL,97.06275033377837
01031,Coffee County,AL,30.240320427236316
01033,Colbert County,AL,40.387182910547395
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,17.556742323097463
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,34.979973297730304
01045,Dale County,AL,29.03871829105474
01047,Dallas County,AL,18.29105473965287
01049,DeKalb County,AL,75.23364485981308
01051,Elmore County,AL,5.874499332443257
01053,Escambia County,AL,NA
01055,Etowah County,AL,59.012016021361816
01057,Fayette County,AL,50.33377837116155
01059,Franklin County,AL,81.30841121495327
01061,Geneva County,AL,87.98397863818424
01063,Greene County,AL,94.79305740987985
01065,Hale County,AL,56.00801068090788
01067,Henry County,AL,NA
01069,Houston County,AL,14.686248331108146
01071,Jackson County,AL,33.11081441922563
01073,Jefferson County,AL,39.31909212283044
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,29.639519359145527
01079,Lawrence County,AL,34.31241655540721
01081,Lee County,AL,56.87583444592791
01083,Limestone County,AL,44.92656875834446
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,72.76368491321762
01091,Marengo County,AL,NA
01093,Marion County,AL,29.973297730307074
01095,Marshall County,AL,25.96795727636849
01097,Mobile County,AL,58.81174899866488
01099,Monroe County,AL,96.26168224299066
01101,Montgomery County,AL,65.68758344459279
01103,Morgan County,AL,27.636849132176234
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,93.8584779706275
01113,Russell County,AL,NA
01115,St. Clair County,AL,82.30974632843791
01117,Shelby County,AL,58.744993324432585
01119,Sumter County,AL,NA
01121,Talladega County,AL,19.759679572763687
01123,Tallapoosa County,AL,62.483311081441926
01125,Tuscaloosa County,AL,49.599465954606146
01127,Walker County,AL,32.242990654205606
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,61.61548731642189
02020,Anchorage Municipality,AK,51.20160213618158
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,NA
02130,Ketchikan Gateway Borough,AK,60.280373831775705
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,19.225634178905207
04003,Cochise County,AZ,25.634178905206944
04005,Coconino County,AZ,19.292389853137518
04007,Gila County,AZ,51.4018691588785
04009,Graham County,AZ,NA
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,46.128170894526036
04015,Mohave County,AZ,7.209612817089453
04017,Navajo County,AZ,30.707610146862486
04019,Pima County,AZ,16.755674232309747
04021,Pinal County,AZ,36.315086782376504
04023,Santa Cruz County,AZ,91.98931909212284
04025,Yavapai County,AZ,43.257676902536716
04027,Yuma County,AZ,9.679572763684913
05001,Arkansas County,AR,NA
05003,Ashley County,AR,61.88251001335113
05005,Baxter County,AR,NA
05007,Benton County,AR,76.63551401869158
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,79.77303070761015
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,NA
05031,Craighead County,AR,29.23898531375167
05033,Crawford County,AR,NA
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,6.208277703604806
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,77.03604806408545
05053,Grant County,AR,NA
05055,Greene County,AR,26.90253671562083
