ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35020,Jefferson County,AL,NA,NA,NA,33.33333333333333
35022,Jefferson County,AL,NA,NA,14.186851211072666,NA
35023,Jefferson County,AL,59.71563981042654,NA,NA,NA
35040,Shelby County,AL,NA,NA,NA,80.85106382978722
35044,Talladega County,AL,NA,NA,78.66205305651673,NA
35126,Jefferson County,AL,NA,NA,NA,69.32624113475178
35150,Talladega County,AL,NA,NA,58.59284890426759,NA
35160,Talladega County,AL,NA,17.419354838709676,NA,NA
35180,Jefferson County,AL,NA,NA,NA,82.89007092198581
35206,Jefferson County,AL,NA,NA,44.40599769319493,NA
35208,Jefferson County,AL,NA,41.4516129032258,NA,NA
35209,Jefferson County,AL,NA,NA,NA,66.22340425531915
35235,Jefferson County,AL,NA,NA,81.08419838523645,NA
35501,Walker County,AL,NA,71.12903225806451,NA,NA
35546,Fayette County,AL,NA,NA,96.42445213379469,NA
35570,Marion County,AL,NA,NA,NA,49.37943262411347
35581,Franklin County,AL,NA,NA,94.69434832756633,NA
35634,Lauderdale County,AL,NA,NA,NA,99.20212765957447
35754,Morgan County,AL,NA,92.0967741935484,NA,NA
35768,Jackson County,AL,NA,NA,NA,66.13475177304964
35801,Madison County,AL,NA,73.38709677419355,NA,NA
35805,Madison County,AL,NA,48.54838709677419,NA,NA
35810,Madison County,AL,NA,NA,17.185697808535178,NA
35811,Madison County,AL,NA,NA,38.292964244521336,NA
35905,Etowah County,AL,39.81042654028436,NA,NA,NA
35907,Etowah County,AL,NA,NA,83.62168396770473,NA
35954,Etowah County,AL,NA,63.87096774193548,NA,NA
36109,Montgomery County,AL,NA,NA,62.745098039215684,98.04964539007092
36301,Houston County,AL,NA,20.32258064516129,NA,NA
36305,Houston County,AL,NA,NA,NA,88.65248226950354
36323,Coffee County,AL,NA,77.25806451612904,NA,NA
36340,Geneva County,AL,NA,NA,87.77393310265282,NA
36527,Baldwin County,AL,NA,NA,83.39100346020761,NA
36545,Clarke County,AL,NA,91.45161290322581,NA,NA
36582,Mobile County,AL,NA,52.741935483870975,NA,NA
36608,Mobile County,AL,NA,NA,NA,56.02836879432624
36617,Mobile County,AL,NA,NA,NA,65.24822695035462
36784,Clarke County,AL,NA,NA,NA,95.47872340425532
36801,Lee County,AL,NA,NA,63.206459054209915,NA
36830,Lee County,AL,NA,96.7741935483871,NA,NA
36853,Tallapoosa County,AL,NA,85.64516129032258,NA,NA
36867,Russell County,AL,NA,NA,74.8558246828143,NA
36875,Russell County,AL,NA,NA,89.5040369088812,NA
99501,Anchorage Municipality,AK,20.85308056872038,NA,NA,NA
99502,Anchorage Municipality,AK,NA,57.096774193548384,NA,68.88297872340425
99503,Anchorage Municipality,AK,NA,NA,92.73356401384083,NA
99504,Anchorage Municipality,AK,NA,NA,37.831603229527104,NA
99515,Anchorage Municipality,AK,NA,NA,76.58592848904267,NA
99669,Kenai Peninsula Borough,AK,NA,NA,55.2479815455594,NA
85006,Maricopa County,AZ,NA,NA,76.12456747404845,NA
85007,Maricopa County,AZ,NA,NA,NA,77.6595744680851
85009,Maricopa County,AZ,NA,NA,61.245674740484425,NA
85015,Maricopa County,AZ,NA,20.161290322580644,48.212226066897344,NA
85018,Maricopa County,AZ,NA,NA,NA,49.46808510638298
85020,Maricopa County,AZ,NA,40.96774193548387,NA,NA
85021,Maricopa County,AZ,NA,12.258064516129032,NA,NA
85027,Maricopa County,AZ,23.696682464454977,NA,NA,NA
85032,Maricopa County,AZ,NA,NA,22.029988465974625,NA
85033,Maricopa County,AZ,NA,17.258064516129032,NA,67.10992907801419
85043,Maricopa County,AZ,NA,NA,NA,91.48936170212765
85053,Maricopa County,AZ,NA,NA,59.515570934256054,NA
85083,Maricopa County,AZ,NA,NA,NA,97.25177304964538
85119,Pinal County,AZ,NA,NA,40.484429065743946,NA
85122,Pinal County,AZ,NA,NA,NA,24.29078014184397
85128,Pinal County,AZ,NA,43.38709677419355,NA,97.07446808510637
85132,Pinal County,AZ,NA,NA,89.73471741637832,NA
85140,Pinal County,AZ,NA,NA,40.36908881199538,NA
85142,Maricopa County,AZ,NA,NA,22.837370242214533,NA
85225,Maricopa County,AZ,NA,12.419354838709678,NA,NA
85226,Maricopa County,AZ,NA,60.16129032258064,NA,NA
85248,Maricopa County,AZ,NA,NA,NA,4.964539007092199
85255,Maricopa County,AZ,56.39810426540285,55.00000000000001,NA,NA
85260,Maricopa County,AZ,49.763033175355446,NA,NA,NA
85268,Maricopa County,AZ,NA,NA,NA,90.42553191489363
85296,Maricopa County,AZ,NA,NA,81.89158016147636,NA
85304,Maricopa County,AZ,NA,57.90322580645161,NA,NA
85308,Maricopa County,AZ,NA,NA,NA,30.939716312056735
85323,Maricopa County,AZ,NA,35.16129032258065,NA,86.79078014184397
85338,Maricopa County,AZ,NA,36.935483870967744,NA,NA
85346,La Paz County,AZ,NA,NA,NA,92.90780141843972
85364,Yuma County,AZ,NA,3.387096774193549,NA,NA
85383,Maricopa County,AZ,NA,64.83870967741936,NA,NA
85390,Maricopa County,AZ,56.872037914691944,NA,NA,NA
85395,Maricopa County,AZ,NA,NA,41.63783160322952,NA
85541,Gila County,AZ,NA,NA,NA,23.847517730496453
85607,Cochise County,AZ,NA,30.967741935483872,NA,57.09219858156028
85614,Pima County,AZ,NA,NA,73.81776239907728,3.0141843971631204
85623,Pinal County,AZ,NA,NA,95.38638985005767,NA
85653,Pima County,AZ,NA,NA,NA,93.08510638297872
85712,Pima County,AZ,NA,22.741935483870968,NA,NA
85718,Pima County,AZ,NA,86.61290322580645,NA,NA
85742,Pima County,AZ,NA,55.32258064516129,NA,NA
85743,Pima County,AZ,NA,NA,63.091118800461366,NA
85746,Pima County,AZ,NA,NA,71.85697808535178,43.88297872340425
85750,Pima County,AZ,NA,NA,NA,34.48581560283688
86004,Coconino County,AZ,NA,NA,43.59861591695502,90.95744680851064
86333,Yavapai County,AZ,NA,NA,NA,82.4468085106383
86351,Yavapai County,AZ,NA,NA,NA,79.60992907801419
86409,Mohave County,AZ,NA,NA,3.575547866205306,18.79432624113475
71901,Garland County,AR,15.165876777251185,NA,NA,NA
71957,Montgomery County,AR,NA,NA,NA,99.55673758865248
72032,Faulkner County,AR,39.33649289099526,NA,NA,NA
72104,Hot Spring County,AR,NA,NA,58.93886966551326,53.98936170212766
72118,Pulaski County,AR,NA,NA,59.746251441753174,40.42553191489361
72160,Arkansas County,AR,NA,NA,79.12341407151095,NA
72209,Pulaski County,AR,NA,NA,90.19607843137256,NA
72301,Crittenden County,AR,NA,NA,NA,84.57446808510637
72450,Greene County,AR,NA,NA,21.337946943483278,NA
72476,Lawrence County,AR,NA,NA,92.96424452133795,NA
72576,Fulton County,AR,NA,NA,NA,96.54255319148936
72601,Boone County,AR,NA,NA,66.89734717416378,16.666666666666664
72712,Benton County,AR,NA,NA,NA,36.96808510638298
72715,Benton County,AR,NA,NA,60.438292964244525,NA
72753,Washington County,AR,NA,NA,NA,96.89716312056737
72762,Washington County,AR,NA,NA,NA,49.46808510638298
72855,Logan County,AR,NA,89.6774193548387,NA,NA
90011,Los Angeles County,CA,NA,NA,NA,36.17021276595745
90012,Los Angeles County,CA,NA,NA,50.86505190311419,NA
90016,Los Angeles County,CA,NA,NA,NA,62.4113475177305
90019,Los Angeles County,CA,NA,NA,NA,9.308510638297872
90043,Los Angeles County,CA,NA,NA,18.108419838523645,NA
90062,Los Angeles County,CA,NA,NA,59.16955017301038,NA
90066,Los Angeles County,CA,NA,48.38709677419355,NA,NA
90212,Los Angeles County,CA,NA,NA,NA,62.056737588652474
90220,Los Angeles County,CA,NA,NA,NA,33.244680851063826
90221,Los Angeles County,CA,NA,NA,32.75663206459054,NA
90254,Los Angeles County,CA,NA,NA,NA,87.58865248226951
90274,Los Angeles County,CA,NA,NA,NA,38.38652482269504
90280,Los Angeles County,CA,NA,34.67741935483871,NA,NA
90292,Los Angeles County,CA,NA,NA,NA,36.52482269503546
90501,Los Angeles County,CA,NA,NA,56.747404844290664,NA
90504,Los Angeles County,CA,NA,NA,NA,48.847517730496456
90602,Los Angeles County,CA,24.644549763033176,NA,NA,NA
90605,Los Angeles County,CA,NA,NA,NA,57.97872340425532
90631,Orange County,CA,NA,NA,87.65859284890428,NA
90638,Los Angeles County,CA,NA,NA,NA,24.379432624113477
90650,Los Angeles County,CA,NA,NA,NA,19.592198581560282
90680,Orange County,CA,61.137440758293835,NA,NA,NA
90706,Los Angeles County,CA,NA,NA,32.641291810841984,NA
90713,Los Angeles County,CA,NA,NA,NA,71.71985815602837
90807,Los Angeles County,CA,NA,NA,56.40138408304498,50.26595744680851
91016,Los Angeles County,CA,NA,NA,NA,42.819148936170215
91206,Los Angeles County,CA,NA,76.61290322580645,NA,NA
91302,Los Angeles County,CA,NA,NA,NA,60.0177304964539
91331,Los Angeles County,CA,NA,NA,52.133794694348325,NA
91335,Los Angeles County,CA,NA,NA,NA,9.042553191489363
91344,Los Angeles County,CA,NA,NA,21.222606689734718,NA
91351,Los Angeles County,CA,NA,NA,74.97116493656286,NA
91355,Los Angeles County,CA,NA,NA,NA,60.37234042553191
91360,Ventura County,CA,NA,NA,46.02076124567474,NA
91364,Los Angeles County,CA,NA,NA,70.70357554786621,NA
91405,Los Angeles County,CA,NA,NA,75.89388696655132,NA
91604,Los Angeles County,CA,NA,NA,NA,39.62765957446808
91607,Los Angeles County,CA,NA,82.9032258064516,NA,NA
91706,Los Angeles County,CA,NA,NA,29.411764705882355,NA
91710,San Bernardino County,CA,NA,NA,NA,43.61702127659575
91711,Los Angeles County,CA,NA,NA,27.912341407151096,NA
91750,Los Angeles County,CA,NA,NA,NA,27.74822695035461
91752,Riverside County,CA,NA,NA,NA,82.7127659574468
91754,Los Angeles County,CA,82.93838862559242,NA,NA,NA
91902,San Diego County,CA,NA,90.64516129032259,NA,NA
91910,San Diego County,CA,76.30331753554502,NA,NA,NA
91950,San Diego County,CA,NA,NA,NA,47.4290780141844
91978,San Diego County,CA,NA,NA,NA,93.17375886524822
92003,San Diego County,CA,NA,99.67741935483872,NA,NA
92019,San Diego County,CA,68.72037914691943,50.967741935483865,NA,NA
92021,San Diego County,CA,NA,16.29032258064516,NA,NA
92027,San Diego County,CA,14.218009478672986,NA,NA,NA
92054,San Diego County,CA,84.83412322274881,NA,NA,NA
92064,San Diego County,CA,31.753554502369667,NA,33.679354094579004,NA
92069,San Diego County,CA,91.9431279620853,NA,NA,NA
92071,San Diego County,CA,NA,NA,34.832756632064594,21.01063829787234
92102,San Diego County,CA,32.22748815165877,NA,NA,NA
92103,San Diego County,CA,NA,NA,45.213379469434834,NA
92109,San Diego County,CA,NA,NA,54.90196078431373,NA
92114,San Diego County,CA,NA,NA,24.106113033448672,NA
92126,San Diego County,CA,NA,48.87096774193548,NA,NA
92130,San Diego County,CA,NA,NA,59.28489042675894,76.95035460992908
92225,Riverside County,CA,NA,78.87096774193549,NA,74.822695035461
92231,Imperial County,CA,NA,NA,10.726643598615917,NA
92308,San Bernardino County,CA,40.758293838862556,NA,NA,NA
92337,San Bernardino County,CA,NA,NA,96.53979238754326,NA
92346,San Bernardino County,CA,NA,30,NA,55.58510638297872
92354,San Bernardino County,CA,NA,NA,NA,54.60992907801418
92373,San Bernardino County,CA,NA,NA,NA,42.4645390070922
92374,San Bernardino County,CA,NA,NA,NA,44.769503546099294
92377,San Bernardino County,CA,NA,NA,NA,91.75531914893617
92395,San Bernardino County,CA,NA,30.806451612903224,NA,NA
92404,San Bernardino County,CA,NA,18.064516129032256,NA,NA
92410,San Bernardino County,CA,NA,NA,NA,94.68085106382979
92506,Riverside County,CA,NA,NA,NA,48.58156028368794
92509,Riverside County,CA,NA,NA,33.33333333333333,NA
92543,Riverside County,CA,NA,NA,51.326412918108424,NA
92584,Riverside County,CA,NA,NA,57.324106113033444,NA
92586,Riverside County,CA,NA,NA,42.445213379469436,NA
92626,Orange County,CA,NA,NA,NA,27.570921985815605
92627,Orange County,CA,NA,NA,NA,49.02482269503546
92630,Orange County,CA,NA,NA,51.21107266435986,24.911347517730498
92637,Orange County,CA,NA,NA,NA,2.127659574468085
92648,Orange County,CA,NA,NA,NA,17.02127659574468
92649,Orange County,CA,NA,NA,NA,29.521276595744684
92660,Orange County,CA,NA,NA,NA,11.613475177304965
92662,Orange County,CA,NA,NA,NA,88.74113475177306
92673,Orange County,CA,NA,NA,NA,64.8936170212766
92683,Orange County,CA,NA,NA,NA,25.620567375886527
92691,Orange County,CA,NA,NA,NA,42.37588652482269
92692,Orange County,CA,NA,NA,20.18454440599769,NA
92703,Orange County,CA,NA,41.612903225806456,NA,NA
92705,Orange County,CA,NA,74.83870967741936,NA,NA
92708,Orange County,CA,NA,NA,12.572087658592848,NA
92801,Orange County,CA,NA,NA,NA,35.99290780141844
92832,Orange County,CA,NA,NA,66.32064590542099,NA
92840,Orange County,CA,NA,NA,72.0876585928489,NA
92841,Orange County,CA,NA,97.74193548387096,NA,78.63475177304964
92860,Riverside County,CA,NA,NA,NA,77.48226950354609
92867,Orange County,CA,NA,NA,NA,28.102836879432623
92882,Riverside County,CA,NA,NA,91.23414071510958,NA
92886,Orange County,CA,NA,NA,NA,20.124113475177303
93004,Ventura County,CA,NA,NA,47.174163783160324,NA
93022,Ventura County,CA,NA,96.93548387096774,NA,NA
93063,Ventura County,CA,NA,NA,21.453287197231834,NA
93212,Kings County,CA,NA,NA,87.19723183391004,NA
93277,Tulare County,CA,NA,NA,NA,27.21631205673759
93291,Tulare County,CA,NA,NA,32.8719723183391,23.22695035460993
93436,Santa Barbara County,CA,NA,51.12903225806451,NA,NA
93444,San Luis Obispo County,CA,NA,NA,NA,58.42198581560284
93534,Los Angeles County,CA,36.96682464454976,NA,NA,NA
93550,Los Angeles County,CA,NA,45.16129032258064,NA,NA
93551,Los Angeles County,CA,NA,NA,54.4405997693195,NA
93555,Kern County,CA,NA,NA,NA,31.29432624113475
93630,Fresno County,CA,NA,NA,88.58131487889274,NA
93702,Fresno County,CA,NA,NA,NA,76.50709219858156
