ZipCode,county,state,Adult,Retirement,Geriatric
35115,Shelby County,AL,NA,85.34031413612566,NA
35117,Jefferson County,AL,NA,95.28795811518324,NA
35125,St. Clair County,AL,NA,NA,64.48087431693989
35212,Jefferson County,AL,78.4090909090909,NA,NA
35215,Jefferson County,AL,9.659090909090908,NA,72.6775956284153
35243,Jefferson County,AL,NA,NA,58.46994535519126
35652,Lauderdale County,AL,92.61363636363636,NA,NA
35750,Madison County,AL,NA,61.25654450261781,NA
35801,Madison County,AL,NA,36.38743455497382,NA
35901,Etowah County,AL,NA,81.93717277486911,NA
36580,Baldwin County,AL,NA,84.81675392670157,NA
36867,Russell County,AL,NA,45.54973821989529,NA
85029,Maricopa County,AZ,NA,NA,50.27322404371585
85032,Maricopa County,AZ,NA,76.17801047120419,NA
85051,Maricopa County,AZ,NA,NA,71.58469945355192
85119,Pinal County,AZ,NA,48.167539267015705,NA
85234,Maricopa County,AZ,NA,NA,85.79234972677595
85249,Maricopa County,AZ,NA,40.83769633507853,NA
85250,Maricopa County,AZ,NA,84.03141361256544,NA
85251,Maricopa County,AZ,NA,57.06806282722513,NA
85373,Maricopa County,AZ,80.39772727272727,NA,NA
85381,Maricopa County,AZ,64.48863636363636,NA,NA
85607,Cochise County,AZ,31.53409090909091,NA,NA
85710,Pima County,AZ,NA,NA,56.284153005464475
85712,Pima County,AZ,NA,48.952879581151834,NA
85715,Pima County,AZ,NA,61.518324607329845,NA
85719,Pima County,AZ,36.64772727272727,NA,NA
85730,Pima County,AZ,58.80681818181818,NA,NA
85750,Pima County,AZ,NA,54.45026178010471,NA
86324,Yavapai County,AZ,92.04545454545455,NA,NA
72143,White County,AR,87.7840909090909,NA,NA
72211,Pulaski County,AR,NA,76.96335078534031,NA
72396,Cross County,AR,86.07954545454545,NA,NA
72764,Washington County,AR,41.47727272727273,NA,NA
90022,Los Angeles County,CA,NA,50.26178010471204,NA
90221,Los Angeles County,CA,57.67045454545454,NA,NA
90270,Los Angeles County,CA,84.0909090909091,NA,NA
90274,Los Angeles County,CA,NA,62.82722513089005,NA
90505,Los Angeles County,CA,NA,44.76439790575916,NA
90631,Orange County,CA,NA,89.00523560209425,NA
90638,Los Angeles County,CA,NA,41.8848167539267,NA
90813,Los Angeles County,CA,NA,52.35602094240838,NA
91006,Los Angeles County,CA,NA,79.84293193717278,NA
91204,Los Angeles County,CA,NA,97.90575916230367,NA
91206,Los Angeles County,CA,75,NA,NA
