ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,47.85325772480037,53.8787483702738,NA
35007,Shelby County,AL,91.84073107049609,NA,40.79388959611156,NA,NA
35016,Marshall County,AL,NA,NA,14.743663927786136,70.33898305084746,NA
35020,Jefferson County,AL,NA,34.91864831038799,1.4003008911005672,40.43350717079531,76.17508813160987
35023,Jefferson County,AL,NA,NA,22.416386992246267,76.95567144719688,11.339600470035252
35031,Blount County,AL,NA,NA,34.625622034486746,NA,NA
35042,Bibb County,AL,NA,NA,48.47818539520889,78.91134289439374,NA
35043,Shelby County,AL,NA,NA,44.52031014928828,NA,NA
35044,Talladega County,AL,43.01566579634465,NA,57.227172780928136,NA,NA
35054,St. Clair County,AL,NA,NA,NA,74.20143415906128,NA
35055,Cullman County,AL,NA,NA,16.352274042356207,NA,73.97179788484137
35058,Cullman County,AL,NA,NA,NA,53.8787483702738,NA
35062,Jefferson County,AL,NA,NA,NA,66.88396349413298,NA
35064,Jefferson County,AL,92.68929503916449,NA,19.916676310612196,NA,NA
35068,Jefferson County,AL,NA,NA,89.28364772595765,NA,NA
35071,Jefferson County,AL,NA,NA,32.16062955676426,NA,NA
35077,Cullman County,AL,NA,62.3279098873592,20.171276472630485,42.53585397653194,NA
35079,Blount County,AL,NA,NA,65.65212359680592,60.07170795306388,NA
35085,Chilton County,AL,NA,NA,NA,74.73924380704041,NA
35094,Jefferson County,AL,NA,NA,20.26385834972804,40.726857887874836,NA
35111,Tuscaloosa County,AL,NA,NA,67.9435250549705,41.80247718383311,NA
35114,Shelby County,AL,NA,NA,NA,NA,74.47121034077556
35115,Shelby County,AL,NA,NA,57.34290012730008,38.05410691003912,NA
35117,Jefferson County,AL,NA,NA,63.5111676889249,NA,NA
35118,Jefferson County,AL,93.66840731070496,NA,NA,NA,NA
35121,Blount County,AL,NA,NA,71.28804536511979,61.81551499348109,NA
35124,Shelby County,AL,NA,NA,23.18018747830112,NA,83.31374853113984
35126,Jefferson County,AL,NA,NA,NA,25.228161668839633,NA
35127,Jefferson County,AL,NA,NA,48.97581298460826,NA,NA
35131,St. Clair County,AL,NA,NA,88.17266520078695,NA,NA
35133,Blount County,AL,56.919060052219315,NA,87.14269181807661,89.19491525423729,NA
35146,St. Clair County,AL,NA,NA,73.86876518921422,NA,NA
35160,Talladega County,AL,NA,NA,NA,21.447196870925683,NA
35171,Chilton County,AL,NA,NA,98.42610808934151,NA,NA
35172,Blount County,AL,NA,NA,95.5907881032288,NA,NA
35173,Jefferson County,AL,NA,NA,13.00775373220692,17.878096479791395,NA
35204,Jefferson County,AL,NA,NA,NA,40.368318122555415,NA
35206,Jefferson County,AL,NA,NA,70.5821085522509,NA,NA
35207,Jefferson County,AL,NA,NA,28.017590556648535,NA,NA
35208,Jefferson County,AL,NA,90.11264080100125,NA,NA,NA
35209,Jefferson County,AL,63.18537859007834,NA,NA,40.66166883963494,53.96592244418331
35210,Jefferson County,AL,NA,NA,NA,87.32073011734029,NA
35211,Jefferson County,AL,NA,31.914893617021278,1.6201828492072676,7.920469361147327,NA
35213,Jefferson County,AL,NA,NA,NA,40.1890482398957,NA
35215,Jefferson County,AL,9.530026109660575,NA,62.23816687883347,46.90352020860495,NA
35216,Jefferson County,AL,NA,NA,15.692628168036107,24.72294654498044,NA
35223,Jefferson County,AL,86.94516971279373,NA,NA,NA,NA
35226,Jefferson County,AL,NA,NA,NA,6.8611473272490215,13.102232667450059
35235,Jefferson County,AL,NA,NA,NA,62.46740547588006,NA
35242,Shelby County,AL,NA,NA,5.26559425992362,21.903520208604952,21.415981198589897
35244,Jefferson County,AL,NA,NA,38.07429695637079,71.65906127770535,40.92244418331375
35401,Tuscaloosa County,AL,26.109660574412537,NA,77.91922231223238,5.801825293350717,33.40188014101058
35404,Tuscaloosa County,AL,NA,57.07133917396746,88.75130193264668,NA,NA
35405,Tuscaloosa County,AL,13.25065274151436,28.53566958698373,61.21976623076033,20.8116036505867,NA
35406,Tuscaloosa County,AL,NA,NA,80.21062377039695,NA,NA
35444,Tuscaloosa County,AL,96.14882506527415,NA,NA,NA,NA
